GOMA	goma	GOMA
,	,	,
Democratic	democrat	Democratic
Republic	republ	Republic
of	of	of
Congo	congo	Congo
Reuters	reuter	Reuters
-	-	-
The	the	The
bodies	bodi	body
of	of	of
26	26	26
people	peopl	people
believed	believ	believed
killed	kill	killed
after	after	after
an	an	an
ambush	ambush	ambush
last	last	last
week	week	week
in	in	in
eastern	eastern	eastern
Democratic	democrat	Democratic
Republic	republ	Republic
of	of	of
Congo	congo	Congo
have	have	have
been	been	been
discovered	discov	discovered
,	,	,
most	most	most
of	of	of
them	them	them
with	with	with
their	their	their
hands	hand	hand
tied	tie	tied
and	and	and
their	their	their
necks	neck	neck
broken	broken	broken
,	,	,
a	a	a
local	local	local
chief	chief	chief
said	said	said
on	on	on
Sunday	sunday	Sunday
.	.	.

The	the	The
victims	victim	victim
disappeared	disappear	disappeared
a	a	a
week	week	week
ago	ago	ago
after	after	after
they	they	they
were	were	were
ambushed	ambush	ambushed
by	by	by
militants	milit	militant
on	on	on
a	a	a
main	main	main
road	road	road
in	in	in
North	north	North
Kivu	kivu	Kivu
s	s	s
restive	restiv	restive
Beni	beni	Beni
territory	territori	territory
,	,	,
where	where	where
more	more	more
than	than	than
800	800	800
people	peopl	people
were	were	were
killed	kill	killed
in	in	in
dozens	dozen	dozen
of	of	of
massacres	massacr	massacre
between	between	between
2014	2014	2014
and	and	and
2016	2016	2016
.	.	.

The	the	The
attack	attack	attack
,	,	,
which	which	which
followed	follow	followed
a	a	a
lull	lull	lull
this	this	this
year	year	year
,	,	,
has	has	ha
revived	reviv	revived
questions	question	question
about	about	about
the	the	the
state	state	state
s	s	s
ability	abil	ability
to	to	to
impose	impos	impose
order	order	order
over	over	over
eastern	eastern	eastern
borderlands	borderland	borderland
wracked	wrack	wracked
by	by	by
ethnic	ethnic	ethnic
tensions	tension	tension
and	and	and
competition	competit	competition
for	for	for
mineral	miner	mineral
resources	resourc	resource
.	.	.

Congolese	congoles	Congolese
authorities	author	authority
and	and	and
U	u	U
.	.	.
N	n	N
.	.	.
officials	offici	official
initially	initi	initially
believed	believ	believed
that	that	that
about	about	about
20	20	20
civilians	civilian	civilian
had	had	had
disappeared	disappear	disappeared
after	after	after
being	be	being
attacked	attack	attacked
by	by	by
armed	arm	armed
assailants	assail	assailant
and	and	and
were	were	were
likely	like	likely
to	to	to
have	have	have
been	been	been
killed	kill	killed
.	.	.

They	they	They
were	were	were
unable	unabl	unable
to	to	to
locate	locat	locate
the	the	the
bodies	bodi	body
for	for	for
days	day	day
,	,	,
however	howev	however
,	,	,
due	due	due
to	to	to
intense	intens	intense
fighting	fight	fighting
.	.	.

A	a	A
group	group	group
including	includ	including
officials	offici	official
from	from	from
Congo	congo	Congo
s	s	s
U	u	U
.	.	.
N	n	N
.	.	.
mission	mission	mission
MONUSCO	monusco	MONUSCO
,	,	,
the	the	the
army	armi	army
,	,	,
the	the	the
Congolese	congoles	Congolese
Red	red	Red
Cross	cross	Cross
,	,	,
and	and	and
Congolese	congoles	Congolese
authorities	author	authority
traveled	travel	traveled
to	to	to
the	the	the
scene	scene	scene
of	of	of
the	the	the
killings	kill	killing
on	on	on
Sunday	sunday	Sunday
.	.	.

In	in	In
total	total	total
,	,	,
26	26	26
people	peopl	people
three	three	three
women	women	woman
,	,	,
22	22	22
civilian	civilian	civilian
men	men	men
and	and	and
one	one	one
Congolese	congoles	Congolese
soldier	soldier	soldier
were	were	were
tied	tie	tied
up	up	up
and	and	and
