LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
Britain	britain	Britain
said	said	said
on	on	on
Monday	monday	Monday
that	that	that
comments	comment	comment
by	by	by
Foreign	foreign	Foreign
Secretary	secretari	Secretary
Boris	bori	Boris
Johnson	johnson	Johnson
about	about	about
jailed	jail	jailed
Iranian	iranian	Iranian
-British	-british	-British
aid	aid	aid
worker	worker	worker
Nazanin	nazanin	Nazanin
Zaghari	zaghari	Zaghari
-Ratcliffe	-ratcliff	-Ratcliffe
should	should	should
not	not	not
be	be	be
used	use	used
by	by	by
the	the	the
Islamic	islam	Islamic
Republic	republ	Republic
to	to	to
bring	bring	bring
additional	addit	additional
charges	charg	charge
against	against	against
her	her	her
.	.	.
Johnson	johnson	Johnson
told	told	told
the	the	the
British	british	British
parliament	parliament	parliament
s	s	s
foreign	foreign	foreign
affairs	affair	affair
committee	committe	committee
last	last	last
Wednesday	wednesday	Wednesday
that	that	that
Zaghari	zaghari	Zaghari
-Ratcliffe	-ratcliff	-Ratcliffe
had	had	had
been	been	been
teaching	teach	teaching
people	peopl	people
journalism	journal	journalism
,	,	,
a	a	a
statement	statement	statement
that	that	that
the	the	the
Thomson	thomson	Thomson
Reuters	reuter	Reuters
Foundation	foundat	Foundation
,	,	,
a	a	a
charity	chariti	charity
organization	organ	organization
for	for	for
which	which	which
she	she	she
works	work	work
,	,	,
said	said	said
was	was	wa
incorrect	incorrect	incorrect
.	.	.
Last	last	Last
week	week	week
s	s	s
remarks	remark	remark
by	by	by
the	the	the
Foreign	foreign	Foreign
Secretary	secretari	Secretary
provide	provid	provide
no	no	no
justifiable	justifi	justifiable
basis	basi	basis
on	on	on
which	which	which
to	to	to
bring	bring	bring
any	ani	any
additional	addit	additional
charges	charg	charge
against	against	against
Nazanin	nazanin	Nazanin
Zaghari	zaghari	Zaghari
-Ratcliffe	-ratcliff	-Ratcliffe
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
British	british	British
Foreign	foreign	Foreign
Office	offic	Office
said	said	said
.	.	.
While	while	While
criticizing	critic	criticizing
the	the	the
Iranian	iranian	Iranian
case	case	case
against	against	against
Mrs	mrs	Mrs
Zaghari	zaghari	Zaghari
-Ratcliffe	-ratcliff	-Ratcliffe
,	,	,
the	the	the
Foreign	foreign	Foreign
Secretary	secretari	Secretary
sought	sought	sought
to	to	to
explain	explain	explain
that	that	that
even	even	even
the	the	the
most	most	most
extreme	extrem	extreme
set	set	set
of	of	of
unproven	unproven	unproven
Iranian	iranian	Iranian
allegations	alleg	allegation
against	against	against
her	her	her
were	were	were
insufficient	insuffici	insufficient
reason	reason	reason
for	for	for
her	her	her
detention	detent	detention
and	and	and
treatment	treatment	treatment
.	.	.
Zaghari	zaghari	Zaghari
-Ratcliffe	-ratcliff	-Ratcliffe
,	,	,
a	a	a
project	project	project
manager	manag	manager
,	,	,
is	is	is
serving	serv	serving
a	a	a
five	five	five
-year	-year	-year
jail	jail	jail
sentence	sentenc	sentence
after	after	after
being	be	being
convicted	convict	convicted
of	of	of
plotting	plot	plotting
to	to	to
overthrow	overthrow	overthrow
Iran	iran	Iran
s	s	s
clerical	cleric	clerical
establishment	establish	establishment
.	.	.
She	she	She
was	was	wa
brought	brought	brought
again	again	again
into	into	into
court	court	court
on	on	on
Saturday	saturday	Saturday
,	,	,
three	three	three
days	day	day
after	after	after
Johnson	johnson	Johnson
s	s	s
remarks	remark	remark
,	,	,
and	and	and
accused	accus	accused
by	by	by
a	a	a
judge	judg	judge
of	of	of
spreading	spread	spreading
propaganda	propaganda	propaganda
against	against	against
the	the	the
regime	regim	regime
.	.	.
She	she	She
is	is	is
not	not	not
a	a	a
journalist	journalist	journalist
and	and	and
has	has	ha
never	never	never
trained	train	trained
journalists	journalist	journalist
at	at	at
the	the	the
Thomson	thomson	Thomson
Reuters	reuter	Reuters
Foundation	foundat	Foundation
where	where	where
she	she	she
is	is	is
project	project	project
manager	manag	manager
in	in	in
my	my	my
Media	media	Media
Development	develop	Development
team	team	team
,	,	,
Monique	moniqu	Monique
Villa	villa	Villa
,	,	,
Thomson	thomson	Thomson
Reuters	reuter	Reuters
Foundation	foundat	Foundation
chief	chief	chief
executive	execut	executive
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
I	i	I
see	see	see
a	a	a
direct	direct	direct
correlation	correl	correlation
between	between	between
this	this	this
statement	statement	statement
by	by	by
Boris	bori	Boris
Johnson	johnson	Johnson
,	,	,
who	who	who
rightly	right	rightly
condemned	condemn	condemned
the	the	the
treatment	treatment	treatment
that	that	that
Nazanin	nazanin	Nazanin
has	has	ha
received	receiv	received
in	in	in
Iran	iran	Iran
,	,	,
and	and	and
the	the	the
fact	fact	fact
that	that	that
Nazanin	nazanin	Nazanin
was	was	wa
brought	brought	brought
once	onc	once
again	again	again
into	into	into
Court	court	Court
on	on	on
Saturday	saturday	Saturday
4	4	4
November	novemb	November
.	.	.
The	the	The
charges	charg	charge
against	against	against
Nazanin	nazanin	Nazanin
were	were	were
denied	deni	denied
by	by	by
her	her	her
family	famili	family
and	and	and
the	the	the
Foundation	foundat	Foundation
,	,	,
a	a	a
charity	chariti	charity
organization	organ	organization
that	that	that
is	is	is
independent	independ	independent
of	of	of
Thomson	thomson	Thomson
Reuters	reuter	Reuters
and	and	and
operates	oper	operates
independently	independ	independently
of	of	of
Reuters	reuter	Reuters
News	news	News
.	.	.
Tulip	tulip	Tulip
Siddiq	siddiq	Siddiq
,	,	,
a	a	a
lawmaker	lawmak	lawmaker
for	for	for
the	the	the
opposition	opposit	opposition
Labour	labour	Labour
Party	parti	Party
,	,	,
said	said	said
Johnson	johnson	Johnson
had	had	had
failed	fail	failed
to	to	to
retract	retract	retract
his	his	his
comments	comment	comment
,	,	,
which	which	which
she	she	she
said	said	said
had	had	had
undermined	undermin	undermined
efforts	effort	effort
to	to	to
secure	secur	secure
Zaghari	zaghari	Zaghari
-Ratcliffe	-ratcliff	-Ratcliffe
s	s	s
release	releas	release
.	.	.
By	by	By
suggesting	suggest	suggesting
Nazanin	nazanin	Nazanin
was	was	wa
in	in	in
Iran	iran	Iran
teaching	teach	teaching
people	peopl	people
journalism	journal	journalism
,	,	,
Boris	bori	Boris
Johnson	johnson	Johnson
has	has	ha
endangered	endang	endangered
the	the	the
cause	caus	cause
to	to	to
secure	secur	secure
her	her	her
release	releas	release
,	,	,
Siddiq	siddiq	Siddiq
,	,	,
who	who	who
is	is	is
the	the	the
lawmaker	lawmak	lawmaker
for	for	for
the	the	the
area	area	area
where	where	where
Zaghari	zaghari	Zaghari
-Ratcliffe	-ratcliff	-Ratcliffe
lived	live	lived
in	in	in
London	london	London
,	,	,
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
.	.	.
The	the	The
Foreign	foreign	Foreign
Secretary	secretari	Secretary
s	s	s
failure	failur	failure
to	to	to
retract	retract	retract
his	his	his
comments	comment	comment
to	to	to
the	the	the
Foreign	foreign	Foreign
Affairs	affair	Affairs
Select	select	Select
Committee	committe	Committee
is	is	is
unforgivable	unforgiv	unforgivable
,	,	,
Siddiq	siddiq	Siddiq
said	said	said
.	.	.
His	his	His
comments	comment	comment
were	were	were
both	both	both
untrue	untru	untrue
and	and	and
unhelpful	unhelp	unhelpful
to	to	to
her	her	her
case	case	case
.	.	.
The	the	The
Iranian	iranian	Iranian
Embassy	embassi	Embassy
in	in	in
London	london	London
could	could	could
not	not	not
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
.	.	.
