ISTANBUL	istanbul	ISTANBUL
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
will	will	will
visit	visit	visit
Turkey	turkey	Turkey
on	on	on
March	march	March
30	30	30
,	,	,
Turkish	turkish	Turkish
foreign	foreign	foreign
minister	minist	minister
Mevlut	mevlut	Mevlut
Cavusoglu	cavusoglu	Cavusoglu
said	said	said
on	on	on
Thursday	thursday	Thursday
,	,	,
in	in	in
what	what	what
is	is	is
likely	like	likely
to	to	to
be	be	be
the	the	the
most	most	most
high	high	high
-level	-level	-level
meeting	meet	meeting
with	with	with
Ankara	ankara	Ankara
since	sinc	since
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
took	took	took
office	offic	office
in	in	in
January	januari	January
.	.	.

Ties	tie	Ties
between	between	between
the	the	the
United	unit	United
States	state	States
and	and	and
Turkey	turkey	Turkey
-	-	-
which	which	which
has	has	ha
the	the	the
second	second	second
largest	largest	largest
army	armi	army
in	in	in
the	the	the
NATO	nato	NATO
alliance	allianc	alliance
and	and	and
is	is	is
key	key	key
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
fight	fight	fight
against	against	against
Islamic	islam	Islamic
State	state	State
in	in	in
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
-	-	-
deteriorated	deterior	deteriorated
sharply	sharpli	sharply
in	in	in
the	the	the
last	last	last
year	year	year
of	of	of
the	the	the
Barack	barack	Barack
Obama	obama	Obama
administration	administr	administration
.	.	.

Rex	rex	Rex
Tillerson	tillerson	Tillerson
has	has	ha
said	said	said
that	that	that
he	he	he
would	would	would
like	like	like
to	to	to
come	come	come
to	to	to
Turkey	turkey	Turkey
on	on	on
March	march	March
30	30	30
,	,	,
Cavusoglu	cavusoglu	Cavusoglu
said	said	said
in	in	in
an	an	an
interview	interview	interview
with	with	with
broadcaster	broadcast	broadcaster
Haberturk	haberturk	Haberturk
.	.	.

I	i	I
have	have	have
told	told	told
him	him	him
that	that	that
we	we	we
will	will	will
be	be	be
in	in	in
Ankara	ankara	Ankara
and	and	and
available	avail	available
and	and	and
would	would	would
happily	happili	happily
host	host	host
him	him	him
,	,	,
Cavusoglu	cavusoglu	Cavusoglu
said	said	said
.	.	.

Tillerson	tillerson	Tillerson
was	was	wa
likely	like	likely
to	to	to
also	also	also
meet	meet	meet
with	with	with
Turkish	turkish	Turkish
President	presid	President
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
and	and	and
Prime	prime	Prime
Minister	minist	Minister
Binali	binali	Binali
Yildirim	yildirim	Yildirim
,	,	,
he	he	he
said	said	said
.	.	.

Erdogan	erdogan	Erdogan
and	and	and
the	the	the
Turkish	turkish	Turkish
government	govern	government
want	want	want
the	the	the
United	unit	United
States	state	States
to	to	to
extradite	extradit	extradite
Fethullah	fethullah	Fethullah
Gulen	gulen	Gulen
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
-based	-base	-based
Islamic	islam	Islamic
cleric	cleric	cleric
who	who	who
Ankara	ankara	Ankara
blames	blame	blame
for	for	for
orchestrating	orchestr	orchestrating
last	last	last
year	year	year
s	s	s
failed	fail	failed
coup	coup	coup
.	.	.

Gulen	gulen	Gulen
denies	deni	denies
involvement	involv	involvement
in	in	in
the	the	the
coup	coup	coup
attempt	attempt	attempt
.	.	.

Ankara	ankara	Ankara
has	has	ha
also	also	also
been	been	been
angered	anger	angered
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
support	support	support
for	for	for
the	the	the
Kurdish	kurdish	Kurdish
YPG	ypg	YPG
militia	militia	militia
fighting	fight	fighting
Islamic	islam	Islamic
State	state	State
in	in	in
Syria	syria	Syria
.	.	.

It	it	It
is	is	is
adamant	adam	adamant
that	that	that
Washington	washington	Washington
should	should	should
switch	switch	switch
support	support	support
for	for	for
the	the	the
planned	plan	planned
Raqqa	raqqa	Raqqa
offensive	offens	offensive
from	from	from
the	the	the
YPG	ypg	YPG
militia	militia	militia
to	to	to
Syrian	syrian	Syrian
rebels	rebel	rebel
that	that	that
Turkey	turkey	Turkey
has	has	ha
trained	train	trained
.	.	.

For	for	For
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
administration	administr	administration
,	,	,
nervous	nervous	nervous
about	about	about
whether	whether	whether
the	the	the
Turkish	turkish	Turkish
-backed	-back	-backed
force	forc	force
is	is	is
large	larg	large
enough	enough	enough
and	and	and
sufficiently	suffici	sufficiently
trained	train	trained
,	,	,
the	the	the
decision	decis	decision
sets	set	set
Trump	trump	Trump
s	s	s
wish	wish	wish
for	for	for
quick	quick	quick
battlefield	battlefield	battlefield
victories	victori	victory
against	against	against
the	the	the
need	need	need
to	to	to
maintain	maintain	maintain
its	it	it
strategic	strateg	strategic
alliance	allianc	alliance
with	with	with
Turkey	turkey	Turkey
.	.	.

Ankara	ankara	Ankara
views	view	view
the	the	the
YPG	ypg	YPG
as	as	a
the	the	the
Syrian	syrian	Syrian
extension	extens	extension
of	of	of
the	the	the
Kurdish	kurdish	Kurdish
PKK	pkk	PKK
militant	milit	militant
group	group	group
,	,	,
which	which	which
has	has	ha
fought	fought	fought
an	an	an
insurgency	insurg	insurgency
in	in	in
Turkey	turkey	Turkey
s	s	s
southeast	southeast	southeast
since	sinc	since
1984	1984	1984
and	and	and
is	is	is
considered	consid	considered
a	a	a
terrorist	terrorist	terrorist
group	group	group
by	by	by
both	both	both
the	the	the
United	unit	United
States	state	States
and	and	and
European	european	European
Union	union	Union
.	.	.

Erdogan	erdogan	Erdogan
believes	believ	belief
ties	tie	tie
will	will	will
improve	improv	improve
under	under	under
Trump	trump	Trump
.	.	.

A	a	A
phone	phone	phone
call	call	call
between	between	between
the	the	the
two	two	two
earlier	earlier	earlier
last	last	last
month	month	month
was	was	wa
positive	posit	positive
,	,	,
sources	sourc	source
in	in	in
Erdogan	erdogan	Erdogan
s	s	s
office	offic	office
have	have	have
said	said	said
.	.	.

