PHNOM	phnom	PHNOM
PENH	penh	PENH
Reuters	reuter	Reuters
-	-	-
Cambodian	cambodian	Cambodian
Prime	prime	Prime
Minister	minist	Minister
Hun	hun	Hun
Sen	sen	Sen
told	told	told
his	his	his
cabinet	cabinet	cabinet
on	on	on
Friday	friday	Friday
he	he	he
had	had	had
no	no	no
fear	fear	fear
of	of	of
Western	western	Western
sanctions	sanction	sanction
after	after	after
some	some	some
U	u	U
.	.	.
S	s	S
.	.	.
senators	senat	senator
threatened	threaten	threatened
to	to	to
push	push	push
for	for	for
travel	travel	travel
restrictions	restrict	restriction
over	over	over
his	his	his
arrest	arrest	arrest
of	of	of
the	the	the
main	main	main
opposition	opposit	opposition
leader	leader	leader
,	,	,
the	the	the
government	govern	government
spokesman	spokesman	spokesman
said	said	said
.	.	.
Hun	hun	Hun
Sen	sen	Sen
s	s	s
critics	critic	critic
accuse	accus	accuse
him	him	him
of	of	of
destroying	destroy	destroying
democracy	democraci	democracy
in	in	in
Cambodia	cambodia	Cambodia
to	to	to
ensure	ensur	ensure
that	that	that
he	he	he
wins	win	win
re	re	re
-election	-elect	-election
next	next	next
year	year	year
to	to	to
extend	extend	extend
more	more	more
than	than	than
32	32	32
years	year	year
in	in	in
power	power	power
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Ted	ted	Ted
Cruz	cruz	Cruz
said	said	said
he	he	he
would	would	would
push	push	push
for	for	for
a	a	a
travel	travel	travel
ban	ban	ban
on	on	on
top	top	top
officials	offici	official
if	if	if
opposition	opposit	opposition
leader	leader	leader
Kem	kem	Kem
Sokha	sokha	Sokha
is	is	is
not	not	not
freed	freed	freed
by	by	by
Nov	nov	Nov
.	.	.
9	9	9
.	.	.
Senators	senat	Senators
John	john	John
McCain	mccain	McCain
and	and	and
Dick	dick	Dick
Durbin	durbin	Durbin
have	have	have
also	also	also
called	call	called
for	for	for
travel	travel	travel
restrictions	restrict	restriction
if	if	if
the	the	the
crackdown	crackdown	crackdown
continues	continu	continues
.	.	.
Hun	hun	Hun
Sen	sen	Sen
told	told	told
a	a	a
weekly	week	weekly
cabinet	cabinet	cabinet
meeting	meet	meeting
that	that	that
sanctions	sanction	sanction
by	by	by
Western	western	Western
donors	donor	donor
don	don	don
t	t	t
worry	worri	worry
him	him	him
,	,	,
the	the	the
government	govern	government
spokesman	spokesman	spokesman
said	said	said
.	.	.
Samdech	samdech	Samdech
said	said	said
he	he	he
doesn	doesn	doesn
t	t	t
have	have	have
wealth	wealth	wealth
abroad	abroad	abroad
and	and	and
there	there	there
is	is	is
no	no	no
necessity	necess	necessity
for	for	for
him	him	him
to	to	to
step	step	step
on	on	on
U	u	U
.	.	.
S	s	S
.	.	.
soil	soil	soil
,	,	,
Phay	phay	Phay
Siphan	siphan	Siphan
told	told	told
Reuters	reuter	Reuters
,	,	,
using	use	using
Hun	hun	Hun
Sen	sen	Sen
s	s	s
official	offici	official
title	titl	title
.	.	.
Kem	kem	Kem
Sokha	sokha	Sokha
was	was	wa
arrested	arrest	arrested
on	on	on
Sept	sept	Sept
.	.	.
3	3	3
and	and	and
charged	charg	charged
with	with	with
treason	treason	treason
.	.	.
He	he	He
is	is	is
accused	accus	accused
of	of	of
plotting	plot	plotting
to	to	to
take	take	take
power	power	power
with	with	with
the	the	the
help	help	help
of	of	of
unspecified	unspecifi	unspecified
Americans	american	Americans
-	-	-
an	an	an
accusation	accus	accusation
he	he	he
denies	deni	denies
.	.	.
The	the	The
government	govern	government
has	has	ha
also	also	also
asked	ask	asked
the	the	the
courts	court	court
to	to	to
dissolve	dissolv	dissolve
Kem	kem	Kem
Sokha	sokha	Sokha
s	s	s
Cambodia	cambodia	Cambodia
National	nation	National
Rescue	rescu	Rescue
Party	parti	Party
CNRP	cnrp	CNRP
and	and	and
Hun	hun	Hun
Sen	sen	Sen
has	has	ha
called	call	called
on	on	on
its	it	it
members	member	member
of	of	of
parliament	parliament	parliament
and	and	and
other	other	other
elected	elect	elected
officials	offici	official
to	to	to
defect	defect	defect
to	to	to
his	his	his
Cambodian	cambodian	Cambodian
People	peopl	People
s	s	s
Party	parti	Party
CPP	cpp	CPP
.	.	.
Pro	pro	Pro
-government	-govern	-government
media	media	medium
said	said	said
one	one	one
parliamentarian	parliamentarian	parliamentarian
and	and	and
some	some	some
local	local	local
councillors	councillor	councillor
had	had	had
defected	defect	defected
.	.	.
Kem	kem	Kem
Sokha	sokha	Sokha
s	s	s
daughter	daughter	daughter
Monovithya	monovithya	Monovithya
Kem	kem	Kem
said	said	said
that	that	that
if	if	if
he	he	he
were	were	were
not	not	not
released	releas	released
and	and	and
the	the	the
pressure	pressur	pressure
ended	end	ended
on	on	on
the	the	the
CNRP	cnrp	CNRP
,	,	,
it	it	it
would	would	would
mean	mean	mean
that	that	that
next	next	next
year	year	year
s	s	s
election	elect	election
would	would	would
lack	lack	lack
legitimacy	legitimaci	legitimacy
.	.	.
Hun	hun	Hun
Sen	sen	Sen
s	s	s
government	govern	government
