Token	Stem	Lemma
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
Democratic	democrat	Democratic
presidential	presidenti	presidential
candidate	candid	candidate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
will	will	will
depart	depart	depart
from	from	from
the	the	the
campaign	campaign	campaign
trail	trail	trail
on	on	on
Friday	friday	Friday
to	to	to
attend	attend	attend
the	the	the
funeral	funer	funeral
services	servic	service
of	of	of
former	former	former
First	first	First
Lady	ladi	Lady
Nancy	nanci	Nancy
Reagan	reagan	Reagan
The	the	The
campaign	campaign	campaign
on	on	on
Tuesday	tuesday	Tuesday
reported	report	reported
that	that	that
Clinton	clinton	Clinton
former	former	former
first	first	first
lady	ladi	lady
under	under	under
President	presid	President
Bill	bill	Bill
Clinton	clinton	Clinton
and	and	and
secretary	secretari	secretary
of	of	of
state	state	state
under	under	under
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
would	would	would
attend	attend	attend
the	the	the
planned	plan	planned
services	servic	service
in	in	in
California	california	California
for	for	for
Reagan	reagan	Reagan
who	who	who
died	die	died
on	on	on
Sunday	sunday	Sunday
of	of	of
congestive	congest	congestive
heart	heart	heart
failure	failur	failure
This	this	This
version	version	version
of	of	of
the	the	the
story	stori	story
corrects	correct	corrects
the	the	the
day	day	day
of	of	of
Reagan	reagan	Reagan
s	s	s
death	death	death
from	from	from
Monday	monday	Monday
to	to	to
Sunday	sunday	Sunday
in	in	in
the	the	the
paragraph	paragraph	paragraph
two	two	two
