BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
Iranian	iranian	Iranian
President	presid	President
Hassan	hassan	Hassan
Rouhani	rouhani	Rouhani
declared	declar	declared
the	the	the
end	end	end
of	of	of
Islamic	islam	Islamic
State	state	State
on	on	on
Tuesday	tuesday	Tuesday
while	while	while
a	a	a
senior	senior	senior
military	militari	military
commander	command	commander
thanked	thank	thanked
the	the	the
thousands	thousand	thousand
of	of	of
martyrs	martyr	martyr
killed	kill	killed
in	in	in
operations	oper	operation
organised	organis	organised
by	by	by
Iran	iran	Iran
to	to	to
defeat	defeat	defeat
the	the	the
militant	milit	militant
group	group	group
in	in	in
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
.	.	.
Today	today	Today
with	with	with
God	god	God
s	s	s
guidance	guidanc	guidance
and	and	and
the	the	the
resistance	resist	resistance
of	of	of
people	peopl	people
in	in	in
the	the	the
region	region	region
we	we	we
can	can	can
say	say	say
that	that	that
this	this	this
evil	evil	evil
has	has	ha
either	either	either
been	been	been
lifted	lift	lifted
from	from	from
the	the	the
head	head	head
of	of	of
the	the	the
people	peopl	people
or	or	or
has	has	ha
been	been	been
reduced	reduc	reduced
,	,	,
Rouhani	rouhani	Rouhani
said	said	said
in	in	in
an	an	an
address	address	address
broadcast	broadcast	broadcast
live	live	live
on	on	on
state	state	state
TV	tv	TV
.	.	.
Of	of	Of
course	cours	course
the	the	the
remnants	remnant	remnant
will	will	will
continue	continu	continue
but	but	but
the	the	the
foundation	foundat	foundation
and	and	and
roots	root	root
have	have	have
been	been	been
destroyed	destroy	destroyed
.	.	.
Major	major	Major
General	general	General
Qassem	qassem	Qassem
Soleimani	soleimani	Soleimani
,	,	,
a	a	a
senior	senior	senior
commander	command	commander
of	of	of
the	the	the
elite	elit	elite
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
,	,	,
also	also	also
said	said	said
Islamic	islam	Islamic
State	state	State
had	had	had
been	been	been
defeated	defeat	defeated
,	,	,
in	in	in
a	a	a
message	messag	message
sent	sent	sent
on	on	on
Tuesday	tuesday	Tuesday
to	to	to
Iran	iran	Iran
s	s	s
supreme	suprem	supreme
leader	leader	leader
which	which	which
was	was	wa
published	publish	published
on	on	on
the	the	the
Guards	guard	Guards
news	news	news
site	site	site
,	,	,
Sepah	sepah	Sepah
News	news	News
.	.	.
Supreme	suprem	Supreme
Leader	leader	Leader
Ayatollah	ayatollah	Ayatollah
Ali	ali	Ali
Khamenei	khamenei	Khamenei
congratulated	congratul	congratulated
Soleimani	soleimani	Soleimani
on	on	on
the	the	the
defeat	defeat	defeat
of	of	of
Islamic	islam	Islamic
State	state	State
and	and	and
said	said	said
it	it	it
was	was	wa
a	a	a
blow	blow	blow
against	against	against
Israel	israel	Israel
,	,	,
America	america	America
and	and	and
its	it	it
allies	alli	ally
,	,	,
an	an	an
allusion	allus	allusion
to	to	to
Saudi	saudi	Saudi
Arabia	arabia	Arabia
.	.	.
It	it	It
was	was	wa
a	a	a
blow	blow	blow
against	against	against
the	the	the
past	past	past
and	and	and
current	current	current
governments	govern	government
of	of	of
America	america	America
and	and	and
the	the	the
regimes	regim	regime
linked	link	linked
to	to	to
it	it	it
in	in	in
the	the	the
region	region	region
who	who	who
created	creat	created
this	this	this
group	group	group
and	and	and
gave	gave	gave
them	them	them
every	everi	every
kind	kind	kind
of	of	of
support	support	support
so	so	so
they	they	they
could	could	could
expand	expand	expand
their	their	their
malevolent	malevol	malevolent
power	power	power
in	in	in
west	west	west
Asia	asia	Asia
,	,	,
Khamenei	khamenei	Khamenei
said	said	said
in	in	in
a	a	a
statement	statement	statement
published	publish	published
on	on	on
his	his	his
official	offici	official
website	websit	website
.	.	.
In	in	In
June	june	June
Islamic	islam	Islamic
State	state	State
carried	carri	carried
out	out	out
its	it	it
first	first	first
attack	attack	attack
in	in	in
Iran	iran	Iran
,	,	,
killing	kill	killing
18	18	18
people	peopl	people
in	in	in
Tehran	tehran	Tehran
,	,	,
testing	test	testing
the	the	the
government	govern	government
s	s	s
belief	belief	belief
that	that	that
by	by	by
backing	back	backing
offensives	offens	offensive
against	against	against
the	the	the
group	group	group
elsewhere	elsewher	elsewhere
in	in	in
the	the	the
region	region	region
it	it	it
could	could	could
keep	keep	keep
the	the	the
militant	milit	militant
group	group	group
away	away	away
from	from	from
Iran	iran	Iran
.	.	.
Iranian	iranian	Iranian
media	media	medium
have	have	have
often	often	often
carried	carri	carried
video	video	video
and	and	and
pictures	pictur	picture
of	of	of
Soleimani	soleimani	Soleimani
,	,	,
who	who	who
commands	command	command
the	the	the
Quds	qud	Quds
Force	forc	Force
,	,	,
the	the	the
branch	branch	branch
of	of	of
the	the	the
Guards	guard	Guards
responsible	respons	responsible
for	for	for
operations	oper	operation
outside	outsid	outside
Iran	iran	Iran
,	,	,
at	at	at
frontline	frontlin	frontline
positions	posit	position
in	in	in
battles	battl	battle
against	against	against
Islamic	islam	Islamic
State	state	State
in	in	in
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
.	.	.
The	the	The
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
,	,	,
a	a	a
powerful	power	powerful
military	militari	military
force	forc	force
which	which	which
also	also	also
oversees	overse	oversees
an	an	an
economic	econom	economic
empire	empir	empire
worth	worth	worth
billions	billion	billion
of	of	of
dollars	dollar	dollar
,	,	,
has	has	ha
been	been	been
fighting	fight	fighting
in	in	in
support	support	support
of	of	of
Syrian	syrian	Syrian
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
and	and	and
the	the	the
central	central	central
government	govern	government
in	in	in
Baghdad	baghdad	Baghdad
for	for	for
several	sever	several
years	year	year
.	.	.
More	more	More
than	than	than
1	1	1
,	,	,
000	000	000
members	member	member
of	of	of
the	the	the
Guards	guard	Guards
,	,	,
including	includ	including
senior	senior	senior
commanders	command	commander
,	,	,
have	have	have
been	been	been
killed	kill	killed
in	in	in
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
.	.	.
The	the	The
Syrian	syrian	Syrian
conflict	conflict	conflict
has	has	ha
entered	enter	entered
a	a	a
new	new	new
phase	phase	phase
with	with	with
the	the	the
capture	captur	capture
at	at	at
the	the	the
weekend	weekend	weekend
by	by	by
government	govern	government
forces	forc	force
and	and	and
their	their	their
allies	alli	ally
of	of	of
Albu	albu	Albu
Kamal	kamal	Kamal
,	,	,
the	the	the
last	last	last
significant	signific	significant
town	town	town
in	in	in
Syria	syria	Syria
held	held	held
by	by	by
Islamic	islam	Islamic
State	state	State
,	,	,
where	where	where
Soleimani	soleimani	Soleimani
was	was	wa
pictured	pictur	pictured
by	by	by
Iranian	iranian	Iranian
media	media	medium
last	last	last
week	week	week
.	.	.
Iraqi	iraqi	Iraqi
forces	forc	force
captured	captur	captured
the	the	the
border	border	border
town	town	town
of	of	of
Rawa	rawa	Rawa
,	,	,
the	the	the
last	last	last
remaining	remain	remaining
town	town	town
there	there	there
under	under	under
Islamic	islam	Islamic
State	state	State
control	control	control
,	,	,
on	on	on
Friday	friday	Friday
,	,	,
signaling	signal	signaling
the	the	the
collapse	collaps	collapse
of	of	of
the	the	the
so	so	so
-called	-call	-called
caliphate	caliph	caliphate
it	it	it
proclaimed	proclaim	proclaimed
in	in	in
2014	2014	2014
across	across	across
vast	vast	vast
swathes	swath	swathe
of	of	of
Iraqi	iraqi	Iraqi
and	and	and
Syrian	syrian	Syrian
territory	territori	territory
.	.	.
Most	most	Most
of	of	of
the	the	the
forces	forc	force
battling	battl	battling
Islamic	islam	Islamic
State	state	State
in	in	in
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
have	have	have
said	said	said
they	they	they
expect	expect	expect
it	it	it
to	to	to
go	go	go
underground	underground	underground
and	and	and
turn	turn	turn
to	to	to
a	a	a
guerrilla	guerrilla	guerrilla
insurgency	insurg	insurgency
using	use	using
sleeper	sleeper	sleeper
cells	cell	cell
and	and	and
bombings	bomb	bombing
.	.	.
In	in	In
his	his	his
address	address	address
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Rouhani	rouhani	Rouhani
accused	accus	accused
the	the	the
United	unit	United
States	state	States
and	and	and
Israel	israel	Israel
of	of	of
supporting	support	supporting
Islamic	islam	Islamic
State	state	State
.	.	.
He	he	He
also	also	also
criticized	critic	criticized
Arab	arab	Arab
powers	power	power
in	in	in
the	the	the
region	region	region
and	and	and
asked	ask	asked
why	whi	why
they	they	they
had	had	had
not	not	not
spoken	spoken	spoken
out	out	out
about	about	about
civilian	civilian	civilian
deaths	death	death
in	in	in
Yemen	yemen	Yemen
s	s	s
conflict	conflict	conflict
.	.	.
The	the	The
foreign	foreign	foreign
ministers	minist	minister
of	of	of
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
other	other	other
Arab	arab	Arab
states	state	state
criticized	critic	criticized
Iran	iran	Iran
and	and	and
its	it	it
Lebanese	lebanes	Lebanese
Shi	shi	Shi
ite	ite	ite
ally	alli	ally
Hezbollah	hezbollah	Hezbollah
at	at	at
an	an	an
emergency	emerg	emergency
meeting	meet	meeting
in	in	in
Cairo	cairo	Cairo
on	on	on
Sunday	sunday	Sunday
,	,	,
calling	call	calling
for	for	for
a	a	a
united	unit	united
front	front	front
to	to	to
counter	counter	counter
Iranian	iranian	Iranian
interference	interfer	interference
.	.	.
Soleimani	soleimani	Soleimani
acknowledged	acknowledg	acknowledged
the	the	the
multinational	multin	multinational
force	forc	force
Iran	iran	Iran
has	has	ha
helped	help	helped
organize	organ	organize
in	in	in
the	the	the
fight	fight	fight
against	against	against
Islamic	islam	Islamic
State	state	State
and	and	and
thanked	thank	thanked
the	the	the
thousands	thousand	thousand
of	of	of
martyrs	martyr	martyr
and	and	and
wounded	wound	wounded
Iranian	iranian	Iranian
,	,	,
Iraqi	iraqi	Iraqi
,	,	,
Syrian	syrian	Syrian
,	,	,
Afghan	afghan	Afghan
and	and	and
Pakistani	pakistani	Pakistani
defenders	defend	defender
of	of	of
the	the	the
shrine	shrine	shrine
.	.	.
He	he	He
pointed	point	pointed
to	to	to
the	the	the
decisive	decis	decisive
role	role	role
played	play	played
by	by	by
Hezbollah	hezbollah	Hezbollah
and	and	and
the	the	the
group	group	group
s	s	s
leader	leader	leader
Seyed	sey	Seyed
Hassan	hassan	Hassan
Nasrallah	nasrallah	Nasrallah
and	and	and
highlighted	highlight	highlighted
the	the	the
thousands	thousand	thousand
of	of	of
Iraqi	iraqi	Iraqi
Shi	shi	Shi
ite	ite	ite
volunteers	volunt	volunteer
,	,	,
known	known	known
as	as	a
the	the	the
Popular	popular	Popular
Mobilisation	mobilis	Mobilisation
Forces	forc	Forces
,	,	,
who	who	who
have	have	have
fought	fought	fought
Islamic	islam	Islamic
State	state	State
in	in	in
Iraq	iraq	Iraq
.	.	.
On	on	On
websites	websit	website
linked	link	linked
to	to	to
the	the	the
Guards	guard	Guards
,	,	,
members	member	member
of	of	of
the	the	the
organization	organ	organization
killed	kill	killed
in	in	in
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
are	are	are
praised	prais	praised
as	as	a
protectors	protector	protector
of	of	of
Shi	shi	Shi
ite	ite	ite
holy	holi	holy
sites	site	site
and	and	and
labeled	label	labeled
defenders	defend	defender
of	of	of
the	the	the
shrine	shrine	shrine
.	.	.
Rouhani	rouhani	Rouhani
is	is	is
scheduled	schedul	scheduled
to	to	to
meet	meet	meet
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
and	and	and
Turkish	turkish	Turkish
leader	leader	leader
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
in	in	in
Russia	russia	Russia
on	on	on
Wednesday	wednesday	Wednesday
to	to	to
discuss	discuss	discus
the	the	the
Syria	syria	Syria
conflict	conflict	conflict
.	.	.
The	the	The
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
initially	initi	initially
kept	kept	kept
quiet	quiet	quiet
about	about	about
their	their	their
military	militari	military
role	role	role
in	in	in
both	both	both
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
but	but	but
have	have	have
become	becom	become
more	more	more
outspoken	outspoken	outspoken
about	about	about
it	it	it
as	as	a
casualties	casualti	casualty
have	have	have
mounted	mount	mounted
.	.	.
They	they	They
frame	frame	frame
their	their	their
engagement	engag	engagement
as	as	a
an	an	an
existential	existenti	existential
struggle	struggl	struggle
against	against	against
the	the	the
Sunni	sunni	Sunni
Muslim	muslim	Muslim
fighters	fighter	fighter
of	of	of
Islamic	islam	Islamic
State	state	State
,	,	,
who	who	who
see	see	see
Shi	shi	Shi
ites	ite	ites
,	,	,
the	the	the
majority	major	majority
of	of	of
Iran	iran	Iran
s	s	s
population	popul	population
,	,	,
as	as	a
apostates	apost	apostate
.	.	.
Last	last	Last
month	month	month
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
gave	gave	gave
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
Department	depart	Department
authority	author	authority
to	to	to
impose	impos	impose
economic	econom	economic
sanctions	sanction	sanction
on	on	on
Guards	guard	Guards
members	member	member
in	in	in
response	respons	response
to	to	to
what	what	what
Washington	washington	Washington
calls	call	call
its	it	it
efforts	effort	effort
to	to	to
destabilize	destabil	destabilize
and	and	and
undermine	undermin	undermine
its	it	it
opponents	oppon	opponent
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.
