MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
suggested	suggest	suggested
on	on	on
Thursday	thursday	Thursday
that	that	that
allegations	alleg	allegation
of	of	of
a	a	a
state	state	state
-sponsored	-sponsor	-sponsored
doping	dope	doping
program	program	program
in	in	in
Russia	russia	Russia
were	were	were
an	an	an
attempt	attempt	attempt
to	to	to
sow	sow	sow
discontent	discont	discontent
ahead	ahead	ahead
of	of	of
the	the	the
country	countri	country
s	s	s
presidential	presidenti	presidential
elections	elect	election
.	.	.

Reports	report	Reports
commissioned	commiss	commissioned
by	by	by
the	the	the
World	world	World
Anti	anti	Anti
-Doping	-dope	-Doping
Agency	agenc	Agency
WADA	wada	WADA
have	have	have
raised	rais	raised
allegations	alleg	allegation
of	of	of
the	the	the
existence	exist	existence
of	of	of
a	a	a
state	state	state
-run	-run	-run
program	program	program
that	that	that
included	includ	included
tampering	tamper	tampering
with	with	with
Russian	russian	Russian
athletes	athlet	athlete
positive	posit	positive
tests	test	test
by	by	by
laboratory	laboratori	laboratory
and	and	and
security	secur	security
officials	offici	official
at	at	at
the	the	the
2014	2014	2014
Sochi	sochi	Sochi
Games	game	Games
.	.	.

The	the	The
International	intern	International
Olympic	olymp	Olympic
Committee	committe	Committee
IOC	ioc	IOC
is	is	is
now	now	now
investigating	investig	investigating
the	the	the
allegations	alleg	allegation
and	and	and
has	has	ha
banned	ban	banned
six	six	six
cross	cross	cross
-country	-countri	-country
skiers	skier	skier
for	for	for
life	life	life
from	from	from
the	the	the
Olympics	olymp	Olympics
over	over	over
doping	dope	doping
violations	violat	violation
at	at	at
Sochi	sochi	Sochi
.	.	.

This	this	This
is	is	is
what	what	what
is	is	is
bothering	bother	bothering
me	me	me
the	the	the
Pyeongchang	pyeongchang	Pyeongchang
Winter	winter	Winter
Olympics	olymp	Olympics
start	start	start
in	in	in
February	februari	February
,	,	,
and	and	and
when	when	when
are	are	are
our	our	our
presidential	presidenti	presidential
elections	elect	election
?	?	?

In	in	In
March	march	March
,	,	,
RIA	ria	RIA
Novosti	novosti	Novosti
state	state	state
news	news	news
agency	agenc	agency
quoted	quot	quoted
Putin	putin	Putin
as	as	a
saying	say	saying
.	.	.

There	there	There
are	are	are
big	big	big
suspicions	suspicion	suspicion
that	that	that
all	all	all
this	this	this
is	is	is
being	be	being
done	done	done
to	to	to
create	creat	create
for	for	for
someone	someon	someone
the	the	the
necessary	necessari	necessary
conditions	condit	condition
for	for	for
discontent	discont	discontent
among	among	among
sport	sport	sport
lovers	lover	lover
,	,	,
athletes	athlet	athlete
.	.	.

Putin	putin	Putin
,	,	,
widely	wide	widely
expected	expect	expected
to	to	to
stand	stand	stand
in	in	in
and	and	and
win	win	win
the	the	the
elections	elect	election
,	,	,
also	also	also
suggested	suggest	suggested
the	the	the
United	unit	United
States	state	States
influence	influenc	influence
in	in	in
international	intern	international
sports	sport	sport
organizations	organ	organization
could	could	could
be	be	be
having	have	having
a	a	a
deleterious	deleteri	deleterious
effect	effect	effect
on	on	on
Russia	russia	Russia
.	.	.

Putin	putin	Putin
said	said	said
the	the	the
United	unit	United
States	state	States
was	was	wa
home	home	home
to	to	to
the	the	the
main	main	main
companies	compani	company
that	that	that
order	order	order
and	and	and
pay	pay	pay
for	for	for
television	televis	television
rights	right	right
,	,	,
the	the	the
main	main	main
sponsors	sponsor	sponsor
and	and	and
advertisers	advertis	advertiser
of	of	of
major	major	major
sporting	sport	sporting
events	event	event
.	.	.

In	in	In
retaliation	retali	retaliation
for	for	for
our	our	our
alleged	alleg	alleged
meddling	meddl	meddling
in	in	in
their	their	their
election	elect	election
,	,	,
they	they	they
the	the	the
United	unit	United
States	state	States
want	want	want
to	to	to
create	creat	create
problems	problem	problem
in	in	in
the	the	the
election	elect	election
of	of	of
the	the	the
president	presid	president
of	of	of
Russia	russia	Russia
,	,	,
Putin	putin	Putin
said	said	said
.	.	.

Last	last	Last
month	month	month
,	,	,
Putin	putin	Putin
said	said	said
the	the	the
IOC	ioc	IOC
was	was	wa
being	be	being
pressured	pressur	pressured
by	by	by
the	the	the
United	unit	United
States	state	States
to	to	to
prevent	prevent	prevent
Russia	russia	Russia
taking	take	taking
part	part	part
in	in	in
the	the	the
2018	2018	2018
Pyeongchang	pyeongchang	Pyeongchang
Winter	winter	Winter
Olympics	olymp	Olympics
.	.	.

Russia	russia	Russia
escaped	escap	escaped
a	a	a
blanket	blanket	blanket
ban	ban	ban
at	at	at
the	the	the
2016	2016	2016
Olympics	olymp	Olympics
in	in	in
Rio	rio	Rio
de	de	de
Janeiro	janeiro	Janeiro
although	although	although
it	it	it
was	was	wa
,	,	,
and	and	and
remains	remain	remains
,	,	,
barred	bar	barred
from	from	from
competing	compet	competing
in	in	in
international	intern	international
athletics	athlet	athletics
events	event	event
.	.	.

The	the	The
country	countri	country
s	s	s
Paralympic	paralymp	Paralympic
Committee	committe	Committee
and	and	and
anti	anti	anti
-doping	-dope	-doping
agency	agenc	agency
RUSADA	rusada	RUSADA
are	are	are
also	also	also
still	still	still
suspended	suspend	suspended
over	over	over
the	the	the
doping	dope	doping
scandals	scandal	scandal
.	.	.

Despite	despit	Despite
repeated	repeat	repeated
calls	call	call
for	for	for
cooperation	cooper	cooperation
with	with	with
international	intern	international
bodies	bodi	body
to	to	to
help	help	help
rid	rid	rid
Russia	russia	Russia
of	of	of
doping	dope	doping
,	,	,
the	the	the
authorities	author	authority
have	have	have
always	alway	always
denied	deni	denied
the	the	the
state	state	state
s	s	s
role	role	role
in	in	in
the	the	the
scandal	scandal	scandal
.	.	.

The	the	The
IOC	ioc	IOC
has	has	ha
said	said	said
it	it	it
will	will	will
decide	decid	decide
during	dure	during
its	it	it
executive	execut	executive
board	board	board
meeting	meet	meeting
being	be	being
held	held	held
on	on	on
Dec	dec	Dec
.	.	.

5	5	5
-7	-7	-7
on	on	on
the	the	the
participation	particip	participation
of	of	of
Russian	russian	Russian
competitors	competitor	competitor
at	at	at
the	the	the
2018	2018	2018
winter	winter	winter
games	game	game
.	.	.

