MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
Russia	russia	Russia
accused	accus	accused
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
in	in	in
Syria	syria	Syria
on	on	on
Sunday	sunday	Sunday
of	of	of
wiping	wipe	wiping
the	the	the
city	citi	city
of	of	of
Raqqa	raqqa	Raqqa
off	off	off
the	the	the
face	face	face
of	of	of
the	the	the
earth	earth	earth
with	with	with
carpet	carpet	carpet
bombing	bomb	bombing
in	in	in
the	the	the
same	same	same
way	way	way
the	the	the
United	unit	United
States	state	States
and	and	and
Britain	britain	Britain
had	had	had
bombed	bomb	bombed
Germany	germani	Germany
s	s	s
Dresden	dresden	Dresden
in	in	in
1945	1945	1945
.	.	.

The	the	The
Russian	russian	Russian
Defence	defenc	Defence
Ministry	ministri	Ministry
,	,	,
which	which	which
has	has	ha
itself	itself	itself
repeatedly	repeat	repeatedly
been	been	been
forced	forc	forced
to	to	to
deny	deni	deny
accusations	accus	accusation
from	from	from
activists	activist	activist
and	and	and
Western	western	Western
politicians	politician	politician
of	of	of
bombing	bomb	bombing
Syrian	syrian	Syrian
civilians	civilian	civilian
,	,	,
said	said	said
it	it	it
looked	look	looked
like	like	like
the	the	the
West	west	West
was	was	wa
now	now	now
rushing	rush	rushing
to	to	to
provide	provid	provide
financial	financi	financial
aid	aid	aid
to	to	to
Raqqa	raqqa	Raqqa
to	to	to
cover	cover	cover
up	up	up
evidence	evid	evidence
of	of	of
its	it	it
own	own	own
crimes	crime	crime
.	.	.

Major	major	Major
-General	-gener	-General
Igor	igor	Igor
Konashenkov	konashenkov	Konashenkov
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
Defence	defenc	Defence
Ministry	ministri	Ministry
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
around	around	around
200	200	200
,	,	,
000	000	000
people	peopl	people
had	had	had
lived	live	lived
in	in	in
Raqqa	raqqa	Raqqa
before	befor	before
the	the	the
conflict	conflict	conflict
in	in	in
Syria	syria	Syria
,	,	,
but	but	but
that	that	that
not	not	not
more	more	more
than	than	than
45	45	45
,	,	,
000	000	000
people	peopl	people
remained	remain	remained
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
militias	militia	militia
in	in	in
Syria	syria	Syria
declared	declar	declared
victory	victori	victory
over	over	over
Islamic	islam	Islamic
State	state	State
in	in	in
Raqqa	raqqa	Raqqa
,	,	,
the	the	the
group	group	group
s	s	s
capital	capit	capital
,	,	,
last	last	last
week	week	week
,	,	,
raising	rais	raising
flags	flag	flag
over	over	over
the	the	the
last	last	last
jihadist	jihadist	jihadist
footholds	foothold	foothold
after	after	after
a	a	a
four	four	four
-month	-month	-month
battle	battl	battle
.	.	.

Raqqa	raqqa	Raqqa
has	has	ha
inherited	inherit	inherited
the	the	the
fate	fate	fate
of	of	of
Dresden	dresden	Dresden
in	in	in
1945	1945	1945
,	,	,
wiped	wipe	wiped
off	off	off
the	the	the
face	face	face
of	of	of
the	the	the
earth	earth	earth
by	by	by
Anglo	anglo	Anglo
-American	-american	-American
bombardments	bombard	bombardment
,	,	,
said	said	said
Konashenkov	konashenkov	Konashenkov
.	.	.

Most	most	Most
of	of	of
the	the	the
German	german	German
city	citi	city
was	was	wa
destroyed	destroy	destroyed
in	in	in
Allied	alli	Allied
bombing	bomb	bombing
raids	raid	raid
just	just	just
before	befor	before
the	the	the
end	end	end
of	of	of
World	world	World
War	war	War
Two	two	Two
.	.	.

Though	though	Though
he	he	he
said	said	said
Russia	russia	Russia
welcomed	welcom	welcomed
Western	western	Western
promises	promis	promise
of	of	of
financial	financi	financial
aid	aid	aid
to	to	to
rebuild	rebuild	rebuild
Raqqa	raqqa	Raqqa
,	,	,
Konashenkov	konashenkov	Konashenkov
complained	complain	complained
that	that	that
numerous	numer	numerous
Russian	russian	Russian
requests	request	request
for	for	for
the	the	the
West	west	West
to	to	to
give	give	give
humanitarian	humanitarian	humanitarian
aid	aid	aid
to	to	to
Syrian	syrian	Syrian
civilians	civilian	civilian
in	in	in
other	other	other
parts	part	part
of	of	of
the	the	the
country	countri	country
had	had	had
been	been	been
rejected	reject	rejected
in	in	in
previous	previous	previous
years	year	year
.	.	.

What	what	What
is	is	is
behind	behind	behind
the	the	the
rush	rush	rush
by	by	by
Western	western	Western
capitals	capit	capital
to	to	to
provide	provid	provide
targeted	target	targeted
financial	financi	financial
help	help	help
only	onli	only
to	to	to
Raqqa	raqqa	Raqqa
?	?	?
,	,	,
said	said	said
Konashenkov	konashenkov	Konashenkov
.	.	.

There	there	There
s	s	s
only	onli	only
one	one	one
explanation	explan	explanation
-	-	-
the	the	the
desire	desir	desire
to	to	to
cover	cover	cover
up	up	up
evidence	evid	evidence
of	of	of
the	the	the
barbaric	barbar	barbaric
bombardments	bombard	bombardment
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
air	air	air
force	forc	force
and	and	and
the	the	the
coalition	coalit	coalition
as	as	a
fast	fast	fast
as	as	a
possible	possibl	possible
and	and	and
to	to	to
bury	buri	bury
the	the	the
thousands	thousand	thousand
of	of	of
civilians	civilian	civilian
liberated	liber	liberated
from	from	from
Islamic	islam	Islamic
State	state	State
in	in	in
the	the	the
ruins	ruin	ruin
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
says	say	say
it	it	it
is	is	is
careful	care	careful
to	to	to
avoid	avoid	avoid
civilian	civilian	civilian
casualties	casualti	casualty
in	in	in
its	it	it
bombing	bomb	bombing
runs	run	run
against	against	against
Islamic	islam	Islamic
State	state	State
in	in	in
both	both	both
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
,	,	,
and	and	and
investigates	investig	investigates
any	ani	any
allegations	alleg	allegation
.	.	.

It	it	It
has	has	ha
previously	previous	previously
denied	deni	denied
killing	kill	killing
civilians	civilian	civilian
in	in	in
air	air	air
strikes	strike	strike
on	on	on
Raqqa	raqqa	Raqqa
,	,	,
saying	say	saying
its	it	it
goal	goal	goal
is	is	is
zero	zero	zero
civilian	civilian	civilian
casualties	casualti	casualty
.	.	.

