CLEVELAND	cleveland	CLEVELAND
Reuters	reuter	Reuters
-	-	-
Ohio	ohio	Ohio
s	s	s
practice	practic	practice
of	of	of
rescinding	rescind	rescinding
voter	voter	voter
registrations	registr	registration
from	from	from
people	peopl	people
who	who	who
fail	fail	fail
to	to	to
cast	cast	cast
ballots	ballot	ballot
is	is	is
illegal	illeg	illegal
,	,	,
a	a	a
court	court	court
ruled	rule	ruled
on	on	on
Friday	friday	Friday
,	,	,
the	the	the
latest	latest	latest
legal	legal	legal
decision	decis	decision
affecting	affect	affecting
voting	vote	voting
rights	right	right
ahead	ahead	ahead
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
on	on	on
Nov	nov	Nov
.	.	.
8	8	8
.	.	.
The	the	The
decision	decis	decision
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Court	court	Court
of	of	of
Appeals	appeal	Appeals
for	for	for
the	the	the
Sixth	sixth	Sixth
Circuit	circuit	Circuit
in	in	in
Cincinnati	cincinnati	Cincinnati
reversed	revers	reversed
an	an	an
earlier	earlier	earlier
ruling	rule	ruling
by	by	by
a	a	a
federal	feder	federal
judge	judg	judge
in	in	in
June	june	June
and	and	and
could	could	could
lead	lead	lead
to	to	to
the	the	the
reinstatement	reinstat	reinstatement
of	of	of
thousands	thousand	thousand
of	of	of
voters	voter	voter
in	in	in
the	the	the
politically	polit	politically
crucial	crucial	crucial
swing	swing	swing
state	state	state
of	of	of
Ohio	ohio	Ohio
.	.	.
We	we	We
don	don	don
t	t	t
believe	believ	believe
that	that	that
any	ani	any
voters	voter	voter
should	should	should
be	be	be
removed	remov	removed
from	from	from
the	the	the
rolls	roll	roll
simply	simpli	simply
because	becaus	because
they	they	they
haven	haven	haven
t	t	t
voted	vote	voted
in	in	in
a	a	a
few	few	few
elections	elect	election
,	,	,
said	said	said
Mike	mike	Mike
Brickner	brickner	Brickner
,	,	,
senior	senior	senior
policy	polici	policy
director	director	director
at	at	at
the	the	the
American	american	American
Civil	civil	Civil
Liberties	liberti	Liberties
Union	union	Union
,	,	,
which	which	which
brought	brought	brought
a	a	a
lawsuit	lawsuit	lawsuit
against	against	against
the	the	the
practice	practic	practice
along	along	along
with	with	with
other	other	other
advocates	advoc	advocate
.	.	.
Voting	vote	Voting
rights	right	right
cases	case	case
have	have	have
become	becom	become
pivotal	pivot	pivotal
battlegrounds	battleground	battleground
in	in	in
the	the	the
lead	lead	lead
-up	-up	-up
to	to	to
the	the	the
hotly	hot	hotly
contested	contest	contested
presidential	presidenti	presidential
vote	vote	vote
between	between	between
Democratic	democrat	Democratic
party	parti	party
candidate	candid	candidate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
her	her	her
Republican	republican	Republican
counterpart	counterpart	counterpart
Donald	donald	Donald
Trump	trump	Trump
.	.	.
The	the	The
ACLU	aclu	ACLU
and	and	and
others	other	others
have	have	have
challenged	challeng	challenged
laws	law	law
in	in	in
Wisconsin	wisconsin	Wisconsin
,	,	,
Michigan	michigan	Michigan
,	,	,
North	north	North
Carolina	carolina	Carolina
over	over	over
voting	vote	voting
rights	right	right
issues	issu	issue
.	.	.
On	on	On
Friday	friday	Friday
Texas	texa	Texas
asked	ask	asked
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
to	to	to
reinstate	reinstat	reinstate
a	a	a
law	law	law
requiring	requir	requiring
authorized	author	authorized
identification	identif	identification
to	to	to
be	be	be
presented	present	presented
before	befor	before
a	a	a
citizen	citizen	citizen
may	may	may
vote	vote	vote
.	.	.
At	at	At
issue	issu	issue
in	in	in
the	the	the
Ohio	ohio	Ohio
case	case	case
is	is	is
a	a	a
policy	polici	policy
of	of	of
purging	purg	purging
voters	voter	voter
who	who	who
fail	fail	fail
to	to	to
cast	cast	cast
ballots	ballot	ballot
over	over	over
a	a	a
six	six	six
-year	-year	-year
period	period	period
and	and	and
do	do	do
not	not	not
respond	respond	respond
to	to	to
a	a	a
letter	letter	letter
from	from	from
the	the	the
state	state	state
asking	ask	asking
if	if	if
they	they	they
have	have	have
moved	move	moved
.	.	.
A	a	A
Reuters	reuter	Reuters
analysis	analysi	analysis
showed	show	showed
that	that	that
at	at	at
least	least	least
144	144	144
,	,	,
000	000	000
voters	voter	voter
had	had	had
been	been	been
removed	remov	removed
from	from	from
Ohio	ohio	Ohio
s	s	s
rolls	roll	roll
since	sinc	since
the	the	the
last	last	last
presidential	presidenti	presidential
election	elect	election
.	.	.
In	in	In
their	their	their
lawsuit	lawsuit	lawsuit
,	,	,
the	the	the
ACLU	aclu	ACLU
and	and	and
other	other	other
plaintiffs	plaintiff	plaintiff
argued	argu	argued
that	that	that
the	the	the
process	process	process
violates	violat	violates
federal	feder	federal
voting	vote	voting
rights	right	right
law	law	law
,	,	,
which	which	which
prohibits	prohibit	prohibits
removing	remov	removing
voters	voter	voter
from	from	from
the	the	the
rolls	roll	roll
simply	simpli	simply
because	becaus	because
they	they	they
have	have	have
been	been	been
inactive	inact	inactive
.	.	.
In	in	In
June	june	June
,	,	,
a	a	a
federal	feder	federal
judge	judg	judge
disagreed	disagre	disagreed
,	,	,
ruling	rule	ruling
that	that	that
an	an	an
exception	except	exception
in	in	in
the	the	the
law	law	law
protected	protect	protected
Ohio	ohio	Ohio
s	s	s
practice	practic	practice
.	.	.
But	but	But
the	the	the
appellate	appel	appellate
court	court	court
said	said	said
on	on	on
Friday	friday	Friday
that	that	that
because	becaus	because
the	the	the
removal	remov	removal
process	process	process
was	was	wa
triggered	trigger	triggered
solely	sole	solely
by	by	by
someone	someon	someone
s	s	s
failure	failur	failure
to	to	to
vote	vote	vote
,	,	,
it	it	it
was	was	wa
not	not	not
legal	legal	legal
.	.	.
The	the	The
appeals	appeal	appeal
court	court	court
sent	sent	sent
the	the	the
case	case	case
back	back	back
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Judge	judg	Judge
George	georg	George
C	c	C
.	.	.
Smith	smith	Smith
to	to	to
consider	consid	consider
possible	possibl	possible
remedies	remedi	remedy
,	,	,
including	includ	including
reinstating	reinstat	reinstating
all	all	all
voters	voter	voter
removed	remov	removed
under	under	under
the	the	the
process	process	process
.	.	.
Ohio	ohio	Ohio
Secretary	secretari	Secretary
of	of	of
State	state	State
Jon	jon	Jon
Husted	hust	Husted
,	,	,
a	a	a
Republican	republican	Republican
,	,	,
said	said	said
the	the	the
state	state	state
would	would	would
appeal	appeal	appeal
if	if	if
Smith	smith	Smith
orders	order	order
all	all	all
of	of	of
the	the	the
purged	purg	purged
voters	voter	voter
to	to	to
be	be	be
reinstated	reinstat	reinstated
,	,	,
arguing	argu	arguing
that	that	that
would	would	would
open	open	open
the	the	the
state	state	state
to	to	to
potential	potenti	potential
fraud	fraud	fraud
by	by	by
people	peopl	people
impersonating	imperson	impersonating
voters	voter	voter
who	who	who
have	have	have
died	die	died
or	or	or
moved	move	moved
away	away	away
.	.	.
This	this	This
ruling	rule	ruling
overturns	overturn	overturn
20	20	20
years	year	year
of	of	of
Ohio	ohio	Ohio
law	law	law
and	and	and
practice	practic	practice
,	,	,
which	which	which
has	has	ha
been	been	been
carried	carri	carried
out	out	out
by	by	by
the	the	the
last	last	last
four	four	four
Secretaries	secretari	Secretaries
of	of	of
State	state	State
,	,	,
both	both	both
Democrat	democrat	Democrat
and	and	and
Republican	republican	Republican
,	,	,
Husted	hust	Husted
said	said	said
.	.	.
