YANGON	yangon	YANGON
Reuters	reuter	Reuters
-	-	-
Myanmar	myanmar	Myanmar
s	s	s
army	armi	army
said	said	said
on	on	on
Monday	monday	Monday
that	that	that
security	secur	security
forces	forc	force
have	have	have
discovered	discov	discovered
a	a	a
mass	mass	mass
grave	grave	grave
on	on	on
the	the	the
edge	edg	edge
of	of	of
a	a	a
village	villag	village
in	in	in
Rakhine	rakhin	Rakhine
State	state	State
,	,	,
and	and	and
have	have	have
launched	launch	launched
an	an	an
investigation	investig	investigation
.	.	.

A	a	A
violent	violent	violent
crackdown	crackdown	crackdown
by	by	by
the	the	the
security	secur	security
forces	forc	force
in	in	in
response	respons	response
to	to	to
attacks	attack	attack
by	by	by
militants	milit	militant
in	in	in
the	the	the
state	state	state
has	has	ha
caused	caus	caused
around	around	around
650	650	650
,	,	,
000	000	000
Rohingya	rohingya	Rohingya
Muslims	muslim	Muslims
to	to	to
flee	flee	flee
to	to	to
Bangladesh	bangladesh	Bangladesh
in	in	in
recent	recent	recent
months	month	month
.	.	.

In	in	In
a	a	a
statement	statement	statement
posted	post	posted
on	on	on
the	the	the
Facebook	facebook	Facebook
page	page	page
of	of	of
the	the	the
military	militari	military
s	s	s
commander	command	commander
-in-chief	-in-chief	-in-chief
,	,	,
Senior	senior	Senior
General	general	General
Min	min	Min
Aung	aung	Aung
Hlaing	hla	Hlaing
,	,	,
the	the	the
army	armi	army
said	said	said
the	the	the
unidentified	unidentifi	unidentified
bodies	bodi	body
had	had	had
been	been	been
found	found	found
at	at	at
the	the	the
cemetery	cemeteri	cemetery
in	in	in
the	the	the
village	villag	village
of	of	of
Inn	inn	Inn
Din	din	Din
,	,	,
about	about	about
50	50	50
km	km	km
30	30	30
miles	mile	mile
north	north	north
of	of	of
state	state	state
capital	capit	capital
Sittwe	sittw	Sittwe
.	.	.

It	it	It
did	did	did
not	not	not
say	say	say
how	how	how
many	mani	many
bodies	bodi	body
were	were	were
uncovered	uncov	uncovered
.	.	.

A	a	A
preliminary	preliminari	preliminary
investigation	investig	investigation
was	was	wa
done	done	done
by	by	by
the	the	the
security	secur	security
forces	forc	force
following	follow	following
a	a	a
report	report	report
,	,	,
by	by	by
someone	someon	someone
who	who	who
asked	ask	asked
not	not	not
to	to	to
be	be	be
named	name	named
,	,	,
of	of	of
people	peopl	people
being	be	being
killed	kill	killed
and	and	and
buried	buri	buried
,	,	,
the	the	the
army	armi	army
said	said	said
.	.	.

As	as	As
a	a	a
result	result	result
of	of	of
the	the	the
investigations	investig	investigation
,	,	,
unidentified	unidentifi	unidentified
bodies	bodi	body
were	were	were
found	found	found
at	at	at
the	the	the
Inn	inn	Inn
Din	din	Din
village	villag	village
cemetery	cemeteri	cemetery
and	and	and
a	a	a
detailed	detail	detailed
investigation	investig	investigation
is	is	is
being	be	being
conducted	conduct	conducted
to	to	to
get	get	get
to	to	to
the	the	the
truth	truth	truth
,	,	,
according	accord	according
to	to	to
the	the	the
statement	statement	statement
on	on	on
Facebook	facebook	Facebook
,	,	,
which	which	which
the	the	the
army	armi	army
often	often	often
uses	use	us
to	to	to
make	make	make
announcements	announc	announcement
.	.	.

When	when	When
contacted	contact	contacted
by	by	by
Reuters	reuter	Reuters
,	,	,
military	militari	military
spokesman	spokesman	spokesman
Colonel	colonel	Colonel
Myat	myat	Myat
Min	min	Min
Oo	oo	Oo
declined	declin	declined
to	to	to
give	give	give
further	further	further
details	detail	detail
.	.	.

The	the	The
village	villag	village
is	is	is
in	in	in
Maungdaw	maungdaw	Maungdaw
township	township	township
,	,	,
one	one	one
of	of	of
the	the	the
areas	area	area
worst	worst	worst
affected	affect	affected
by	by	by
the	the	the
violence	violenc	violence
that	that	that
has	has	ha
prompted	prompt	prompted
the	the	the
United	unit	United
Nations	nation	Nations
top	top	top
human	human	human
rights	right	right
official	offici	official
to	to	to
allege	alleg	allege
that	that	that
Myanmar	myanmar	Myanmar
s	s	s
security	secur	security
forces	forc	force
may	may	may
have	have	have
committed	commit	committed
genocide	genocid	genocide
against	against	against
the	the	the
Rohingya	rohingya	Rohingya
.	.	.

Myanmar	myanmar	Myanmar
s	s	s
armed	arm	armed
forces	forc	force
launched	launch	launched
what	what	what
they	they	they
termed	term	termed
clearance	clearanc	clearance
operations	oper	operation
in	in	in
northern	northern	northern
Rakhine	rakhin	Rakhine
,	,	,
where	where	where
many	mani	many
of	of	of
the	the	the
stateless	stateless	stateless
Muslim	muslim	Muslim
minority	minor	minority
lived	live	lived
,	,	,
after	after	after
Rohingya	rohingya	Rohingya
militants	milit	militant
attacked	attack	attacked
30	30	30
police	polic	police
posts	post	post
and	and	and
an	an	an
army	armi	army
base	base	base
on	on	on
Aug	aug	Aug
.	.	.

25	25	25
.	.	.

Rights	right	Rights
monitors	monitor	monitor
have	have	have
accused	accus	accused
troops	troop	troop
of	of	of
atrocities	atroc	atrocity
,	,	,
including	includ	including
killings	kill	killing
,	,	,
mass	mass	mass
rape	rape	rape
and	and	and
arson	arson	arson
during	dure	during
those	those	those
operations	oper	operation
.	.	.

The	the	The
United	unit	United
States	state	States
has	has	ha
said	said	said
it	it	it
amounted	amount	amounted
to	to	to
ethnic	ethnic	ethnic
cleansing	cleans	cleansing
.	.	.

The	the	The
Myanmar	myanmar	Myanmar
military	militari	military
has	has	ha
said	said	said
its	it	it
own	own	own
internal	intern	internal
investigation	investig	investigation
had	had	had
exonerated	exoner	exonerated
security	secur	security
forces	forc	force
of	of	of
all	all	all
accusations	accus	accusation
of	of	of
atrocities	atroc	atrocity
.	.	.

Myanmar	myanmar	Myanmar
s	s	s
civilian	civilian	civilian
leader	leader	leader
,	,	,
Aung	aung	Aung
San	san	San
Suu	suu	Suu
Kyi	kyi	Kyi
,	,	,
has	has	ha
faced	face	faced
fierce	fierc	fierce
international	intern	international
criticism	critic	criticism
for	for	for
failing	fail	failing
to	to	to
do	do	do
more	more	more
to	to	to
protect	protect	protect
the	the	the
Rohingya	rohingya	Rohingya
.	.	.

The	the	The
civilian	civilian	civilian
government	govern	government
,	,	,
which	which	which
has	has	ha
no	no	no
control	control	control
over	over	over
the	the	the
military	militari	military
,	,	,
has	has	ha
said	said	said
the	the	the
army	armi	army
was	was	wa
engaged	engag	engaged
in	in	in
legitimate	legitim	legitimate
counter	counter	counter
-insurgency	-insurg	-insurgency
operations	oper	operation
.	.	.

It	it	It
has	has	ha
promised	promis	promised
to	to	to
investigate	investig	investigate
allegations	alleg	allegation
of	of	of
abuses	abus	abuse
in	in	in
Rakhine	rakhin	Rakhine
if	if	if
it	it	it
is	is	is
given	given	given
evidence	evid	evidence
.	.	.

