ERBIL	erbil	ERBIL
,	,	,
Iraq	iraq	Iraq
Reuters	reuter	Reuters
-	-	-
Iran	iran	Iran
deployed	deploy	deployed
a	a	a
dozen	dozen	dozen
tanks	tank	tank
supported	support	supported
by	by	by
artillery	artilleri	artillery
at	at	at
its	it	it
border	border	border
with	with	with
Iraq	iraq	Iraq
s	s	s
autonomous	autonom	autonomous
Kurdish	kurdish	Kurdish
region	region	region
on	on	on
Monday	monday	Monday
,	,	,
a	a	a
Kurdish	kurdish	Kurdish
official	offici	official
said	said	said
,	,	,
adding	ad	adding
that	that	that
the	the	the
move	move	move
was	was	wa
a	a	a
dangerous	danger	dangerous
escalation	escal	escalation
in	in	in
the	the	the
crisis	crisi	crisis
triggered	trigger	triggered
by	by	by
Iraqi	iraqi	Iraqi
Kurdistan	kurdistan	Kurdistan
s	s	s
independence	independ	independence
vote	vote	vote
.	.	.
The	the	The
tanks	tank	tank
can	can	can
be	be	be
seen	seen	seen
from	from	from
the	the	the
Kurdish	kurdish	Kurdish
side	side	side
,	,	,
an	an	an
official	offici	official
from	from	from
the	the	the
Kurdistan	kurdistan	Kurdistan
Regional	region	Regional
Government	govern	Government
KRG	krg	KRG
security	secur	security
council	council	council
told	told	told
Reuters	reuter	Reuters
,	,	,
adding	ad	adding
that	that	that
the	the	the
move	move	move
was	was	wa
a	a	a
dangerous	danger	dangerous
escalation	escal	escalation
.	.	.
Iraq	iraq	Iraq
s	s	s
Kurds	kurd	Kurds
overwhelmingly	overwhelm	overwhelmingly
voted	vote	voted
for	for	for
independence	independ	independence
in	in	in
a	a	a
referendum	referendum	referendum
held	held	held
one	one	one
week	week	week
ago	ago	ago
,	,	,
defying	defi	defying
the	the	the
central	central	central
government	govern	government
in	in	in
Baghdad	baghdad	Baghdad
as	as	a
well	well	well
as	as	a
neighboring	neighbor	neighboring
Turkey	turkey	Turkey
and	and	and
Iran	iran	Iran
,	,	,
which	which	which
fear	fear	fear
Kurdish	kurdish	Kurdish
separatism	separat	separatism
within	within	within
their	their	their
own	own	own
borders	border	border
.	.	.
The	the	The
deployment	deploy	deployment
at	at	at
the	the	the
Parviz	parviz	Parviz
Khan	khan	Khan
border	border	border
point	point	point
on	on	on
Monday	monday	Monday
was	was	wa
part	part	part
of	of	of
joint	joint	joint
military	militari	military
drills	drill	drill
conducted	conduct	conducted
by	by	by
the	the	the
Iranian	iranian	Iranian
and	and	and
the	the	the
Iraqi	iraqi	Iraqi
armed	arm	armed
forces	forc	force
in	in	in
response	respons	response
to	to	to
the	the	the
referendum	referendum	referendum
,	,	,
state	state	state
media	media	medium
in	in	in
Tehran	tehran	Tehran
said	said	said
.	.	.
The	the	The
exercises	exercis	exercise
began	began	began
last	last	last
Sunday	sunday	Sunday
,	,	,
according	accord	according
to	to	to
Iran	iran	Iran
s	s	s
Mehr	mehr	Mehr
news	news	news
agency	agenc	agency
.	.	.
The	the	The
KRG	krg	KRG
says	say	say
it	it	it
plans	plan	plan
to	to	to
use	use	use
the	the	the
referendum	referendum	referendum
s	s	s
result	result	result
as	as	a
a	a	a
mandate	mandat	mandate
to	to	to
negotiate	negoti	negotiate
the	the	the
peaceful	peac	peaceful
secession	secess	secession
of	of	of
the	the	the
Kurdish	kurdish	Kurdish
region	region	region
through	through	through
talks	talk	talk
with	with	with
Baghdad	baghdad	Baghdad
.	.	.
KRG	krg	KRG
President	presid	President
Masoud	masoud	Masoud
Barzani	barzani	Barzani
said	said	said
on	on	on
Monday	monday	Monday
it	it	it
was	was	wa
legitimate	legitim	legitimate
to	to	to
hold	hold	hold
the	the	the
vote	vote	vote
in	in	in
the	the	the
Kurdish	kurdish	Kurdish
areas	area	area
,	,	,
including	includ	including
in	in	in
the	the	the
multi	multi	multi
-ethnic	-ethnic	-ethnic
oil	oil	oil
city	citi	city
of	of	of
Kirkuk	kirkuk	Kirkuk
,	,	,
also	also	also
claimed	claim	claimed
by	by	by
Baghdad	baghdad	Baghdad
.	.	.
Kirkuk	kirkuk	Kirkuk
is	is	is
a	a	a
Kurdistani	kurdistani	Kurdistani
city	citi	city
which	which	which
should	should	should
become	becom	become
an	an	an
example	exampl	example
for	for	for
the	the	the
coexistence	coexist	coexistence
of	of	of
nations	nation	nation
and	and	and
religions	religion	religion
,	,	,
he	he	he
said	said	said
during	dure	during
a	a	a
visit	visit	visit
to	to	to
Kirkuk	kirkuk	Kirkuk
.	.	.
But	but	But
Baghdad	baghdad	Baghdad
has	has	ha
rejected	reject	rejected
any	ani	any
talks	talk	talk
with	with	with
the	the	the
KRG	krg	KRG
over	over	over
independence	independ	independence
.	.	.
It	it	It
demanded	demand	demanded
that	that	that
the	the	the
KRG	krg	KRG
relinquish	relinquish	relinquish
control	control	control
over	over	over
its	it	it
external	extern	external
border	border	border
crossings	cross	crossing
with	with	with
Turkey	turkey	Turkey
,	,	,
Iran	iran	Iran
and	and	and
Syria	syria	Syria
.	.	.
It	it	It
also	also	also
demanded	demand	demanded
the	the	the
KRG	krg	KRG
hand	hand	hand
over	over	over
its	it	it
airports	airport	airport
to	to	to
federal	feder	federal
control	control	control
.	.	.
When	when	When
the	the	the
KRG	krg	KRG
turned	turn	turned
down	down	down
those	those	those
demands	demand	demand
,	,	,
Iraq	iraq	Iraq
s	s	s
central	central	central
government	govern	government
imposed	impos	imposed
a	a	a
ban	ban	ban
on	on	on
international	intern	international
flights	flight	flight
to	to	to
and	and	and
from	from	from
the	the	the
region	region	region
s	s	s
two	two	two
international	intern	international
airports	airport	airport
on	on	on
Friday	friday	Friday
.	.	.
The	the	The
interior	interior	interior
ministry	ministri	ministry
said	said	said
on	on	on
Monday	monday	Monday
foreigners	foreign	foreigner
stranded	strand	stranded
in	in	in
the	the	the
Kurdish	kurdish	Kurdish
region	region	region
by	by	by
the	the	the
ban	ban	ban
would	would	would
be	be	be
allowed	allow	allowed
to	to	to
exit	exit	exit
through	through	through
Baghdad	baghdad	Baghdad
s	s	s
airport	airport	airport
without	without	without
having	have	having
to	to	to
wait	wait	wait
for	for	for
an	an	an
Iraqi	iraqi	Iraqi
visa	visa	visa
.	.	.
Many	mani	Many
nationalities	nation	nationality
,	,	,
especially	especi	especially
westerners	western	westerner
,	,	,
were	were	were
allowed	allow	allowed
into	into	into
the	the	the
KRG	krg	KRG
without	without	without
a	a	a
visa	visa	visa
.	.	.
Baghdad	baghdad	Baghdad
gained	gain	gained
the	the	the
support	support	support
of	of	of
Cairo	cairo	Cairo
s	s	s
al	al	al
-Azhar	-azhar	-Azhar
,	,	,
the	the	the
highest	highest	highest
seat	seat	seat
of	of	of
Sunni	sunni	Sunni
Muslim	muslim	Muslim
learning	learn	learning
,	,	,
on	on	on
Monday	monday	Monday
.	.	.
It	it	It
issued	issu	issued
a	a	a
statement	statement	statement
rejecting	reject	rejecting
invitations	invit	invitation
to	to	to
divide	divid	divide
Iraq	iraq	Iraq
.	.	.
Al	al	Al
-Azhar	-azhar	-Azhar
s	s	s
position	posit	position
could	could	could
help	help	help
Iraqi	iraqi	Iraqi
Prime	prime	Prime
Minister	minist	Minister
Haider	haider	Haider
al	al	al
-Abadi	-abadi	-Abadi
,	,	,
a	a	a
Shi	shi	Shi
ite	ite	ite
,	,	,
rally	ralli	rally
some	some	some
support	support	support
among	among	among
Iraq	iraq	Iraq
s	s	s
large	larg	large
Sunni	sunni	Sunni
minority	minor	minority
against	against	against
the	the	the
Kurds	kurd	Kurds
,	,	,
who	who	who
are	are	are
also	also	also
largely	larg	largely
Sunni	sunni	Sunni
.	.	.
In	in	In
another	anoth	another
effort	effort	effort
to	to	to
present	present	present
the	the	the
government	govern	government
as	as	a
inclusive	inclus	inclusive
for	for	for
all	all	all
Iraqis	iraqi	Iraqis
,	,	,
including	includ	including
Kurds	kurd	Kurds
,	,	,
state	state	state
TV	tv	TV
announced	announc	announced
on	on	on
Monday	monday	Monday
that	that	that
it	it	it
will	will	will
be	be	be
broadcasting	broadcast	broadcasting
a	a	a
daily	daili	daily
news	news	news
bulletin	bulletin	bulletin
in	in	in
Kurdish	kurdish	Kurdish
.	.	.
Iraq	iraq	Iraq
s	s	s
defense	defens	defense
ministry	ministri	ministry
said	said	said
on	on	on
Friday	friday	Friday
the	the	the
Iraqi	iraqi	Iraqi
authorities	author	authority
planned	plan	planned
to	to	to
take	take	take
control	control	control
of	of	of
the	the	the
borders	border	border
of	of	of
its	it	it
autonomous	autonom	autonomous
Kurdistan	kurdistan	Kurdistan
region	region	region
in	in	in
coordination	coordin	coordination
with	with	with
Iran	iran	Iran
and	and	and
Turkey	turkey	Turkey
.	.	.
The	the	The
statement	statement	statement
did	did	did
not	not	not
give	give	give
details	detail	detail
.	.	.
Nor	nor	Nor
did	did	did
it	it	it
indicate	indic	indicate
whether	whether	whether
Iraqi	iraqi	Iraqi
forces	forc	force
would	would	would
move	move	move
toward	toward	toward
the	the	the
border	border	border
posts	post	post
controlled	control	controlled
by	by	by
the	the	the
KRG	krg	KRG
from	from	from
the	the	the
Iranian	iranian	Iranian
and	and	and
Turkish	turkish	Turkish
side	side	side
,	,	,
or	or	or
set	set	set
up	up	up
checkpoints	checkpoint	checkpoint
in	in	in
the	the	the
vicinity	vicin	vicinity
of	of	of
these	these	these
posts	post	post
in	in	in
order	order	order
to	to	to
control	control	control
the	the	the
crossings	cross	crossing
.	.	.
Iranian	iranian	Iranian
state	state	state
television	televis	television
on	on	on
Saturday	saturday	Saturday
quoted	quot	quoted
a	a	a
military	militari	military
spokesman	spokesman	spokesman
as	as	a
saying	say	saying
Iran	iran	Iran
and	and	and
Iraq	iraq	Iraq
agreed	agre	agreed
on	on	on
measures	measur	measure
to	to	to
establish	establish	establish
border	border	border
security	secur	security
and	and	and
receive	receiv	receive
Iraqi	iraqi	Iraqi
forces	forc	force
that	that	that
are	are	are
to	to	to
be	be	be
stationed	station	stationed
at	at	at
border	border	border
posts	post	post
.	.	.
We	we	We
have	have	have
always	alway	always
respected	respect	respected
our	our	our
borders	border	border
with	with	with
our	our	our
neighbors	neighbor	neighbor
