BRUSSELS	brussel	BRUSSELS
Reuters	reuter	Reuters
-	-	-
NATO	nato	NATO
allies	alli	ally
on	on	on
Friday	friday	Friday
publicly	public	publicly
raised	rais	raised
concern	concern	concern
about	about	about
a	a	a
Russian	russian	Russian
cruise	cruis	cruise
missile	missil	missile
system	system	system
that	that	that
the	the	the
alliance	allianc	alliance
says	say	say
may	may	may
break	break	break
a	a	a
Cold	cold	Cold
War	war	War
-era	-era	-era
pact	pact	pact
banning	ban	banning
such	such	such
weapons	weapon	weapon
,	,	,
in	in	in
a	a	a
show	show	show
of	of	of
support	support	support
for	for	for
Washington	washington	Washington
.	.	.
The	the	The
United	unit	United
States	state	States
believes	believ	belief
Russia	russia	Russia
is	is	is
developing	develop	developing
a	a	a
ground	ground	ground
-launched	-launch	-launched
cruise	cruis	cruise
missile	missil	missile
system	system	system
with	with	with
a	a	a
range	rang	range
that	that	that
is	is	is
prohibited	prohibit	prohibited
by	by	by
a	a	a
1987	1987	1987
treaty	treati	treaty
,	,	,
which	which	which
could	could	could
give	give	give
Russia	russia	Russia
the	the	the
ability	abil	ability
to	to	to
launch	launch	launch
a	a	a
nuclear	nuclear	nuclear
strike	strike	strike
on	on	on
Europe	europ	Europe
on	on	on
short	short	short
notice	notic	notice
.	.	.
Allies	alli	Allies
have	have	have
identified	identifi	identified
a	a	a
Russian	russian	Russian
missile	missil	missile
system	system	system
that	that	that
raises	rais	raise
serious	serious	serious
concerns	concern	concern
,	,	,
the	the	the
North	north	North
Atlantic	atlant	Atlantic
Treaty	treati	Treaty
Organisation	organis	Organisation
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
NATO	nato	NATO
urges	urg	urge
Russia	russia	Russia
to	to	to
address	address	address
these	these	these
concerns	concern	concern
in	in	in
a	a	a
substantial	substanti	substantial
and	and	and
transparent	transpar	transparent
way	way	way
,	,	,
and	and	and
actively	activ	actively
engage	engag	engage
in	in	in
a	a	a
technical	technic	technical
dialogue	dialogu	dialogue
with	with	with
the	the	the
United	unit	United
States	state	States
.	.	.
In	in	In
a	a	a
separate	separ	separate
statement	statement	statement
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
envoy	envoy	envoy
to	to	to
NATO	nato	NATO
,	,	,
Kay	kay	Kay
Bailey	bailey	Bailey
Hutchison	hutchison	Hutchison
,	,	,
said	said	said
Russia	russia	Russia
s	s	s
behavior	behavior	behavior
raises	rais	raise
serious	serious	serious
concerns	concern	concern
.	.	.
Russia	russia	Russia
has	has	ha
denied	deni	denied
it	it	it
is	is	is
violating	violat	violating
the	the	the
1987	1987	1987
Intermediate	intermedi	Intermediate
-Range	-rang	-Range
Nuclear	nuclear	Nuclear
Forces	forc	Forces
Treaty	treati	Treaty
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
NATO	nato	NATO
s	s	s
concerns	concern	concern
are	are	are
likely	like	likely
to	to	to
further	further	further
strain	strain	strain
relations	relat	relation
between	between	between
Moscow	moscow	Moscow
and	and	and
the	the	the
West	west	West
that	that	that
are	are	are
already	alreadi	already
at	at	at
a	a	a
low	low	low
over	over	over
Russia	russia	Russia
s	s	s
2014	2014	2014
seizure	seizur	seizure
of	of	of
Crimea	crimea	Crimea
,	,	,
Western	western	Western
sanctions	sanction	sanction
on	on	on
the	the	the
Russian	russian	Russian
economy	economi	economy
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
accusations	accus	accusation
that	that	that
Moscow	moscow	Moscow
used	use	used
computer	comput	computer
hackers	hacker	hacker
to	to	to
influence	influenc	influence
the	the	the
2016	2016	2016
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
.	.	.
Moscow	moscow	Moscow
denies	deni	denies
that	that	that
it	it	it
interfered	interf	interfered
in	in	in
the	the	the
election	elect	election
.	.	.
The	the	The
NATO	nato	NATO
statement	statement	statement
follows	follow	follows
a	a	a
meeting	meet	meeting
between	between	between
Russia	russia	Russia
and	and	and
the	the	the
United	unit	United
States	state	States
in	in	in
Geneva	geneva	Geneva
this	this	this
week	week	week
to	to	to
mark	mark	mark
the	the	the
30th	30th	30th
anniversary	anniversari	anniversary
of	of	of
the	the	the
treaty	treati	treaty
between	between	between
the	the	the
United	unit	United
States	state	States
and	and	and
the	the	the
Soviet	soviet	Soviet
Union	union	Union
.	.	.
According	accord	According
to	to	to
an	an	an
April	april	April
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
report	report	report
,	,	,
Washington	washington	Washington
determined	determin	determined
in	in	in
2016	2016	2016
that	that	that
Russia	russia	Russia
was	was	wa
in	in	in
violation	violat	violation
of	of	of
its	it	it
treaty	treati	treaty
obligations	oblig	obligation
not	not	not
to	to	to
possess	possess	posse
,	,	,
produce	produc	produce
,	,	,
or	or	or
flight	flight	flight
-test	-test	-test
a	a	a
ground	ground	ground
-launched	-launch	-launched
cruise	cruis	cruise
missile	missil	missile
with	with	with
a	a	a
range	rang	range
capability	capabl	capability
of	of	of
500	500	500
km	km	km
to	to	to
5	5	5
,	,	,
500	500	500
km	km	km
310	310	310
-3	-3	-3
,	,	,
417	417	417
miles	mile	mile
,	,	,
or	or	or
to	to	to
possess	possess	posse
or	or	or
produce	produc	produce
launchers	launcher	launcher
of	of	of
such	such	such
missiles	missil	missile
.	.	.
Last	last	Last
week	week	week
,	,	,
the	the	the
State	state	State
Department	depart	Department
said	said	said
it	it	it
is	is	is
reviewing	review	reviewing
military	militari	military
options	option	option
,	,	,
including	includ	including
new	new	new
intermediate	intermedi	intermediate
-range	-rang	-range
cruise	cruis	cruise
missile	missil	missile
systems	system	system
,	,	,
the	the	the
first	first	first
response	respons	response
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
administration	administr	administration
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
charges	charg	charge
.	.	.
The	the	The
Russian	russian	Russian
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
last	last	last
week	week	week
it	it	it
was	was	wa
ready	readi	ready
for	for	for
talks	talk	talk
with	with	with
the	the	the
United	unit	United
States	state	States
to	to	to
try	tri	try
to	to	to
preserve	preserv	preserve
the	the	the
treaty	treati	treaty
and	and	and
would	would	would
comply	compli	comply
with	with	with
its	it	it
obligations	oblig	obligation
if	if	if
the	the	the
United	unit	United
States	state	States
did	did	did
.	.	.
In	in	In
a	a	a
statement	statement	statement
marking	mark	marking
the	the	the
30th	30th	30th
anniversary	anniversari	anniversary
of	of	of
the	the	the
IMF	imf	IMF
treaty	treati	treaty
last	last	last
week	week	week
,	,	,
the	the	the
Russian	russian	Russian
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
Moscow	moscow	Moscow
considered	consid	considered
the	the	the
language	languag	language
of	of	of
ultimatums	ultimatum	ultimatum
and	and	and
sanctions	sanction	sanction
unacceptable	unaccept	unacceptable
.	.	.
