BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
A	a	A
powerful	power	powerful
explosion	explos	explosion
in	in	in
a	a	a
Chinese	chines	Chinese
city	citi	city
south	south	south
of	of	of
Shanghai	shanghai	Shanghai
brought	brought	brought
down	down	down
buildings	build	building
in	in	in
a	a	a
neighborhood	neighborhood	neighborhood
marked	mark	marked
for	for	for
demolition	demolit	demolition
,	,	,
killing	kill	killing
at	at	at
least	least	least
two	two	two
people	peopl	people
,	,	,
state	state	state
television	televis	television
reported	report	reported
on	on	on
Sunday	sunday	Sunday
.	.	.
The	the	The
explosion	explos	explosion
struck	struck	struck
at	at	at
around	around	around
8	8	8
50	50	50
a	a	a
.	.	.
m	m	m
.	.	.
0050	0050	0050
GMT	gmt	GMT
in	in	in
Jiangbei	jiangbei	Jiangbei
district	district	district
in	in	in
the	the	the
port	port	port
city	citi	city
of	of	of
Ningbo	ningbo	Ningbo
in	in	in
Zhejiang	zhejiang	Zhejiang
province	provinc	province
,	,	,
China	china	China
Central	central	Central
Television	televis	Television
CCTV	cctv	CCTV
reported	report	reported
.	.	.
Police	polic	Police
said	said	said
the	the	the
cause	caus	cause
of	of	of
the	the	the
blast	blast	blast
was	was	wa
still	still	still
uncertain	uncertain	uncertain
.	.	.
A	a	A
huge	huge	huge
tremor	tremor	tremor
was	was	wa
felt	felt	felt
in	in	in
the	the	the
vicinity	vicin	vicinity
when	when	when
it	it	it
hit	hit	hit
,	,	,
CGTN	cgtn	CGTN
,	,	,
a	a	a
network	network	network
operated	oper	operated
by	by	by
CCTV	cctv	CCTV
,	,	,
wrote	wrote	wrote
on	on	on
Twitter	twitter	Twitter
.	.	.
The	the	The
force	forc	force
of	of	of
the	the	the
explosion	explos	explosion
destroyed	destroy	destroyed
the	the	the
roofs	roof	roof
of	of	of
two	two	two
buildings	build	building
at	at	at
the	the	the
site	site	site
of	of	of
the	the	the
blast	blast	blast
,	,	,
which	which	which
CCTV	cctv	CCTV
said	said	said
were	were	were
already	alreadi	already
structurally	structur	structurally
unsound	unsound	unsound
.	.	.
It	it	It
also	also	also
shattered	shatter	shattered
windows	window	window
and	and	and
punched	punch	punched
holes	hole	hole
in	in	in
the	the	the
walls	wall	wall
of	of	of
some	some	some
residential	residenti	residential
and	and	and
commercial	commerci	commercial
properties	properti	property
as	as	a
far	far	far
as	as	a
a	a	a
kilometer	kilomet	kilometer
away	away	away
.	.	.
Images	imag	Images
from	from	from
CCTV	cctv	CCTV
also	also	also
showed	show	showed
a	a	a
few	few	few
flattened	flatten	flattened
cars	car	car
and	and	and
a	a	a
low	low	low
-rise	-rise	-rise
building	build	building
with	with	with
a	a	a
collapsed	collaps	collapsed
wall	wall	wall
.	.	.
The	the	The
state	state	state
broadcaster	broadcast	broadcaster
said	said	said
two	two	two
people	peopl	people
were	were	were
killed	kill	killed
,	,	,
while	while	while
16	16	16
were	were	were
slightly	slight	slightly
wounded	wound	wounded
and	and	and
two	two	two
were	were	were
in	in	in
serious	serious	serious
condition	condit	condition
.	.	.
CCTV	cctv	CCTV
said	said	said
the	the	the
blast	blast	blast
was	was	wa
not	not	not
a	a	a
gas	gas	gas
explosion	explos	explosion
,	,	,
as	as	a
the	the	the
gas	gas	gas
pipelines	pipelin	pipeline
beneath	beneath	beneath
the	the	the
ground	ground	ground
were	were	were
no	no	no
longer	longer	longer
active	activ	active
,	,	,
citing	cite	citing
the	the	the
operator	oper	operator
of	of	of
the	the	the
pipelines	pipelin	pipeline
.	.	.
According	accord	According
to	to	to
local	local	local
Zhejiang	zhejiang	Zhejiang
Daily	daili	Daily
,	,	,
the	the	the
buildings	build	building
that	that	that
collapsed	collaps	collapsed
had	had	had
already	alreadi	already
been	been	been
cleared	clear	cleared
of	of	of
people	peopl	people
.	.	.
Police	polic	Police
told	told	told
Reuters	reuter	Reuters
the	the	the
area	area	area
had	had	had
been	been	been
marked	mark	marked
for	for	for
demolition	demolit	demolition
.	.	.
The	the	The
official	offici	official
People	peopl	People
s	s	s
Daily	daili	Daily
posted	post	posted
aerial	aerial	aerial
photographs	photograph	photograph
of	of	of
firefighters	firefight	firefighter
working	work	working
at	at	at
the	the	the
site	site	site
of	of	of
the	the	the
blast	blast	blast
-	-	-
an	an	an
open	open	open
area	area	area
of	of	of
debris	debri	debris
and	and	and
broken	broken	broken
concrete	concret	concrete
.	.	.
The	the	The
newspaper	newspap	newspaper
said	said	said
there	there	there
were	were	were
no	no	no
residents	resid	resident
at	at	at
the	the	the
site	site	site
of	of	of
the	the	the
explosion	explos	explosion
,	,	,
though	though	though
there	there	there
might	might	might
have	have	have
been	been	been
rubbish	rubbish	rubbish
collectors	collector	collector
at	at	at
work	work	work
when	when	when
the	the	the
blast	blast	blast
occurred	occur	occurred
.	.	.
Another	anoth	Another
photograph	photograph	photograph
posted	post	posted
by	by	by
People	peopl	People
s	s	s
Daily	daili	Daily
showed	show	showed
grey	grey	grey
smoke	smoke	smoke
rising	rise	rising
over	over	over
the	the	the
skyline	skylin	skyline
of	of	of
the	the	the
city	citi	city
of	of	of
Ningbo	ningbo	Ningbo
,	,	,
about	about	about
100	100	100
kilometers	kilomet	kilometer
62	62	62
miles	mile	mile
south	south	south
of	of	of
Shanghai	shanghai	Shanghai
.	.	.
Earlier	earlier	Earlier
in	in	in
the	the	the
day	day	day
,	,	,
the	the	the
official	offici	official
agency	agenc	agency
Xinhua	xinhua	Xinhua
news	news	news
agency	agenc	agency
said	said	said
the	the	the
blast	blast	blast
had	had	had
happened	happen	happened
at	at	at
a	a	a
factory	factori	factory
.	.	.
Rescue	rescu	Rescue
work	work	work
and	and	and
an	an	an
investigation	investig	investigation
into	into	into
the	the	the
cause	caus	cause
were	were	were
under	under	under
way	way	way
,	,	,
local	local	local
police	polic	police
said	said	said
on	on	on
Weibo	weibo	Weibo
.	.	.
Blasts	blast	Blasts
and	and	and
other	other	other
accidents	accid	accident
are	are	are
common	common	common
in	in	in
China	china	China
due	due	due
to	to	to
patchy	patchi	patchy
enforcement	enforc	enforcement
of	of	of
safety	safeti	safety
rules	rule	rule
,	,	,
although	although	although
the	the	the
government	govern	government
has	has	ha
pledged	pledg	pledged
to	to	to
improve	improv	improve
checks	check	check
to	to	to
try	tri	try
to	to	to
stamp	stamp	stamp
out	out	out
such	such	such
incidents	incid	incident
.	.	.
