DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
Passengers	passeng	Passengers
from	from	from
six	six	six
mainly	main	mainly
Muslim	muslim	Muslim
countries	countri	country
who	who	who
would	would	would
have	have	have
been	been	been
barred	bar	barred
from	from	from
the	the	the
United	unit	United
States	state	States
under	under	under
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
latest	latest	latest
travel	travel	travel
order	order	order
will	will	will
be	be	be
allowed	allow	allowed
to	to	to
board	board	board
U	u	U
.	.	.
S	s	S
.	.	.
-bound	-bound	-bound
flights	flight	flight
on	on	on
Emirates	emir	Emirates
and	and	and
Etihad	etihad	Etihad
Airways	airway	Airways
now	now	now
that	that	that
a	a	a
federal	feder	federal
judge	judg	judge
has	has	ha
blocked	block	blocked
it	it	it
,	,	,
the	the	the
Middle	middl	Middle
East	east	East
carriers	carrier	carrier
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.

The	the	The
executive	execut	executive
order	order	order
banning	ban	banning
refugees	refuge	refugee
and	and	and
nationals	nation	national
of	of	of
six	six	six
Muslim	muslim	Muslim
-majority	-major	-majority
countries	countri	country
from	from	from
traveling	travel	traveling
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
was	was	wa
temporarily	temporarili	temporarily
halted	halt	halted
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
hours	hour	hour
before	befor	before
it	it	it
was	was	wa
to	to	to
go	go	go
into	into	into
effect	effect	effect
,	,	,
by	by	by
a	a	a
federal	feder	federal
judge	judg	judge
in	in	in
Hawaii	hawaii	Hawaii
.	.	.

Emirates	emir	Emirates
will	will	will
follow	follow	follow
guidance	guidanc	guidance
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
Customs	custom	Customs
and	and	and
Border	border	Border
Protection	protect	Protection
,	,	,
issued	issu	issued
after	after	after
the	the	the
court	court	court
s	s	s
decision	decis	decision
,	,	,
that	that	that
citizens	citizen	citizen
of	of	of
Iran	iran	Iran
,	,	,
Libya	libya	Libya
,	,	,
Syria	syria	Syria
,	,	,
Somalia	somalia	Somalia
,	,	,
Sudan	sudan	Sudan
and	and	and
Yemen	yemen	Yemen
would	would	would
be	be	be
accepted	accept	accepted
for	for	for
travel	travel	travel
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
if	if	if
they	they	they
possessed	possess	possessed
the	the	the
necessary	necessari	necessary
travel	travel	travel
documents	document	document
,	,	,
an	an	an
airline	airlin	airline
spokeswoman	spokeswoman	spokeswoman
said	said	said
by	by	by
email	email	email
.	.	.

Etihad	etihad	Etihad
Airways	airway	Airways
will	will	will
continue	continu	continue
to	to	to
accept	accept	accept
guests	guest	guest
of	of	of
all	all	all
nationalities	nation	nationality
for	for	for
travel	travel	travel
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
provided	provid	provided
they	they	they
have	have	have
valid	valid	valid
travel	travel	travel
documents	document	document
and	and	and
,	,	,
if	if	if
necessary	necessari	necessary
,	,	,
visas	visa	visa
,	,	,
an	an	an
airline	airlin	airline
spokeswoman	spokeswoman	spokeswoman
said	said	said
.	.	.

The	the	The
Abu	abu	Abu
Dhabi	dhabi	Dhabi
-based	-base	-based
carrier	carrier	carrier
said	said	said
it	it	it
would	would	would
continue	continu	continue
to	to	to
assist	assist	assist
passengers	passeng	passenger
affected	affect	affected
by	by	by
the	the	the
recent	recent	recent
executive	execut	executive
orders	order	order
but	but	but
was	was	wa
advising	advis	advising
them	them	them
to	to	to
check	check	check
with	with	with
their	their	their
nearest	nearest	nearest
U	u	U
.	.	.
S	s	S
.	.	.
mission	mission	mission
as	as	a
U	u	U
.	.	.
S	s	S
.	.	.
travel	travel	travel
requirements	requir	requirement
are	are	are
subject	subject	subject
to	to	to
change	chang	change
.	.	.
The	the	The
Wednesday	wednesday	Wednesday
court	court	court
ruling	rule	ruling
is	is	is
only	onli	only
temporary	temporari	temporary
,	,	,
until	until	until
broader	broader	broader
arguments	argument	argument
in	in	in
the	the	the
case	case	case
can	can	can
be	be	be
heard	heard	heard
.	.	.

Trump	trump	Trump
said	said	said
it	it	it
made	made	made
the	the	the
United	unit	United
States	state	States
look	look	look
weak	weak	weak
,	,	,
and	and	and
promised	promis	promised
to	to	to
take	take	take
the	the	the
case	case	case
as	as	a
far	far	far
as	as	a
it	it	it
needs	need	need
to	to	to
go	go	go
.	.	.

A	a	A
notice	notic	notice
on	on	on
Qatar	qatar	Qatar
Airways	airway	Airways
website	websit	website
said	said	said
passengers	passeng	passenger
would	would	would
still	still	still
need	need	need
to	to	to
have	have	have
valid	valid	valid
travel	travel	travel
documents	document	document
after	after	after
the	the	the
executive	execut	executive
order	order	order
was	was	wa
enjoined	enjoin	enjoined
.	.	.
The	the	The
revised	revis	revised
order	order	order
,	,	,
which	which	which
was	was	wa
less	less	le
restrictive	restrict	restrictive
and	and	and
removed	remov	removed
Iraq	iraq	Iraq
from	from	from
Trump	trump	Trump
s	s	s
original	origin	original
list	list	list
,	,	,
was	was	wa
organized	organ	organized
in	in	in
coordination	coordin	coordination
with	with	with
airlines	airlin	airline
,	,	,
industry	industri	industry
group	group	group
IATA	iata	IATA
has	has	ha
said	said	said
,	,	,
unlike	unlik	unlike
the	the	the
initial	initi	initial
ban	ban	ban
which	which	which
came	came	came
into	into	into
immediate	immedi	immediate
effect	effect	effect
without	without	without
notice	notic	notice
.	.	.

Trump	trump	Trump
signed	sign	signed
the	the	the
new	new	new
ban	ban	ban
on	on	on
March	march	March
6	6	6
in	in	in
a	a	a
bid	bid	bid
to	to	to
overcome	overcom	overcome
legal	legal	legal
problems	problem	problem
with	with	with
the	the	the
first	first	first
order	order	order
in	in	in
January	januari	January
,	,	,
which	which	which
caused	caus	caused
chaos	chao	chaos
at	at	at
airports	airport	airport
and	and	and
sparked	spark	sparked
mass	mass	mass
protests	protest	protest
before	befor	before
a	a	a
Washington	washington	Washington
judge	judg	judge
stopped	stop	stopped
its	it	it
enforcement	enforc	enforcement
in	in	in
February	februari	February
.	.	.

