BAGHDAD	baghdad	BAGHDAD
Reuters	reuter	Reuters
-	-	-
Kurdish	kurdish	Kurdish
Peshmerga	peshmerga	Peshmerga
fighters	fighter	fighter
rejected	reject	rejected
a	a	a
warning	warn	warning
from	from	from
an	an	an
Iraqi	iraqi	Iraqi
paramilitary	paramilitari	paramilitary
force	forc	force
to	to	to
withdraw	withdraw	withdraw
from	from	from
a	a	a
strategic	strateg	strategic
junction	junction	junction
south	south	south
of	of	of
Kirkuk	kirkuk	Kirkuk
,	,	,
which	which	which
controls	control	control
access	access	access
to	to	to
some	some	some
of	of	of
the	the	the
region	region	region
s	s	s
main	main	main
oilfields	oilfield	oilfield
,	,	,
a	a	a
Kurdish	kurdish	Kurdish
security	secur	security
official	offici	official
said	said	said
on	on	on
Sunday	sunday	Sunday
.	.	.

Iran	iran	Iran
meanwhile	meanwhil	meanwhile
shut	shut	shut
its	it	it
border	border	border
crossings	cross	crossing
with	with	with
Iraq	iraq	Iraq
s	s	s
Kurdistan	kurdistan	Kurdistan
in	in	in
support	support	support
of	of	of
measures	measur	measure
taken	taken	taken
by	by	by
the	the	the
Iraqi	iraqi	Iraqi
government	govern	government
to	to	to
isolate	isol	isolate
the	the	the
Kurdish	kurdish	Kurdish
region	region	region
,	,	,
the	the	the
Iraqi	iraqi	Iraqi
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
.	.	.

The	the	The
border	border	border
closing	close	closing
came	came	came
as	as	a
an	an	an
Iranian	iranian	Iranian
military	militari	military
official	offici	official
arrived	arriv	arrived
in	in	in
Iraq	iraq	Iraq
s	s	s
Kurdistan	kurdistan	Kurdistan
for	for	for
talks	talk	talk
on	on	on
the	the	the
growing	grow	growing
crisis	crisi	crisis
between	between	between
the	the	the
Kurdish	kurdish	Kurdish
authorities	author	authority
and	and	and
the	the	the
Iraqi	iraqi	Iraqi
government	govern	government
following	follow	following
last	last	last
month	month	month
s	s	s
Kurdish	kurdish	Kurdish
independence	independ	independence
referendum	referendum	referendum
.	.	.

The	the	The
Baghdad	baghdad	Baghdad
central	central	central
government	govern	government
has	has	ha
taken	taken	taken
a	a	a
series	seri	series
of	of	of
steps	step	step
to	to	to
isolate	isol	isolate
the	the	the
autonomous	autonom	autonomous
Kurdish	kurdish	Kurdish
region	region	region
since	sinc	since
its	it	it
vote	vote	vote
for	for	for
independence	independ	independence
,	,	,
including	includ	including
banning	ban	banning
international	intern	international
flights	flight	flight
.	.	.

Baghdad	baghdad	Baghdad
s	s	s
tough	tough	tough
line	line	line
,	,	,
ruling	rule	ruling
out	out	out
talks	talk	talk
sought	sought	sought
by	by	by
the	the	the
Kurds	kurd	Kurds
unless	unless	unless
they	they	they
renounce	renounc	renounce
the	the	the
breakaway	breakaway	breakaway
move	move	move
,	,	,
is	is	is
backed	back	backed
by	by	by
neighbors	neighbor	neighbor
Turkey	turkey	Turkey
and	and	and
Iran	iran	Iran
-	-	-
both	both	both
with	with	with
their	their	their
own	own	own
sizeable	sizeabl	sizeable
Kurdish	kurdish	Kurdish
minorities	minor	minority
,	,	,
and	and	and
in	in	in
Turkey	turkey	Turkey
s	s	s
case	case	case
,	,	,
a	a	a
long	long	long
-running	-run	-running
Kurdish	kurdish	Kurdish
insurgency	insurg	insurgency
.	.	.

The	the	The
top	top	top
Kurdish	kurdish	Kurdish
leadership	leadership	leadership
met	met	met
on	on	on
Sunday	sunday	Sunday
to	to	to
discuss	discuss	discus
the	the	the
crisis	crisi	crisis
and	and	and
rejected	reject	rejected
the	the	the
Iraqi	iraqi	Iraqi
government	govern	government
s	s	s
demand	demand	demand
that	that	that
it	it	it
cancels	cancel	cancel
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
independence	independ	independence
referendum	referendum	referendum
as	as	a
a	a	a
precondition	precondit	precondition
for	for	for
talks	talk	talk
to	to	to
resolve	resolv	resolve
the	the	the
dispute	disput	dispute
.	.	.

The	the	The
vote	vote	vote
delivered	deliv	delivered
an	an	an
overwhelming	overwhelm	overwhelming
Yes	yes	Yes
for	for	for
independence	independ	independence
.	.	.

The	the	The
Iraqi	iraqi	Iraqi
government	govern	government
in	in	in
a	a	a
statement	statement	statement
accused	accus	accused
the	the	the
Kurdistan	kurdistan	Kurdistan
Regional	region	Regional
Government	govern	Government
KRG	krg	KRG
of	of	of
bringing	bring	bringing
fighters	fighter	fighter
from	from	from
Turkey	turkey	Turkey
s	s	s
separatist	separatist	separatist
Kurdistan	kurdistan	Kurdistan
Workers	worker	Workers
Party	parti	Party
PKK	pkk	PKK
to	to	to
Kirkuk	kirkuk	Kirkuk
,	,	,
describing	describ	describing
the	the	the
move	move	move
as	as	a
a	a	a
declaration	declar	declaration
of	of	of
war	war	war
.	.	.

In	in	In
the	the	the
statement	statement	statement
,	,	,
published	publish	published
after	after	after
a	a	a
meeting	meet	meeting
in	in	in
Baghdad	baghdad	Baghdad
,	,	,
chaired	chair	chaired
by	by	by
Prime	prime	Prime
Minister	minist	Minister
Haider	haider	Haider
al	al	al
-Abadi	-abadi	-Abadi
and	and	and
attended	attend	attended
by	by	by
top	top	top
military	militari	military
and	and	and
security	secur	security
commanders	command	commander
,	,	,
the	the	the
government	govern	government
said	said	said
it	it	it
would	would	would
seek	seek	seek
to	to	to
impose	impos	impose
its	it	it
authority	author	authority
over	over	over
Kirkuk	kirkuk	Kirkuk
and	and	and
other	other	other
disputed	disput	disputed
areas	area	area
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
KRG	krg	KRG
President	presid	President
Masoud	masoud	Masoud
Barzani	barzani	Barzani
,	,	,
Vahal	vahal	Vahal
Ali	ali	Ali
,	,	,
denied	deni	denied
the	the	the
Iraqi	iraqi	Iraqi
government	govern	government
claims	claim	claim
about	about	about
the	the	the
PKK	pkk	PKK
.	.	.

This	this	This
is	is	is
false	fals	false
,	,	,
there	there	there
are	are	are
no	no	no
PKK	pkk	PKK
in	in	in
Kirkuk	kirkuk	Kirkuk
,	,	,
only	onli	only
Peshmerga	peshmerga	Peshmerga
,	,	,
he	he	he
told	told	told
Reuters	reuter	Reuters
,	,	,
referring	refer	referring
to	to	to
KRG	krg	KRG
military	militari	military
forces	forc	force
.	.	.

The	the	The
Kurdish	kurdish	Kurdish
leadership	leadership	leadership
meeting	meet	meeting
,	,	,
attended	attend	attended
by	by	by
Barzani	barzani	Barzani
,	,	,
rejected	reject	rejected
the	the	the
Iraqi	iraqi	Iraqi
military	militari	military
threats	threat	threat
and	and	and
pledged	pledg	pledged
to	to	to
defend	defend	defend
Kurdish	kurdish	Kurdish
-held	-held	-held
territory	territori	territory
in	in	in
case	case	case
of	of	of
an	an	an
attack	attack	attack
.	.	.

Iraqi	iraqi	Iraqi
paramilitary	paramilitari	paramilitary
groups	group	group
backing	back	backing
the	the	the
Shi	shi	Shi
ite	ite	ite
-led	-led	-led
government	govern	government
in	in	in
Baghdad	baghdad	Baghdad
had	had	had
warned	warn	warned
the	the	the
Peshmerga	peshmerga	Peshmerga
to	to	to
leave	leav	leave
a	a	a
position	posit	position
north	north	north
of	of	of
the	the	the
Maktab	maktab	Maktab
Khalid	khalid	Khalid
junction	junction	junction
by	by	by
midnight	midnight	midnight
Saturday	saturday	Saturday
,	,	,
a	a	a
KRG	krg	KRG
security	secur	security
official	offici	official
said	said	said
.	.	.

The	the	The
Kurdish	kurdish	Kurdish
position	posit	position
north	north	north
of	of	of
the	the	the
junction	junction	junction
controls	control	control
the	the	the
access	access	access
to	to	to
an	an	an
important	import	important
airbase	airbas	airbase
and	and	and
Bai	bai	Bai
Hassan	hassan	Hassan
,	,	,
one	one	one
of	of	of
the	the	the
region	region	region
s	s	s
main	main	main
oil	oil	oil
fields	field	field
,	,	,
the	the	the
KRG	krg	KRG
official	offici	official
said	said	said
.	.	.

Ali	ali	Ali
al	al	al
-Hussaini	-hussaini	-Hussaini
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
paramilitary	paramilitari	paramilitary
groups	group	group
known	known	known
as	as	a
Popular	popular	Popular
Mobilisation	mobilis	Mobilisation
,	,	,
did	did	did
not	not	not
give	give	give
indications	indic	indication
about	about	about
their	their	their
next	next	next
move	move	move
following	follow	following
the	the	the
Kurds	kurd	Kurds
rejection	reject	rejection
of	of	of
the	the	the
warning	warn	warning
.	.	.

We	we	We
are	are	are
waiting	wait	waiting
for	for	for
new	new	new
orders	order	order
,	,	,
he	he	he
told	told	told
Reuters	reuter	Reuters
.	.	.

There	there	There
were	were	were
no	no	no
clashes	clash	clash
reported	report	reported
21	21	21
hours	hour	hour
after	after	after
the	the	the
deadline	deadlin	deadline
but	but	but
tension	tension	tension
remained	remain	remained
high	high	high
with	with	with
both	both	both
sides	side	side
mobilized	mobil	mobilized
.	.	.

Iranian	iranian	Iranian
Major	major	Major
General	general	General
Qassem	qassem	Qassem
Soleimani	soleimani	Soleimani
arrived	arriv	arrived
on	on	on
Saturday	saturday	Saturday
in	in	in
the	the	the
Kurdistan	kurdistan	Kurdistan
region	region	region
to	to	to
hold	hold	hold
talks	talk	talk
about	about	about
the	the	the
crisis	crisi	crisis
.	.	.

He	he	He
is	is	is
the	the	the
commander	command	commander
of	of	of
foreign	foreign	foreign
operations	oper	operation
for	for	for
Iran	iran	Iran
s	s	s
elite	elit	elite
Revolutionary	revolutionari	Revolutionary
Guards	guard	Guards
who	who	who
provide	provid	provide
training	train	training
and	and	and
guns	gun	gun
to	to	to
Popular	popular	Popular
Mobilisation	mobilis	Mobilisation
The	the	The
city	citi	city
of	of	of
Kirkuk	kirkuk	Kirkuk
,	,	,
the	the	the
airbase	airbas	airbase
and	and	and
their	their	their
immediate	immedi	immediate
surroundings	surround	surroundings
,	,	,
including	includ	including
the	the	the
oilfields	oilfield	oilfield
,	,	,
are	are	are
under	under	under
Kurdish	kurdish	Kurdish
control	control	control
.	.	.

Kurdish	kurdish	Kurdish
authorities	author	authority
said	said	said
on	on	on
Friday	friday	Friday
they	they	they
had	had	had
sent	sent	sent
thousands	thousand	thousand
more	more	more
troops	troop	troop
to	to	to
Kirkuk	kirkuk	Kirkuk
to	to	to
confront	confront	confront
Iraqi	iraqi	Iraqi
threats	threat	threat
.	.	.

Iraqi	iraqi	Iraqi
Prime	prime	Prime
Minister	minist	Minister
Haider	haider	Haider
al	al	al
-Abadi	-abadi	-Abadi
has	has	ha
repeatedly	repeat	repeatedly
denied	deni	denied
any	ani	any
plans	plan	plan
to	to	to
attack	attack	attack
the	the	the
Kurds	kurd	Kurds
.	.	.

Popular	popular	Popular
Mobilisation	mobilis	Mobilisation
is	is	is
a	a	a
separate	separ	separate
force	forc	force
from	from	from
the	the	the
regular	regular	regular
army	armi	army
and	and	and
officially	offici	officially
reports	report	report
to	to	to
Abadi	abadi	Abadi
.	.	.

It	it	It
is	is	is
deployed	deploy	deployed
alongside	alongsid	alongside
the	the	the
army	armi	army
south	south	south
and	and	and
west	west	west
of	of	of
Kirkuk	kirkuk	Kirkuk
.	.	.

Kirkuk	kirkuk	Kirkuk
,	,	,
a	a	a
city	citi	city
of	of	of
more	more	more
than	than	than
one	one	one
million	million	million
people	peopl	people
,	,	,
lies	lie	lie
just	just	just
outside	outsid	outside
KRG	krg	KRG
territory	territori	territory
but	but	but
Peshmerga	peshmerga	Peshmerga
forces	forc	force
were	were	were
stationed	station	stationed
there	there	there
in	in	in
2014	2014	2014
when	when	when
Iraqi	iraqi	Iraqi
security	secur	security
forces	forc	force
collapsed	collaps	collapsed
in	in	in
the	the	the
face	face	face
of	of	of
an	an	an
Islamic	islam	Islamic
State	state	State
onslaught	onslaught	onslaught
.	.	.

The	the	The
Peshmerga	peshmerga	Peshmerga
deployment	deploy	deployment
prevented	prevent	prevented
Kirkuk	kirkuk	Kirkuk
s	s	s
oilfields	oilfield	oilfield
from	from	from
falling	fall	falling
into	into	into
jihadist	jihadist	jihadist
hands	hand	hand
.	.	.

In	in	In
Washington	washington	Washington
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Defense	defens	Defense
Secretary	secretari	Secretary
Jim	jim	Jim
Mattis	matti	Mattis
said	said	said
on	on	on
Friday	friday	Friday
the	the	the
situation	situat	situation
had	had	had
the	the	the
full	full	full
attention	attent	attention
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
which	which	which
was	was	wa
working	work	working
to	to	to
ensure	ensur	ensure
it	it	it
does	doe	doe
not	not	not
escalate	escal	escalate
.	.	.

The	the	The
United	unit	United
States	state	States
has	has	ha
taken	taken	taken
the	the	the
side	side	side
of	of	of
the	the	the
Iraqi	iraqi	Iraqi
government	govern	government
in	in	in
refusing	refus	refusing
to	to	to
recognize	recogn	recognize
the	the	the
validity	valid	validity
of	of	of
the	the	the
referendum	referendum	referendum
.	.	.

