MUMBAI	mumbai	MUMBAI
Reuters	reuter	Reuters
-	-	-
Symantec	symantec	Symantec
Corp	corp	Corp
,	,	,
a	a	a
digital	digit	digital
security	secur	security
company	compani	company
,	,	,
says	say	say
it	it	it
has	has	ha
identified	identifi	identified
a	a	a
sustained	sustain	sustained
cyber	cyber	cyber
spying	spi	spying
campaign	campaign	campaign
,	,	,
likely	like	likely
state	state	state
-sponsored	-sponsor	-sponsored
,	,	,
against	against	against
Indian	indian	Indian
and	and	and
Pakistani	pakistani	Pakistani
entities	entiti	entity
involved	involv	involved
in	in	in
regional	region	regional
security	secur	security
issues	issu	issue
.	.	.

In	in	In
a	a	a
threat	threat	threat
intelligence	intellig	intelligence
report	report	report
that	that	that
was	was	wa
sent	sent	sent
to	to	to
clients	client	client
in	in	in
July	juli	July
,	,	,
Symantec	symantec	Symantec
said	said	said
the	the	the
online	onlin	online
espionage	espionag	espionage
effort	effort	effort
dated	date	dated
back	back	back
to	to	to
October	octob	October
2016	2016	2016
.	.	.

The	the	The
campaign	campaign	campaign
appeared	appear	appeared
to	to	to
be	be	be
the	the	the
work	work	work
of	of	of
several	sever	several
groups	group	group
,	,	,
but	but	but
tactics	tactic	tactic
and	and	and
techniques	techniqu	technique
used	use	used
suggest	suggest	suggest
that	that	that
the	the	the
groups	group	group
were	were	were
operating	oper	operating
with	with	with
similar	similar	similar
goals	goal	goal
or	or	or
under	under	under
the	the	the
same	same	same
sponsor	sponsor	sponsor
,	,	,
probably	probabl	probably
a	a	a
nation	nation	nation
state	state	state
,	,	,
according	accord	according
to	to	to
the	the	the
threat	threat	threat
report	report	report
,	,	,
which	which	which
was	was	wa
reviewed	review	reviewed
by	by	by
Reuters	reuter	Reuters
.	.	.

It	it	It
did	did	did
not	not	not
name	name	name
a	a	a
state	state	state
.	.	.

The	the	The
detailed	detail	detailed
report	report	report
on	on	on
the	the	the
cyber	cyber	cyber
spying	spi	spying
comes	come	come
at	at	at
a	a	a
time	time	time
of	of	of
heightened	heighten	heightened
tensions	tension	tension
in	in	in
the	the	the
region	region	region
.	.	.

India	india	India
s	s	s
military	militari	military
has	has	ha
raised	rais	raised
operational	oper	operational
readiness	readi	readiness
along	along	along
its	it	it
border	border	border
with	with	with
China	china	China
following	follow	following
a	a	a
face	face	face
-off	-off	-off
in	in	in
Bhutan	bhutan	Bhutan
near	near	near
their	their	their
disputed	disput	disputed
frontier	frontier	frontier
,	,	,
while	while	while
Indo	indo	Indo
-Pakistan	-pakistan	-Pakistan
tensions	tension	tension
are	are	are
also	also	also
simmering	simmer	simmering
over	over	over
the	the	the
disputed	disput	disputed
Kashmir	kashmir	Kashmir
region	region	region
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
Symantec	symantec	Symantec
said	said	said
the	the	the
company	compani	company
does	doe	doe
not	not	not
comment	comment	comment
publicly	public	publicly
on	on	on
the	the	the
malware	malwar	malware
analysis	analysi	analysis
,	,	,
investigations	investig	investigation
and	and	and
incident	incid	incident
response	respons	response
services	servic	service
it	it	it
provides	provid	provides
clients	client	client
.	.	.

Symantec	symantec	Symantec
did	did	did
not	not	not
identify	identifi	identify
the	the	the
likely	like	likely
sponsor	sponsor	sponsor
of	of	of
the	the	the
attack	attack	attack
.	.	.

But	but	But
it	it	it
said	said	said
that	that	that
governments	govern	government
and	and	and
militaries	militari	military
with	with	with
operations	oper	operation
in	in	in
South	south	South
Asia	asia	Asia
and	and	and
interests	interest	interest
in	in	in
regional	region	regional
security	secur	security
issues	issu	issue
would	would	would
likely	like	likely
be	be	be
at	at	at
risk	risk	risk
from	from	from
the	the	the
malware	malwar	malware
.	.	.

The	the	The
malware	malwar	malware
utilizes	util	utilizes
the	the	the
so	so	so
-called	-call	-called
Ehdoor	ehdoor	Ehdoor
backdoor	backdoor	backdoor
to	to	to
access	access	access
files	file	file
on	on	on
computers	comput	computer
.	.	.

There	there	There
was	was	wa
a	a	a
similar	similar	similar
campaign	campaign	campaign
that	that	that
targeted	target	targeted
Qatar	qatar	Qatar
using	use	using
programs	program	program
called	call	called
Spynote	spynot	Spynote
and	and	and
Revokery	revokeri	Revokery
,	,	,
said	said	said
a	a	a
security	secur	security
expert	expert	expert
,	,	,
who	who	who
requested	request	requested
anonymity	anonym	anonymity
.	.	.

They	they	They
were	were	were
backdoors	backdoor	backdoor
just	just	just
like	like	like
Ehdoor	ehdoor	Ehdoor
,	,	,
which	which	which
is	is	is
a	a	a
targeted	target	targeted
effort	effort	effort
for	for	for
South	south	South
Asia	asia	Asia
.	.	.

To	to	To
install	instal	install
the	the	the
malware	malwar	malware
,	,	,
Symantec	symantec	Symantec
found	found	found
,	,	,
the	the	the
attackers	attack	attacker
used	use	used
decoy	decoy	decoy
documents	document	document
related	relat	related
to	to	to
security	secur	security
issues	issu	issue
in	in	in
South	south	South
Asia	asia	Asia
.	.	.

The	the	The
documents	document	document
included	includ	included
reports	report	report
from	from	from
Reuters	reuter	Reuters
,	,	,
Zee	zee	Zee
News	news	News
,	,	,
and	and	and
the	the	the
Hindu	hindu	Hindu
,	,	,
and	and	and
were	were	were
related	relat	related
to	to	to
military	militari	military
issues	issu	issue
,	,	,
Kashmir	kashmir	Kashmir
,	,	,
and	and	and
an	an	an
Indian	indian	Indian
secessionist	secessionist	secessionist
movement	movement	movement
.	.	.

The	the	The
malware	malwar	malware
allows	allow	allows
spies	spi	spy
to	to	to
upload	upload	upload
and	and	and
download	download	download
files	file	file
,	,	,
carry	carri	carry
out	out	out
processes	process	process
,	,	,
log	log	log
keystrokes	keystrok	keystroke
,	,	,
identify	identifi	identify
the	the	the
target	target	target
s	s	s
location	locat	location
,	,	,
steal	steal	steal
personal	person	personal
data	data	data
,	,	,
and	and	and
take	take	take
screenshots	screenshot	screenshots
,	,	,
Symantec	symantec	Symantec
said	said	said
,	,	,
adding	ad	adding
that	that	that
the	the	the
malware	malwar	malware
was	was	wa
also	also	also
being	be	being
used	use	used
to	to	to
target	target	target
Android	android	Android
devices	devic	device
.	.	.

In	in	In
response	respons	response
to	to	to
frequent	frequent	frequent
cyber	cyber	cyber
-security	-secur	-security
incidents	incid	incident
,	,	,
India	india	India
in	in	in
February	februari	February
established	establish	established
a	a	a
center	center	center
to	to	to
help	help	help
companies	compani	company
and	and	and
individuals	individu	individual
detect	detect	detect
and	and	and
remove	remov	remove
malware	malwar	malware
.	.	.

The	the	The
center	center	center
is	is	is
operated	oper	operated
by	by	by
the	the	the
Indian	indian	Indian
Computer	comput	Computer
Emergency	emerg	Emergency
Response	respons	Response
Team	team	Team
CERT	cert	CERT
-In	-in	-In
.	.	.

Gulshan	gulshan	Gulshan
Rai	rai	Rai
,	,	,
the	the	the
director	director	director
general	general	general
of	of	of
CERT	cert	CERT
-In	-in	-In
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
specifically	specif	specifically
on	on	on
the	the	the
attack	attack	attack
cited	cite	cited
in	in	in
the	the	the
Symantec	symantec	Symantec
report	report	report
,	,	,
but	but	but
added	ad	added
We	we	We
took	took	took
prompt	prompt	prompt
action	action	action
when	when	when
we	we	we
discovered	discov	discovered
a	a	a
backdoor	backdoor	backdoor
last	last	last
October	octob	October
after	after	after
a	a	a
group	group	group
in	in	in
Singapore	singapor	Singapore
alerted	alert	alerted
us	us	u
.	.	.

He	he	He
did	did	did
not	not	not
elaborate	elabor	elaborate
.	.	.

Symantec	symantec	Symantec
s	s	s
report	report	report
said	said	said
an	an	an
investigation	investig	investigation
into	into	into
the	the	the
backdoor	backdoor	backdoor
showed	show	showed
that	that	that
it	it	it
was	was	wa
constantly	constant	constantly
being	be	being
modified	modifi	modified
to	to	to
provide	provid	provide
additional	addit	additional
capabilities	capabl	capability
for	for	for
spying	spi	spying
operations	oper	operation
.	.	.

A	a	A
senior	senior	senior
official	offici	official
with	with	with
Pakistan	pakistan	Pakistan
s	s	s
Federal	feder	Federal
Investigation	investig	Investigation
Agency	agenc	Agency
said	said	said
it	it	it
had	had	had
not	not	not
received	receiv	received
any	ani	any
reports	report	report
of	of	of
malware	malwar	malware
incidents	incid	incident
from	from	from
government	govern	government
information	inform	information
technology	technolog	technology
departments	depart	department
.	.	.

He	he	He
asked	ask	asked
not	not	not
to	to	to
be	be	be
named	name	named
due	due	due
to	to	to
the	the	the
sensitivity	sensit	sensitivity
of	of	of
the	the	the
matter	matter	matter
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
FireEye	fireey	FireEye
,	,	,
another	anoth	another
cybersecurity	cybersecur	cybersecurity
company	compani	company
,	,	,
said	said	said
that	that	that
based	base	based
on	on	on
an	an	an
initial	initi	initial
review	review	review
of	of	of
the	the	the
malware	malwar	malware
,	,	,
it	it	it
had	had	had
concluded	conclud	concluded
that	that	that
an	an	an
internet	internet	internet
protocol	protocol	protocol
address	address	address
in	in	in
Pakistan	pakistan	Pakistan
had	had	had
submitted	submit	submitted
the	the	the
malware	malwar	malware
to	to	to
a	a	a
testing	test	testing
service	servic	service
.	.	.

The	the	The
spokesman	spokesman	spokesman
requested	request	requested
anonymity	anonym	anonymity
,	,	,
citing	cite	citing
company	compani	company
policy	polici	policy
.	.	.

Another	anoth	Another
FireEye	fireey	FireEye
official	offici	official
said	said	said
the	the	the
attack	attack	attack
reported	report	reported
by	by	by
Symantec	symantec	Symantec
was	was	wa
not	not	not
surprising	surpris	surprising
.	.	.

South	south	South
Asia	asia	Asia
is	is	is
a	a	a
hotbed	hotb	hotbed
of	of	of
geopolitical	geopolit	geopolitical
tensions	tension	tension
,	,	,
and	and	and
wherever	wherev	wherever
we	we	we
find	find	find
heightened	heighten	heightened
tensions	tension	tension
we	we	we
expect	expect	expect
to	to	to
see	see	see
elevated	elev	elevated
levels	level	level
of	of	of
cyber	cyber	cyber
espionage	espionag	espionage
activity	activ	activity
,	,	,
said	said	said
Tim	tim	Tim
Wellsmore	wellsmor	Wellsmore
,	,	,
FireEye	fireey	FireEye
s	s	s
director	director	director
of	of	of
threat	threat	threat
intelligence	intellig	intelligence
for	for	for
the	the	the
Asia	asia	Asia
Pacific	pacif	Pacific
region	region	region
.	.	.

The	the	The
Symantec	symantec	Symantec
report	report	report
said	said	said
the	the	the
Ehdoor	ehdoor	Ehdoor
backdoor	backdoor	backdoor
was	was	wa
initially	initi	initially
used	use	used
in	in	in
late	late	late
2016	2016	2016
to	to	to
target	target	target
government	govern	government
,	,	,
military	militari	military
and	and	and
military	militari	military
-affiliated	-affili	-affiliated
targets	target	target
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
and	and	and
elsewhere	elsewher	elsewhere
.	.	.

