Token	Stem	Lemma
BAGHDAD	baghdad	BAGHDAD
Reuters	reuter	Reuters
The	the	The
commander	command	commander
of	of	of
Iraq	iraq	Iraq
s	s	s
biggest	biggest	biggest
Shi	shi	Shi
ite	ite	ite
Muslim	muslim	Muslim
paramilitary	paramilitari	paramilitary
group	group	group
told	told	told
its	it	it
fighters	fighter	fighter
on	on	on
Thursday	thursday	Thursday
to	to	to
take	take	take
their	their	their
orders	order	order
from	from	from
the	the	the
national	nation	national
military	militari	military
and	and	and
cut	cut	cut
their	their	their
ties	tie	tie
with	with	with
the	the	the
group	group	group
s	s	s
political	polit	political
wing	wing	wing
Hadi	hadi	Hadi
al	al	al
-Amiri	-amiri	-Amiri
leader	leader	leader
of	of	of
the	the	the
Iran	iran	Iran
-backed	-back	-backed
Badr	badr	Badr
Organisation	organis	Organisation
also	also	also
called	call	called
on	on	on
the	the	the
group	group	group
s	s	s
fighters	fighter	fighter
to	to	to
withdraw	withdraw	withdraw
from	from	from
the	the	the
cities	citi	city
under	under	under
their	their	their
control	control	control
The	the	The
move	move	move
paves	pave	pave
the	the	the
way	way	way
for	for	for
Amiri	amiri	Amiri
to	to	to
stand	stand	stand
in	in	in
parliamentary	parliamentari	parliamentary
elections	elect	election
on	on	on
May	may	May
12	12	12
Participation	particip	Participation
in	in	in
the	the	the
election	elect	election
by	by	by
members	member	member
of	of	of
Iraq	iraq	Iraq
s	s	s
Iran	iran	Iran
-backed	-back	-backed
Shi	shi	Shi
ite	ite	ite
paramilitaries	paramilitari	paramilitary
collectively	collect	collectively
known	known	known
as	as	a
Popular	popular	Popular
Mobilisation	mobilis	Mobilisation
Forces	forc	Forces
PMF	pmf	PMF
has	has	ha
been	been	been
hotly	hot	hotly
debated	debat	debated
in	in	in
Iraq	iraq	Iraq
PMF	pmf	PMF
members	member	member
cannot	cannot	cannot
run	run	run
for	for	for
office	offic	office
unless	unless	unless
they	they	they
formally	formal	formally
resign	resign	resign
their	their	their
posts	post	post
Amiri	amiri	Amiri
is	is	is
the	the	the
second	second	second
commander	command	commander
to	to	to
issue	issu	issue
such	such	such
a	a	a
call	call	call
in	in	in
as	as	a
many	mani	many
days	day	day
He	he	He
called	call	called
on	on	on
those	those	those
in	in	in
charge	charg	charge
of	of	of
his	his	his
armed	arm	armed
wing	wing	wing
to	to	to
cut	cut	cut
their	their	their
ties	tie	tie
with	with	with
the	the	the
group	group	group
s	s	s
political	polit	political
party	parti	party
which	which	which
holds	hold	hold
22	22	22
seats	seat	seat
in	in	in
the	the	the
Iraqi	iraqi	Iraqi
parliament	parliament	parliament
I	i	I
also	also	also
call	call	call
on	on	on
all	all	all
my	my	my
brothers	brother	brother
the	the	the
commanders	command	commander
of	of	of
various	various	various
formations	format	formation
to	to	to
clear	clear	clear
cities	citi	city
of	of	of
all	all	all
signs	sign	sign
of	of	of
militarisation	militaris	militarisation
he	he	he
said	said	said
in	in	in
a	a	a
speech	speech	speech
Badr	badr	Badr
which	which	which
says	say	say
it	it	it
is	is	is
loyal	loyal	loyal
to	to	to
both	both	both
Iraq	iraq	Iraq
and	and	and
Iran	iran	Iran
is	is	is
the	the	the
biggest	biggest	biggest
group	group	group
within	within	within
the	the	the
PMF	pmf	PMF
which	which	which
fought	fought	fought
alongside	alongsid	alongside
security	secur	security
forces	forc	force
against	against	against
Islamic	islam	Islamic
State	state	State
Sunni	sunni	Sunni
Muslims	muslim	Muslims
and	and	and
Kurds	kurd	Kurds
have	have	have
called	call	called
on	on	on
Prime	prime	Prime
Minister	minist	Minister
Haider	haider	Haider
al	al	al
-Abadi	-abadi	-Abadi
who	who	who
declared	declar	declared
victory	victori	victory
over	over	over
Islamic	islam	Islamic
State	state	State
last	last	last
week	week	week
to	to	to
disarm	disarm	disarm
the	the	the
PMF	pmf	PMF
which	which	which
they	they	they
say	say	say
are	are	are
responsible	respons	responsible
for	for	for
widespread	widespread	widespread
abuses	abus	abuse
The	the	The
PMF	pmf	PMF
were	were	were
officially	offici	officially
made	made	made
part	part	part
of	of	of
the	the	the
Iraqi	iraqi	Iraqi
security	secur	security
establishment	establish	establishment
by	by	by
law	law	law
and	and	and
formally	formal	formally
answer	answer	answer
to	to	to
Abadi	abadi	Abadi
in	in	in
his	his	his
capacity	capac	capacity
as	as	a
commander	command	commander
-in	-in	-in
-chief	-chief	-chief
of	of	of
the	the	the
armed	arm	armed
forces	forc	force
Abadi	abadi	Abadi
has	has	ha
said	said	said
the	the	the
state	state	state
should	should	should
have	have	have
a	a	a
monopoly	monopoli	monopoly
on	on	on
the	the	the
legitimate	legitim	legitimate
use	use	use
of	of	of
arms	arm	arm
Qais	qai	Qais
al	al	al
-Khazali	-khazali	-Khazali
head	head	head
of	of	of
Asaib	asaib	Asaib
Ahl	ahl	Ahl
al	al	al
-Haq	-haq	-Haq
announced	announc	announced
a	a	a
similar	similar	similar
move	move	move
on	on	on
Wednesday	wednesday	Wednesday
when	when	when
he	he	he
said	said	said
he	he	he
would	would	would
place	place	place
his	his	his
fighters	fighter	fighter
under	under	under
Abadi	abadi	Abadi
s	s	s
command	command	command
The	the	The
fighters	fighter	fighter
and	and	and
their	their	their
political	polit	political
wing	wing	wing
were	were	were
now	now	now
separate	separ	separate
entities	entiti	entity
he	he	he
said	said	said
Powerful	power	Powerful
Shi	shi	Shi
ite	ite	ite
cleric	cleric	cleric
Moqtada	moqtada	Moqtada
al	al	al
-Sadr	-sadr	-Sadr
set	set	set
out	out	out
conditions	condit	condition
on	on	on
Monday	monday	Monday
for	for	for
his	his	his
followers	follow	follower
to	to	to
give	give	give
the	the	the
government	govern	government
the	the	the
weapons	weapon	weapon
they	they	they
used	use	used
to	to	to
fight	fight	fight
Islamic	islam	Islamic
State	state	State
Iran	iran	Iran
-backed	-back	-backed
Harakat	harakat	Harakat
Hezbollah	hezbollah	Hezbollah
