ROME	rome	ROME
Reuters	reuter	Reuters
-	-	-
The	the	The
United	unit	United
Nations	nation	Nations
is	is	is
preparing	prepar	preparing
to	to	to
deploy	deploy	deploy
150	150	150
-250	-250	-250
mostly	most	mostly
Nepalese	nepales	Nepalese
guards	guard	guard
to	to	to
Libya	libya	Libya
to	to	to
protect	protect	protect
its	it	it
base	base	base
in	in	in
the	the	the
capital	capit	capital
as	as	a
part	part	part
of	of	of
a	a	a
plan	plan	plan
to	to	to
return	return	return
its	it	it
operations	oper	operation
to	to	to
the	the	the
country	countri	country
,	,	,
U	u	U
.	.	.
N	n	N
.	.	.
officials	offici	official
said	said	said
on	on	on
Friday	friday	Friday
.	.	.

Backed	back	Backed
by	by	by
Western	western	Western
governments	govern	government
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
is	is	is
trying	tri	trying
to	to	to
heal	heal	heal
a	a	a
rift	rift	rift
between	between	between
Libya	libya	Libya
s	s	s
rival	rival	rival
factions	faction	faction
in	in	in
order	order	order
to	to	to
stabilize	stabil	stabilize
the	the	the
country	countri	country
and	and	and
to	to	to
tackle	tackl	tackle
militant	milit	militant
violence	violenc	violence
and	and	and
people	peopl	people
-smuggling	-smuggl	-smuggling
from	from	from
Libya	libya	Libya
s	s	s
northern	northern	northern
coast	coast	coast
.	.	.

The	the	The
mission	mission	mission
has	has	ha
been	been	been
based	base	based
in	in	in
Tunis	tuni	Tunis
since	sinc	since
2014	2014	2014
,	,	,
when	when	when
fighting	fight	fighting
among	among	among
rival	rival	rival
Libyan	libyan	Libyan
brigades	brigad	brigade
forced	forc	forced
out	out	out
most	most	most
foreign	foreign	foreign
embassy	embassi	embassy
staff	staff	staff
,	,	,
but	but	but
it	it	it
has	has	ha
gradually	gradual	gradually
increased	increas	increased
its	it	it
presence	presenc	presence
in	in	in
Libya	libya	Libya
and	and	and
has	has	ha
been	been	been
planning	plan	planning
for	for	for
months	month	month
for	for	for
a	a	a
fuller	fuller	fuller
return	return	return
.	.	.

The	the	The
military	militari	military
unit	unit	unit
would	would	would
probably	probabl	probably
consist	consist	consist
of	of	of
around	around	around
150	150	150
guards	guard	guard
,	,	,
Jean	jean	Jean
-Pierre	-pierr	-Pierre
Lacroix	lacroix	Lacroix
,	,	,
U	u	U
.	.	.
N	n	N
.	.	.
Under	under	Under
-Secretary-General	-secretary-gener	-Secretary-General
for	for	for
Peacekeeping	peacekeep	Peacekeeping
Operations	oper	Operations
,	,	,
told	told	told
a	a	a
news	news	news
briefing	brief	briefing
in	in	in
Geneva	geneva	Geneva
.	.	.

Most	most	Most
will	will	will
be	be	be
Nepalese	nepales	Nepalese
.	.	.

To	to	To
make	make	make
sure	sure	sure
that	that	that
we	we	we
protect	protect	protect
our	our	our
colleagues	colleagu	colleague
as	as	a
they	they	they
deploy	deploy	deploy
in	in	in
Tripoli	tripoli	Tripoli
there	there	there
will	will	will
be	be	be
a	a	a
guard	guard	guard
unit	unit	unit
which	which	which
will	will	will
be	be	be
basically	basic	basically
U	u	U
.	.	.
N	n	N
.	.	.
military	militari	military
personnel	personnel	personnel
coming	come	coming
from	from	from
Nepal	nepal	Nepal
,	,	,
Lacroix	lacroix	Lacroix
said	said	said
.	.	.

U	u	U
.	.	.
N	n	N
.	.	.
Libya	libya	Libya
envoy	envoy	envoy
Ghassan	ghassan	Ghassan
Salame	salam	Salame
told	told	told
Italian	italian	Italian
newspaper	newspap	newspaper
La	la	La
Stampa	stampa	Stampa
that	that	that
a	a	a
little	littl	little
under	under	under
250	250	250
could	could	could
be	be	be
deployed	deploy	deployed
in	in	in
the	the	the
coming	come	coming
weeks	week	week
.	.	.

Deploying	deploy	Deploying
the	the	the
guards	guard	guard
to	to	to
the	the	the
base	base	base
in	in	in
Tripoli	tripoli	Tripoli
will	will	will
mean	mean	mean
that	that	that
around	around	around
the	the	the
beginning	begin	beginning
of	of	of
October	octob	October
we	we	we
can	can	can
carry	carri	carry
out	out	out
a	a	a
significant	signific	significant
part	part	part
of	of	of
our	our	our
work	work	work
in	in	in
Libya	libya	Libya
,	,	,
said	said	said
Salame	salam	Salame
,	,	,
who	who	who
has	has	ha
headed	head	headed
the	the	the
mission	mission	mission
since	sinc	since
June	june	June
.	.	.

A	a	A
spokesperson	spokesperson	spokesperson
for	for	for
the	the	the
mission	mission	mission
said	said	said
there	there	there
were	were	were
no	no	no
plans	plan	plan
to	to	to
send	send	send
U	u	U
.	.	.
N	n	N
.	.	.
peacekeepers	peacekeep	peacekeeper
to	to	to
Libya	libya	Libya
.	.	.

Security	secur	Security
in	in	in
Tripoli	tripoli	Tripoli
and	and	and
other	other	other
parts	part	part
of	of	of
western	western	western
Libya	libya	Libya
is	is	is
fragile	fragil	fragile
,	,	,
and	and	and
armed	arm	armed
groups	group	group
that	that	that
are	are	are
largely	larg	largely
unaccountable	unaccount	unaccountable
hold	hold	hold
power	power	power
on	on	on
the	the	the
ground	ground	ground
.	.	.

Most	most	Most
foreign	foreign	foreign
embassies	embassi	embassy
closed	close	closed
and	and	and
pulled	pull	pulled
out	out	out
their	their	their
staff	staff	staff
in	in	in
2014	2014	2014
when	when	when
heavy	heavi	heavy
fighting	fight	fighting
between	between	between
rival	rival	rival
factions	faction	faction
destroyed	destroy	destroyed
the	the	the
capital	capit	capital
s	s	s
airport	airport	airport
.	.	.

It	it	It
was	was	wa
the	the	the
worst	worst	worst
fighting	fight	fighting
since	sinc	since
the	the	the
fall	fall	fall
of	of	of
long	long	long
-time	-time	-time
leader	leader	leader
Muammar	muammar	Muammar
Gaddafi	gaddafi	Gaddafi
in	in	in
2011	2011	2011
.	.	.

Libya	libya	Libya
slipped	slip	slipped
into	into	into
turmoil	turmoil	turmoil
after	after	after
the	the	the
NATO	nato	NATO
-backed	-back	-backed
uprising	upris	uprising
that	that	that
toppled	toppl	toppled
Gaddafi	gaddafi	Gaddafi
.	.	.

A	a	A
U	u	U
.	.	.
N	n	N
.	.	.
-backed	-back	-backed
government	govern	government
set	set	set
up	up	up
in	in	in
Tripoli	tripoli	Tripoli
last	last	last
year	year	year
has	has	ha
struggled	struggl	struggled
to	to	to
assert	assert	assert
its	it	it
authority	author	authority
and	and	and
is	is	is
opposed	oppos	opposed
by	by	by
factions	faction	faction
that	that	that
control	control	control
eastern	eastern	eastern
Libya	libya	Libya
.	.	.

In	in	In
July	juli	July
,	,	,
rival	rival	rival
leaders	leader	leader
pledged	pledg	pledged
in	in	in
Paris	pari	Paris
to	to	to
work	work	work
toward	toward	toward
elections	elect	election
in	in	in
2018	2018	2018
and	and	and
a	a	a
conditional	condit	conditional
ceasefire	ceasefir	ceasefire
.	.	.

Salame	salam	Salame
said	said	said
constitutional	constitut	constitutional
and	and	and
electoral	elector	electoral
laws	law	law
would	would	would
have	have	have
to	to	to
be	be	be
written	written	written
to	to	to
ensure	ensur	ensure
any	ani	any
vote	vote	vote
brought	brought	brought
lasting	last	lasting
change	chang	change
.	.	.

We	we	We
need	need	need
to	to	to
be	be	be
sure	sure	sure
everyone	everyon	everyone
accepts	accept	accepts
the	the	the
final	final	final
result	result	result
,	,	,
he	he	he
said	said	said
.	.	.

Let	let	Let
s	s	s
not	not	not
forget	forget	forget
that	that	that
presidential	presidenti	presidential
elections	elect	election
would	would	would
be	be	be
the	the	the
first	first	first
ever	ever	ever
.	.	.

Salame	salam	Salame
also	also	also
expressed	express	expressed
frustration	frustrat	frustration
at	at	at
competing	compet	competing
international	intern	international
initiatives	initi	initiative
in	in	in
Libya	libya	Libya
,	,	,
where	where	where
regional	region	regional
and	and	and
European	european	European
powers	power	power
have	have	have
vied	vie	vied
for	for	for
influence	influenc	influence
.	.	.

I	i	I
think	think	think
the	the	the
proliferation	prolifer	proliferation
of	of	of
initiatives	initi	initiative
,	,	,
of	of	of
mediations	mediat	mediation
,	,	,
does	doe	doe
not	not	not
help	help	help
,	,	,
he	he	he
said	said	said
.	.	.

French	french	French
Foreign	foreign	Foreign
Minister	minist	Minister
Jean	jean	Jean
-Yves	-yve	-Yves
Le	le	Le
Drian	drian	Drian
said	said	said
he	he	he
hoped	hope	hoped
that	that	that
after	after	after
his	his	his
country	countri	country
s	s	s
efforts	effort	effort
a	a	a
revision	revis	revision
of	of	of
the	the	the
2015	2015	2015
U	u	U
.	.	.
N	n	N
.	.	.
-mediated	-mediat	-mediated
deal	deal	deal
that	that	that
created	creat	created
the	the	the
Tripoli	tripoli	Tripoli
government	govern	government
could	could	could
be	be	be
reached	reach	reached
under	under	under
Salame	salam	Salame
s	s	s
auspices	auspic	auspex
.	.	.

Discussion	discuss	Discussion
has	has	ha
centered	center	centered
on	on	on
reforming	reform	reforming
the	the	the
government	govern	government
s	s	s
leadership	leadership	leadership
and	and	and
power	power	power
over	over	over
military	militari	military
appointments	appoint	appointment
.	.	.

It	it	It
seems	seem	seems
that	that	that
efforts	effort	effort
are	are	are
converging	converg	converging
,	,	,
Le	le	Le
Drian	drian	Drian
told	told	told
reporters	report	reporter
during	dure	during
a	a	a
visit	visit	visit
to	to	to
Moscow	moscow	Moscow
.	.	.

