NEW	new	NEW
YORK	york	YORK
-	-	-
Presumptive	presumpt	Presumptive
Republican	republican	Republican
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
told	told	told
Reuters	reuter	Reuters
in	in	in
a	a	a
wide	wide	wide
-ranging	-rang	-ranging
interview	interview	interview
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
he	he	he
would	would	would
be	be	be
willing	will	willing
to	to	to
talk	talk	talk
to	to	to
North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
to	to	to
try	tri	try
to	to	to
stop	stop	stop
Pyongyang	pyongyang	Pyongyang
s	s	s
nuclear	nuclear	nuclear
program	program	program
.	.	.

He	he	He
also	also	also
called	call	called
for	for	for
a	a	a
renegotiation	renegoti	renegotiation
of	of	of
the	the	the
Paris	pari	Paris
climate	climat	climate
accord	accord	accord
and	and	and
said	said	said
he	he	he
would	would	would
dismantle	dismantl	dismantle
most	most	most
of	of	of
the	the	the
Dodd	dodd	Dodd
-Frank	-frank	-Frank
financial	financi	financial
regulations	regul	regulation
if	if	if
he	he	he
is	is	is
elected	elect	elected
president	presid	president
.	.	.

Here	here	Here
are	are	are
excerpts	excerpt	excerpt
of	of	of
the	the	the
interview	interview	interview
.	.	.

On	on	On
speaking	speak	speaking
to	to	to
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
I	i	I
would	would	would
speak	speak	speak
to	to	to
him	him	him
.	.	.

I	i	I
would	would	would
have	have	have
no	no	no
problem	problem	problem
speaking	speak	speaking
to	to	to
him	him	him
.	.	.

At	at	At
the	the	the
same	same	same
time	time	time
,	,	,
I	i	I
would	would	would
put	put	put
a	a	a
lot	lot	lot
of	of	of
pressure	pressur	pressure
on	on	on
China	china	China
because	becaus	because
economically	econom	economically
we	we	we
have	have	have
tremendous	tremend	tremendous
power	power	power
over	over	over
China	china	China
.	.	.

People	peopl	People
don	don	don
t	t	t
realize	realiz	realize
that	that	that
.	.	.

They	they	They
are	are	are
extracting	extract	extracting
vast	vast	vast
billions	billion	billion
of	of	of
dollars	dollar	dollar
out	out	out
of	of	of
our	our	our
country	countri	country
.	.	.

Billions	billion	Billions
.	.	.

And	and	And
we	we	we
have	have	have
tremendous	tremend	tremendous
power	power	power
over	over	over
China	china	China
.	.	.

China	china	China
can	can	can
solve	solv	solve
that	that	that
problem	problem	problem
with	with	with
one	one	one
meeting	meet	meeting
or	or	or
one	one	one
phone	phone	phone
call	call	call
.	.	.
On	on	On
breaking	break	breaking
up	up	up
big	big	big
banks	bank	bank
The	the	The
big	big	big
banks	bank	bank
aren	aren	aren
t	t	t
big	big	big
banks	bank	bank
compared	compar	compared
to	to	to
other	other	other
big	big	big
banks	bank	bank
.	.	.

In	in	In
other	other	other
words	word	word
if	if	if
you	you	you
look	look	look
at	at	at
the	the	the
big	big	big
banks	bank	bank
in	in	in
Germany	germani	Germany
or	or	or
if	if	if
you	you	you
look	look	look
at	at	at
the	the	the
big	big	big
banks	bank	bank
in	in	in
China	china	China
,	,	,
I	i	I
have	have	have
the	the	the
biggest	biggest	biggest
bank	bank	bank
in	in	in
the	the	the
world	world	world
right	right	right
downstairs	downstair	downstairs
four	four	four
or	or	or
five	five	five
floors	floor	floor
below	below	below
us	us	u
.	.	.

.	.	.
.	.	.
.	.	.

If	if	If
we	we	we
make	make	make
our	our	our
big	big	big
banks	bank	bank
too	too	too
much	much	much
not	not	not
big	big	big
,	,	,
they	they	they
won	won	won
t	t	t
be	be	be
able	abl	able
to	to	to
compete	compet	compete
with	with	with
the	the	the
banks	bank	bank
from	from	from
China	china	China
and	and	and
the	the	the
banks	bank	bank
from	from	from
Germany	germani	Germany
and	and	and
other	other	other
big	big	big
banks	bank	bank
.	.	.
On	on	On
repealing	repeal	repealing
Dodd	dodd	Dodd
-Frank	-frank	-Frank
I	i	I
m	m	m
going	go	going
to	to	to
be	be	be
making	make	making
a	a	a
statement	statement	statement
about	about	about
this	this	this
in	in	in
approximately	approxim	approximately
two	two	two
weeks	week	week
having	have	having
to	to	to
do	do	do
with	with	with
Dodd	dodd	Dodd
-Frank	-frank	-Frank
.	.	.

Much	much	Much
of	of	of
it	it	it
is	is	is
very	veri	very
bad	bad	bad
.	.	.

Much	much	Much
of	of	of
it	it	it
gives	give	give
so	so	so
much	much	much
power	power	power
to	to	to
the	the	the
regulators	regul	regulator
that	that	that
the	the	the
bankers	banker	banker
are	are	are
unable	unabl	unable
to	to	to
function	function	function
.	.	.
Dodd	dodd	Dodd
Frank	frank	Frank
has	has	ha
made	made	made
it	it	it
impossible	imposs	impossible
for	for	for
bankers	banker	banker
to	to	to
function	function	function
.	.	.

.	.	.
.	.	.
.	.	.

It	it	It
makes	make	make
it	it	it
very	veri	very
hard	hard	hard
for	for	for
bankers	banker	banker
to	to	to
loan	loan	loan
money	money	money
for	for	for
people	peopl	people
to	to	to
create	creat	create
jobs	job	job
,	,	,
for	for	for
people	peopl	people
with	with	with
businesses	busi	business
to	to	to
create	creat	create
jobs	job	job
.	.	.

And	and	And
that	that	that
has	has	ha
to	to	to
stop	stop	stop
.	.	.

And	and	And
will	will	will
there	there	there
be	be	be
bad	bad	bad
loans	loan	loan
made	made	made
?	?	?

Yes	yes	Yes
,	,	,
but	but	but
there	there	there
are	are	are
bad	bad	bad
loans	loan	loan
made	made	made
now	now	now
with	with	with
Dodd	dodd	Dodd
-Frank	-frank	-Frank
,	,	,
OK	ok	OK
,	,	,
I	i	I
mean	mean	mean
all	all	all
you	you	you
have	have	have
to	to	to
do	do	do
is	is	is
take	take	take
a	a	a
look	look	look
.	.	.
The	the	The
rules	rule	rule
and	and	and
regulations	regul	regulation
of	of	of
Dodd	dodd	Dodd
Frank	frank	Frank
have	have	have
made	made	made
it	it	it
so	so	so
impossible	imposs	impossible
to	to	to
carry	carri	carry
out	out	out
business	busi	business
and	and	and
to	to	to
,	,	,
especially	especi	especially
with	with	with
respect	respect	respect
to	to	to
lending	lend	lending
to	to	to
businesses	busi	business
who	who	who
are	are	are
going	go	going
to	to	to
employ	employ	employ
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
.	.	.

So	so	So
I	i	I
m	m	m
going	go	going
to	to	to
make	make	make
a	a	a
statement	statement	statement
about	about	about
it	it	it
.	.	.

But	but	But
Dodd	dodd	Dodd
-Frank	-frank	-Frank
I	i	I
mean	mean	mean
there	there	there
are	are	are
some	some	some
things	thing	thing
in	in	in
Dodd	dodd	Dodd
-Frank	-frank	-Frank
that	that	that
can	can	can
stay	stay	stay
but	but	but
overall	overal	overall
Dodd	dodd	Dodd
-Frank	-frank	-Frank
has	has	ha
been	been	been
very	veri	very
bad	bad	bad
.	.	.
On	on	On
tech	tech	tech
stocks	stock	stock
You	you	You
have	have	have
a	a	a
stock	stock	stock
market	market	market
that	that	that
is	is	is
very	veri	very
strange	strang	strange
.	.	.

Could	could	Could
be	be	be
a	a	a
little	littl	little
bit	bit	bit
similar	similar	similar
to	to	to
,	,	,
would	would	would
you	you	you
say	say	say
it	it	it
s	s	s
nine	nine	nine
years	year	year
ago	ago	ago
now	now	now
?	?	?

I	i	I
guess	guess	guess
it	it	it
s	s	s
sort	sort	sort
of	of	of
nine	nine	nine
years	year	year
ago	ago	ago
.	.	.

But	but	But
you	you	you
know	know	know
,	,	,
you	you	you
look	look	look
at	at	at
some	some	some
of	of	of
these	these	these
tech	tech	tech
stocks	stock	stock
that	that	that
are	are	are
so	so	so
,	,	,
so	so	so
weak	weak	weak
as	as	a
a	a	a
concept	concept	concept
and	and	and
a	a	a
company	compani	company
and	and	and
they	they	they
re	re	re
selling	sell	selling
for	for	for
so	so	so
much	much	much
money	money	money
.	.	.

And	and	And
I	i	I
would	would	would
have	have	have
said	said	said
can	can	can
that	that	that
ever	ever	ever
happen	happen	happen
again	again	again
?	?	?

I	i	I
think	think	think
that	that	that
could	could	could
happen	happen	happen
again	again	again
.	.	.
I	i	I
m	m	m
talking	talk	talking
about	about	about
companies	compani	company
that	that	that
have	have	have
never	never	never
made	made	made
any	ani	any
money	money	money
,	,	,
that	that	that
have	have	have
a	a	a
bad	bad	bad
concept	concept	concept
and	and	and
that	that	that
are	are	are
valued	valu	valued
at	at	at
billions	billion	billion
of	of	of
dollars	dollar	dollar
.	.	.

So	so	So
here	here	here
we	we	we
go	go	go
again	again	again
.	.	.
On	on	On
auditing	audit	auditing
the	the	the
Fed	fed	Fed
I	i	I
think	think	think
number	number	number
one	one	one
,	,	,
the	the	the
Federal	feder	Federal
Reserve	reserv	Reserve
should	should	should
be	be	be
audited	audit	audited
.	.	.

You	you	You
know	know	know
,	,	,
they	they	they
re	re	re
not	not	not
auditing	audit	auditing
it	it	it
.	.	.

And	and	And
so	so	so
far	far	far
not	not	not
too	too	too
many	mani	many
people	peopl	people
have	have	have
been	been	been
able	abl	able
to	to	to
tell	tell	tell
me	me	me
why	whi	why
.	.	.

I	i	I
m	m	m
not	not	not
one	one	one
that	that	that
says	say	say
we	we	we
should	should	should
get	get	get
rid	rid	rid
of	of	of
the	the	the
Federal	feder	Federal
Reserve	reserv	Reserve
because	becaus	because
I	i	I
think	think	think
the	the	the
Federal	feder	Federal
Reserve	reserv	Reserve
has	has	ha
an	an	an
important	import	important
function	function	function
,	,	,
but	but	but
it	it	it
should	should	should
certainly	certain	certainly
be	be	be
audited	audit	audited
and	and	and
.	.	.
.	.	.
.	.	.

we	we	we
should	should	should
at	at	at
least	least	least
watch	watch	watch
what	what	what
they	they	they
re	re	re
doing	do	doing
from	from	from
the	the	the
dollar	dollar	dollar
