BRUSSELS	brussel	BRUSSELS
Reuters	reuter	Reuters
-	-	-
Catalonia	catalonia	Catalonia
s	s	s
separatist	separatist	separatist
leader	leader	leader
Carles	carl	Carles
Puigdemont	puigdemont	Puigdemont
called	call	called
on	on	on
Spain	spain	Spain
s	s	s
government	govern	government
on	on	on
Saturday	saturday	Saturday
to	to	to
allow	allow	allow
him	him	him
to	to	to
return	return	return
home	home	home
in	in	in
time	time	time
for	for	for
the	the	the
opening	open	opening
session	session	session
of	of	of
the	the	the
Catalan	catalan	Catalan
parliament	parliament	parliament
so	so	so
that	that	that
he	he	he
can	can	can
become	becom	become
the	the	the
region	region	region
s	s	s
next	next	next
president	presid	president
.	.	.
Puigdemont	puigdemont	Puigdemont
,	,	,
who	who	who
ruled	rule	ruled
in	in	in
Catalonia	catalonia	Catalonia
until	until	until
October	octob	October
and	and	and
faces	face	face
arrest	arrest	arrest
in	in	in
Spain	spain	Spain
for	for	for
his	his	his
role	role	role
in	in	in
organizing	organ	organizing
an	an	an
illegal	illeg	illegal
referendum	referendum	referendum
on	on	on
independence	independ	independence
and	and	and
proclaiming	proclaim	proclaiming
a	a	a
Catalan	catalan	Catalan
republic	republ	republic
,	,	,
is	is	is
currently	current	currently
in	in	in
self	self	self
-imposed	-impos	-imposed
exile	exil	exile
in	in	in
Belgium	belgium	Belgium
.	.	.
Separatist	separatist	Separatist
parties	parti	party
secured	secur	secured
a	a	a
parliamentary	parliamentari	parliamentary
majority	major	majority
in	in	in
a	a	a
regional	region	regional
election	elect	election
on	on	on
Thursday	thursday	Thursday
,	,	,
though	though	though
it	it	it
is	is	is
still	still	still
unclear	unclear	unclear
whether	whether	whether
Puigdemont	puigdemont	Puigdemont
and	and	and
other	other	other
jailed	jail	jailed
leaders	leader	leader
of	of	of
the	the	the
movement	movement	movement
will	will	will
be	be	be
able	abl	able
to	to	to
attend	attend	attend
assembly	assembl	assembly
sessions	session	session
.	.	.
I	i	I
want	want	want
to	to	to
come	come	come
back	back	back
to	to	to
Catalonia	catalonia	Catalonia
as	as	a
soon	soon	soon
as	as	a
possible	possibl	possible
.	.	.
I	i	I
would	would	would
like	like	like
to	to	to
come	come	come
back	back	back
right	right	right
now	now	now
.	.	.
It	it	It
would	would	would
be	be	be
good	good	good
news	news	news
for	for	for
Spain	spain	Spain
,	,	,
Puigdemont	puigdemont	Puigdemont
told	told	told
Reuters	reuter	Reuters
in	in	in
an	an	an
interview	interview	interview
.	.	.
Asked	ask	Asked
if	if	if
he	he	he
would	would	would
be	be	be
back	back	back
in	in	in
time	time	time
for	for	for
the	the	the
opening	open	opening
session	session	session
which	which	which
has	has	ha
to	to	to
take	take	take
place	place	place
at	at	at
the	the	the
latest	latest	latest
on	on	on
January	januari	January
23	23	23
,	,	,
he	he	he
said	said	said
It	it	It
would	would	would
be	be	be
natural	natur	natural
.	.	.
If	if	If
I	i	I
am	am	am
not	not	not
allowed	allow	allowed
to	to	to
be	be	be
sworn	sworn	sworn
in	in	in
as	as	a
president	presid	president
,	,	,
it	it	it
would	would	would
be	be	be
a	a	a
major	major	major
abnormality	abnorm	abnormality
for	for	for
the	the	the
Spanish	spanish	Spanish
democratic	democrat	democratic
system	system	system
.	.	.
I	i	I
am	am	am
the	the	the
president	presid	president
of	of	of
the	the	the
regional	region	regional
government	govern	government
and	and	and
I	i	I
will	will	will
remain	remain	remain
the	the	the
president	presid	president
if	if	if
the	the	the
Spanish	spanish	Spanish
state	state	state
respects	respect	respect
the	the	the
results	result	result
of	of	of
the	the	the
vote	vote	vote
,	,	,
he	he	he
also	also	also
said	said	said
.	.	.
Puigdemont	puigdemont	Puigdemont
,	,	,
who	who	who
has	has	ha
called	call	called
for	for	for
dialogue	dialogu	dialogue
with	with	with
the	the	the
Spanish	spanish	Spanish
government	govern	government
to	to	to
resolve	resolv	resolve
the	the	the
current	current	current
tensions	tension	tension
between	between	between
the	the	the
turbulent	turbul	turbulent
region	region	region
and	and	and
the	the	the
authorities	author	authority
in	in	in
Madrid	madrid	Madrid
,	,	,
said	said	said
he	he	he
was	was	wa
ready	readi	ready
to	to	to
listen	listen	listen
to	to	to
any	ani	any
proposal	propos	proposal
from	from	from
Prime	prime	Prime
Minister	minist	Minister
Mariano	mariano	Mariano
Rajoy	rajoy	Rajoy
even	even	even
if	if	if
this	this	this
offer	offer	offer
fell	fell	fell
short	short	short
of	of	of
an	an	an
offer	offer	offer
of	of	of
independence	independ	independence
.	.	.
If	if	If
the	the	the
Spanish	spanish	Spanish
state	state	state
has	has	ha
a	a	a
proposal	propos	proposal
for	for	for
Catalonia	catalonia	Catalonia
,	,	,
we	we	we
should	should	should
listen	listen	listen
,	,	,
Puigdemont	puigdemont	Puigdemont
said	said	said
,	,	,
asking	ask	asking
for	for	for
a	a	a
dialogue	dialogu	dialogue
of	of	of
equals	equal	equal
.	.	.
Rajoy	rajoy	Rajoy
on	on	on
Friday	friday	Friday
said	said	said
he	he	he
was	was	wa
open	open	open
to	to	to
dialogue	dialogu	dialogue
but	but	but
implicitly	implicit	implicitly
rejected	reject	rejected
Puigdemont	puigdemont	Puigdemont
s	s	s
demand	demand	demand
to	to	to
meet	meet	meet
soon	soon	soon
,	,	,
saying	say	saying
he	he	he
would	would	would
talk	talk	talk
with	with	with
whoever	whoever	whoever
was	was	wa
Catalonia	catalonia	Catalonia
s	s	s
president	presid	president
only	onli	only
once	onc	once
they	they	they
have	have	have
been	been	been
elected	elect	elected
by	by	by
the	the	the
new	new	new
regional	region	regional
parliament	parliament	parliament
.	.	.
Before	befor	Before
that	that	that
,	,	,
his	his	his
first	first	first
interlocutor	interlocutor	interlocutor
should	should	should
be	be	be
Ines	ine	Ines
Arrimadas	arrimada	Arrimadas
,	,	,
whose	whose	whose
centrist	centrist	centrist
,	,	,
anti	anti	anti
-independence	-independ	-independence
party	parti	party
scored	score	scored
most	most	most
votes	vote	vote
on	on	on
Thursday	thursday	Thursday
,	,	,
he	he	he
said	said	said
.	.	.
Arrimadas	arrimada	Arrimadas
does	doe	doe
not	not	not
have	have	have
enough	enough	enough
seats	seat	seat
or	or	or
allies	alli	ally
to	to	to
form	form	form
a	a	a
government	govern	government
,	,	,
while	while	while
separatist	separatist	separatist
parties	parti	party
put	put	put
together	togeth	together
have	have	have
a	a	a
narrow	narrow	narrow
majority	major	majority
.	.	.
Past	past	Past
calls	call	call
for	for	for
dialogue	dialogu	dialogue
on	on	on
both	both	both
the	the	the
separatist	separatist	separatist
and	and	and
unionist	unionist	unionist
side	side	side
in	in	in
the	the	the
past	past	past
have	have	have
failed	fail	failed
to	to	to
yield	yield	yield
concrete	concret	concrete
results	result	result
and	and	and
the	the	the
crisis	crisi	crisis
is	is	is
likely	like	likely
to	to	to
keep	keep	keep
haunting	haunt	haunting
Madrid	madrid	Madrid
,	,	,
as	as	a
well	well	well
as	as	a
EU	eu	EU
leaders	leader	leader
,	,	,
for	for	for
a	a	a
long	long	long
time	time	time
.	.	.
Negotiations	negoti	Negotiations
to	to	to
form	form	form
a	a	a
government	govern	government
in	in	in
Catalonia	catalonia	Catalonia
are	are	are
likely	like	likely
to	to	to
open	open	open
after	after	after
Jan	jan	Jan
.	.	.
6	6	6
following	follow	following
the	the	the
holiday	holiday	holiday
break	break	break
.	.	.
Parliament	parliament	Parliament
must	must	must
vote	vote	vote
by	by	by
Feb	feb	Feb
.	.	.
8	8	8
on	on	on
putting	put	putting
a	a	a
new	new	new
government	govern	government
into	into	into
place	place	place
.	.	.
