BAMAKO	bamako	BAMAKO
Reuters	reuter	Reuters
-	-	-
Four	four	Four
United	unit	United
Nations	nation	Nations
peacekeepers	peacekeep	peacekeeper
and	and	and
a	a	a
Malian	malian	Malian
soldier	soldier	soldier
were	were	were
killed	kill	killed
and	and	and
21	21	21
people	peopl	people
were	were	were
wounded	wound	wounded
in	in	in
two	two	two
separate	separ	separate
attacks	attack	attack
by	by	by
unknown	unknown	unknown
assailants	assail	assailant
in	in	in
Mali	mali	Mali
on	on	on
Friday	friday	Friday
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
mission	mission	mission
there	there	there
said	said	said
.	.	.

Regional	region	Regional
armies	armi	army
,	,	,
U	u	U
.	.	.
N	n	N
.	.	.
forces	forc	force
and	and	and
French	french	French
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
soldiers	soldier	soldier
are	are	are
struggling	struggl	struggling
to	to	to
halt	halt	halt
the	the	the
growing	grow	growing
influence	influenc	influence
of	of	of
Islamist	islamist	Islamist
militants	milit	militant
,	,	,
some	some	some
with	with	with
links	link	link
to	to	to
al	al	al
Qaeda	qaeda	Qaeda
and	and	and
Islamic	islam	Islamic
State	state	State
,	,	,
in	in	in
West	west	West
Africa	africa	Africa
s	s	s
Sahel	sahel	Sahel
region	region	region
.	.	.

Mali	mali	Mali
s	s	s
U	u	U
.	.	.
N	n	N
.	.	.
mission	mission	mission
,	,	,
MINUSMA	minusma	MINUSMA
,	,	,
has	has	ha
suffered	suffer	suffered
the	the	the
highest	highest	highest
number	number	number
of	of	of
fatalities	fatal	fatality
among	among	among
current	current	current
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeping	peacekeep	peacekeeping
operations	oper	operation
.	.	.

I	i	I
condemn	condemn	condemn
in	in	in
the	the	the
strongest	strongest	strongest
terms	term	term
this	this	this
attack	attack	attack
that	that	that
has	has	ha
once	onc	once
again	again	again
befallen	befallen	befallen
the	the	the
MINUSMA	minusma	MINUSMA
force	forc	force
as	as	a
well	well	well
as	as	a
the	the	the
Malian	malian	Malian
army	armi	army
,	,	,
U	u	U
.	.	.
N	n	N
.	.	.
mission	mission	mission
head	head	head
Mahamat	mahamat	Mahamat
Saleh	saleh	Saleh
Annadif	annadif	Annadif
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

In	in	In
the	the	the
first	first	first
incident	incid	incident
on	on	on
Friday	friday	Friday
,	,	,
three	three	three
peacekeepers	peacekeep	peacekeeper
and	and	and
a	a	a
Malian	malian	Malian
soldier	soldier	soldier
were	were	were
killed	kill	killed
when	when	when
they	they	they
came	came	came
under	under	under
attack	attack	attack
during	dure	during
a	a	a
joint	joint	joint
operation	oper	operation
in	in	in
the	the	the
Menaka	menaka	Menaka
region	region	region
near	near	near
the	the	the
border	border	border
with	with	with
Niger	niger	Niger
,	,	,
an	an	an
area	area	area
that	that	that
has	has	ha
seen	seen	seen
a	a	a
spike	spike	spike
in	in	in
violence	violenc	violence
over	over	over
the	the	the
last	last	last
year	year	year
.	.	.

Sixteen	sixteen	Sixteen
other	other	other
peacekeepers	peacekeep	peacekeeper
and	and	and
one	one	one
civilian	civilian	civilian
were	were	were
also	also	also
wounded	wound	wounded
.	.	.

Later	later	Later
in	in	in
the	the	the
day	day	day
at	at	at
around	around	around
noon	noon	noon
1200	1200	1200
GMT	gmt	GMT
,	,	,
a	a	a
MINUSMA	minusma	MINUSMA
convoy	convoy	convoy
in	in	in
the	the	the
central	central	central
Mopti	mopti	Mopti
region	region	region
was	was	wa
the	the	the
target	target	target
of	of	of
what	what	what
the	the	the
mission	mission	mission
described	describ	described
as	as	a
a	a	a
complex	complex	complex
attack	attack	attack
by	by	by
militants	milit	militant
using	use	using
explosive	explos	explosive
devices	devic	device
and	and	and
rocket	rocket	rocket
launchers	launcher	launcher
.	.	.

One	one	One
U	u	U
.	.	.
N	n	N
.	.	.
soldier	soldier	soldier
was	was	wa
killed	kill	killed
and	and	and
three	three	three
others	other	others
were	were	were
seriously	serious	seriously
wounded	wound	wounded
,	,	,
MINUSMA	minusma	MINUSMA
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

The	the	The
mission	mission	mission
did	did	did
not	not	not
specify	specifi	specify
the	the	the
nationalities	nation	nationality
of	of	of
the	the	the
soldiers	soldier	soldier
killed	kill	killed
or	or	or
wounded	wound	wounded
in	in	in
either	either	either
of	of	of
the	the	the
attacks	attack	attack
.	.	.

A	a	A
2013	2013	2013
French	french	French
-led	-led	-led
military	militari	military
intervention	intervent	intervention
drove	drove	drove
back	back	back
militants	milit	militant
who	who	who
had	had	had
seized	seiz	seized
control	control	control
of	of	of
Mali	mali	Mali
s	s	s
desert	desert	desert
north	north	north
a	a	a
year	year	year
earlier	earlier	earlier
,	,	,
but	but	but
they	they	they
have	have	have
regrouped	regroup	regrouped
and	and	and
launch	launch	launch
regular	regular	regular
attacks	attack	attack
against	against	against
Malian	malian	Malian
soldiers	soldier	soldier
,	,	,
U	u	U
.	.	.
N	n	N
.	.	.
peacekeepers	peacekeep	peacekeeper
and	and	and
civilians	civilian	civilian
.	.	.

Islamist	islamist	Islamist
groups	group	group
are	are	are
now	now	now
increasingly	increas	increasingly
exploiting	exploit	exploiting
the	the	the
porous	porous	porous
borders	border	border
between	between	between
Mali	mali	Mali
and	and	and
neighboring	neighbor	neighboring
Niger	niger	Niger
and	and	and
Burkina	burkina	Burkina
Faso	faso	Faso
to	to	to
expand	expand	expand
their	their	their
range	rang	range
of	of	of
operations	oper	operation
,	,	,
alarming	alarm	alarming
Western	western	Western
powers	power	power
.	.	.

France	franc	France
and	and	and
the	the	the
United	unit	United
States	state	States
both	both	both
have	have	have
troops	troop	troop
deployed	deploy	deployed
in	in	in
the	the	the
West	west	West
Africa	africa	Africa
.	.	.

A	a	A
new	new	new
regional	region	regional
force	forc	force
composed	compos	composed
of	of	of
soldiers	soldier	soldier
from	from	from
Mali	mali	Mali
,	,	,
Mauritania	mauritania	Mauritania
,	,	,
Niger	niger	Niger
,	,	,
Burkina	burkina	Burkina
Faso	faso	Faso
and	and	and
Chad	chad	Chad
-	-	-
the	the	the
so	so	so
-called	-call	-called
G5	g5	G5
Sahel	sahel	Sahel
nations	nation	nation
-	-	-
launched	launch	launched
its	it	it
first	first	first
operations	oper	operation
late	late	late
last	last	last
month	month	month
.	.	.

