WINDHOEK	windhoek	WINDHOEK
Reuters	reuter	Reuters
-	-	-
Namibia	namibia	Namibia
s	s	s
government	govern	government
on	on	on
Tuesday	tuesday	Tuesday
rejected	reject	rejected
accusations	accus	accusation
by	by	by
the	the	the
coordinator	coordin	coordinator
of	of	of
the	the	the
UN	un	UN
Panel	panel	Panel
of	of	of
Experts	expert	Experts
on	on	on
North	north	North
Korea	korea	Korea
who	who	who
accused	accus	accused
the	the	the
southern	southern	southern
African	african	African
nation	nation	nation
of	of	of
not	not	not
complying	compli	complying
with	with	with
UN	un	UN
Security	secur	Security
Council	council	Council
sanctions	sanction	sanction
against	against	against
Pyongyang	pyongyang	Pyongyang
.	.	.
Namibia	namibia	Namibia
said	said	said
that	that	that
it	it	it
rejected	reject	rejected
allegations	alleg	allegation
that	that	that
it	it	it
had	had	had
not	not	not
submitted	submit	submitted
a	a	a
report	report	report
for	for	for
more	more	more
than	than	than
a	a	a
year	year	year
to	to	to
the	the	the
Security	secur	Security
Council	council	Council
s	s	s
sanctions	sanction	sanction
committee	committe	committee
on	on	on
North	north	North
Korea	korea	Korea
.	.	.
The	the	The
Government	govern	Government
of	of	of
Namibia	namibia	Namibia
wishes	wish	wish
to	to	to
categorically	categor	categorically
state	state	state
that	that	that
it	it	it
has	has	ha
submitted	submit	submitted
reports	report	report
to	to	to
the	the	the
UN	un	UN
Security	secur	Security
Council	council	Council
Sanctions	sanction	Sanctions
Committee	committe	Committee
as	as	a
required	requir	required
,	,	,
the	the	the
last	last	last
having	have	having
been	been	been
submitted	submit	submitted
on	on	on
8	8	8
April	april	April
2017	2017	2017
,	,	,
Lineekela	lineekela	Lineekela
Mboti	mboti	Mboti
,	,	,
the	the	the
permanent	perman	permanent
secretary	secretari	secretary
in	in	in
the	the	the
Ministry	ministri	Ministry
of	of	of
International	intern	International
Relations	relat	Relations
and	and	and
Cooperation	cooper	Cooperation
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Hugh	hugh	Hugh
Griffiths	griffith	Griffiths
,	,	,
who	who	who
is	is	is
the	the	the
coordinator	coordin	coordinator
of	of	of
the	the	the
body	bodi	body
charged	charg	charged
with	with	with
monitoring	monitor	monitoring
sanctions	sanction	sanction
enforcement	enforc	enforcement
on	on	on
North	north	North
Korea	korea	Korea
,	,	,
said	said	said
Namibia	namibia	Namibia
had	had	had
contracted	contract	contracted
North	north	North
Korean	korean	Korean
workers	worker	worker
and	and	and
state	state	state
companies	compani	company
to	to	to
construct	construct	construct
an	an	an
ammunitions	ammunit	ammunition
factory	factori	factory
in	in	in
clear	clear	clear
violation	violat	violation
of	of	of
UN	un	UN
sanctions	sanction	sanction
dating	date	dating
back	back	back
nearly	near	nearly
a	a	a
decade	decad	decade
.	.	.
Griffiths	griffith	Griffiths
alleged	alleg	alleged
in	in	in
a	a	a
report	report	report
on	on	on
CNN	cnn	CNN
that	that	that
the	the	the
UN	un	UN
panel	panel	panel
had	had	had
not	not	not
received	receiv	received
responses	respons	response
from	from	from
Namibia	namibia	Namibia
to	to	to
specific	specif	specific
queries	queri	query
for	for	for
more	more	more
than	than	than
a	a	a
year	year	year
.	.	.
It	it	It
is	is	is
not	not	not
enough	enough	enough
to	to	to
talk	talk	talk
in	in	in
the	the	the
media	media	medium
.	.	.
It	it	It
is	is	is
not	not	not
enough	enough	enough
to	to	to
say	say	say
you	you	you
have	have	have
been	been	been
exonerated	exoner	exonerated
by	by	by
the	the	the
UN	un	UN
for	for	for
North	north	North
Korean	korean	Korean
sanctions	sanction	sanction
violations	violat	violation
because	becaus	because
that	that	that
is	is	is
not	not	not
true	true	true
,	,	,
Griffiths	griffith	Griffiths
was	was	wa
quoted	quot	quoted
by	by	by
CNN	cnn	CNN
as	as	a
saying	say	saying
.	.	.
Mboti	mboti	Mboti
said	said	said
Namibia	namibia	Namibia
terminated	termin	terminated
the	the	the
contracts	contract	contract
with	with	with
Korea	korea	Korea
Mining	mine	Mining
Development	develop	Development
Trading	trade	Trading
Corporation	corpor	Corporation
and	and	and
Mansudae	mansuda	Mansudae
Overseas	oversea	Overseas
Projects	project	Projects
in	in	in
the	the	the
southern	southern	southern
African	african	African
nation	nation	nation
,	,	,
which	which	which
will	will	will
remain	remain	remain
in	in	in
place	place	place
for	for	for
as	as	a
long	long	long
as	as	a
the	the	the
UN	un	UN
Security	secur	Security
Council	council	Council
sanctions	sanction	sanction
continued	continu	continued
.	.	.
She	she	She
said	said	said
Windhoek	windhoek	Windhoek
was	was	wa
committed	commit	committed
to	to	to
complying	compli	complying
with	with	with
all	all	all
relevant	relev	relevant
UN	un	UN
resolutions	resolut	resolution
on	on	on
North	north	North
Korea	korea	Korea
,	,	,
and	and	and
had	had	had
invited	invit	invited
the	the	the
UN	un	UN
experts	expert	expert
to	to	to
visit	visit	visit
Namibia	namibia	Namibia
to	to	to
see	see	see
for	for	for
themselves	themselv	themselves
.	.	.
