CLARK	clark	CLARK
FREEPORT	freeport	FREEPORT
ZONE	zone	ZONE
,	,	,
Philippines	philippin	Philippines
Reuters	reuter	Reuters
-	-	-
The	the	The
threat	threat	threat
from	from	from
North	north	North
Korea	korea	Korea
has	has	ha
grown	grown	grown
to	to	to
a	a	a
critical	critic	critical
and	and	and
imminent	immin	imminent
level	level	level
and	and	and
the	the	the
United	unit	United
States	state	States
,	,	,
Japan	japan	Japan
and	and	and
South	south	South
Korea	korea	Korea
must	must	must
address	address	address
the	the	the
matter	matter	matter
,	,	,
Japanese	japanes	Japanese
Defense	defens	Defense
Minister	minist	Minister
Itsunori	itsunori	Itsunori
Onodera	onodera	Onodera
told	told	told
his	his	his
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
South	south	South
Korean	korean	Korean
counterparts	counterpart	counterpart
in	in	in
talks	talk	talk
on	on	on
Monday	monday	Monday
.	.	.

Onodera	onodera	Onodera
s	s	s
remarks	remark	remark
underscored	underscor	underscored
the	the	the
deep	deep	deep
concern	concern	concern
in	in	in
Tokyo	tokyo	Tokyo
after	after	after
North	north	North
Korean	korean	Korean
weapons	weapon	weapon
tests	test	test
,	,	,
including	includ	including
test	test	test
firing	fire	firing
missiles	missil	missile
over	over	over
Japan	japan	Japan
,	,	,
as	as	a
Pyongyang	pyongyang	Pyongyang
seeks	seek	seek
to	to	to
develop	develop	develop
a	a	a
nuclear	nuclear	nuclear
-tipped	-tip	-tipped
missile	missil	missile
capable	capabl	capable
of	of	of
reaching	reach	reaching
the	the	the
United	unit	United
States	state	States
.	.	.

His	his	His
comments	comment	comment
broke	broke	broke
from	from	from
more	more	more
measured	measur	measured
language	languag	language
on	on	on
Monday	monday	Monday
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
Defense	defens	Defense
Secretary	secretari	Secretary
Jim	jim	Jim
Mattis	matti	Mattis
and	and	and
South	south	South
Korean	korean	Korean
Defense	defens	Defense
Minister	minist	Minister
Song	song	Song
Young	young	Young
-Moo	-moo	-Moo
,	,	,
as	as	a
the	the	the
three	three	three
men	men	men
met	met	met
on	on	on
the	the	the
sidelines	sidelin	sideline
of	of	of
a	a	a
gathering	gather	gathering
of	of	of
Asian	asian	Asian
defense	defens	defense
chiefs	chief	chief
in	in	in
the	the	the
Philippines	philippin	Philippines
.	.	.

The	the	The
threat	threat	threat
posed	pose	posed
by	by	by
North	north	North
Korea	korea	Korea
has	has	ha
