ABU	abu	ABU
DHABI	dhabi	DHABI
DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
Saudi	saudi	Saudi
Arabia	arabia	Arabia
s	s	s
crackdown	crackdown	crackdown
on	on	on
corruption	corrupt	corruption
has	has	ha
spread	spread	spread
beyond	beyond	beyond
its	it	it
borders	border	border
as	as	a
regulators	regul	regulator
in	in	in
the	the	the
United	unit	United
Arab	arab	Arab
Emirates	emir	Emirates
ask	ask	ask
UAE	uae	UAE
banks	bank	bank
for	for	for
information	inform	information
about	about	about
Saudi	saudi	Saudi
citizens	citizen	citizen
detained	detain	detained
in	in	in
the	the	the
investigation	investig	investigation
,	,	,
a	a	a
possible	possibl	possible
prelude	prelud	prelude
to	to	to
freezing	freez	freezing
their	their	their
accounts	account	account
.	.	.
The	the	The
UAE	uae	UAE
central	central	central
bank	bank	bank
has	has	ha
requested	request	requested
commercial	commerci	commercial
banks	bank	bank
and	and	and
finance	financ	finance
companies	compani	company
in	in	in
the	the	the
UAE	uae	UAE
to	to	to
provide	provid	provide
details	detail	detail
of	of	of
the	the	the
accounts	account	account
of	of	of
19	19	19
Saudis	saudi	Saudis
,	,	,
commercial	commerci	commercial
bankers	banker	banker
told	told	told
Reuters	reuter	Reuters
on	on	on
Thursday	thursday	Thursday
,	,	,
declining	declin	declining
to	to	to
be	be	be
named	name	named
because	becaus	because
of	of	of
the	the	the
sensitivity	sensit	sensitivity
of	of	of
the	the	the
matter	matter	matter
.	.	.
Almost	almost	Almost
all	all	all
of	of	of
the	the	the
19	19	19
,	,	,
including	includ	including
billionaire	billionair	billionaire
Prince	princ	Prince
Alwaleed	alwale	Alwaleed
bin	bin	bin
Talal	talal	Talal
and	and	and
former	former	former
National	nation	National
Guard	guard	Guard
chief	chief	chief
Prince	princ	Prince
Miteb	miteb	Miteb
bin	bin	bin
Abdullah	abdullah	Abdullah
,	,	,
are	are	are
known	known	known
to	to	to
be	be	be
among	among	among
dozens	dozen	dozen
of	of	of
senior	senior	senior
officials	offici	official
and	and	and
businessmen	businessmen	businessmen
detained	detain	detained
in	in	in
the	the	the
corruption	corrupt	corruption
inquiry	inquiri	inquiry
.	.	.
Commercial	commerci	Commercial
bankers	banker	banker
said	said	said
UAE	uae	UAE
authorities	author	authority
had	had	had
not	not	not
explained	explain	explained
why	whi	why
they	they	they
wanted	want	wanted
the	the	the
information	inform	information
,	,	,
but	but	but
believed	believ	believed
the	the	the
authorities	author	authority
were	were	were
acting	act	acting
at	at	at
the	the	the
behest	behest	behest
of	of	of
the	the	the
Saudi	saudi	Saudi
government	govern	government
,	,	,
which	which	which
has	has	ha
said	said	said
it	it	it
aims	aim	aim
to	to	to
recover	recov	recover
billions	billion	billion
of	of	of
dollars	dollar	dollar
of	of	of
illicit	illicit	illicit
assets	asset	asset
identified	identifi	identified
in	in	in
its	it	it
investigation	investig	investigation
.	.	.
Central	central	Central
bank	bank	bank
officials	offici	official
in	in	in
the	the	the
UAE	uae	UAE
,	,	,
a	a	a
federation	feder	federation
of	of	of
seven	seven	seven
emirates	emir	emirate
,	,	,
were	were	were
not	not	not
available	avail	available
to	to	to
comment	comment	comment
,	,	,
and	and	and
Saudi	saudi	Saudi
officials	offici	official
in	in	in
Riyadh	riyadh	Riyadh
,	,	,
who	who	who
have	have	have
frozen	frozen	frozen
over	over	over
1	1	1
,	,	,
700	700	700
domestic	domest	domestic
bank	bank	bank
accounts	account	account
as	as	a
part	part	part
of	of	of
the	the	the
crackdown	crackdown	crackdown
,	,	,
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
.	.	.
The	the	The
UAE	uae	UAE
,	,	,
particularly	particular	particularly
its	it	it
most	most	most
commercially	commerci	commercially
prominent	promin	prominent
emirate	emir	emirate
Dubai	dubai	Dubai
,	,	,
is	is	is
one	one	one
of	of	of
the	the	the
main	main	main
places	place	place
