LOWELLVILLE	lowellvill	LOWELLVILLE
,	,	,
Ohio	ohio	Ohio
Reuters	reuter	Reuters
-	-	-
On	on	On
a	a	a
sweltering	swelter	sweltering
evening	even	evening
in	in	in
a	a	a
rural	rural	rural
corner	corner	corner
of	of	of
Ohio	ohio	Ohio
,	,	,
the	the	the
struggle	struggl	struggle
for	for	for
the	the	the
soul	soul	soul
and	and	and
identity	ident	identity
of	of	of
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
is	is	is
playing	play	playing
out	out	out
over	over	over
wine	wine	wine
,	,	,
meatballs	meatbal	meatball
and	and	and
recriminations	recrimin	recrimination
about	about	about
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
defeat	defeat	defeat
in	in	in
last	last	last
year	year	year
s	s	s
presidential	presidenti	presidential
election	elect	election
.	.	.
Joe	joe	Joe
Schiavoni	schiavoni	Schiavoni
,	,	,
the	the	the
former	former	former
top	top	top
Democrat	democrat	Democrat
in	in	in
the	the	the
Ohio	ohio	Ohio
state	state	state
senate	senat	senate
,	,	,
is	is	is
talking	talk	talking
to	to	to
a	a	a
crowd	crowd	crowd
at	at	at
a	a	a
fundraising	fundrais	fundraising
event	event	event
for	for	for
his	his	his
fledgling	fledgl	fledgling
bid	bid	bid
to	to	to
become	becom	become
their	their	their
next	next	next
governor	governor	governor
.	.	.
He	he	He
believes	believ	belief
leaders	leader	leader
of	of	of
his	his	his
party	parti	party
in	in	in
Washington	washington	Washington
have	have	have
lost	lost	lost
touch	touch	touch
with	with	with
voters	voter	voter
.	.	.
It	it	It
s	s	s
a	a	a
familiar	familiar	familiar
refrain	refrain	refrain
among	among	among
Democrats	democrat	Democrats
in	in	in
a	a	a
state	state	state
that	that	that
helped	help	helped
catapult	catapult	catapult
Republican	republican	Republican
Donald	donald	Donald
Trump	trump	Trump
into	into	into
the	the	the
White	white	White
House	hous	House
in	in	in
November	novemb	November
.	.	.
You	you	You
can	can	can
t	t	t
just	just	just
talk	talk	talk
about	about	about
things	thing	thing
and	and	and
send	send	send
out	out	out
press	press	press
releases	releas	release
,	,	,
says	say	say
Schiavoni	schiavoni	Schiavoni
,	,	,
a	a	a
former	former	former
boxer	boxer	boxer
who	who	who
revels	revel	revel
in	in	in
his	his	his
blue	blue	blue
collar	collar	collar
roots	root	root
.	.	.
Many	mani	Many
in	in	in
the	the	the
crowd	crowd	crowd
,	,	,
a	a	a
few	few	few
miles	mile	mile
from	from	from
the	the	the
Rust	rust	Rust
Belt	belt	Belt
city	citi	city
of	of	of
