BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
Lebanon	lebanon	Lebanon
s	s	s
Shi	shi	Shi
ite	ite	ite
Hezbollah	hezbollah	Hezbollah
group	group	group
on	on	on
Sunday	sunday	Sunday
accused	accus	accused
Saudi	saudi	Saudi
Arabia	arabia	Arabia
of	of	of
forcing	forc	forcing
Lebanese	lebanes	Lebanese
Prime	prime	Prime
Minister	minist	Minister
Saad	saad	Saad
al	al	al
-Hariri	-hariri	-Hariri
to	to	to
quit	quit	quit
,	,	,
and	and	and
called	call	called
for	for	for
calm	calm	calm
in	in	in
an	an	an
effort	effort	effort
to	to	to
contain	contain	contain
the	the	the
political	polit	political
crisis	crisi	crisis
unleashed	unleash	unleashed
by	by	by
his	his	his
resignation	resign	resignation
.	.	.
Sayyed	sayi	Sayyed
Hassan	hassan	Hassan
Nasrallah	nasrallah	Nasrallah
,	,	,
the	the	the
leader	leader	leader
of	of	of
Iran	iran	Iran
-backed	-back	-backed
Hezbollah	hezbollah	Hezbollah
,	,	,
said	said	said
there	there	there
should	should	should
be	be	be
no	no	no
political	polit	political
escalation	escal	escalation
in	in	in
response	respons	response
to	to	to
Hariri	hariri	Hariri
s	s	s
declaration	declar	declaration
on	on	on
Saturday	saturday	Saturday
,	,	,
which	which	which
was	was	wa
made	made	made
from	from	from
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
came	came	came
as	as	a
surprise	surpris	surprise
even	even	even
to	to	to
his	his	his
aides	aid	aide
.	.	.
Hariri	hariri	Hariri
,	,	,
in	in	in
a	a	a
televised	televis	televised
speech	speech	speech
,	,	,
said	said	said
there	there	there
was	was	wa
a	a	a
plot	plot	plot
to	to	to
kill	kill	kill
him	him	him
,	,	,
and	and	and
accused	accus	accused
Hezbollah	hezbollah	Hezbollah
and	and	and
its	it	it
Iranian	iranian	Iranian
backers	backer	backer
of	of	of
sowing	sow	sowing
strife	strife	strife
in	in	in
the	the	the
Arab	arab	Arab
world	world	world
.	.	.
Nasrallah	nasrallah	Nasrallah
said	said	said
legitimate	legitim	legitimate
questions	question	question
were	were	were
being	be	being
asked	ask	asked
over	over	over
whether	whether	whether
Hariri	hariri	Hariri
had	had	had
been	been	been
detained	detain	detained
in	in	in
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
where	where	where
news	news	news
emerged	emerg	emerged
on	on	on
Sunday	sunday	Sunday
that	that	that
royals	royal	royal
,	,	,
ministers	minist	minister
and	and	and
investors	investor	investor
had	had	had
been	been	been
arrested	arrest	arrested
in	in	in
an	an	an
anti	anti	anti
-corruption	-corrupt	-corruption
purge	purg	purge
.	.	.
Aides	aid	Aides
to	to	to
Hariri	hariri	Hariri
,	,	,
whose	whose	whose
family	famili	family
made	made	made
their	their	their
fortune	fortun	fortune
in	in	in
the	the	the
Saudi	saudi	Saudi
construction	construct	construction
industry	industri	industry
,	,	,
strongly	strong	strongly
denied	deni	denied
he	he	he
had	had	had
been	been	been
detained	detain	detained
or	or	or
had	had	had
been	been	been
forced	forc	forced
to	to	to
resign	resign	resign
.	.	.
Speaking	speak	Speaking
in	in	in
a	a	a
televised	televis	televised
address	address	address
,	,	,
Nasrallah	nasrallah	Nasrallah
said	said	said
The	the	The
resignation	resign	resignation
was	was	wa
a	a	a
Saudi	saudi	Saudi
decision	decis	decision
dictated	dictat	dictated
to	to	to
Prime	prime	Prime
Minister	minist	Minister
Saad	saad	Saad
al	al	al
-Hariri	-hariri	-Hariri
and	and	and
was	was	wa
forced	forc	forced
on	on	on
him	him	him
.	.	.
Nasrallah	nasrallah	Nasrallah
said	said	said
Lebanon	lebanon	Lebanon
s	s	s
political	polit	political
leaders	leader	leader
expected	expect	expected
Hariri	hariri	Hariri
to	to	to
return	return	return
to	to	to
Lebanon	lebanon	Lebanon
on	on	on
Thursday	thursday	Thursday
if	if	if
he	he	he
is	is	is
allowed	allow	allowed
to	to	to
travel	travel	travel
.	.	.
Sunni	sunni	Sunni
Muslim	muslim	Muslim
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
a	a	a
political	polit	political
ally	alli	ally
of	of	of
Hariri	hariri	Hariri
,	,	,
is	is	is
locked	lock	locked
in	in	in
a	a	a
bitter	bitter	bitter
tussle	tussl	tussle
for	for	for
power	power	power
across	across	across
the	the	the
Middle	middl	Middle
East	east	East
with	with	with
Shi	shi	Shi
ite	ite	ite
Iran	iran	Iran
and	and	and
its	it	it
allies	alli	ally
,	,	,
including	includ	including
Hezbollah	hezbollah	Hezbollah
.	.	.
Lebanese	lebanes	Lebanese
President	presid	President
Michel	michel	Michel
Aoun	aoun	Aoun
will	will	will
not	not	not
accept	accept	accept
Hariri	hariri	Hariri
s	s	s
resignation	resign	resignation
until	until	until
he	he	he
returns	return	return
to	to	to
Lebanon	lebanon	Lebanon
to	to	to
explain	explain	explain
his	his	his
reasons	reason	reason
,	,	,
palace	palac	palace
sources	sourc	source
said	said	said
on	on	on
Sunday	sunday	Sunday
,	,	,
delaying	delay	delaying
for	for	for
now	now	now
the	the	the
politically	polit	politically
difficult	difficult	difficult
consultations	consult	consultation
over	over	over
his	his	his
successor	successor	successor
.	.	.
Nasrallah	nasrallah	Nasrallah
said	said	said
he	he	he
would	would	would
not	not	not
comment	comment	comment
on	on	on
accusations	accus	accusation
leveled	level	leveled
against	against	against
Hezbollah	hezbollah	Hezbollah
by	by	by
Hariri	hariri	Hariri
,	,	,
describing	describ	describing
his	his	his
resignation	resign	resignation
announcement	announc	announcement
as	as	a
a	a	a
Saudi	saudi	Saudi
statement	statement	statement
.	.	.
Hariri	hariri	Hariri
s	s	s
resignation	resign	resignation
toppled	toppl	toppled
a	a	a
coalition	coalit	coalition
government	govern	government
that	that	that
included	includ	included
Hezbollah	hezbollah	Hezbollah
,	,	,
thrusting	thrust	thrusting
Lebanon	lebanon	Lebanon
back	back	back
into	into	into
the	the	the
frontline	frontlin	frontline
of	of	of
the	the	the
Saudi	saudi	Saudi
-Iranian	-iranian	-Iranian
regional	region	regional
rivalry	rivalri	rivalry
and	and	and
risking	risk	risking
an	an	an
open	open	open
-ended	-end	-ended
political	polit	political
crisis	crisi	crisis
.	.	.
The	the	The
government	govern	government
was	was	wa
formed	form	formed
late	late	late
last	last	last
year	year	year
in	in	in
a	a	a
political	polit	political
deal	deal	deal
that	that	that
ended	end	ended
years	year	year
of	of	of
deadlock	deadlock	deadlock
,	,	,
and	and	and
last	last	last
month	month	month
it	it	it
produced	produc	produced
Lebanon	lebanon	Lebanon
s	s	s
first	first	first
budget	budget	budget
since	sinc	since
2005	2005	2005
.	.	.
Nasrallah	nasrallah	Nasrallah
said	said	said
he	he	he
had	had	had
thought	thought	thought
things	thing	thing
were	were	were
going	go	going
well	well	well
and	and	and
had	had	had
not	not	not
wanted	want	wanted
Hariri	hariri	Hariri
to	to	to
quit	quit	quit
.	.	.
Hariri	hariri	Hariri
allies	alli	ally
in	in	in
Lebanon	lebanon	Lebanon
have	have	have
denied	deni	denied
suggestions	suggest	suggestion
he	he	he
had	had	had
been	been	been
detained	detain	detained
and	and	and
a	a	a
photograph	photograph	photograph
was	was	wa
published	publish	published
on	on	on
his	his	his
Twitter	twitter	Twitter
account	account	account
showing	show	showing
him	him	him
with	with	with
Saudi	saudi	Saudi
Arabia	arabia	Arabia
s	s	s
newly	newli	newly
appointed	appoint	appointed
ambassador	ambassador	ambassador
to	to	to
Lebanon	lebanon	Lebanon
,	,	,
Walid	walid	Walid
al	al	al
-Yaaqoub	-yaaqoub	-Yaaqoub
.	.	.
News	news	News
of	of	of
high	high	high
-level	-level	-level
arrests	arrest	arrest
in	in	in
Saudi	saudi	Saudi
Arabia	arabia	Arabia
fueled	fuel	fueled
social	social	social
media	media	medium
speculation	specul	speculation
in	in	in
Lebanon	lebanon	Lebanon
that	that	that
Hariri	hariri	Hariri
,	,	,
a	a	a
Saudi	saudi	Saudi
national	nation	national
,	,	,
was	was	wa
a	a	a
target	target	target
.	.	.
Nasrallah	nasrallah	Nasrallah
said	said	said
there	there	there
was	was	wa
legitimate	legitim	legitimate
concern	concern	concern
,	,	,
asking	ask	asking
if	if	if
Hariri	hariri	Hariri
had	had	had
anything	anyth	anything
to	to	to
do	do	do
with	with	with
this	this	this
internal	intern	internal
struggle	struggl	struggle
between	between	between
the	the	the
princes	princ	prince
.	.	.
Saudi	saudi	Saudi
Oger	oger	Oger
,	,	,
the	the	the
construction	construct	construction
firm	firm	firm
owned	own	owned
by	by	by
the	the	the
Hariri	hariri	Hariri
family	famili	family
,	,	,
has	has	ha
faced	face	faced
a	a	a
multibillion	multibillion	multibillion
-dollar	-dollar	-dollar
debt	debt	debt
restructuring	restructur	restructuring
.	.	.
The	the	The
company	compani	company
was	was	wa
hit	hit	hit
by	by	by
a	a	a
decline	declin	decline
in	in	in
oil	oil	oil
prices	price	price
led	led	led
to	to	to
sharp	sharp	sharp
state	state	state
spending	spend	spending
cuts	cut	cut
in	in	in
the	the	the
kingdom	kingdom	kingdom
.	.	.
Saudi	saudi	Saudi
-owned	-own	-owned
newspaper	newspap	newspaper
Asharq	asharq	Asharq
al	al	al
-Awsat	-awsat	-Awsat
cited	cite	cited
unnamed	unnam	unnamed
sources	sourc	source
close	close	close
to	to	to
Hariri	hariri	Hariri
as	as	a
speculating	specul	speculating
that	that	that
he	he	he
would	would	would
probably	probabl	probably
remain	remain	remain
outside	outsid	outside
Lebanon	lebanon	Lebanon
because	becaus	because
of	of	of
the	the	the
security	secur	security
threat	threat	threat
against	against	against
him	him	him
.	.	.
Central	central	Central
Bank	bank	Bank
Governor	governor	Governor
Riad	riad	Riad
Salameh	salameh	Salameh
sought	sought	sought
to	to	to
calm	calm	calm
fears	fear	fear
the	the	the
political	polit	political
turmoil	turmoil	turmoil
would	would	would
hit	hit	hit
Lebanon	lebanon	Lebanon
s	s	s
already	alreadi	already
fragile	fragil	fragile
economy	economi	economy
,	,	,
issuing	issu	issuing
a	a	a
statement	statement	statement
to	to	to
reaffirm	reaffirm	reaffirm
the	the	the
stability	stabil	stability
of	of	of
its	it	it
currency	currenc	currency
,	,	,
which	which	which
is	is	is
pegged	peg	pegged
against	against	against
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
dollar	dollar	dollar
.	.	.
In	in	In
Lebanon	lebanon	Lebanon
s	s	s
sectarian	sectarian	sectarian
system	system	system
the	the	the
president	presid	president
must	must	must
be	be	be
a	a	a
Maronite	maronit	Maronite
Catholic	cathol	Catholic
,	,	,
the	the	the
prime	prime	prime
minister	minist	minister
a	a	a
Sunni	sunni	Sunni
and	and	and
the	the	the
speaker	speaker	speaker
of	of	of
parliament	parliament	parliament
a	a	a
Shi	shi	Shi
ite	ite	ite
.	.	.
Hariri	hariri	Hariri
is	is	is
Lebanon	lebanon	Lebanon
s	s	s
most	most	most
influential	influenti	influential
Sunni	sunni	Sunni
politician	politician	politician
.	.	.
His	his	His
father	father	father
,	,	,
Rafik	rafik	Rafik
al	al	al
-Hariri	-hariri	-Hariri
,	,	,
was	was	wa
prime	prime	prime
minister	minist	minister
after	after	after
Lebanon	lebanon	Lebanon
s	s	s
1975	1975	1975
-1990	-1990	-1990
civil	civil	civil
war	war	war
and	and	and
was	was	wa
assassinated	assassin	assassinated
in	in	in
a	a	a
car	car	car
bombing	bomb	bombing
in	in	in
2005	2005	2005
.	.	.
A	a	A
U	u	U
.	.	.
N	n	N
.	.	.
-backed	-back	-backed
tribunal	tribun	tribunal
has	has	ha
indicted	indict	indicted
five	five	five
Hezbollah	hezbollah	Hezbollah
members	member	member
for	for	for
the	the	the
killing	kill	killing
but	but	but
the	the	the
group	group	group
denies	deni	denies
any	ani	any
involvement	involv	involvement
.	.	.
Saudi	saudi	Saudi
media	media	medium
have	have	have
published	publish	published
reports	report	report
of	of	of
a	a	a
plot	plot	plot
to	to	to
assassinate	assassin	assassinate
Hariri	hariri	Hariri
in	in	in
recent	recent	recent
days	day	day
,	,	,
but	but	but
all	all	all
of	of	of
Lebanon	lebanon	Lebanon
s	s	s
main	main	main
security	secur	security
branches	branch	branch
have	have	have
said	said	said
they	they	they
have	have	have
no	no	no
information	inform	information
about	about	about
such	such	such
a	a	a
plot	plot	plot
.	.	.
A	a	A
Saudi	saudi	Saudi
minister	minist	minister
said	said	said
on	on	on
Saturday	saturday	Saturday
that	that	that
Hariri	hariri	Hariri
s	s	s
personal	person	personal
security	secur	security
detail	detail	detail
had	had	had
confirmed	confirm	confirmed
information	inform	information
about	about	about
the	the	the
plot	plot	plot
.	.	.
Thamer	thamer	Thamer
al	al	al
-Sabhan	-sabhan	-Sabhan
said	said	said
in	in	in
an	an	an
interview	interview	interview
with	with	with
a	a	a
Lebanese	lebanes	Lebanese
TV	tv	TV
station	station	station
on	on	on
Saturday	saturday	Saturday
that	that	that
there	there	there
were	were	were
threats	threat	threat
against	against	against
the	the	the
prime	prime	prime
minister	minist	minister
and	and	and
the	the	the
kingdom	kingdom	kingdom
is	is	is
keen	keen	keen
for	for	for
his	his	his
security	secur	security
.	.	.
U	u	U
.	.	.
N	n	N
.	.	.
Secretary	secretari	Secretary
-General	-gener	-General
Antonio	antonio	Antonio
Guterres	guterr	Guterres
was	was	wa
concerned	concern	concerned
by	by	by
Hariri	hariri	Hariri
s	s	s
resignation	resign	resignation
and	and	and
hoped	hope	hoped
all	all	all
sides	side	side
in	in	in
the	the	the
country	countri	country
would	would	would
back	back	back
its	it	it
state	state	state
institutions	institut	institution
,	,	,
his	his	his
spokesman	spokesman	spokesman
on	on	on
Lebanon	lebanon	Lebanon
Stephane	stephan	Stephane
Dujarric	dujarr	Dujarric
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
.	.	.
