LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
Britain	britain	Britain
believes	believ	belief
it	it	it
can	can	can
quickly	quick	quickly
agree	agre	agree
a	a	a
framework	framework	framework
for	for	for
a	a	a
transitional	transit	transitional
agreement	agreement	agreement
on	on	on
exiting	exit	exiting
the	the	the
European	european	European
Union	union	Union
,	,	,
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
s	s	s
spokesman	spokesman	spokesman
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
even	even	even
as	as	a
other	other	other
stark	stark	stark
differences	differ	difference
over	over	over
the	the	the
Brexit	brexit	Brexit
timeline	timelin	timeline
persisted	persist	persisted
.	.	.
Britain	britain	Britain
is	is	is
seeking	seek	seeking
a	a	a
so	so	so
-called	-call	-called
implementation	implement	implementation
period	period	period
of	of	of
around	around	around
two	two	two
years	year	year
following	follow	following
its	it	it
departure	departur	departure
from	from	from
the	the	the
EU	eu	EU
in	in	in
March	march	March
2019	2019	2019
,	,	,
during	dure	during
which	which	which
its	it	it
access	access	access
to	to	to
the	the	the
EU	eu	EU
single	singl	single
market	market	market
would	would	would
stay	stay	stay
largely	larg	largely
unchanged	unchang	unchanged
while	while	while
new	new	new
arrangements	arrang	arrangement
are	are	are
put	put	put
in	in	in
place	place	place
.	.	.
Businesses	busi	Businesses
are	are	are
keen	keen	keen
to	to	to
see	see	see
the	the	the
details	detail	detail
of	of	of
such	such	such
a	a	a
deal	deal	deal
as	as	a
soon	soon	soon
as	as	a
possible	possibl	possible
to	to	to
end	end	end
uncertainty	uncertainti	uncertainty
over	over	over
the	the	the
trading	trade	trading
rules	rule	rule
they	they	they
will	will	will
face	face	face
after	after	after
Britain	britain	Britain
leaves	leav	leaf
the	the	the
bloc	bloc	bloc
.	.	.
In	in	In
terms	term	term
of	of	of
the	the	the
broad	broad	broad
outline	outlin	outline
of	of	of
an	an	an
implementation	implement	implementation
period	period	period
,	,	,
we	we	we
believe	believ	believe
that	that	that
we	we	we
can	can	can
agree	agre	agree
that	that	that
quickly	quick	quickly
,	,	,
May	may	May
s	s	s
spokesman	spokesman	spokesman
said	said	said
.	.	.
He	he	He
did	did	did
not	not	not
provide	provid	provide
further	further	further
detail	detail	detail
on	on	on
when	when	when
Britain	britain	Britain
hoped	hope	hoped
to	to	to
reach	reach	reach
such	such	such
an	an	an
agreement	agreement	agreement
.	.	.
We	we	We
re	re	re
clear	clear	clear
that	that	that
we	we	we
want	want	want
to	to	to
achieve	achiev	achieve
this	this	this
implementation	implement	implementation
period	period	period
,	,	,
that	that	that
we	we	we
believe	believ	believe
we	we	we
can	can	can
do	do	do
so	so	so
,	,	,
and	and	and
that	that	that
our	our	our
priority	prioriti	priority
is	is	is
to	to	to
provide	provid	provide
certainty	certainti	certainty
for	for	for
business	busi	business
,	,	,
he	he	he
said	said	said
.	.	.
May	may	May
left	left	left
some	some	some
businesses	busi	business
confused	confus	confused
on	on	on
Monday	monday	Monday
by	by	by
saying	say	saying
any	ani	any
implementation	implement	implementation
period	period	period
would	would	would
not	not	not
be	be	be
agreed	agre	agreed
until	until	until
a	a	a
deal	deal	deal
was	was	wa
struck	struck	struck
on	on	on
Britain	britain	Britain
s	s	s
future	futur	future
trading	trade	trading
relationship	relationship	relationship
with	with	with
the	the	the
bloc	bloc	bloc
.	.	.
That	that	That
countered	counter	countered
expectations	expect	expectation
that	that	that
a	a	a
transitional	transit	transitional
deal	deal	deal
would	would	would
come	come	come
well	well	well
before	befor	before
any	ani	any
deal	deal	deal
on	on	on
trade	trade	trade
.	.	.
It	it	It
also	also	also
highlighted	highlight	highlighted
a	a	a
clear	clear	clear
difference	differ	difference
between	between	between
Britain	britain	Britain
and	and	and
the	the	the
EU	eu	EU
over	over	over
when	when	when
a	a	a
trade	trade	trade
deal	deal	deal
would	would	would
be	be	be
agreed	agre	agreed
.	.	.
Britain	britain	Britain
is	is	is
seeking	seek	seeking
an	an	an
ambitious	ambiti	ambitious
deal	deal	deal
on	on	on
trade	trade	trade
with	with	with
the	the	the
EU	eu	EU
to	to	to
replace	replac	replace
its	it	it
existing	exist	existing
arrangement	arrang	arrangement
at	at	at
the	the	the
end	end	end
of	of	of
an	an	an
implementation	implement	implementation
period	period	period
.	.	.
It	it	It
believes	believ	belief
its	it	it
current	current	current
close	close	close
ties	tie	tie
with	with	with
the	the	the
bloc	bloc	bloc
mean	mean	mean
such	such	such
a	a	a
deal	deal	deal
will	will	will
be	be	be
agreed	agre	agreed
by	by	by
October	octob	October
2018	2018	2018
.	.	.
But	but	But
the	the	the
EU	eu	EU
s	s	s
chief	chief	chief
negotiator	negoti	negotiator
,	,	,
Michel	michel	Michel
Barnier	barnier	Barnier
,	,	,
said	said	said
it	it	it
would	would	would
take	take	take
three	three	three
years	year	year
to	to	to
negotiate	negoti	negotiate
a	a	a
trade	trade	trade
deal	deal	deal
,	,	,
meaning	mean	meaning
that	that	that
if	if	if
talks	talk	talk
start	start	start
in	in	in
December	decemb	December
it	it	it
would	would	would
be	be	be
ready	readi	ready
in	in	in
time	time	time
for	for	for
the	the	the
end	end	end
of	of	of
a	a	a
transition	transit	transition
period	period	period
running	run	running
until	until	until
December	decemb	December
2020	2020	2020
.	.	.
In	in	In
response	respons	response
,	,	,
asked	ask	asked
if	if	if
it	it	it
was	was	wa
Britain	britain	Britain
s	s	s
position	posit	position
that	that	that
it	it	it
could	could	could
still	still	still
achieve	achiev	achieve
a	a	a
trade	trade	trade
deal	deal	deal
by	by	by
the	the	the
end	end	end
of	of	of
next	next	next
year	year	year
under	under	under
the	the	the
two	two	two
-year	-year	-year
exit	exit	exit
process	process	process
,	,	,
May	may	May
s	s	s
spokesman	spokesman	spokesman
said	said	said
Yes	yes	Yes
.	.	.
Commenting	comment	Commenting
on	on	on
the	the	the
timeline	timelin	timeline
set	set	set
out	out	out
by	by	by
Britain	britain	Britain
,	,	,
an	an	an
EU	eu	EU
official	offici	official
said	said	said
the	the	the
bloc	bloc	bloc
wanted	want	wanted
to	to	to
define	defin	define
a	a	a
framework	framework	framework
for	for	for
our	our	our
future	futur	future
relationship	relationship	relationship
by	by	by
this	this	this
time	time	time
next	next	next
year	year	year
so	so	so
that	that	that
a	a	a
withdrawal	withdraw	withdrawal
treaty	treati	treaty
could	could	could
take	take	take
account	account	account
of	of	of
that	that	that
future	futur	future
under	under	under
the	the	the
terms	term	term
of	of	of
the	the	the
Article	articl	Article
50	50	50
legal	legal	legal
exit	exit	exit
process	process	process
.	.	.
However	howev	However
,	,	,
the	the	the
official	offici	official
said	said	said
the	the	the
EU	eu	EU
will	will	will
only	onli	only
negotiate	negoti	negotiate
on	on	on
the	the	the
details	detail	detail
of	of	of
a	a	a
free	free	free
trade	trade	trade
deal	deal	deal
after	after	after
Britain	britain	Britain
has	has	ha
actually	actual	actually
left	left	left
in	in	in
March	march	March
2019	2019	2019
because	becaus	because
the	the	the
EU	eu	EU
s	s	s
own	own	own
laws	law	law
do	do	do
not	not	not
allow	allow	allow
it	it	it
to	to	to
negotiate	negoti	negotiate
trade	trade	trade
agreements	agreement	agreement
with	with	with
its	it	it
own	own	own
members	member	member
.	.	.
Article	articl	Article
50	50	50
says	say	say
that	that	that
the	the	the
withdrawal	withdraw	withdrawal
agreement	agreement	agreement
has	has	ha
to	to	to
take	take	take
into	into	into
account	account	account
our	our	our
future	futur	future
relationship	relationship	relationship
,	,	,
so	so	so
we	we	we
will	will	will
know	know	know
the	the	the
terms	term	term
of	of	of
our	our	our
partnership	partnership	partnership
with	with	with
the	the	the
EU	eu	EU
by	by	by
our	our	our
exit	exit	exit
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
for	for	for
May	may	May
said	said	said
when	when	when
asked	ask	asked
about	about	about
the	the	the
position	posit	position
set	set	set
out	out	out
by	by	by
the	the	the
EU	eu	EU
official	offici	official
.	.	.
But	but	But
as	as	a
to	to	to
the	the	the
details	detail	detail
,	,	,
that	that	that
s	s	s
subject	subject	subject
to	to	to
negotiation	negoti	negotiation
and	and	and
I	i	I
can	can	can
t	t	t
pre	pre	pre
-empt	-empt	-empt
those	those	those
.	.	.
