BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
Syrian	syrian	Syrian
government	govern	government
forces	forc	force
on	on	on
Tuesday	tuesday	Tuesday
reached	reach	reached
troops	troop	troop
besieged	besieg	besieged
for	for	for
years	year	year
by	by	by
Islamic	islam	Islamic
State	state	State
in	in	in
the	the	the
eastern	eastern	eastern
city	citi	city
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
,	,	,
the	the	the
militants	milit	militant
last	last	last
major	major	major
stronghold	stronghold	stronghold
in	in	in
Syria	syria	Syria
,	,	,
the	the	the
army	armi	army
said	said	said
.	.	.
Tanks	tank	Tanks
and	and	and
troops	troop	troop
pressed	press	pressed
quickly	quick	quickly
toward	toward	toward
a	a	a
government	govern	government
-held	-held	-held
enclave	enclav	enclave
in	in	in
the	the	the
city	citi	city
,	,	,
where	where	where
Islamic	islam	Islamic
State	state	State
has	has	ha
trapped	trap	trapped
thousands	thousand	thousand
of	of	of
civilians	civilian	civilian
and	and	and
Syrian	syrian	Syrian
soldiers	soldier	soldier
since	sinc	since
2014	2014	2014
.	.	.
The	the	The
advance	advanc	advance
has	has	ha
opened	open	opened
a	a	a
land	land	land
route	rout	route
linking	link	linking
that	that	that
territory	territori	territory
to	to	to
the	the	the
outside	outsid	outside
.	.	.
The	the	The
advance	advanc	advance
into	into	into
strategic	strateg	strategic
prize	prize	prize
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
,	,	,
a	a	a
city	citi	city
on	on	on
the	the	the
Euphrates	euphrat	Euphrates
river	river	river
and	and	and
once	onc	once
the	the	the
center	center	center
of	of	of
Syria	syria	Syria
s	s	s
oil	oil	oil
industry	industri	industry
,	,	,
is	is	is
a	a	a
significant	signific	significant
victory	victori	victory
for	for	for
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
against	against	against
Islamic	islam	Islamic
State	state	State
and	and	and
another	anoth	another
stinging	sting	stinging
blow	blow	blow
to	to	to
the	the	the
group	group	group
.	.	.
The	the	The
group	group	group
is	is	is
being	be	being
fought	fought	fought
in	in	in
Syria	syria	Syria
by	by	by
government	govern	government
forces	forc	force
,	,	,
backed	back	backed
by	by	by
allies	alli	ally
Iran	iran	Iran
and	and	and
Russia	russia	Russia
,	,	,
and	and	and
separately	separ	separately
by	by	by
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
alliance	allianc	alliance
of	of	of
Arab	arab	Arab
and	and	and
Kurdish	kurdish	Kurdish
fighters	fighter	fighter
.	.	.
In	in	In
Iraq	iraq	Iraq
,	,	,
the	the	the
jihadists	jihadist	jihadist
were	were	were
driven	driven	driven
out	out	out
of	of	of
their	their	their
Mosul	mosul	Mosul
stronghold	stronghold	stronghold
earlier	earlier	earlier
this	this	this
year	year	year
.	.	.
Islamic	islam	Islamic
State	state	State
still	still	still
holds	hold	hold
half	half	half
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
and	and	and
much	much	much
of	of	of
the	the	the
province	provinc	province
,	,	,
however	howev	however
,	,	,
as	as	a
well	well	well
as	as	a
parts	part	part
of	of	of
its	it	it
former	former	former
stronghold	stronghold	stronghold
Raqqa	raqqa	Raqqa
to	to	to
the	the	the
northwest	northwest	northwest
,	,	,
where	where	where
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
offensive	offens	offensive
is	is	is
being	be	being
fought	fought	fought
.	.	.
Our	our	Our
armed	arm	armed
forces	forc	force
and	and	and
allies	alli	ally
,	,	,
with	with	with
support	support	support
from	from	from
Syrian	syrian	Syrian
and	and	and
Russian	russian	Russian
warplanes	warplan	warplane
,	,	,
achieved	achiev	achieved
the	the	the
second	second	second
phase	phase	phase
of	of	of
their	their	their
operations	oper	operation
in	in	in
the	the	the
Syrian	syrian	Syrian
desert	desert	desert
,	,	,
Syria	syria	Syria
s	s	s
military	militari	military
said	said	said
.	.	.
They	they	They
have	have	have
managed	manag	managed
to	to	to
break	break	break
the	the	the
siege	sieg	siege
.	.	.
State	state	State
media	media	medium
and	and	and
a	a	a
war	war	war
monitoring	monitor	monitoring
group	group	group
said	said	said
advancing	advanc	advancing
forces	forc	force
had	had	had
linked	link	linked
up	up	up
with	with	with
the	the	the
besieged	besieg	besieged
troops	troop	troop
at	at	at
a	a	a
garrison	garrison	garrison
on	on	on
the	the	the
western	western	western
edge	edg	edge
of	of	of
the	the	the
city	citi	city
.	.	.
Footage	footag	Footage
on	on	on
Syrian	syrian	Syrian
state	state	state
TV	tv	TV
showed	show	showed
soldiers	soldier	soldier
cheering	cheer	cheering
near	near	near
the	the	the
garrison	garrison	garrison
.	.	.
State	state	State
media	media	medium
said	said	said
residents	resid	resident
in	in	in
government	govern	government
-held	-held	-held
parts	part	part
of	of	of
the	the	the
city	citi	city
were	were	were
celebrating	celebr	celebrating
the	the	the
advance	advanc	advance
.	.	.
The	the	The
Syrian	syrian	Syrian
Observatory	observatori	Observatory
for	for	for
Human	human	Human
Rights	right	Rights
said	said	said
a	a	a
nearby	nearbi	nearby
military	militari	military
air	air	air
base	base	base
and	and	and
three	three	three
districts	district	district
remained	remain	remained
under	under	under
siege	sieg	siege
by	by	by
IS	is	IS
.	.	.
Battles	battl	Battles
still	still	still
raged	rage	raged
around	around	around
the	the	the
city	citi	city
,	,	,
the	the	the
British	british	British
-based	-base	-based
war	war	war
monitor	monitor	monitor
said	said	said
.	.	.
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
governor	governor	governor
Mohammed	moham	Mohammed
Ibrahim	ibrahim	Ibrahim
Samra	samra	Samra
told	told	told
Reuters	reuter	Reuters
that	that	that
government	govern	government
troops	troop	troop
were	were	were
also	also	also
pushing	push	pushing
toward	toward	toward
the	the	the
air	air	air
base	base	base
.	.	.
The	the	The
forces	forc	force
have	have	have
begun	begun	begun
to	to	to
lift	lift	lift
the	the	the
siege	sieg	siege
,	,	,
he	he	he
said	said	said
.	.	.
Our	our	Our
residents	resid	resident
have	have	have
been	been	been
waiting	wait	waiting
for	for	for
this	this	this
moment	moment	moment
.	.	.
.	.	.
.	.	.
forces	forc	force
are	are	are
trying	tri	trying
to	to	to
break	break	break
the	the	the
siege	sieg	siege
on	on	on
the	the	the
military	militari	military
airport	airport	airport
as	as	a
well	well	well
.	.	.
The	the	The
coming	come	coming
days	day	day
will	will	will
see	see	see
the	the	the
clearing	clear	clearing
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
of	of	of
militants	milit	militant
and	and	and
advances	advanc	advance
on	on	on
nearby	nearbi	nearby
countryside	countrysid	countryside
under	under	under
Islamic	islam	Islamic
State	state	State
control	control	control
,	,	,
Samra	samra	Samra
added	ad	added
.	.	.
Assad	assad	Assad
congratulated	congratul	congratulated
the	the	the
troops	troop	troop
in	in	in
a	a	a
statement	statement	statement
from	from	from
his	his	his
office	offic	office
.	.	.
The	the	The
army	armi	army
and	and	and
its	it	it
allies	alli	ally
made	made	made
rapid	rapid	rapid
advances	advanc	advance
in	in	in
recent	recent	recent
days	day	day
pushing	push	pushing
through	through	through
Islamic	islam	Islamic
State	state	State
lines	line	line
with	with	with
the	the	the
help	help	help
of	of	of
heavy	heavi	heavy
artillery	artilleri	artillery
and	and	and
Russian	russian	Russian
air	air	air
strikes	strike	strike
.	.	.
A	a	A
Russian	russian	Russian
warship	warship	warship
in	in	in
the	the	the
Mediterranean	mediterranean	Mediterranean
sea	sea	sea
fired	fire	fired
cruise	cruis	cruise
missiles	missil	missile
at	at	at
Islamic	islam	Islamic
State	state	State
positions	posit	position
near	near	near
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
to	to	to
boost	boost	boost
the	the	the
offensive	offens	offensive
,	,	,
Russia	russia	Russia
s	s	s
defense	defens	defense
ministry	ministri	ministry
said	said	said
.	.	.
The	the	The
city	citi	city
has	has	ha
been	been	been
cut	cut	cut
off	off	off
from	from	from
government	govern	government
-held	-held	-held
Syria	syria	Syria
since	sinc	since
2013	2013	2013
,	,	,
after	after	after
rebel	rebel	rebel
groups	group	group
rose	rose	rose
up	up	up
against	against	against
Assad	assad	Assad
during	dure	during
the	the	the
first	first	first
flush	flush	flush
of	of	of
Syria	syria	Syria
s	s	s
six	six	six
-year	-year	-year
war	war	war
.	.	.
Islamic	islam	Islamic
State	state	State
then	then	then
overran	overran	overran
rebel	rebel	rebel
positions	posit	position
and	and	and
encircled	encircl	encircled
the	the	the
army	armi	army
enclave	enclav	enclave
and	and	and
nearby	nearbi	nearby
air	air	air
base	base	base
in	in	in
2014	2014	2014
.	.	.
The	the	The
United	unit	United
Nations	nation	Nations
said	said	said
in	in	in
August	august	August
it	it	it
estimated	estim	estimated
93	93	93
,	,	,
000	000	000
civilians	civilian	civilian
were	were	were
living	live	living
there	there	there
in	in	in
extremely	extrem	extremely
difficult	difficult	difficult
conditions	condit	condition
.	.	.
During	dure	During
the	the	the
siege	sieg	siege
,	,	,
high	high	high
-altitude	-altitud	-altitude
air	air	air
drops	drop	drop
have	have	have
supplied	suppli	supplied
them	them	them
.	.	.
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
lies	lie	lie
southeast	southeast	southeast
of	of	of
Islamic	islam	Islamic
State	state	State
s	s	s
former	former	former
base	base	base
in	in	in
Raqqa	raqqa	Raqqa
.	.	.
Hemmed	hem	Hemmed
in	in	in
on	on	on
all	all	all
sides	side	side
,	,	,
Islamic	islam	Islamic
State	state	State
fighters	fighter	fighter
have	have	have
fallen	fallen	fallen
back	back	back
on	on	on
footholds	foothold	foothold
downstream	downstream	downstream
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
in	in	in
towns	town	town
near	near	near
the	the	the
Iraq	iraq	Iraq
border	border	border
.	.	.
The	the	The
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
gains	gain	gain
form	form	form
an	an	an
important	import	important
launching	launch	launching
pad	pad	pad
for	for	for
expanding	expand	expanding
military	militari	military
operations	oper	operation
in	in	in
the	the	the
area	area	area
,	,	,
the	the	the
army	armi	army
said	said	said
.	.	.
For	for	For
Damascus	damascus	Damascus
,	,	,
the	the	the
latest	latest	latest
advance	advanc	advance
caps	cap	cap
months	month	month
of	of	of
steady	steadi	steady
progress	progress	progress
as	as	a
the	the	the
army	armi	army
and	and	and
its	it	it
allies	alli	ally
turned	turn	turned
from	from	from
victories	victori	victory
over	over	over
rebels	rebel	rebel
in	in	in
western	western	western
Syria	syria	Syria
to	to	to
push	push	push
east	east	east
against	against	against
Islamic	islam	Islamic
State	state	State
.	.	.
The	the	The
eastwards	eastward	eastward
march	march	march
has	has	ha
on	on	on
occasion	occas	occasion
brought	brought	brought
them	them	them
into	into	into
conflict	conflict	conflict
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
forces	forc	force
.	.	.
Still	still	Still
,	,	,
the	the	the
rival	rival	rival
campaigns	campaign	campaign
have	have	have
mostly	most	mostly
stayed	stay	stayed
out	out	out
of	of	of
each	each	each
other	other	other
s	s	s
way	way	way
,	,	,
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
has	has	ha
stressed	stress	stressed
it	it	it
is	is	is
not	not	not
seeking	seek	seeking
war	war	war
with	with	with
Assad	assad	Assad
.	.	.
In	in	In
a	a	a
statement	statement	statement
on	on	on
Sunday	sunday	Sunday
an	an	an
alliance	allianc	alliance
of	of	of
Iran	iran	Iran
-backed	-back	-backed
Shi	shi	Shi
ite	ite	ite
militias	militia	militia
allied	alli	allied
to	to	to
Damascus	damascus	Damascus
,	,	,
including	includ	including
Lebanon	lebanon	Lebanon
s	s	s
Hezbollah	hezbollah	Hezbollah
,	,	,
accused	accus	accused
Washington	washington	Washington
of	of	of
trying	tri	trying
to	to	to
hinder	hinder	hinder
the	the	the
advance	advanc	advance
to	to	to
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
.	.	.
An	an	An
official	offici	official
in	in	in
the	the	the
pro	pro	pro
-Assad	-assad	-Assad
alliance	allianc	alliance
said	said	said
senior	senior	senior
Iranian	iranian	Iranian
Revolutionary	revolutionari	Revolutionary
Guard	guard	Guard
Corps	corp	Corps
commander	command	commander
Qassem	qassem	Qassem
Soleimani	soleimani	Soleimani
was	was	wa
closely	close	closely
monitoring	monitor	monitoring
fighting	fight	fighting
,	,	,
a	a	a
sign	sign	sign
of	of	of
Iran	iran	Iran
s	s	s
close	close	close
military	militari	military
involvement	involv	involvement
.	.	.
