LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
spoke	spoke	spoke
on	on	on
Monday	monday	Monday
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
and	and	and
agreed	agre	agreed
that	that	that
a	a	a
window	window	window
of	of	of
opportunity	opportun	opportunity
exists	exist	exists
to	to	to
persuade	persuad	persuade
Russia	russia	Russia
to	to	to
break	break	break
ties	tie	tie
with	with	with
Syrian	syrian	Syrian
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
,	,	,
May	may	May
s	s	s
office	offic	office
said	said	said
.	.	.

A	a	A
spokeswoman	spokeswoman	spokeswoman
for	for	for
the	the	the
prime	prime	prime
minister	minist	minister
said	said	said
Trump	trump	Trump
had	had	had
thanked	thank	thanked
May	may	May
for	for	for
her	her	her
support	support	support
following	follow	following
last	last	last
week	week	week
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
action	action	action
in	in	in
Syria	syria	Syria
against	against	against
the	the	the
Assad	assad	Assad
regime	regim	regime
.	.	.

The	the	The
White	white	White
House	hous	House
later	later	later
on	on	on
Monday	monday	Monday
said	said	said
Trump	trump	Trump
had	had	had
spoken	spoken	spoken
with	with	with
May	may	May
and	and	and
separately	separ	separately
with	with	with
German	german	German
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
by	by	by
telephone	telephon	telephone
about	about	about
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
attack	attack	attack
and	and	and
thanked	thank	thanked
them	them	them
for	for	for
their	their	their
support	support	support
.	.	.

It	it	It
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
May	may	May
and	and	and
Merkel	merkel	Merkel
expressed	express	expressed
support	support	support
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
action	action	action
and	and	and
agreed	agre	agreed
with	with	with
Trump	trump	Trump
on	on	on
the	the	the
importance	import	importance
of	of	of
holding	hold	holding
Assad	assad	Assad
accountable	account	accountable
.	.	.

In	in	In
a	a	a
shift	shift	shift
in	in	in
Washington	washington	Washington
s	s	s
strategy	strategi	strategy
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
missiles	missil	missile
hit	hit	hit
a	a	a
Syrian	syrian	Syrian
air	air	air
base	base	base
last	last	last
week	week	week
in	in	in
retaliation	retali	retaliation
for	for	for
what	what	what
the	the	the
United	unit	United
States	state	States
and	and	and
its	it	it
allies	alli	ally
say	say	say
was	was	wa
a	a	a
poison	poison	poison
gas	gas	gas
attack	attack	attack
by	by	by
Syria	syria	Syria
s	s	s
military	militari	military
in	in	in
which	which	which
scores	score	score
of	of	of
civilians	civilian	civilian
died	die	died
.	.	.

The	the	The
Syrian	syrian	Syrian
government	govern	government
has	has	ha
denied	deni	denied
it	it	it
was	was	wa
behind	behind	behind
the	the	the
assault	assault	assault
.	.	.

Trump	trump	Trump
had	had	had
previously	previous	previously
appeared	appear	appeared
disinclined	disinclin	disinclined
to	to	to
intervene	interven	intervene
against	against	against
the	the	the
Syrian	syrian	Syrian
leader	leader	leader
and	and	and
the	the	the
attack	attack	attack
raised	rais	raised
expectations	expect	expectation
that	that	that
he	he	he
might	might	might
now	now	now
be	be	be
ready	readi	ready
to	to	to
adopt	adopt	adopt
a	a	a
tougher	tougher	tougher
-than-expected	-than-expect	-than-expected
stance	stanc	stance
with	with	with
Russia	russia	Russia
,	,	,
Assad	assad	Assad
s	s	s
main	main	main
backer	backer	backer
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
is	is	is
due	due	due
to	to	to
travel	travel	travel
to	to	to
Moscow	moscow	Moscow
this	this	this
week	week	week
and	and	and
the	the	the
spokeswoman	spokeswoman	spokeswoman
for	for	for
May	may	May
said	said	said
the	the	the
two	two	two
leaders	leader	leader
had	had	had
agreed	agre	agreed
during	dure	during
their	their	their
conversation	convers	conversation
that	that	that
the	the	the
visit	visit	visit
was	was	wa
an	an	an
opportunity	opportun	opportunity
to	to	to
make	make	make
progress	progress	progress
toward	toward	toward
a	a	a
solution	solut	solution
.	.	.

The	the	The
prime	prime	prime
minister	minist	minister
and	and	and
the	the	the
president	presid	president
agreed	agre	agreed
that	that	that
a	a	a
window	window	window
of	of	of
opportunity	opportun	opportunity
now	now	now
exists	exist	exists
in	in	in
which	which	which
to	to	to
persuade	persuad	persuade
Russia	russia	Russia
that	that	that
its	it	it
alliance	allianc	alliance
with	with	with
Assad	assad	Assad
is	is	is
no	no	no
longer	longer	longer
in	in	in
its	it	it
strategic	strateg	strategic
interest	interest	interest
,	,	,
the	the	the
spokeswoman	spokeswoman	spokeswoman
said	said	said
.	.	.

They	they	They
agreed	agre	agreed
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Tillerson	tillerson	Tillerson
s	s	s
visit	visit	visit
to	to	to
Moscow	moscow	Moscow
this	this	this
week	week	week
provides	provid	provides
an	an	an
opportunity	opportun	opportunity
to	to	to
make	make	make
progress	progress	progress
toward	toward	toward
a	a	a
solution	solut	solution
which	which	which
will	will	will
deliver	deliv	deliver
a	a	a
lasting	last	lasting
political	polit	political
settlement	settlement	settlement
.	.	.
The	the	The
spokeswoman	spokeswoman	spokeswoman
said	said	said
the	the	the
two	two	two
leaders	leader	leader
had	had	had
also	also	also
stressed	stress	stressed
the	the	the
importance	import	importance
of	of	of
the	the	the
international	intern	international
community	communiti	community
,	,	,
including	includ	including
China	china	China
,	,	,
putting	put	putting
pressure	pressur	pressure
on	on	on
North	north	North
Korea	korea	Korea
to	to	to
constrain	constrain	constrain
the	the	the
threat	threat	threat
it	it	it
poses	pose	pose
.	.	.

