DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
Saudi	saudi	Saudi
Arabia	arabia	Arabia
on	on	on
Saturday	saturday	Saturday
suspended	suspend	suspended
any	ani	any
dialogue	dialogu	dialogue
with	with	with
Qatar	qatar	Qatar
,	,	,
accusing	accus	accusing
it	it	it
of	of	of
distorting	distort	distorting
facts	fact	fact
,	,	,
just	just	just
after	after	after
a	a	a
report	report	report
of	of	of
a	a	a
phone	phone	phone
call	call	call
between	between	between
the	the	the
leaders	leader	leader
of	of	of
both	both	both
countries	countri	country
suggested	suggest	suggested
a	a	a
breakthrough	breakthrough	breakthrough
in	in	in
the	the	the
Gulf	gulf	Gulf
dispute	disput	dispute
.	.	.

Saudi	saudi	Saudi
Arabia	arabia	Arabia
s	s	s
Crown	crown	Crown
Prince	princ	Prince
Mohammed	moham	Mohammed
bin	bin	bin
Salman	salman	Salman
spoke	spoke	spoke
by	by	by
the	the	the
telephone	telephon	telephone
with	with	with
Qatar	qatar	Qatar
s	s	s
Emir	emir	Emir
Sheikh	sheikh	Sheikh
Tamim	tamim	Tamim
bin	bin	bin
Hamad	hamad	Hamad
al	al	al
-Thani	-thani	-Thani
on	on	on
Friday	friday	Friday
when	when	when
they	they	they
discussed	discuss	discussed
the	the	the
Gulf	gulf	Gulf
dispute	disput	dispute
,	,	,
state	state	state
media	media	medium
from	from	from
both	both	both
countries	countri	country
reported	report	reported
earlier	earlier	earlier
.	.	.

Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
the	the	the
UAE	uae	UAE
,	,	,
Egypt	egypt	Egypt
and	and	and
Bahrain	bahrain	Bahrain
cut	cut	cut
diplomatic	diplomat	diplomatic
and	and	and
trade	trade	trade
links	link	link
with	with	with
Qatar	qatar	Qatar
on	on	on
June	june	June
5	5	5
,	,	,
suspending	suspend	suspending
air	air	air
and	and	and
shipping	ship	shipping
routes	rout	route
with	with	with
the	the	the
world	world	world
s	s	s
biggest	biggest	biggest
exporter	export	exporter
of	of	of
liquefied	liquefi	liquefied
natural	natur	natural
gas	gas	gas
,	,	,
which	which	which
is	is	is
home	home	home
to	to	to
the	the	the
region	region	region
s	s	s
biggest	biggest	biggest
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
base	base	base
.	.	.

The	the	The
nations	nation	nation
say	say	say
Doha	doha	Doha
supports	support	support
regional	region	regional
foe	foe	foe
Iran	iran	Iran
and	and	and
Islamists	islamist	Islamists
,	,	,
charges	charg	charge
Qatar	qatar	Qatar
s	s	s
leaders	leader	leader
deny	deni	deny
.	.	.

Kuwait	kuwait	Kuwait
has	has	ha
been	been	been
trying	tri	trying
to	to	to
mediate	mediat	mediate
the	the	the
dispute	disput	dispute
.	.	.

During	dure	During
the	the	the
call	call	call
,	,	,
the	the	the
Emir	emir	Emir
of	of	of
Qatar	qatar	Qatar
expressed	express	expressed
his	his	his
desire	desir	desire
to	to	to
sit	sit	sit
at	at	at
the	the	the
dialogue	dialogu	dialogue
table	tabl	table
and	and	and
discuss	discuss	discus
the	the	the
demands	demand	demand
of	of	of
the	the	the
four	four	four
countries	countri	country
to	to	to
ensure	ensur	ensure
the	the	the
interests	interest	interest
of	of	of
all	all	all
,	,	,
Saudi	saudi	Saudi
state	state	state
news	news	news
agency	agenc	agency
SPA	spa	SPA
reported	report	reported
.	.	.

The	the	The
details	detail	detail
will	will	will
be	be	be
announced	announc	announced
later	later	later
after	after	after
the	the	the
Kingdom	kingdom	Kingdom
of	of	of
Saudi	saudi	Saudi
Arabia	arabia	Arabia
concludes	conclud	concludes
an	an	an
understanding	understand	understanding
with	with	with
the	the	the
United	unit	United
Arab	arab	Arab
Emirates	emir	Emirates
,	,	,
the	the	the
Kingdom	kingdom	Kingdom
of	of	of
Bahrain	bahrain	Bahrain
and	and	and
the	the	the
Arab	arab	Arab
Republic	republ	Republic
of	of	of
Egypt	egypt	Egypt
,	,	,
SPA	spa	SPA
said	said	said
.	.	.

The	the	The
phone	phone	phone
call	call	call
was	was	wa
the	the	the
first	first	first
publicly	public	publicly
reported	report	reported
contact	contact	contact
between	between	between
the	the	the
two	two	two
leaders	leader	leader
since	sinc	since
the	the	the
start	start	start
of	of	of
the	the	the
crisis	crisi	crisis
.	.	.

Qatar	qatar	Qatar
s	s	s
state	state	state
news	news	news
agency	agenc	agency
QNA	qna	QNA
said	said	said
the	the	the
phone	phone	phone
call	call	call
was	was	wa
based	base	based
on	on	on
coordination	coordin	coordination
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
who	who	who
had	had	had
earlier	earlier	earlier
talked	talk	talked
with	with	with
Sheikh	sheikh	Sheikh
Tamim	tamim	Tamim
.	.	.

Trump	trump	Trump
on	on	on
Thursday	thursday	Thursday
said	said	said
he	he	he
would	would	would
be	be	be
willing	will	willing
to	to	to
step	step	step
in	in	in
and	and	and
mediate	mediat	mediate
the	the	the
worst	worst	worst
dispute	disput	dispute
in	in	in
decades	decad	decade
among	among	among
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-allied	-alli	-allied
Arab	arab	Arab
states	state	state
and	and	and
Qatar	qatar	Qatar
,	,	,
and	and	and
said	said	said
he	he	he
thinks	think	think
a	a	a
deal	deal	deal
could	could	could
come	come	come
quickly	quick	quickly
.	.	.

Both	both	Both
Qatar	qatar	Qatar
s	s	s
Emir	emir	Emir
and	and	and
the	the	the
Saudi	saudi	Saudi
Crown	crown	Crown
Prince	princ	Prince
stressed	stress	stressed
the	the	the
need	need	need
to	to	to
resolve	resolv	resolve
the	the	the
crisis	crisi	crisis
by	by	by
sitting	sit	sitting
down	down	down
to	to	to
the	the	the
dialogue	dialogu	dialogue
table	tabl	table
to	to	to
ensure	ensur	ensure
the	the	the
unity	uniti	unity
and	and	and
stability	stabil	stability
of	of	of
the	the	the
GCC	gcc	GCC
countries	countri	country
,	,	,
QNA	qna	QNA
reported	report	reported
.	.	.

Sheikh	sheikh	Sheikh
Tamim	tamim	Tamim
welcomed	welcom	welcomed
the	the	the
proposal	propos	proposal
of	of	of
Prince	princ	Prince
Mohammed	moham	Mohammed
during	dure	during
the	the	the
call	call	call
to	to	to
assign	assign	assign
two	two	two
envoys	envoy	envoy
to	to	to
resolve	resolv	resolve
controversial	controversi	controversial
issues	issu	issue
in	in	in
a	a	a
way	way	way
that	that	that
does	doe	doe
not	not	not
affect	affect	affect
the	the	the
sovereignty	sovereignti	sovereignty
of	of	of
the	the	the
states	state	state
,	,	,
QNA	qna	QNA
said	said	said
.	.	.

Saudi	saudi	Saudi
Arabia	arabia	Arabia
later	later	later
issued	issu	issued
a	a	a
second	second	second
statement	statement	statement
citing	cite	citing
an	an	an
unnamed	unnam	unnamed
official	offici	official
at	at	at
the	the	the
ministry	ministri	ministry
of	of	of
the	the	the
foreign	foreign	foreign
affairs	affair	affair
denying	deni	denying
the	the	the
QNA	qna	QNA
report	report	report
.	.	.

What	what	What
was	was	wa
published	publish	published
on	on	on
the	the	the
Qatar	qatar	Qatar
News	news	News
Agency	agenc	Agency
is	is	is
a	a	a
continuation	continu	continuation
of	of	of
the	the	the
distortion	distort	distortion
of	of	of
the	the	the
Qatari	qatari	Qatari
authority	author	authority
of	of	of
the	the	the
facts	fact	fact
,	,	,
SPA	spa	SPA
reported	report	reported
citing	cite	citing
the	the	the
Saudi	saudi	Saudi
official	offici	official
.	.	.

The	the	The
Kingdom	kingdom	Kingdom
of	of	of
Saudi	saudi	Saudi
Arabia	arabia	Arabia
announces	announc	announces
the	the	the
suspension	suspens	suspension
of	of	of
any	ani	any
dialogue	dialogu	dialogue
or	or	or
communication	communic	communication
with	with	with
the	the	the
authority	author	authority
in	in	in
Qatar	qatar	Qatar
until	until	until
a	a	a
clear	clear	clear
statement	statement	statement
is	is	is
issued	issu	issued
clarifying	clarifi	clarifying
its	it	it
position	posit	position
in	in	in
public	public	public
.	.	.

