PNHOM	pnhom	PNHOM
PENH	penh	PENH
Reuters	reuter	Reuters
-	-	-
Cambodian	cambodian	Cambodian
Prime	prime	Prime
Minister	minist	Minister
Hun	hun	Hun
Sen	sen	Sen
on	on	on
Saturday	saturday	Saturday
called	call	called
on	on	on
lawmakers	lawmak	lawmaker
from	from	from
the	the	the
main	main	main
opposition	opposit	opposition
party	parti	party
to	to	to
defect	defect	defect
ahead	ahead	ahead
of	of	of
a	a	a
court	court	court
ruling	rule	ruling
on	on	on
whether	whether	whether
to	to	to
dissolve	dissolv	dissolve
it	it	it
,	,	,
saying	say	saying
they	they	they
could	could	could
be	be	be
banned	ban	banned
from	from	from
politics	polit	politics
for	for	for
five	five	five
years	year	year
if	if	if
they	they	they
left	left	left
it	it	it
too	too	too
late	late	late
.	.	.

The	the	The
government	govern	government
s	s	s
move	move	move
to	to	to
ban	ban	ban
the	the	the
Cambodia	cambodia	Cambodia
National	nation	National
Rescue	rescu	Rescue
Party	parti	Party
CNRP	cnrp	CNRP
follows	follow	follows
the	the	the
arrest	arrest	arrest
of	of	of
its	it	it
leader	leader	leader
,	,	,
Kem	kem	Kem
Sokha	sokha	Sokha
,	,	,
on	on	on
treason	treason	treason
charges	charg	charge
.	.	.

He	he	He
rejects	reject	reject
the	the	the
charges	charg	charge
as	as	a
politically	polit	politically
motivated	motiv	motivated
ahead	ahead	ahead
of	of	of
next	next	next
year	year	year
s	s	s
general	general	general
election	elect	election
.	.	.

Hun	hun	Hun
Sen	sen	Sen
,	,	,
the	the	the
world	world	world
s	s	s
longest	longest	longest
serving	serv	serving
prime	prime	prime
minister	minist	minister
,	,	,
has	has	ha
held	held	held
power	power	power
for	for	for
more	more	more
than	than	than
32	32	32
years	year	year
.	.	.

Western	western	Western
countries	countri	country
have	have	have
called	call	called
for	for	for
the	the	the
release	releas	release
of	of	of
Kem	kem	Kem
Sokha	sokha	Sokha
and	and	and
for	for	for
an	an	an
end	end	end
to	to	to
attempts	attempt	attempt
to	to	to
dissolve	dissolv	dissolve
the	the	the
CNRP	cnrp	CNRP
.	.	.

Hun	hun	Hun
Sen	sen	Sen
said	said	said
in	in	in
a	a	a
message	messag	message
to	to	to
CNRP	cnrp	CNRP
parliamentarians	parliamentarian	parliamentarian
and	and	and
local	local	local
councillors	councillor	councillor
,	,	,
he	he	he
knew	knew	knew
not	not	not
all	all	all
had	had	had
been	been	been
involved	involv	involved
in	in	in
Kem	kem	Kem
Sokha	sokha	Sokha
s	s	s
alleged	alleg	alleged
treason	treason	treason
and	and	and
they	they	they
should	should	should
take	take	take
the	the	the
chance	chanc	chance
to	to	to
switch	switch	switch
to	to	to
his	his	his
ruling	rule	ruling
Cambodian	cambodian	Cambodian
People	peopl	People
s	s	s
Party	parti	Party
CPP	cpp	CPP
.	.	.

I	i	I
want	want	want
to	to	to
give	give	give
you	you	you
this	this	this
opportunity	opportun	opportunity
to	to	to
continue	continu	continue
in	in	in
your	your	your
job	job	job
,	,	,
he	he	he
said	said	said
.	.	.

It	it	It
will	will	will
not	not	not
only	onli	only
be	be	be
that	that	that
the	the	the
party	parti	party
is	is	is
dissolved	dissolv	dissolved
and	and	and
then	then	then
the	the	the
matter	matter	matter
is	is	is
finished	finish	finished
.	.	.

Maybe	mayb	Maybe
more	more	more
than	than	than
100	100	100
people	peopl	people
will	will	will
be	be	be
banned	ban	banned
from	from	from
politics	polit	politics
for	for	for
five	five	five
years	year	year
.	.	.

He	he	He
said	said	said
such	such	such
a	a	a
ban	ban	ban
was	was	wa
likely	like	likely
to	to	to
include	includ	include
all	all	all
the	the	the
CNRP	cnrp	CNRP
s	s	s
steering	steer	steering
committee	committe	committee
-	-	-
meaning	mean	meaning
most	most	most
of	of	of
its	it	it
members	member	member
of	of	of
parliament	parliament	parliament
,	,	,
around	around	around
half	half	half
of	of	of
whom	whom	whom
have	have	have
fled	fled	fled
Cambodia	cambodia	Cambodia
to	to	to
escape	escap	escape
arrest	arrest	arrest
.	.	.

No	no	No
CNRP	cnrp	CNRP
officials	offici	official
were	were	were
immediately	immedi	immediately
available	avail	available
for	for	for
comment	comment	comment
.	.	.

Cambodia	cambodia	Cambodia
s	s	s
Supreme	suprem	Supreme
Court	court	Court
is	is	is
in	in	in
theory	theori	theory
independent	independ	independent
of	of	of
the	the	the
government	govern	government
in	in	in
ruling	rule	ruling
on	on	on
the	the	the
interior	interior	interior
ministry	ministri	ministry
s	s	s
request	request	request
for	for	for
the	the	the
CNRP	cnrp	CNRP
to	to	to
be	be	be
banned	ban	banned
,	,	,
but	but	but
Hun	hun	Hun
Sen	sen	Sen
has	has	ha
said	said	said
it	it	it
is	is	is
a	a	a
fact	fact	fact
that	that	that
the	the	the
party	parti	party
will	will	will
be	be	be
dissolved	dissolv	dissolved
.	.	.

Cambodia	cambodia	Cambodia
s	s	s
parliament	parliament	parliament
has	has	ha
already	alreadi	already
passed	pass	passed
a	a	a
law	law	law
to	to	to
share	share	share
out	out	out
elected	elect	elected
