TORONTO	toronto	TORONTO
Reuters	reuter	Reuters
-	-	-
Canada	canada	Canada
s	s	s
indigenous	indigen	indigenous
population	popul	population
is	is	is
growing	grow	growing
four	four	four
times	time	time
faster	faster	faster
than	than	than
the	the	the
rest	rest	rest
the	the	the
country	countri	country
,	,	,
census	census	census
data	data	data
showed	show	showed
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
marking	mark	marking
a	a	a
dramatic	dramat	dramatic
increase	increas	increase
in	in	in
the	the	the
ranks	rank	rank
of	of	of
people	peopl	people
who	who	who
have	have	have
long	long	long
struggled	struggl	struggled
with	with	with
poverty	poverti	poverty
and	and	and
marginalization	margin	marginalization
.	.	.

A	a	A
growing	grow	growing
number	number	number
of	of	of
Canadians	canadian	Canadians
identifying	identifi	identifying
themselves	themselv	themselves
as	as	a
indigenous	indigen	indigenous
,	,	,
a	a	a
higher	higher	higher
fertility	fertil	fertility
rate	rate	rate
and	and	and
a	a	a
higher	higher	higher
life	life	life
expectancy	expect	expectancy
for	for	for
indigenous	indigen	indigenous
people	peopl	people
than	than	than
in	in	in
the	the	the
past	past	past
help	help	help
explain	explain	explain
the	the	the
rapid	rapid	rapid
growth	growth	growth
rate	rate	rate
,	,	,
Statistics	statist	Statistics
Canada	canada	Canada
said	said	said
.	.	.

Canada	canada	Canada
s	s	s
indigenous	indigen	indigenous
population	popul	population
grew	grew	grew
42	42	42
.	.	.
5	5	5
percent	percent	percent
in	in	in
the	the	the
10	10	10
years	year	year
to	to	to
2016	2016	2016
to	to	to
1	1	1
.	.	.
7	7	7
million	million	million
people	peopl	people
,	,	,
compared	compar	compared
to	to	to
11	11	11
percent	percent	percent
growth	growth	growth
for	for	for
Canada	canada	Canada
as	as	a
a	a	a
whole	whole	whole
,	,	,
Statistics	statist	Statistics
Canada	canada	Canada
said	said	said
,	,	,
in	in	in
data	data	data
released	releas	released
from	from	from
the	the	the
2016	2016	2016
census	census	census
.	.	.

The	the	The
findings	find	finding
show	show	show
a	a	a
young	young	young
population	popul	population
,	,	,
with	with	with
an	an	an
average	averag	average
age	age	age
of	of	of
32	32	32
.	.	.
1	1	1
years	year	year
,	,	,
compared	compar	compared
with	with	with
40	40	40
.	.	.
9	9	9
for	for	for
the	the	the
non	non	non
-aboriginal	-aborigin	-aboriginal
population	popul	population
.	.	.

The	the	The
census	census	census
,	,	,
which	which	which
showed	show	showed
indigenous	indigen	indigenous
people	peopl	people
accounting	account	accounting
for	for	for
nearly	near	nearly
5	5	5
percent	percent	percent
of	of	of
the	the	the
population	popul	population
overall	overal	overall
,	,	,
also	also	also
found	found	found
a	a	a
younger	younger	younger
generation	generat	generation
significantly	signific	significantly
more	more	more
likely	like	likely
to	to	to
be	be	be
raised	rais	raised
in	in	in
foster	foster	foster
care	care	care
.	.	.

Indigenous	indigen	Indigenous
children	children	child
made	made	made
up	up	up
7	7	7
.	.	.
7	7	7
percent	percent	percent
of	of	of
all	all	all
Canadians	canadian	Canadians
under	under	under
5	5	5
but	but	but
more	more	more
than	than	than
half	half	half
of	of	of
the	the	the
children	children	child
were	were	were
in	in	in
foster	foster	foster
homes	home	home
,	,	,
according	accord	according
to	to	to
the	the	the
census	census	census
data	data	data
.	.	.

The	the	The
census	census	census
also	also	also
found	found	found
that	that	that
one	one	one
fifth	fifth	fifth
of	of	of
the	the	the
indigenous	indigen	indigenous
population	popul	population
lives	live	life
in	in	in
over	over	over
-crowded	-crowd	-crowded
housing	hous	housing
,	,	,
and	and	and
44	44	44
percent	percent	percent
of	of	of
indigenous	indigen	indigenous
people	peopl	people
on	on	on
reserves	reserv	reserve
were	were	were
living	live	living
in	in	in
homes	home	home
that	that	that
needed	need	needed
major	major	major
repairs	repair	repair
.	.	.

Last	last	Last
month	month	month
,	,	,
Canadian	canadian	Canadian
Prime	prime	Prime
Minister	minist	Minister
Justin	justin	Justin
Trudeau	trudeau	Trudeau
said	said	said
Canada	canada	Canada
had	had	had
failed	fail	failed
its	it	it
indigenous	indigen	indigenous
people	peopl	people
.	.	.

In	in	In
a	a	a
speech	speech	speech
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
General	general	General
Assembly	assembl	Assembly
,	,	,
Trudeau	trudeau	Trudeau
acknowledged	acknowledg	acknowledged
the	the	the
dark	dark	dark
history	histori	history
of	of	of
Canada	canada	Canada
s	s	s
colonization	colon	colonization
as	as	a
one	one	one
of	of	of
humiliation	humili	humiliation
,	,	,
neglect	neglect	neglect
and	and	and
abuse	abus	abuse
and	and	and
promised	promis	promised
to	to	to
do	do	do
more	more	more
.	.	.

Statistics	statist	Statistics
Canada	canada	Canada
estimated	estim	estimated
that	that	that
by	by	by
2036	2036	2036
,	,	,
indigenous	indigen	indigenous
people	peopl	people
will	will	will
comprise	compris	comprise
one	one	one
-fifth	-fifth	-fifth
of	of	of
the	the	the
populations	popul	population
of	of	of
the	the	the
prairie	prairi	prairie
provinces	provinc	province
of	of	of
Manitoba	manitoba	Manitoba
and	and	and
Saskatchewan	saskatchewan	Saskatchewan
-	-	-
potentially	potenti	potentially
giving	give	giving
them	them	them
greater	greater	greater
political	polit	political
clout	clout	clout
.	.	.

Canada	canada	Canada
s	s	s
indigenous	indigen	indigenous
people	peopl	people
come	come	come
from	from	from
hundreds	hundr	hundred
of	of	of
nations	nation	nation
and	and	and
bands	band	band
,	,	,
with	with	with
more	more	more
than	than	than
70	70	70
distinct	distinct	distinct
languages	languag	language
.	.	.

They	they	They
include	includ	include
First	first	First
Nations	nation	Nations
,	,	,
M	m	M
tis	tis	ti
,	,	,
people	peopl	people
of	of	of
mixed	mix	mixed
indigenous	indigen	indigenous
and	and	and
European	european	European
background	background	background
,	,	,
and	and	and
Inuit	inuit	Inuit
,	,	,
who	who	who
largely	larg	largely
inhabit	inhabit	inhabit
Canada	canada	Canada
s	s	s
north	north	north
.	.	.

Population	popul	Population
growth	growth	growth
between	between	between
2006	2006	2006
and	and	and
2016	2016	2016
was	was	wa
highest	highest	highest
for	for	for
M	m	M
tis	tis	ti
,	,	,
at	at	at
51	51	51
.	.	.
2	2	2
percent	percent	percent
.	.	.

That	that	That
appeared	appear	appeared
to	to	to
result	result	result
,	,	,
at	at	at
least	least	least
in	in	in
part	part	part
,	,	,
from	from	from
more	more	more
people	peopl	people
calling	call	calling
themselves	themselv	themselves
M	m	M
tis	tis	ti
rather	rather	rather
than	than	than
from	from	from
a	a	a
mushrooming	mushroom	mushrooming
M	m	M
tis	tis	ti
birth	birth	birth
rate	rate	rate
,	,	,
Statistics	statist	Statistics
Canada	canada	Canada
figures	figur	figure
suggest	suggest	suggest
.	.	.

In	in	In
2011	2011	2011
,	,	,
M	m	M
tis	tis	ti
women	women	woman
s	s	s
birth	birth	birth
rate	rate	rate
was	was	wa
just	just	just
12	12	12
.	.	.
5	5	5
percent	percent	percent
higher	higher	higher
than	than	than
that	that	that
of	of	of
non	non	non
-indigenous	-indigen	-indigenous
women	women	woman
.	.	.

I	i	I
think	think	think
these	these	these
are	are	are
people	peopl	people
who	who	who
are	are	are
kind	kind	kind
of	of	of
dipping	dip	dipping
their	their	their
toe	toe	toe
into	into	into
these	these	these
identity	ident	identity
waters	water	water
,	,	,
said	said	said
Chris	chris	Chris
Andersen	andersen	Andersen
,	,	,
a	a	a
professor	professor	professor
and	and	and
dean	dean	dean
of	of	of
Native	nativ	Native
Studies	studi	Studies
at	at	at
the	the	the
University	univers	University
of	of	of
Alberta	alberta	Alberta
.	.	.

