BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
Syria	syria	Syria
s	s	s
army	armi	army
and	and	and
its	it	it
allies	alli	ally
,	,	,
spearheaded	spearhead	spearheaded
by	by	by
Lebanon	lebanon	Lebanon
s	s	s
Hezbollah	hezbollah	Hezbollah
,	,	,
captured	captur	captured
Islamic	islam	Islamic
State	state	State
s	s	s
last	last	last
stronghold	stronghold	stronghold
in	in	in
Syria	syria	Syria
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
a	a	a
commander	command	commander
in	in	in
the	the	the
alliance	allianc	alliance
said	said	said
,	,	,
bringing	bring	bringing
the	the	the
self	self	self
-declared	-declar	-declared
caliphate	caliph	caliphate
close	close	close
to	to	to
complete	complet	complete
downfall	downfal	downfall
.	.	.
The	the	The
last	last	last
stronghold	stronghold	stronghold
of	of	of
Daesh	daesh	Daesh
Islamic	islam	Islamic
State	state	State
,	,	,
Albu	albu	Albu
Kamal	kamal	Kamal
,	,	,
is	is	is
free	free	free
of	of	of
the	the	the
Daesh	daesh	Daesh
organization	organ	organization
,	,	,
said	said	said
the	the	the
commander	command	commander
in	in	in
the	the	the
military	militari	military
alliance	allianc	alliance
supporting	support	supporting
Syrian	syrian	Syrian
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
.	.	.
Islamic	islam	Islamic
State	state	State
has	has	ha
been	been	been
all	all	all
but	but	but
destroyed	destroy	destroyed
over	over	over
the	the	the
past	past	past
two	two	two
years	year	year
.	.	.
At	at	At
the	the	the
height	height	height
of	of	of
its	it	it
power	power	power
in	in	in
2015	2015	2015
,	,	,
it	it	it
ruled	rule	ruled
an	an	an
expanse	expans	expanse
of	of	of
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
,	,	,
eradicating	erad	eradicating
the	the	the
border	border	border
,	,	,
printing	print	printing
money	money	money
,	,	,
imposing	impos	imposing
draconian	draconian	draconian
laws	law	law
and	and	and
plotting	plot	plotting
attacks	attack	attack
across	across	across
the	the	the
world	world	world
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
after	after	after
a	a	a
months	month	month
-long	-long	-long
advance	advanc	advance
through	through	through
central	central	central
and	and	and
eastern	eastern	eastern
Syria	syria	Syria
,	,	,
the	the	the
Syrian	syrian	Syrian
army	armi	army
and	and	and
allied	alli	allied
Shi	shi	Shi
ite	ite	ite
militias	militia	militia
encircled	encircl	encircled
and	and	and
attacked	attack	attacked
Albu	albu	Albu
Kamal	kamal	Kamal
.	.	.
Hezbollah	hezbollah	Hezbollah
was	was	wa
the	the	the
foundation	foundat	foundation
in	in	in
the	the	the
battle	battl	battle
of	of	of
Albu	albu	Albu
Kamal	kamal	Kamal
,	,	,
said	said	said
the	the	the
commander	command	commander
,	,	,
adding	ad	adding
that	that	that
hundreds	hundr	hundred
of	of	of
the	the	the
elite	elit	elite
forces	forc	force
of	of	of
the	the	the
Iran	iran	Iran
-backed	-back	-backed
Shi	shi	Shi
ite	ite	ite
group	group	group
took	took	took
part	part	part
in	in	in
the	the	the
battle	battl	battle
.	.	.
Syrian	syrian	Syrian
state	state	state
television	televis	television
declared	declar	declared
Albu	albu	Albu
Kamal	kamal	Kamal
is	is	is
liberated	liber	liberated
.	.	.
But	but	But
a	a	a
war	war	war
monitor	monitor	monitor
,	,	,
the	the	the
Britain	britain	Britain
-based	-base	-based
Syrian	syrian	Syrian
Observatory	observatori	Observatory
for	for	for
Human	human	Human
Rights	right	Rights
,	,	,
said	said	said
it	it	it
was	was	wa
not	not	not
true	true	true
that	that	that
Albu	albu	Albu
Kamal	kamal	Kamal
was	was	wa
taken	taken	taken
and	and	and
there	there	there
was	was	wa
still	still	still
fighting	fight	fighting
in	in	in
the	the	the
area	area	area
.	.	.
Albu	albu	Albu
Kamal	kamal	Kamal
is	is	is
located	locat	located
on	on	on
the	the	the
border	border	border
with	with	with
Iraq	iraq	Iraq
on	on	on
the	the	the
bank	bank	bank
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
.	.	.
During	dure	During
the	the	the
battle	battl	battle
,	,	,
Hezbollah	hezbollah	Hezbollah
forces	forc	force
entered	enter	entered
Iraq	iraq	Iraq
and	and	and
the	the	the
Iraqi	iraqi	Iraqi
Popular	popular	Popular
Mobilisation	mobilis	Mobilisation
Forces	forc	Forces
crossed	cross	crossed
into	into	into
Syria	syria	Syria
to	to	to
help	help	help
capture	captur	capture
the	the	the
town	town	town
,	,	,
the	the	the
commander	command	commander
said	said	said
.	.	.
Islamic	islam	Islamic
State	state	State
retains	retain	retains
control	control	control
over	over	over
some	some	some
areas	area	area
of	of	of
desert	desert	desert
and	and	and
villages	villag	village
nearby	nearbi	nearby
,	,	,
as	as	a
well	well	well
as	as	a
a	a	a
town	town	town
and	and	and
some	some	some
other	other	other
villages	villag	village
in	in	in
adjacent	adjac	adjacent
areas	area	area
of	of	of
Iraq	iraq	Iraq
,	,	,
and	and	and
in	in	in
scattered	scatter	scattered
pockets	pocket	pocket
elsewhere	elsewher	elsewhere
in	in	in
both	both	both
countries	countri	country
.	.	.
Despite	despit	Despite
its	it	it
losses	loss	loss
,	,	,
Islamic	islam	Islamic
State	state	State
still	still	still
has	has	ha
a	a	a
territorial	territori	territorial
presence	presenc	presence
in	in	in
Libya	libya	Libya
and	and	and
elsewhere	elsewher	elsewhere
,	,	,
and	and	and
many	mani	many
governments	govern	government
expect	expect	expect
it	it	it
to	to	to
remain	remain	remain
a	a	a
threat	threat	threat
even	even	even
after	after	after
it	it	it
loses	lose	loses
the	the	the
caliphate	caliph	caliphate
it	it	it
declared	declar	declared
from	from	from
Mosul	mosul	Mosul
,	,	,
Iraq	iraq	Iraq
,	,	,
in	in	in
2014	2014	2014
.	.	.
It	it	It
has	has	ha
already	alreadi	already
carried	carri	carried
out	out	out
guerrilla	guerrilla	guerrilla
operations	oper	operation
in	in	in
both	both	both
Iraq	iraq	Iraq
and	and	and
in	in	in
Syria	syria	Syria
,	,	,
and	and	and
has	has	ha
continued	continu	continued
to	to	to
inspire	inspir	inspire
lone	lone	lone
militants	milit	militant
to	to	to
attack	attack	attack
civilian	civilian	civilian
targets	target	target
in	in	in
the	the	the
West	west	West
.	.	.
In	in	In
Syria	syria	Syria
,	,	,
the	the	the
end	end	end
of	of	of
major	major	major
operations	oper	operation
against	against	against
Islamic	islam	Islamic
State	state	State
may	may	may
only	onli	only
prefigure	prefigur	prefigure
a	a	a
new	new	new
phase	phase	phase
of	of	of
the	the	the
war	war	war
,	,	,
as	as	a
the	the	the
rival	rival	rival
forces	forc	force
which	which	which
have	have	have
seized	seiz	seized
territory	territori	territory
from	from	from
the	the	the
jihadists	jihadist	jihadist
square	squar	square
off	off	off
.	.	.
The	the	The
Syrian	syrian	Syrian
army	armi	army
,	,	,
alongside	alongsid	alongside
Hezbollah	hezbollah	Hezbollah
and	and	and
other	other	other
Shi	shi	Shi
ite	ite	ite
militias	militia	militia
,	,	,
and	and	and
backed	back	backed
by	by	by
Iran	iran	Iran
and	and	and
Russia	russia	Russia
,	,	,
have	have	have
seized	seiz	seized
swathes	swath	swathe
of	of	of
central	central	central
and	and	and
eastern	eastern	eastern
Syria	syria	Syria
in	in	in
the	the	the
advance	advanc	advance
against	against	against
Islamic	islam	Islamic
State	state	State
this	this	this
year	year	year
.	.	.
Russian	russian	Russian
official	offici	official
media	media	medium
have	have	have
in	in	in
recent	recent	recent
weeks	week	week
reported	report	reported
a	a	a
surge	surg	surge
of	of	of
strategic	strateg	strategic
bombing	bomb	bombing
and	and	and
cruise	cruis	cruise
missile	missil	missile
strikes	strike	strike
on	on	on
Islamic	islam	Islamic
State	state	State
targets	target	target
in	in	in
eastern	eastern	eastern
Syria	syria	Syria
as	as	a
the	the	the
army	armi	army
advanced	advanc	advanced
.	.	.
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
coalition	coalit	coalition
has	has	ha
supported	support	supported
a	a	a
rival	rival	rival
campaign	campaign	campaign
by	by	by
the	the	the
Syrian	syrian	Syrian
Democratic	democrat	Democratic
Forces	forc	Forces
SDF	sdf	SDF
,	,	,
an	an	an
alliance	allianc	alliance
of	of	of
Kurdish	kurdish	Kurdish
and	and	and
Arab	arab	Arab
militias	militia	militia
that	that	that
have	have	have
pushed	push	pushed
Islamic	islam	Islamic
State	state	State
from	from	from
much	much	much
of	of	of
the	the	the
country	countri	country
s	s	s
north	north	north
and	and	and
east	east	east
.	.	.
The	the	The
Syrian	syrian	Syrian
government	govern	government
has	has	ha
sworn	sworn	sworn
to	to	to
recapture	recaptur	recapture
territory	territori	territory
held	held	held
by	by	by
the	the	the
SDF	sdf	SDF
,	,	,
including	includ	including
Islamic	islam	Islamic
State	state	State
s	s	s
former	former	former
capital	capit	capital
Raqqa	raqqa	Raqqa
and	and	and
oil	oil	oil
and	and	and
gas	gas	gas
fields	field	field
east	east	east
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
.	.	.
In	in	In
areas	area	area
controlled	control	controlled
by	by	by
the	the	the
SDF	sdf	SDF
in	in	in
northern	northern	northern
Syria	syria	Syria
,	,	,
Kurdish	kurdish	Kurdish
-led	-led	-led
groups	group	group
have	have	have
established	establish	established
autonomy	autonomi	autonomy
,	,	,
announcing	announc	announcing
elections	elect	election
and	and	and
setting	set	setting
internal	intern	internal
policies	polici	policy
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
,	,	,
Bouthaina	bouthaina	Bouthaina
Shaaban	shaaban	Shaaban
,	,	,
a	a	a
senior	senior	senior
adviser	advis	adviser
to	to	to
Assad	assad	Assad
,	,	,
described	describ	described
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
forces	forc	force
aiding	aid	aiding
the	the	the
SDF	sdf	SDF
as	as	a
illegal	illeg	illegal
invaders	invad	invader
.	.	.
Washington	washington	Washington
has	has	ha
not	not	not
spelled	spell	spelled
out	out	out
how	how	how
its	it	it
military	militari	military
support	support	support
for	for	for
the	the	the
SDF	sdf	SDF
would	would	would
evolve	evolv	evolve
after	after	after
Islamic	islam	Islamic
State	state	State
s	s	s
defeat	defeat	defeat
.	.	.
Shaaban	shaaban	Shaaban
also	also	also
pointed	point	pointed
,	,	,
in	in	in
a	a	a
television	televis	television
interview	interview	interview
,	,	,
to	to	to
the	the	the
example	exampl	example
of	of	of
Iraq	iraq	Iraq
,	,	,
where	where	where
the	the	the
government	govern	government
retaliated	retali	retaliated
against	against	against
an	an	an
autonomous	autonom	autonomous
Kurdish	kurdish	Kurdish
region	region	region
after	after	after
it	it	it
held	held	held
an	an	an
independence	independ	independence
referendum	referendum	referendum
.	.	.
Iraqi	iraqi	Iraqi
military	militari	military
officials	offici	official
say	say	say
small	small	small
groups	group	group
of	of	of
Islamic	islam	Islamic
State	state	State
militants	milit	militant
are	are	are
still	still	still
entrenched	entrench	entrenched
in	in	in
the	the	the
town	town	town
of	of	of
Rawa	rawa	Rawa
and	and	and
the	the	the
border	border	border
desert	desert	desert
strip	strip	strip
with	with	with
Syria	syria	Syria
.	.	.
Scattered	scatter	Scattered
villages	villag	village
near	near	near
al	al	al
-Qaim	-qaim	-Qaim
,	,	,
close	close	close
to	to	to
Albu	albu	Albu
Kamal	kamal	Kamal
,	,	,
are	are	are
still	still	still
under	under	under
militant	milit	militant
control	control	control
in	in	in
an	an	an
area	area	area
called	call	called
Rummana	rummana	Rummana
.	.	.
The	the	The
Iraqi	iraqi	Iraqi
Popular	popular	Popular
Mobilisation	mobilis	Mobilisation
Forces	forc	Forces
PMF	pmf	PMF
,	,	,
an	an	an
alliance	allianc	alliance
of	of	of
militias	militia	militia
,	,	,
earlier	earlier	earlier
on	on	on
Wednesday	wednesday	Wednesday
denied	deni	denied
it	it	it
had	had	had
crossed	cross	crossed
the	the	the
Syrian	syrian	Syrian
border	border	border
and	and	and
was	was	wa
attacking	attack	attacking
Albu	albu	Albu
Kamal	kamal	Kamal
.	.	.
Our	our	Our
movements	movement	movement
are	are	are
carried	carri	carried
out	out	out
under	under	under
orders	order	order
from	from	from
the	the	the
commander	command	commander
in	in	in
chief	chief	chief
of	of	of
the	the	the
armed	arm	armed
forces	forc	force
and	and	and
our	our	our
key	key	key
objective	object	objective
is	is	is
to	to	to
liberate	liber	liberate
Iraq	iraq	Iraq
s	s	s
territories	territori	territory
from	from	from
Daesh	daesh	Daesh
.	.	.
We	we	We
have	have	have
no	no	no
orders	order	order
to	to	to
cross	cross	cross
the	the	the
borders	border	border
,	,	,
PMF	pmf	PMF
spokesman	spokesman	spokesman
Ahmed	ahm	Ahmed
al	al	al
-Asadi	-asadi	-Asadi
said	said	said
.	.	.
