BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
Syrian	syrian	Syrian
troops	troop	troop
crossed	cross	crossed
to	to	to
the	the	the
eastern	eastern	eastern
side	side	side
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
in	in	in
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
on	on	on
Monday	monday	Monday
,	,	,
state	state	state
media	media	medium
and	and	and
a	a	a
monitoring	monitor	monitoring
group	group	group
said	said	said
,	,	,
increasing	increas	increasing
their	their	their
presence	presenc	presence
in	in	in
an	an	an
area	area	area
where	where	where
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
militias	militia	militia
have	have	have
also	also	also
advanced	advanc	advanced
.	.	.
The	the	The
rival	rival	rival
forces	forc	force
are	are	are
conducting	conduct	conducting
offensives	offens	offensive
against	against	against
Islamic	islam	Islamic
State	state	State
and	and	and
have	have	have
generally	general	generally
stayed	stay	stayed
out	out	out
of	of	of
each	each	each
other	other	other
s	s	s
way	way	way
,	,	,
with	with	with
the	the	the
river	river	river
often	often	often
acting	act	acting
as	as	a
a	a	a
dividing	divid	dividing
line	line	line
.	.	.
However	howev	However
,	,	,
incidents	incid	incident
this	this	this
year	year	year
have	have	have
raised	rais	raised
tension	tension	tension
between	between	between
the	the	the
government	govern	government
side	side	side
,	,	,
backed	back	backed
by	by	by
Russia	russia	Russia
,	,	,
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
forces	forc	force
.	.	.
Talks	talk	Talks
have	have	have
been	been	been
under	under	under
way	way	way
to	to	to
extend	extend	extend
a	a	a
formal	formal	formal
demarcation	demarc	demarcation
line	line	line
,	,	,
officials	offici	official
have	have	have
said	said	said
.	.	.
A	a	A
commander	command	commander
in	in	in
a	a	a
militia	militia	militia
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
Syrian	syrian	Syrian
Democratic	democrat	Democratic
Forces	forc	Forces
SDF	sdf	SDF
confirmed	confirm	confirmed
Syrian	syrian	Syrian
army	armi	army
units	unit	unit
had	had	had
crossed	cross	crossed
and	and	and
said	said	said
his	his	his
fighters	fighter	fighter
were	were	were
ready	readi	ready
to	to	to
drive	drive	drive
them	them	them
back	back	back
.	.	.
If	if	If
there	there	there
are	are	are
clashes	clash	clash
between	between	between
us	us	u
and	and	and
them	them	them
-	-	-
we	we	we
re	re	re
ready	readi	ready
for	for	for
those	those	those
if	if	if
the	the	the
forces	forc	force
of	of	of
the	the	the
regime	regim	regime
don	don	don
t	t	t
go	go	go
back	back	back
to	to	to
the	the	the
other	other	other
bank	bank	bank
,	,	,
Ahmed	ahm	Ahmed
Abu	abu	Abu
Khawla	khawla	Khawla
of	of	of
the	the	the
SDF	sdf	SDF
s	s	s
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
military	militari	military
council	council	council
said	said	said
.	.	.
Russia	russia	Russia
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
on	on	on
Friday	friday	Friday
Syrian	syrian	Syrian
government	govern	government
forces	forc	force
crossed	cross	crossed
the	the	the
river	river	river
for	for	for
the	the	the
first	first	first
time	time	time
in	in	in
their	their	their
offensive	offens	offensive
against	against	against
the	the	the
jihadist	jihadist	jihadist
group	group	group
in	in	in
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
.	.	.
Monday	monday	Monday
s	s	s
crossing	cross	crossing
took	took	took
place	place	place
near	near	near
a	a	a
southern	southern	southern
suburb	suburb	suburb
of	of	of
the	the	the
city	citi	city
seized	seiz	seized
by	by	by
the	the	the
army	armi	army
on	on	on
Saturday	saturday	Saturday
,	,	,
the	the	the
British	british	British
-based	-base	-based
Syrian	syrian	Syrian
Observatory	observatori	Observatory
for	for	for
Human	human	Human
Rights	right	Rights
said	said	said
.	.	.
Syrian	syrian	Syrian
state	state	state
news	news	news
agency	agenc	agency
SANA	sana	SANA
said	said	said
heavy	heavi	heavy
fighting	fight	fighting
took	took	took
place	place	place
against	against	against
Islamic	islam	Islamic
State	state	State
in	in	in
the	the	the
area	area	area
.	.	.
The	the	The
militant	milit	militant
group	group	group
said	said	said
via	via	via
its	it	it
online	onlin	online
Amaq	amaq	Amaq
news	news	news
agency	agenc	agency
that	that	that
it	it	it
had	had	had
deployed	deploy	deployed
at	at	at
least	least	least
two	two	two
suicide	suicid	suicide
car	car	car
bombs	bomb	bomb
against	against	against
government	govern	government
forces	forc	force
.	.	.
The	the	The
convergence	converg	convergence
of	of	of
the	the	the
Syrian	syrian	Syrian
army	armi	army
offensive	offens	offensive
from	from	from
the	the	the
west	west	west
and	and	and
the	the	the
SDF	sdf	SDF
operation	oper	operation
from	from	from
the	the	the
east	east	east
has	has	ha
led	led	led
to	to	to
increased	increas	increased
tensions	tension	tension
.	.	.
The	the	The
SDF	sdf	SDF
said	said	said
they	they	they
came	came	came
under	under	under
attack	attack	attack
from	from	from
Syrian	syrian	Syrian
forces	forc	force
and	and	and
Russian	russian	Russian
jets	jet	jet
backing	back	backing
them	them	them
on	on	on
Saturday	saturday	Saturday
,	,	,
after	after	after
Abu	abu	Abu
Khawla	khawla	Khawla
said	said	said
they	they	they
would	would	would
not	not	not
allow	allow	allow
the	the	the
army	armi	army
to	to	to
cross	cross	cross
the	the	the
river	river	river
and	and	and
would	would	would
consider	consid	consider
shots	shot	shot
fired	fire	fired
in	in	in
their	their	their
direction	direct	direction
as	as	a
an	an	an
attack	attack	attack
.	.	.
The	the	The
SDF	sdf	SDF
has	has	ha
advanced	advanc	advanced
to	to	to
within	within	within
kilometres	kilometr	kilometre
of	of	of
the	the	the
river	river	river
,	,	,
while	while	while
the	the	the
Syrian	syrian	Syrian
army	armi	army
has	has	ha
retaken	retaken	retaken
much	much	much
of	of	of
the	the	the
city	citi	city
,	,	,
most	most	most
of	of	of
it	it	it
on	on	on
the	the	the
western	western	western
side	side	side
.	.	.
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
has	has	ha
vowed	vow	vowed
to	to	to
recapture	recaptur	recapture
all	all	all
of	of	of
Syria	syria	Syria
.	.	.
Assad	assad	Assad
controls	control	control
the	the	the
main	main	main
urban	urban	urban
centres	centr	centre
in	in	in
the	the	the
west	west	west
of	of	of
the	the	the
country	countri	country
.	.	.
The	the	The
SDF	sdf	SDF
,	,	,
dominated	domin	dominated
by	by	by
the	the	the
Kurdish	kurdish	Kurdish
YPG	ypg	YPG
militia	militia	militia
,	,	,
controls	control	control
much	much	much
of	of	of
Syria	syria	Syria
s	s	s
northeast	northeast	northeast
.	.	.
Syrian	syrian	Syrian
rebel	rebel	rebel
groups	group	group
which	which	which
have	have	have
fought	fought	fought
against	against	against
Assad	assad	Assad
since	sinc	since
2011	2011	2011
hold	hold	hold
pockets	pocket	pocket
of	of	of
territory	territori	territory
in	in	in
western	western	western
Syria	syria	Syria
.	.	.
Islamic	islam	Islamic
State	state	State
s	s	s
shrinking	shrink	shrinking
territory	territori	territory
includes	includ	includes
much	much	much
of	of	of
oil	oil	oil
-rich	-rich	-rich
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
.	.	.
