VATICAN	vatican	VATICAN
CITY	citi	CITY
Reuters	reuter	Reuters
-	-	-
Pope	pope	Pope
Francis	franci	Francis
canonized	canon	canonized
35	35	35
new	new	new
Roman	roman	Roman
Catholic	cathol	Catholic
saints	saint	saint
on	on	on
Sunday	sunday	Sunday
,	,	,
including	includ	including
three	three	three
indigenous	indigen	indigenous
children	children	child
martyred	martyr	martyred
in	in	in
16th	16th	16th
century	centuri	century
Mexico	mexico	Mexico
and	and	and
considered	consid	considered
the	the	the
first	first	first
Christians	christian	Christians
killed	kill	killed
for	for	for
their	their	their
faith	faith	faith
in	in	in
the	the	the
New	new	New
World	world	World
.	.	.
Francis	franci	Francis
used	use	used
the	the	the
occasion	occas	occasion
to	to	to
announce	announc	announce
that	that	that
he	he	he
had	had	had
decided	decid	decided
to	to	to
call	call	call
a	a	a
meeting	meet	meeting
of	of	of
bishops	bishop	bishop
,	,	,
or	or	or
synod	synod	synod
,	,	,
from	from	from
countries	countri	country
in	in	in
the	the	the
Pan	pan	Pan
-Amazon	-amazon	-Amazon
region	region	region
for	for	for
October	octob	October
,	,	,
2019	2019	2019
,	,	,
to	to	to
discuss	discuss	discus
the	the	the
condition	condit	condition
of	of	of
the	the	the
Church	church	Church
in	in	in
the	the	the
area	area	area
and	and	and
the	the	the
plight	plight	plight
of	of	of
indigenous	indigen	indigenous
people	peopl	people
.	.	.
The	the	The
region	region	region
includes	includ	includes
Guyana	guyana	Guyana
,	,	,
Suriname	surinam	Suriname
,	,	,
French	french	French
Guyana	guyana	Guyana
,	,	,
Venezuela	venezuela	Venezuela
,	,	,
Ecuador	ecuador	Ecuador
,	,	,
Colombia	colombia	Colombia
,	,	,
Bolivia	bolivia	Bolivia
,	,	,
Peru	peru	Peru
and	and	and
Brazil	brazil	Brazil
.	.	.
The	the	The
three	three	three
children	children	child
the	the	the
pope	pope	pope
canonized	canon	canonized
before	befor	before
a	a	a
crowd	crowd	crowd
of	of	of
tens	ten	ten
of	of	of
thousands	thousand	thousand
in	in	in
St	st	St
.	.	.
Peter	peter	Peter
s	s	s
Square	squar	Square
were	were	were
of	of	of
the	the	the
Talaxcaltec	talaxcaltec	Talaxcaltec
people	peopl	people
,	,	,
an	an	an
indigenous	indigen	indigenous
pre	pre	pre
-Colombian	-colombian	-Colombian
group	group	group
in	in	in
what	what	what
is	is	is
now	now	now
Mexico	mexico	Mexico
.	.	.
The	the	The
first	first	first
child	child	child
,	,	,
Cristoforo	cristoforo	Cristoforo
,	,	,
was	was	wa
converted	convert	converted
to	to	to
Christianity	christian	Christianity
by	by	by
Franciscan	franciscan	Franciscan
missionaries	missionari	missionary
and	and	and
was	was	wa
killed	kill	killed
in	in	in
1527	1527	1527
by	by	by
his	his	his
own	own	own
father	father	father
,	,	,
a	a	a
tribal	tribal	tribal
chief	chief	chief
who	who	who
spurned	spurn	spurned
his	his	his
son	son	son
s	s	s
attempts	attempt	attempt
to	to	to
convert	convert	convert
him	him	him
from	from	from
paganism	pagan	paganism
.	.	.
The	the	The
boy	boy	boy
was	was	wa
beaten	beaten	beaten
and	and	and
thrown	thrown	thrown
into	into	into
a	a	a
fire	fire	fire
when	when	when
he	he	he
was	was	wa
13	13	13
.	.	.
Two	two	Two
other	other	other
indigenous	indigen	indigenous
children	children	child
from	from	from
the	the	the
same	same	same
area	area	area
,	,	,
Antonio	antonio	Antonio
and	and	and
Juan	juan	Juan
,	,	,
were	were	were
killed	kill	killed
by	by	by
Indios	indio	Indios
in	in	in
the	the	the
village	villag	village
of	of	of
Cuauhtinchan	cuauhtinchan	Cuauhtinchan
in	in	in
1529	1529	1529
as	as	a
a	a	a
result	result	result
of	of	of
their	their	their
conversion	convers	conversion
.	.	.
They	they	They
are	are	are
believed	believ	believed
to	to	to
have	have	have
been	been	been
12	12	12
or	or	or
13	13	13
when	when	when
they	they	they
were	were	were
beaten	beaten	beaten
to	to	to
death	death	death
for	for	for
helping	help	helping
Dominican	dominican	Dominican
missionaries	missionari	missionary
.	.	.
The	the	The
pope	pope	pope
also	also	also
canonized	canon	canonized
30	30	30
martyrs	martyr	martyr
who	who	who
were	were	were
killed	kill	killed
for	for	for
their	their	their
faith	faith	faith
in	in	in
Brazil	brazil	Brazil
in	in	in
1645	1645	1645
.	.	.
They	they	They
included	includ	included
two	two	two
Portuguese	portugues	Portuguese
missionaries	missionari	missionary
and	and	and
28	28	28
followers	follow	follower
killed	kill	killed
by	by	by
Dutch	dutch	Dutch
colonial	coloni	colonial
soldiers	soldier	soldier
during	dure	during
a	a	a
period	period	period
of	of	of
persecution	persecut	persecution
of	of	of
Catholics	cathol	Catholics
.	.	.
In	in	In
announcing	announc	announcing
the	the	the
2019	2019	2019
synod	synod	synod
for	for	for
bishops	bishop	bishop
from	from	from
the	the	the
Amazon	amazon	Amazon
region	region	region
,	,	,
Francis	franci	Francis
said	said	said
indigenous	indigen	indigenous
people	peopl	people
there	there	there
today	today	today
were	were	were
often	often	often
abandoned	abandon	abandoned
and	and	and
without	without	without
the	the	the
prospect	prospect	prospect
of	of	of
a	a	a
bright	bright	bright
future	futur	future
,	,	,
even	even	even
due	due	due
to	to	to
the	the	the
crisis	crisi	crisis
of	of	of
the	the	the
Amazon	amazon	Amazon
Forest	forest	Forest
,	,	,
a	a	a
lung	lung	lung
of	of	of
utmost	utmost	utmost
importance	import	importance
for	for	for
our	our	our
planet	planet	planet
.	.	.
Francis	franci	Francis
,	,	,
an	an	an
Argentine	argentin	Argentine
and	and	and
the	the	the
first	first	first
Latin	latin	Latin
American	american	American
pope	pope	pope
,	,	,
has	has	ha
often	often	often
linked	link	linked
his	his	his
calls	call	call
for	for	for
social	social	social
justice	justic	justice
,	,	,
particularly	particular	particularly
for	for	for
indigenous	indigen	indigenous
people	peopl	people
,	,	,
to	to	to
those	those	those
for	for	for
defense	defens	defense
of	of	of
the	the	the
environment	environ	environment
,	,	,
saying	say	saying
the	the	the
poor	poor	poor
will	will	will
suffer	suffer	suffer
the	the	the
most	most	most
from	from	from
the	the	the
effects	effect	effect
of	of	of
climate	climat	climate
change	chang	change
.	.	.
In	in	In
2015	2015	2015
he	he	he
wrote	wrote	wrote
a	a	a
landmark	landmark	landmark
encyclical	encycl	encyclical
,	,	,
or	or	or
papal	papal	papal
letter	letter	letter
,	,	,
on	on	on
defense	defens	defense
of	of	of
the	the	the
environment	environ	environment
and	and	and
he	he	he
has	has	ha
called	call	called
for	for	for
special	special	special
protection	protect	protection
for	for	for
the	the	the
Amazon	amazon	Amazon
region	region	region
because	becaus	because
of	of	of
its	it	it
vital	vital	vital
importance	import	importance
to	to	to
the	the	the
planet	planet	planet
s	s	s
ecosystem	ecosystem	ecosystem
.	.	.
In	in	In
his	his	his
comments	comment	comment
on	on	on
Sunday	sunday	Sunday
,	,	,
the	the	the
pope	pope	pope
did	did	did
not	not	not
mention	mention	mention
the	the	the
role	role	role
of	of	of
the	the	the
Church	church	Church
in	in	in
suppressing	suppress	suppressing
native	nativ	native
cultures	cultur	culture
in	in	in
the	the	the
New	new	New
World	world	World
.	.	.
But	but	But
during	dure	during
a	a	a
visit	visit	visit
to	to	to
Bolivia	bolivia	Bolivia
in	in	in
2015	2015	2015
,	,	,
Francis	franci	Francis
said	said	said
many	mani	many
grave	grave	grave
sins	sin	sin
were	were	were
committed	commit	committed
against	against	against
the	the	the
native	nativ	native
people	peopl	people
of	of	of
America	america	America
in	in	in
the	the	the
name	name	name
of	of	of
God	god	God
.	.	.
He	he	He
asked	ask	asked
forgiveness	forgiv	forgiveness
for	for	for
the	the	the
Church	church	Church
,	,	,
for	for	for
crimes	crime	crime
committed	commit	committed
against	against	against
native	nativ	native
peoples	peopl	people
during	dure	during
the	the	the
so	so	so
-called	-call	-called
conquest	conquest	conquest
of	of	of
America	america	America
.	.	.
On	on	On
Sunday	sunday	Sunday
,	,	,
Francis	franci	Francis
also	also	also
canonized	canon	canonized
Father	father	Father
Faustino	faustino	Faustino
Miguez	miguez	Miguez
,	,	,
a	a	a
Spanish	spanish	Spanish
priest	priest	priest
who	who	who
lived	live	lived
in	in	in
the	the	the
19th	19th	19th
and	and	and
20th	20th	20th
centuries	centuri	century
,	,	,
and	and	and
Father	father	Father
Angelo	angelo	Angelo
d	d	d
Acri	acri	Acri
,	,	,
an	an	an
Italian	italian	Italian
itinerant	itiner	itinerant
preacher	preacher	preacher
who	who	who
died	die	died
in	in	in
1739	1739	1739
after	after	after
serving	serv	serving
in	in	in
some	some	some
of	of	of
the	the	the
most	most	most
remote	remot	remote
areas	area	area
of	of	of
mountainous	mountain	mountainous
southern	southern	southern
Italy	itali	Italy
.	.	.
