Token	Stem	Lemma
Reuters	reuter	Reuters
U	u	U
S	s	S
Democratic	democrat	Democratic
presidential	presidenti	presidential
candidate	candid	candidate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
Republican	republican	Republican
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
are	are	are
in	in	in
a	a	a
tight	tight	tight
race	race	race
ahead	ahead	ahead
of	of	of
the	the	the
Nov	nov	Nov
8	8	8
U	u	U
S	s	S
presidential	presidenti	presidential
election	elect	election
Following	follow	Following
is	is	is
a	a	a
weekly	week	weekly
roundup	roundup	roundup
of	of	of
financial	financi	financial
market	market	market
analysts	analyst	analyst
views	view	view
on	on	on
the	the	the
likely	like	likely
outcome	outcom	outcome
of	of	of
the	the	the
U	u	U
S	s	S
elections	elect	election
and	and	and
the	the	the
possible	possibl	possible
implications	implic	implication
of	of	of
a	a	a
Trump	trump	Trump
or	or	or
Clinton	clinton	Clinton
win	win	win
on	on	on
financial	financi	financial
markets	market	market
MORE	more	MORE
COVERAGE	coverag	COVERAGE
bit	bit	bit
ly	ly	ly
2dOgcoE	2dogco	2dOgcoE
SEE	see	SEE
RELATED	relat	RELATED
FACTBOX	factbox	FACTBOX
reut	reut	reut
rs	rs	r
2ewdRdg	2ewdrdg	2ewdRdg
LARRY	larri	LARRY
BIEGELSEN	biegelsen	BIEGELSEN
SENIOR	senior	SENIOR
ANALYST	analyst	ANALYST
HEALTHCARE	healthcar	HEALTHCARE
TEAM	team	TEAM
WELLS	well	WELLS
FARGO	fargo	FARGO
The	the	The
probability	probabl	probability
of	of	of
either	either	either
a	a	a
Republican	republican	Republican
or	or	or
a	a	a
Democratic	democrat	Democratic
sweep	sweep	sweep
of	of	of
both	both	both
the	the	the
Executive	execut	Executive
and	and	and
Legislative	legisl	Legislative
branches	branch	branch
is	is	is
low	low	low
but	but	but
certainly	certain	certainly
not	not	not
negligible	neglig	negligible
We	we	We
think	think	think
these	these	these
scenarios	scenario	scenario
would	would	would
be	be	be
more	more	more
volatile	volatil	volatile
for	for	for
stocks	stock	stock
REPUBLICAN	republican	REPUBLICAN
SWEEP	sweep	SWEEP
Positive	posit	Positive
for	for	for
devices	devic	device
pharma	pharma	pharma
biotech	biotech	biotech
tools	tool	tool
and	and	and
pharmacy	pharmaci	pharmacy
benefit	benefit	benefit
managers	manag	manager
PBMs	pbms	PBMs
Negative	negat	Negative
for	for	for
managed	manag	managed
care	care	care
facilities	facil	facility
and	and	and
digital	digit	digital
health	health	health
stocks	stock	stock
DEMOCRATIC	democrat	DEMOCRATIC
SWEEP	sweep	SWEEP
Positive	posit	Positive
for	for	for
managed	manag	managed
care	care	care
facilities	facil	facility
and	and	and
digital	digit	digital
health	health	health
stocks	stock	stock
Negative	negat	Negative
for	for	for
devices	devic	device
pharma	pharma	pharma
biotech	biotech	biotech
tools	tool	tool
and	and	and
PBMs	pbms	PBMs
With	with	With
Trump	trump	Trump
s	s	s
chances	chanc	chance
fading	fade	fading
and	and	and
Clinton	clinton	Clinton
s	s	s
lead	lead	lead
growing	grow	growing
the	the	the
Democratic	democrat	Democratic
Sweep	sweep	Sweep
now	now	now
carries	carri	carry
greater	greater	greater
albeit	albeit	albeit
still	still	still
small	small	small
odds	odd	odds
raising	rais	raising
the	the	the
prospects	prospect	prospect
for	for	for
increased	increas	increased
infrastructure	infrastructur	infrastructure
spending	spend	spending
a	a	a
positive	posit	positive
bias	bias	bias
for	for	for
risk	risk	risk
assets	asset	asset
and	and	and
for	for	for
heavier	heavier	heavier
regulation	regul	regulation
of	of	of
the	the	the
financial	financi	financial
and	and	and
pharma	pharma	pharma
sectors	sector	sector
a	a	a
negative	negat	negative
bias	bias	bias
for	for	for
both	both	both
We	we	We
think	think	think
short	short	short
-term	-term	-term
risk	risk	risk
for	for	for
the	the	the
broader	broader	broader
U	u	U
S	s	S
equity	equiti	equity
market	market	market
has	has	ha
been	been	been
reduced	reduc	reduced
but	but	but
not	not	not
eliminated	elimin	eliminated
In	in	In
many	mani	many
investors	investor	investor
minds	mind	mind
the	the	the
perceived	perceiv	perceived
risks	risk	risk
associated	associ	associated
with	with	with
a	a	a
Trump	trump	Trump
victory	victori	victory
in	in	in
the	the	the
Presidential	presidenti	Presidential
race	race	race
have	have	have
been	been	been
replaced	replac	replaced
with	with	with
concerns	concern	concern
about	about	about
the	the	the
implications	implic	implication
of	of	of
a	a	a
Democratic	democrat	Democratic
sweep	sweep	sweep
of	of	of
leadership	leadership	leadership
in	in	in
Congress	congress	Congress
for	for	for
both	both	both
the	the	the
Senate	senat	Senate
and	and	and
House	hous	House
to	to	to
flip	flip	flip
CLINTON	clinton	CLINTON
WIN	win	WIN
Near	near	Near
-term	-term	-term
the	the	the
increased	increas	increased
chance	chanc	chance
of	of	of
a	a	a
Clinton	clinton	Clinton
victory	victori	victory
seems	seem	seems
good	good	good
for	for	for
stocks	stock	stock
with	with	with
high	high	high
international	intern	international
exposure	exposur	exposure
and	and	and
industrials	industri	industrials
In	in	In
the	the	the
case	case	case
of	of	of
industrials	industri	industrials
we	we	we
see	see	see
a	a	a
fundamental	fundament	fundamental
underpinning	underpin	underpinning
of	of	of
support	support	support
from	from	from
a	a	a
Clinton	clinton	Clinton
victory	victori	victory
in	in	in
the	the	the
form	form	form
of	of	of
plans	plan	plan
to	to	to
increase	increas	increase
infrastructure	infrastructur	infrastructure
spending	spend	spending
The	the	The
