SEOUL	seoul	SEOUL
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
flew	flew	flew
two	two	two
strategic	strateg	strategic
bombers	bomber	bomber
over	over	over
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
in	in	in
a	a	a
show	show	show
of	of	of
force	forc	force
late	late	late
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
as	as	a
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
met	met	met
top	top	top
defense	defens	defense
officials	offici	official
to	to	to
discuss	discuss	discus
how	how	how
to	to	to
respond	respond	respond
to	to	to
any	ani	any
threat	threat	threat
from	from	from
North	north	North
Korea	korea	Korea
.	.	.
Tensions	tension	Tensions
have	have	have
soared	soar	soared
between	between	between
the	the	the
United	unit	United
States	state	States
and	and	and
North	north	North
Korea	korea	Korea
following	follow	following
a	a	a
series	seri	series
of	of	of
weapons	weapon	weapon
tests	test	test
by	by	by
Pyongyang	pyongyang	Pyongyang
and	and	and
a	a	a
string	string	string
of	of	of
increasingly	increas	increasingly
bellicose	bellicos	bellicose
exchanges	exchang	exchange
between	between	between
Trump	trump	Trump
and	and	and
North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
.	.	.
North	north	North
Korea	korea	Korea
has	has	ha
launched	launch	launched
two	two	two
missiles	missil	missile
over	over	over
Japan	japan	Japan
and	and	and
conducted	conduct	conducted
its	it	it
sixth	sixth	sixth
nuclear	nuclear	nuclear
test	test	test
in	in	in
recent	recent	recent
weeks	week	week
as	as	a
it	it	it
fast	fast	fast
advances	advanc	advance
toward	toward	toward
its	it	it
goal	goal	goal
of	of	of
developing	develop	developing
a	a	a
nuclear	nuclear	nuclear
-tipped	-tip	-tipped
missile	missil	missile
capable	capabl	capable
of	of	of
hitting	hit	hitting
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
mainland	mainland	mainland
.	.	.
The	the	The
two	two	two
U	u	U
.	.	.
S	s	S
.	.	.
Air	air	Air
Force	forc	Force
B	b	B
-1B	-1b	-1B
bombers	bomber	bomber
were	were	were
joined	join	joined
by	by	by
two	two	two
F	f	F
-15K	-15k	-15K
fighters	fighter	fighter
from	from	from
the	the	the
South	south	South
Korean	korean	Korean
military	militari	military
after	after	after
leaving	leav	leaving
their	their	their
base	base	base
in	in	in
Guam	guam	Guam
,	,	,
South	south	South
Korea	korea	Korea
s	s	s
Joint	joint	Joint
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
After	after	After
entering	enter	entering
South	south	South
Korean	korean	Korean
airspace	airspac	airspace
,	,	,
the	the	the
two	two	two
bombers	bomber	bomber
carried	carri	carried
out	out	out
air	air	air
-to-ground	-to-ground	-to-ground
missile	missil	missile
drills	drill	drill
in	in	in
waters	water	water
off	off	off
the	the	the
east	east	east
coast	coast	coast
of	of	of
South	south	South
Korea	korea	Korea
,	,	,
then	then	then
flew	flew	flew
over	over	over
the	the	the
South	south	South
to	to	to
waters	water	water
between	between	between
