SAN	san	SAN
FRANCISCO	francisco	FRANCISCO
Reuters	reuter	Reuters
-	-	-
Alphabet	alphabet	Alphabet
Inc	inc	Inc
s	s	s
Google	googl	Google
and	and	and
Facebook	facebook	Facebook
Inc	inc	Inc
on	on	on
Wednesday	wednesday	Wednesday
joined	join	joined
a	a	a
legal	legal	legal
challenge	challeng	challenge
by	by	by
more	more	more
than	than	than
100	100	100
tech	tech	tech
companies	compani	company
against	against	against
a	a	a
decision	decis	decision
to	to	to
end	end	end
protection	protect	protection
for	for	for
so	so	so
-called	-call	-called
Dreamer	dreamer	Dreamer
immigrants	immigr	immigrant
,	,	,
the	the	the
companies	compani	company
told	told	told
Reuters	reuter	Reuters
.	.	.
A	a	A
legal	legal	legal
briefing	brief	briefing
was	was	wa
filed	file	filed
Wednesday	wednesday	Wednesday
afternoon	afternoon	afternoon
on	on	on
the	the	the
Deferred	defer	Deferred
Action	action	Action
for	for	for
Childhood	childhood	Childhood
Arrivals	arriv	Arrivals
DACA	daca	DACA
program	program	program
,	,	,
which	which	which
protects	protect	protects
immigrants	immigr	immigrant
brought	brought	brought
into	into	into
the	the	the
United	unit	United
States	state	States
illegally	illeg	illegally
as	as	a
children	children	child
from	from	from
deportation	deport	deportation
and	and	and
which	which	which
the	the	the
Trump	trump	Trump
administration	administr	administration
has	has	ha
decided	decid	decided
to	to	to
scrap	scrap	scrap
.	.	.
Tech	tech	Tech
firms	firm	firm
argue	argu	argue
that	that	that
such	such	such
immigrants	immigr	immigrant
are	are	are
vital	vital	vital
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
economy	economi	economy
and	and	and
that	that	that
ending	end	ending
the	the	the
program	program	program
will	will	will
hit	hit	hit
growth	growth	growth
.	.	.
The	the	The
filing	file	filing
is	is	is
in	in	in
support	support	support
of	of	of
a	a	a
lawsuit	lawsuit	lawsuit
filed	file	filed
by	by	by
California	california	California
Attorney	attorney	Attorney
General	general	General
Xavier	xavier	Xavier
Becerra	becerra	Becerra
in	in	in
the	the	the
Northern	northern	Northern
District	district	District
of	of	of
California	california	California
,	,	,
according	accord	according
to	to	to
the	the	the
filing	file	filing
.	.	.
Tech	tech	Tech
companies	compani	company
signed	sign	signed
on	on	on
to	to	to
the	the	the
amicus	amicus	amicus
brief	brief	brief
-	-	-
a	a	a
supporting	support	supporting
document	document	document
in	in	in
a	a	a
case	case	case
,	,	,
submitted	submit	submitted
by	by	by
interested	interest	interested
parties	parti	party
-	-	-
also	also	also
included	includ	included
Airbnb	airbnb	Airbnb
,	,	,
Microsoft	microsoft	Microsoft
Corp	corp	Corp
,	,	,
Salesforce	salesforc	Salesforce
.	.	.
com	com	com
Inc	inc	Inc
,	,	,
Lyft	lyft	Lyft
,	,	,
Uber	uber	Uber
UBER	uber	UBER
.	.	.
UL	ul	UL
and	and	and
Twitter	twitter	Twitter
Inc	inc	Inc
.	.	.
Becerra	becerra	Becerra
filed	file	filed
an	an	an
additional	addit	additional
motion	motion	motion
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
seeks	seek	seek
to	to	to
put	put	put
a	a	a
block	block	block
on	on	on
the	the	the
withdrawal	withdraw	withdrawal
of	of	of
DACA	daca	DACA
.	.	.
That	that	That
was	was	wa
supported	support	supported
by	by	by
iPhone	iphon	iPhone
maker	maker	maker
Apple	appl	Apple
Inc	inc	Inc
.	.	.
Apple	appl	Apple
will	will	will
be	be	be
harmed	harm	harmed
significantly	signific	significantly
if	if	if
it	it	it
