RICHMOND	richmond	RICHMOND
,	,	,
VA	va	VA
.	.	.

Reuters	reuter	Reuters
-	-	-
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
appeals	appeal	appeal
court	court	court
on	on	on
Thursday	thursday	Thursday
heard	heard	heard
Virginia	virginia	Virginia
Democrats	democrat	Democrats
challenge	challeng	challenge
to	to	to
a	a	a
Republican	republican	Republican
-backed	-back	-backed
state	state	state
law	law	law
requiring	requir	requiring
prospective	prospect	prospective
voters	voter	voter
to	to	to
show	show	show
approved	approv	approved
photo	photo	photo
identification	identif	identification
before	befor	before
casting	cast	casting
ballots	ballot	ballot
.	.	.

The	the	The
three	three	three
-judge	-judg	-judge
panel	panel	panel
from	from	from
the	the	the
Fourth	fourth	Fourth
Circuit	circuit	Circuit
Court	court	Court
of	of	of
Appeals	appeal	Appeals
repeatedly	repeat	repeatedly
questioned	question	questioned
attorneys	attorney	attorney
about	about	about
similarities	similar	similarity
between	between	between
Virginia	virginia	Virginia
s	s	s
2013	2013	2013
statute	statut	statute
and	and	and
North	north	North
Carolina	carolina	Carolina
s	s	s
photo	photo	photo
ID	id	ID
law	law	law
.	.	.

The	the	The
appeals	appeal	appeal
court	court	court
struck	struck	struck
down	down	down
the	the	the
North	north	North
Carolina	carolina	Carolina
law	law	law
in	in	in
July	juli	July
,	,	,
ruling	rule	ruling
that	that	that
it	it	it
intentionally	intent	intentionally
discriminated	discrimin	discriminated
against	against	against
minority	minor	minority
voters	voter	voter
.	.	.

The	the	The
Virginia	virginia	Virginia
Democratic	democrat	Democratic
Party	parti	Party
wants	want	want
the	the	the
law	law	law
overturned	overturn	overturned
,	,	,
contending	contend	contending
the	the	the
measure	measur	measure
was	was	wa
intended	intend	intended
to	to	to
counter	counter	counter
its	it	it
growing	grow	growing
political	polit	political
clout	clout	clout
in	in	in
the	the	the
state	state	state
.	.	.

Republicans	republican	Republicans
say	say	say
it	it	it
was	was	wa
aimed	aim	aimed
at	at	at
combating	combat	combating
voter	voter	voter
fraud	fraud	fraud
.	.	.

Judge	judg	Judge
Dennis	denni	Dennis
Shedd	shedd	Shedd
asked	ask	asked
attorney	attorney	attorney
Bruce	bruce	Bruce
Spiva	spiva	Spiva
,	,	,
who	who	who
represented	repres	represented
opponents	oppon	opponent
of	of	of
the	the	the
law	law	law
Was	was	Was
it	it	it
as	as	a
egregious	egregi	egregious
as	as	a
North	north	North
Carolina	carolina	Carolina
s	s	s
law	law	law
was	was	wa
as	as	a
seen	seen	seen
by	by	by
the	the	the
court	court	court
?	?	?
Yes	yes	Yes
,	,	,
your	your	your
honor	honor	honor
,	,	,
said	said	said
Spiva	spiva	Spiva
.	.	.

Was	was	Was
the	the	the
motive	motiv	motive
in	in	in
Virginia	virginia	Virginia
as	as	a
bad	bad	bad
if	if	if
not	not	not
worse	wors	worse
?	?	?
Shedd	shedd	Shedd
asked	ask	asked
,	,	,
referring	refer	referring
to	to	to
the	the	the
intent	intent	intent
of	of	of
racism	racism	racism
found	found	found
by	by	by
the	the	the
court	court	court
in	in	in
North	north	North
Carolina	carolina	Carolina
s	s	s
law	law	law
.	.	.

As	as	As
bad	bad	bad
,	,	,
your	your	your
honor	honor	honor
,	,	,
Spiva	spiva	Spiva
said	said	said
.	.	.

He	he	He
added	ad	added
that	that	that
the	the	the
law	law	law
was	was	wa
especially	especi	especially
burdensome	burdensom	burdensome
for	for	for
minorities	minor	minority
and	and	and
young	young	young
people	peopl	people
,	,	,
who	who	who
tend	tend	tend
to	to	to
vote	vote	vote
Democratic	democrat	Democratic
.	.	.

Mark	mark	Mark
Hearne	hearn	Hearne
,	,	,
who	who	who
defended	defend	defended
the	the	the
state	state	state
measure	measur	measure
,	,	,
said	said	said
the	the	the
Virginia	virginia	Virginia
photo	photo	photo
ID	id	ID
law	law	law
was	was	wa
different	differ	different
from	from	from
North	north	North
Carolina	carolina	Carolina
s	s	s
.	.	.

Among	among	Among
other	other	other
factors	factor	factor
,	,	,
Hearne	hearn	Hearne
said	said	said
,	,	,
there	there	there
had	had	had
been	been	been
no	no	no
evidence	evid	evidence
of	of	of
discriminatory	discriminatori	discriminatory
intent	intent	intent
as	as	a
the	the	the
court	court	court
found	found	found
in	in	in
the	the	the
North	north	North
Carolina	carolina	Carolina
case	case	case
.	.	.

The	the	The
appeal	appeal	appeal
ahead	ahead	ahead
of	of	of
the	the	the
Nov	nov	Nov
.	.	.

8	8	8
elections	elect	election
is	is	is
among	among	among
several	sever	several
legal	legal	legal
challenges	challeng	challenge
around	around	around
the	the	the
United	unit	United
States	state	States
to	to	to
voter	voter	voter
identification	identif	identification
laws	law	law
that	that	that
were	were	were
driven	driven	driven
by	by	by
Republicans	republican	Republicans
,	,	,
who	who	who
argue	argu	argue
that	that	that
they	they	they
prevent	prevent	prevent
election	elect	election
fraud	fraud	fraud
.	.	.

The	the	The
appeals	appeal	appeal
panel	panel	panel
did	did	did
not	not	not
say	say	say
when	when	when
it	it	it
might	might	might
rule	rule	rule
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Judge	judg	Judge
Henry	henri	Henry
Hudson	hudson	Hudson
in	in	in
May	may	May
had	had	had
upheld	upheld	upheld
the	the	the
law	law	law
passed	pass	passed
by	by	by
the	the	the
Republican	republican	Republican
-led	-led	-led
legislature	legislatur	legislature
and	and	and
signed	sign	signed
by	by	by
then	then	then
-Governor	-governor	-Governor
Robert	robert	Robert
McDonnell	mcdonnel	McDonnell
,	,	,
also	also	also
a	a	a
Republican	republican	Republican
.	.	.

He	he	He
said	said	said
the	the	the
inconvenience	inconveni	inconvenience
to	to	to
potential	potenti	potential
voters	voter	voter
was	was	wa
not	not	not
enough	enough	enough
to	to	to
merit	merit	merit
striking	strike	striking
it	it	it
down	down	down
.	.	.

Democrats	democrat	Democrats
have	have	have
made	made	made
gains	gain	gain
in	in	in
the	the	the
state	state	state
,	,	,
once	onc	once
a	a	a
Republican	republican	Republican
stronghold	stronghold	stronghold
.	.	.

President	presid	President
Barack	barack	Barack
Obama	obama	Obama
won	won	won
the	the	the
state	state	state
in	in	in
2008	2008	2008
,	,	,
boosted	boost	boosted
by	by	by
turnout	turnout	turnout
among	among	among
black	black	black
,	,	,
Latino	latino	Latino
and	and	and
young	young	young
voters	voter	voter
,	,	,
and	and	and
again	again	again
in	in	in
2012	2012	2012
.	.	.

Virginia	virginia	Virginia
s	s	s
governor	governor	governor
,	,	,
lieutenant	lieuten	lieutenant
governor	governor	governor
,	,	,
attorney	attorney	attorney
general	general	general
and	and	and
both	both	both
U	u	U
.	.	.
S	s	S
.	.	.
senators	senat	senator
are	are	are
Democrats	democrat	Democrats
.	.	.

Democratic	democrat	Democratic
presidential	presidenti	presidential
nominee	nomine	nominee
Hillary	hillari	Hillary
Clinton	clinton	Clinton
also	also	also
leads	lead	lead
Republican	republican	Republican
opponent	oppon	opponent
Donald	donald	Donald
Trump	trump	Trump
in	in	in
Virginia	virginia	Virginia
opinion	opinion	opinion
polls	poll	poll
.	.	.

In	in	In
