UNITED	unit	UNITED
NATIONS	nation	NATIONS
Reuters	reuter	Reuters
-	-	-
A	a	A
confidential	confidenti	confidential
draft	draft	draft
United	unit	United
Nations	nation	Nations
blacklist	blacklist	blacklist
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
on	on	on
Tuesday	tuesday	Tuesday
names	name	name
a	a	a
Saudi	saudi	Saudi
Arabia	arabia	Arabia
-led	-led	-led
military	militari	military
coalition	coalit	coalition
for	for	for
killing	kill	killing
and	and	and
maiming	maim	maiming
children	children	child
in	in	in
Yemen	yemen	Yemen
,	,	,
though	though	though
it	it	it
notes	note	note
that	that	that
the	the	the
alliance	allianc	alliance
has	has	ha
put	put	put
in	in	in
place	place	place
measures	measur	measure
to	to	to
improve	improv	improve
child	child	child
protection	protect	protection
.	.	.

In	in	In
an	an	an
effort	effort	effort
to	to	to
dampen	dampen	dampen
controversy	controversi	controversy
surrounding	surround	surrounding
the	the	the
annual	annual	annual
children	children	child
and	and	and
armed	arm	armed
conflict	conflict	conflict
report	report	report
,	,	,
the	the	the
draft	draft	draft
blacklist	blacklist	blacklist
-	-	-
contained	contain	contained
in	in	in
an	an	an
annex	annex	annex
to	to	to
the	the	the
full	full	full
report	report	report
-	-	-
is	is	is
split	split	split
into	into	into
listed	list	listed
parties	parti	party
that	that	that
have	have	have
put	put	put
in	in	in
place	place	place
measures	measur	measure
during	dure	during
the	the	the
reporting	report	reporting
period	period	period
to	to	to
improve	improv	improve
the	the	the
protection	protect	protection
of	of	of
children	children	child
and	and	and
those	those	those
which	which	which
have	have	have
not	not	not
.	.	.

In	in	In
Yemen	yemen	Yemen
,	,	,
the	the	the
coalition	coalit	coalition
s	s	s
actions	action	action
objectively	object	objectively
led	led	led
to	to	to
the	the	the
listing	list	listing
for	for	for
the	the	the
killing	kill	killing
and	and	and
maiming	maim	maiming
of	of	of
children	children	child
,	,	,
with	with	with
683	683	683
child	child	child
casualties	casualti	casualty
attributed	attribut	attributed
to	to	to
this	this	this
party	parti	party
,	,	,
and	and	and
,	,	,
as	as	a
a	a	a
result	result	result
of	of	of
being	be	being
responsible	respons	responsible
for	for	for
38	38	38
verified	verifi	verified
incidents	incid	incident
,	,	,
for	for	for
attacks	attack	attack
on	on	on
schools	school	school
and	and	and
hospitals	hospit	hospital
during	dure	during
2016	2016	2016
,	,	,
according	accord	according
to	to	to
a	a	a
draft	draft	draft
explanation	explan	explanation
of	of	of
the	the	the
blacklist	blacklist	blacklist
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
.	.	.

The	the	The
coalition	coalit	coalition
is	is	is
included	includ	included
in	in	in
section	section	section
B	b	B
of	of	of
Annex	annex	Annex
I	i	I
,	,	,
as	as	a
it	it	it
has	has	ha
put	put	put
in	in	in
place	place	place
measures	measur	measure
during	dure	during
the	the	the
reporting	report	reporting
period	period	period
aimed	aim	aimed
at	at	at
improving	improv	improving
the	the	the
protection	protect	protection
of	of	of
children	children	child
,	,	,
the	the	the
draft	draft	draft
said	said	said
.	.	.

The	the	The
draft	draft	draft
U	u	U
.	.	.
N	n	N
.	.	.
annex	annex	annex
blacklists	blacklist	blacklist
the	the	the
Houthis	houthi	Houthis
,	,	,
Yemen	yemen	Yemen
government	govern	government
forces	forc	force
,	,	,
pro	pro	pro
-government	-govern	-government
militia	militia	militia
and	and	and
Al	al	Al
Qaeda	qaeda	Qaeda
in	in	in
the	the	the
Arabian	arabian	Arabian
Peninsula	peninsula	Peninsula
for	for	for
violations	violat	violation
against	against	against
children	children	child
in	in	in
2016	2016	2016
as	as	a
it	it	it
did	did	did
in	in	in
last	last	last
year	year	year
s	s	s
report	report	report
covering	cover	covering
violations	violat	violation
in	in	in
2015	2015	2015
.	.	.

The	the	The
draft	draft	draft
report	report	report
has	has	ha
to	to	to
be	be	be
approved	approv	approved
by	by	by
U	u	U
.	.	.
N	n	N
.	.	.
Secretary	secretari	Secretary
-General	-gener	-General
Antonio	antonio	Antonio
Guterres	guterr	Guterres
and	and	and
is	is	is
subject	subject	subject
to	to	to
change	chang	change
.	.	.

It	it	It
is	is	is
due	due	due
to	to	to
be	be	be
submitted	submit	submitted
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
this	this	this
month	month	month
,	,	,
and	and	and
the	the	the
15	15	15
-member	-member	-member
body	bodi	body
is	is	is
to	to	to
discuss	discuss	discus
the	the	the
report	report	report
on	on	on
Oct	oct	Oct
.	.	.

31	31	31
.	.	.

The	the	The
Saudi	saudi	Saudi
U	u	U
.	.	.
N	n	N
.	.	.
ambassador	ambassador	ambassador
,	,	,
Abdallah	abdallah	Abdallah
Al	al	Al
-Mouallimi	-mouallimi	-Mouallimi
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
until	until	until
the	the	the
report	report	report
is	is	is
officially	offici	officially
issued	issu	issued
.	.	.

In	in	In
August	august	August
,	,	,
the	the	the
Saudi	saudi	Saudi
U	u	U
.	.	.
N	n	N
.	.	.
mission	mission	mission
said	said	said
there	there	there
was	was	wa
no	no	no
justification	justif	justification
whatsoever	whatsoev	whatsoever
for	for	for
including	includ	including
the	the	the
coalition	coalit	coalition
on	on	on
the	the	the
blacklist	blacklist	blacklist
.	.	.

U	u	U
.	.	.
N	n	N
.	.	.
spokesman	spokesman	spokesman
Stephane	stephan	Stephane
Dujarric	dujarr	Dujarric
said	said	said
the	the	the
United	unit	United
Nations	nation	Nations
does	doe	doe
not	not	not
comment	comment	comment
on	on	on
leaked	leak	leaked
documents	document	document
.	.	.

The	the	The
coalition	coalit	coalition
was	was	wa
briefly	briefli	briefly
added	ad	added
to	to	to
the	the	the
blacklist	blacklist	blacklist
last	last	last
year	year	year
and	and	and
then	then	then
removed	remov	removed
by	by	by
then	then	then
-U	-u	-U
.	.	.
N	n	N
.	.	.
chief	chief	chief
Ban	ban	Ban
Ki	ki	Ki
-moon	-moon	-moon
pending	pend	pending
review	review	review
.	.	.

At	at	At
the	the	the
time	time	time
,	,	,
Ban	ban	Ban
accused	accus	accused
Saudi	saudi	Saudi
Arabia	arabia	Arabia
of	of	of
exerting	exert	exerting
unacceptable	unaccept	unacceptable
undue	undu	undue
pressure	pressur	pressure
after	after	after
sources	sourc	source
told	told	told
Reuters	reuter	Reuters
that	that	that
Riyadh	riyadh	Riyadh
threatened	threaten	threatened
to	to	to
cut	cut	cut
its	it	it
U	u	U
.	.	.
N	n	N
.	.	.
funding	fund	funding
.	.	.

Saudi	saudi	Saudi
Arabia	arabia	Arabia
denied	deni	denied
threatening	threaten	threatening
Ban	ban	Ban
.	.	.

The	the	The
report	report	report
-	-	-
produced	produc	produced
by	by	by
U	u	U
.	.	.
N	n	N
.	.	.
children	children	child
and	and	and
armed	arm	armed
conflict	conflict	conflict
envoy	envoy	envoy
Virginia	virginia	Virginia
Gamba	gamba	Gamba
and	and	and
issued	issu	issued
in	in	in
Guterres	guterr	Guterres
name	name	name
-	-	-
does	doe	doe
not	not	not
subject	subject	subject
those	those	those
listed	list	listed
to	to	to
any	ani	any
U	u	U
.	.	.
N	n	N
.	.	.
action	action	action
,	,	,
but	but	but
rather	rather	rather
shames	shame	shame
parties	parti	party
to	to	to
conflicts	conflict	conflict
in	in	in
the	the	the
hope	hope	hope
of	of	of
pushing	push	pushing
them	them	them
to	to	to
implement	implement	implement
measures	measur	measure
to	to	to
protect	protect	protect
children	children	child
.	.	.

The	the	The
Saudi	saudi	Saudi
-led	-led	-led
coalition	coalit	coalition
began	began	began
a	a	a
military	militari	military
campaign	campaign	campaign
in	in	in
Yemen	yemen	Yemen
in	in	in
March	march	March
2015	2015	2015
with	with	with
the	the	the
aim	aim	aim
of	of	of
preventing	prevent	preventing
Iran	iran	Iran
-allied	-alli	-allied
Houthi	houthi	Houthi
rebels	rebel	rebel
and	and	and
forces	forc	force
loyal	loyal	loyal
to	to	to
Yemen	yemen	Yemen
s	s	s
ex	ex	ex
-President	-presid	-President
Ali	ali	Ali
Abdullah	abdullah	Abdullah
Saleh	saleh	Saleh
from	from	from
taking	take	taking
power	power	power
.	.	.

An	an	An
earlier	earlier	earlier
draft	draft	draft
of	of	of
the	the	the
latest	latest	latest
annual	annual	annual
report	report	report
,	,	,
which	which	which
covers	cover	cover
2016	2016	2016
and	and	and
was	was	wa
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
in	in	in
August	august	August
,	,	,
said	said	said
that	that	that
of	of	of
the	the	the
683	683	683
child	child	child
casualties	casualti	casualty
blamed	blame	blamed
on	on	on
the	the	the
Saudi	saudi	Saudi
-led	-led	-led
coalition	coalit	coalition
,	,	,
about	about	about
half	half	half
of	of	of
those	those	those
were	were	were
killed	kill	killed
and	and	and
the	the	the
rest	rest	rest
injured	injur	injured
.	.	.

That	that	That
earlier	earlier	earlier
draft	draft	draft
said	said	said
the	the	the
Houthi	houthi	Houthi
rebels	rebel	rebel
and	and	and
affiliated	affili	affiliated
forces	forc	force
were	were	were
responsible	respons	responsible
for	for	for
nearly	near	nearly
a	a	a
third	third	third
of	of	of
the	the	the
total	total	total
1	1	1
,	,	,
340	340	340
child	child	child
casualties	casualti	casualty
verified	verifi	verified
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
.	.	.

The	the	The
annual	annual	annual
children	children	child
and	and	and
armed	arm	armed
conflict	conflict	conflict
report	report	report
is	is	is
produced	produc	produced
at	at	at
the	the	the
request	request	request
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
.	.	.

In	in	In
2015	2015	2015
the	the	the
United	unit	United
Nations	nation	Nations
left	left	left
Israel	israel	Israel
and	and	and
the	the	the
Palestinian	palestinian	Palestinian
militant	milit	militant
group	group	group
Hamas	hama	Hamas
off	off	off
the	the	the
blacklist	blacklist	blacklist
,	,	,
after	after	after
they	they	they
had	had	had
been	been	been
included	includ	included
in	in	in
an	an	an
earlier	earlier	earlier
draft	draft	draft
,	,	,
but	but	but
criticized	critic	criticized
Israel	israel	Israel
over	over	over
its	it	it
2014	2014	2014
military	militari	military
operations	oper	operation
.	.	.

Separately	separ	Separately
,	,	,
the	the	the
Geneva	geneva	Geneva
-based	-base	-based
U	u	U
.	.	.
N	n	N
.	.	.
Human	human	Human
Rights	right	Rights
Council	council	Council
agreed	agre	agreed
on	on	on
Friday	friday	Friday
to	to	to
set	set	set
up	up	up
a	a	a
panel	panel	panel
to	to	to
examine	examin	examine
all	all	all
alleged	alleg	alleged
human	human	human
rights	right	right
violations	violat	violation
committed	commit	committed
in	in	in
Yemen	yemen	Yemen
s	s	s
war	war	war
and	and	and
identify	identifi	identify
those	those	those
responsible	respons	responsible
.	.	.

U	u	U
.	.	.
N	n	N
.	.	.
human	human	human
rights	right	right
chief	chief	chief
Zeid	zeid	Zeid
Ra	ra	Ra
ad	ad	ad
al	al	al
-Hussein	-hussein	-Hussein
had	had	had
long	long	long
-pleaded	-plead	-pleaded
with	with	with
the	the	the
47	47	47
-member	-member	-member
Human	human	Human
Rights	right	Rights
Council	council	Council
to	to	to
launch	launch	launch
an	an	an
independent	independ	independent
investigation	investig	investigation
into	into	into
the	the	the
war	war	war
,	,	,
which	which	which
has	has	ha
killed	kill	killed
thousands	thousand	thousand
,	,	,
ruined	ruin	ruined
the	the	the
economy	economi	economy
and	and	and
pushed	push	pushed
millions	million	million
to	to	to
the	the	the
brink	brink	brink
of	of	of
famine	famin	famine
.	.	.

