ZAGREB	zagreb	ZAGREB
Reuters	reuter	Reuters
-	-	-
Croatia	croatia	Croatia
aims	aim	aim
to	to	to
become	becom	become
a	a	a
euro	euro	euro
zone	zone	zone
member	member	member
within	within	within
the	the	the
next	next	next
seven	seven	seven
to	to	to
eight	eight	eight
years	year	year
,	,	,
Prime	prime	Prime
Minister	minist	Minister
Andrej	andrej	Andrej
Plenkovic	plenkov	Plenkovic
said	said	said
on	on	on
Monday	monday	Monday
.	.	.
We	we	We
don	don	don
t	t	t
want	want	want
to	to	to
specify	specifi	specify
the	the	the
exact	exact	exact
dates	date	date
,	,	,
but	but	but
we	we	we
want	want	want
Croatia	croatia	Croatia
to	to	to
become	becom	become
a	a	a
euro	euro	euro
zone	zone	zone
member	member	member
within	within	within
two	two	two
government	govern	government
terms	term	term
in	in	in
office	offic	office
,	,	,
Plenkovic	plenkov	Plenkovic
told	told	told
an	an	an
economic	econom	economic
conference	confer	conference
devoted	devot	devoted
to	to	to
the	the	the
introduction	introduct	introduction
of	of	of
the	the	the
euro	euro	euro
in	in	in
Croatia	croatia	Croatia
.	.	.
The	the	The
centre	centr	centre
-right	-right	-right
government	govern	government
came	came	came
to	to	to
power	power	power
a	a	a
year	year	year
ago	ago	ago
.	.	.
Plenkovic	plenkov	Plenkovic
said	said	said
Croatia	croatia	Croatia
wanted	want	wanted
to	to	to
enter	enter	enter
the	the	the
European	european	European
exchange	exchang	exchange
rate	rate	rate
mechanism	mechan	mechanism
II	ii	II
ERM	erm	ERM
-2	-2	-2
within	within	within
the	the	the
next	next	next
three	three	three
years	year	year
,	,	,
before	befor	before
the	the	the
country	countri	country
takes	take	take
the	the	the
presidency	presid	presidency
of	of	of
the	the	the
European	european	European
Union	union	Union
in	in	in
2020	2020	2020
.	.	.
EU	eu	EU
members	member	member
that	that	that
have	have	have
not	not	not
yet	yet	yet
adopted	adopt	adopted
the	the	the
euro	euro	euro
are	are	are
expected	expect	expected
to	to	to
participate	particip	participate
for	for	for
at	at	at
least	least	least
two	two	two
years	year	year
in	in	in
ERM	erm	ERM
II	ii	II
,	,	,
a	a	a
mechanism	mechan	mechanism
aimed	aim	aimed
to	to	to
ensure	ensur	ensure
currency	currenc	currency
stability	stabil	stability
before	befor	before
joining	join	joining
the	the	the
euro	euro	euro
zone	zone	zone
.	.	.
The	the	The
Croatian	croatian	Croatian
central	central	central
bank	bank	bank
already	alreadi	already
keeps	keep	keep
Croatia	croatia	Croatia
s	s	s
kuna	kuna	kuna
currency	currenc	currency
in	in	in
a	a	a
narrow	narrow	narrow
fluctuation	fluctuat	fluctuation
band	band	band
,	,	,
roughly	rough	roughly
at	at	at
between	between	between
7	7	7
.	.	.
3	3	3
and	and	and
7	7	7
.	.	.
7	7	7
to	to	to
the	the	the
euro	euro	euro
,	,	,
occasionally	occasion	occasionally
intervening	interven	intervening
on	on	on
the	the	the
local	local	local
foreign	foreign	foreign
exchange	exchang	exchange
market	market	market
mostly	most	mostly
to	to	to
ease	eas	ease
appreciation	appreci	appreciation
pressures	pressur	pressure
.	.	.
Croatia	croatia	Croatia
s	s	s
major	major	major
challenge	challeng	challenge
before	befor	before
adopting	adopt	adopting
the	the	the
euro	euro	euro
is	is	is
expected	expect	expected
to	to	to
be	be	be
the	the	the
reduction	reduct	reduction
of	of	of
public	public	public
debt	debt	debt
which	which	which
is	is	is
slightly	slight	slightly
above	abov	above
80	80	80
percent	percent	percent
of	of	of
gross	gross	gross
domestic	domest	domestic
product	product	product
.	.	.
Our	our	Our
goal	goal	goal
is	is	is
to	to	to
reduce	reduc	reduce
the	the	the
public	public	public
debt	debt	debt
to	to	to
72	72	72
percent	percent	percent
of	of	of
GDP	gdp	GDP
by	by	by
2020	2020	2020
.	.	.
.	.	.
.	.	.
We	we	We
are	are	are
undertaking	undertak	undertaking
a	a	a
major	major	major
fiscal	fiscal	fiscal
consolidation	consolid	consolidation
and	and	and
this	this	this
year	year	year
the	the	the
budget	budget	budget
gap	gap	gap
will	will	will
be	be	be
even	even	even
lower	lower	lower
than	than	than
last	last	last
year	year	year
s	s	s
0	0	0
.	.	.
9	9	9
percent	percent	percent
of	of	of
GDP	gdp	GDP
,	,	,
Plenkovic	plenkov	Plenkovic
said	said	said
.	.	.
Central	central	Central
Bank	bank	Bank
Governor	governor	Governor
Boris	bori	Boris
Vujcic	vujcic	Vujcic
said	said	said
Croatia	croatia	Croatia
was	was	wa
the	the	the
most	most	most
euroised	eurois	euroised
EU	eu	EU
country	countri	country
of	of	of
those	those	those
that	that	that
had	had	had
not	not	not
yet	yet	yet
adopted	adopt	adopted
the	the	the
euro	euro	euro
.	.	.
Some	some	Some
75	75	75
percent	percent	percent
of	of	of
local	local	local
deposits	deposit	deposit
and	and	and
67	67	67
percent	percent	percent
of	of	of
local	local	local
debt	debt	debt
is	is	is
denominated	denomin	denominated
in	in	in
the	the	the
euro	euro	euro
.	.	.
Some	some	Some
60	60	60
percent	percent	percent
of	of	of
Croatia	croatia	Croatia
s	s	s
trade	trade	trade
exchange	exchang	exchange
is	is	is
related	relat	related
to	to	to
the	the	the
euro	euro	euro
zone	zone	zone
,	,	,
while	while	while
70	70	70
percent	percent	percent
of	of	of
tourism	tourism	tourism
receipts	receipt	receipt
comes	come	come
from	from	from
the	the	the
euro	euro	euro
zone	zone	zone
countries	countri	country
,	,	,
Vujcic	vujcic	Vujcic
told	told	told
the	the	the
conference	confer	conference
.	.	.
The	the	The
most	most	most
important	import	important
benefits	benefit	benefit
of	of	of
euro	euro	euro
adoption	adopt	adoption
would	would	would
be	be	be
the	the	the
removal	remov	removal
of	of	of
currency	currenc	currency
risk	risk	risk
and	and	and
lower	lower	lower
interest	interest	interest
rates	rate	rate
,	,	,
he	he	he
said	said	said
.	.	.
Croatia	croatia	Croatia
took	took	took
an	an	an
obligation	oblig	obligation
to	to	to
adopt	adopt	adopt
the	the	the
euro	euro	euro
when	when	when
it	it	it
joined	join	joined
the	the	the
EU	eu	EU
in	in	in
2013	2013	2013
,	,	,
but	but	but
without	without	without
a	a	a
defined	defin	defined
timetable	timet	timetable
.	.	.
Vujcic	vujcic	Vujcic
said	said	said
any	ani	any
fears	fear	fear
among	among	among
the	the	the
population	popul	population
about	about	about
prices	price	price
soaring	soar	soaring
when	when	when
the	the	the
euro	euro	euro
is	is	is
adopted	adopt	adopted
could	could	could
be	be	be
tackled	tackl	tackled
by	by	by
an	an	an
obligation	oblig	obligation
to	to	to
display	display	display
prices	price	price
in	in	in
both	both	both
kunas	kuna	kunas
and	and	and
euros	euro	euro
six	six	six
months	month	month
before	befor	before
an	an	an
agreed	agre	agreed
euro	euro	euro
zone	zone	zone
entry	entri	entry
date	date	date
.	.	.
