BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
Germany	germani	Germany
s	s	s
highest	highest	highest
court	court	court
ruled	rule	ruled
on	on	on
Wednesday	wednesday	Wednesday
in	in	in
favor	favor	favor
of	of	of
the	the	the
introduction	introduct	introduction
of	of	of
a	a	a
third	third	third
gender	gender	gender
category	categori	category
for	for	for
people	peopl	people
who	who	who
do	do	do
not	not	not
identify	identifi	identify
as	as	a
either	either	either
male	male	male
or	or	or
female	femal	female
or	or	or
are	are	are
born	born	born
with	with	with
an	an	an
ambiguous	ambigu	ambiguous
sexual	sexual	sexual
anatomy	anatomi	anatomy
.	.	.

The	the	The
Federal	feder	Federal
Constitutional	constitut	Constitutional
Court	court	Court
called	call	called
on	on	on
lawmakers	lawmak	lawmaker
to	to	to
enact	enact	enact
legislation	legisl	legislation
by	by	by
the	the	the
end	end	end
of	of	of
2018	2018	2018
to	to	to
either	either	either
allow	allow	allow
the	the	the
introduction	introduct	introduction
of	of	of
a	a	a
third	third	third
category	categori	category
or	or	or
dispense	dispens	dispense
with	with	with
gender	gender	gender
altogether	altogeth	altogether
in	in	in
civil	civil	civil
status	status	status
documents	document	document
.	.	.

In	in	In
2013	2013	2013
,	,	,
Germany	germani	Germany
became	becam	became
the	the	the
first	first	first
European	european	European
country	countri	country
to	to	to
recognize	recogn	recognize
indeterminate	indetermin	indeterminate
sex	sex	sex
by	by	by
allowing	allow	allowing
babies	babi	baby
born	born	born
with	with	with
no	no	no
clear	clear	clear
gender	gender	gender
-determining	-determin	-determining
anatomy	anatomi	anatomy
to	to	to
be	be	be
put	put	put
on	on	on
the	the	the
birth	birth	birth
register	regist	register
without	without	without
a	a	a
male	male	male
or	or	or
female	femal	female
classification	classif	classification
.	.	.

Wednesday	wednesday	Wednesday
s	s	s
decision	decis	decision
overturned	overturn	overturned
a	a	a
ruling	rule	ruling
by	by	by
a	a	a
lower	lower	lower
court	court	court
last	last	last
year	year	year
in	in	in
a	a	a
case	case	case
brought	brought	brought
by	by	by
a	a	a
German	german	German
citizen	citizen	citizen
born	born	born
in	in	in
1989	1989	1989
,	,	,
identified	identifi	identified
as	as	a
Vanja	vanja	Vanja
by	by	by
the	the	the
Third	third	Third
Option	option	Option
campaign	campaign	campaign
group	group	group
that	that	that
supported	support	supported
the	the	the
plaintiff	plaintiff	plaintiff
in	in	in
the	the	the
case	case	case
.	.	.

The	the	The
lower	lower	lower
court	court	court
said	said	said
it	it	it
was	was	wa
not	not	not
possible	possibl	possible
to	to	to
be	be	be
registered	regist	registered
as	as	a
third	third	third
gender	gender	gender
because	becaus	because
Vanja	vanja	Vanja
could	could	could
leave	leav	leave
the	the	the
gender	gender	gender
identity	ident	identity
blank	blank	blank
.	.	.

However	howev	However
,	,	,
the	the	the
Federal	feder	Federal
Constitutional	constitut	Constitutional
Court	court	Court
said	said	said
Germany	germani	Germany
s	s	s
Basic	basic	Basic
Law	law	Law
,	,	,
or	or	or
constitution	constitut	constitution
,	,	,
protected	protect	protected
the	the	the
personality	person	personality
rights	right	right
of	of	of
individuals	individu	individual
who	who	who
do	do	do
not	not	not
define	defin	define
themselves	themselv	themselves
as	as	a
male	male	male
or	or	or
female	femal	female
,	,	,
adding	ad	adding
that	that	that
the	the	the
current	current	current
law	law	law
on	on	on
civil	civil	civil
status	status	status
interfered	interf	interfered
with	with	with
that	that	that
right	right	right
.	.	.

The	the	The
Basic	basic	Basic
Law	law	Law
does	doe	doe
not	not	not
require	requir	require
that	that	that
civil	civil	civil
status	status	status
be	be	be
exclusively	exclus	exclusively
binary	binari	binary
in	in	in
terms	term	term
of	of	of
gender	gender	gender
,	,	,
the	the	the
court	court	court
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

The	the	The
Third	third	Third
Option	option	Option
group	group	group
described	describ	described
the	the	the
ruling	rule	ruling
as	as	a
historic	histor	historic
,	,	,
but	but	but
said	said	said
it	it	it
is	is	is
only	onli	only
the	the	the
first	first	first
step	step	step
on	on	on
improving	improv	improving
the	the	the
situation	situat	situation
of	of	of
inter	inter	inter
and	and	and
transgender	transgend	transgender
people	peopl	people
.	.	.

Finally	final	Finally
it	it	it
s	s	s
recognized	recogn	recognized
by	by	by
the	the	the
Federal	feder	Federal
Constitutional	constitut	Constitutional
Court	court	Court
that	that	that
there	there	there
are	are	are
more	more	more
genders	gender	gender
than	than	than
man	man	man
or	or	or
woman	woman	woman
,	,	,
said	said	said
Mortiz	mortiz	Mortiz
Schmidt	schmidt	Schmidt
,	,	,
the	the	the
spokesman	spokesman	spokesman
of	of	of
the	the	the
group	group	group
.	.	.

Antke	antk	Antke
Engel	engel	Engel
,	,	,
the	the	the
director	director	director
of	of	of
The	the	The
Institute	institut	Institute
of	of	of
Queer	queer	Queer
Theory	theori	Theory
in	in	in
Berlin	berlin	Berlin
,	,	,
said	said	said
she	she	she
was	was	wa
impressed	impress	impressed
that	that	that
ruling	rule	ruling
gave	gave	gave
lawmakers	lawmak	lawmaker
the	the	the
possibility	possibl	possibility
of	of	of
dropping	drop	dropping
the	the	the
gender	gender	gender
category	categori	category
altogether	altogeth	altogether
.	.	.

Of	of	Of
course	cours	course
that	that	that
would	would	would
be	be	be
the	the	the
more	more	more
radical	radic	radical
version	version	version
,	,	,
Engel	engel	Engel
said	said	said
.	.	.

Jamie	jami	Jamie
Zulauf	zulauf	Zulauf
,	,	,
a	a	a
30	30	30
-year-old	-year-old	-year-old
medical	medic	medical
student	student	student
who	who	who
identifies	identifi	identifies
as	as	a
transgender	transgend	transgender
,	,	,
welcomed	welcom	welcomed
the	the	the
move	move	move
but	but	but
said	said	said
it	it	it
could	could	could
mean	mean	mean
new	new	new
problems	problem	problem
when	when	when
traveling	travel	traveling
to	to	to
countries	countri	country
where	where	where
a	a	a
third	third	third
gender	gender	gender
is	is	is
not	not	not
accepted	accept	accepted
.	.	.

It	it	It
s	s	s
going	go	going
to	to	to
be	be	be
visible	visibl	visible
and	and	and
it	it	it
s	s	s
not	not	not
always	alway	always
safe	safe	safe
to	to	to
be	be	be
visible	visibl	visible
,	,	,
Jamie	jami	Jamie
said	said	said
.	.	.

The	the	The
government	govern	government
in	in	in
Berlin	berlin	Berlin
estimated	estim	estimated
in	in	in
2013	2013	2013
there	there	there
were	were	were
8	8	8
,	,	,
000	000	000
to	to	to
10	10	10
,	,	,
000	000	000
intersex	intersex	intersex
people	peopl	people
in	in	in
Germany	germani	Germany
but	but	but
interest	interest	interest
groups	group	group
say	say	say
the	the	the
number	number	number
could	could	could
be	be	be
closer	closer	closer
to	to	to
80	80	80
,	,	,
000	000	000
.	.	.

