COPENHAGEN	copenhagen	COPENHAGEN
Reuters	reuter	Reuters
-	-	-
Twelve	twelv	Twelve
migrants	migrant	migrant
,	,	,
apparently	appar	apparently
from	from	from
North	north	North
Africa	africa	Africa
,	,	,
have	have	have
been	been	been
sailing	sail	sailing
to	to	to
and	and	and
fro	fro	fro
on	on	on
a	a	a
Danish	danish	Danish
passenger	passeng	passenger
ferry	ferri	ferry
between	between	between
Istanbul	istanbul	Istanbul
and	and	and
Odessa	odessa	Odessa
for	for	for
the	the	the
last	last	last
seven	seven	seven
weeks	week	week
locked	lock	locked
in	in	in
four	four	four
cabins	cabin	cabin
,	,	,
with	with	with
no	no	no
country	countri	country
willing	will	willing
to	to	to
take	take	take
them	them	them
.	.	.

According	accord	According
to	to	to
the	the	the
Danish	danish	Danish
DFDS	dfds	DFDS
ferry	ferri	ferry
operator	oper	operator
,	,	,
Turkey	turkey	Turkey
and	and	and
Ukraine	ukrain	Ukraine
both	both	both
refuse	refus	refuse
to	to	to
accept	accept	accept
the	the	the
men	men	men
,	,	,
who	who	who
have	have	have
been	been	been
violent	violent	violent
and	and	and
threatening	threaten	threatening
suicide	suicid	suicide
.	.	.

There	there	There
has	has	ha
been	been	been
a	a	a
tendency	tendenc	tendency
to	to	to
violence	violenc	violence
and	and	and
aggressions	aggress	aggression
and	and	and
they	they	they
have	have	have
threatened	threaten	threatened
to	to	to
jump	jump	jump
overboard	overboard	overboard
.	.	.
.	.	.
.	.	.

so	so	so
there	there	there
is	is	is
no	no	no
alternative	altern	alternative
to	to	to
locking	lock	locking
them	them	them
inside	insid	inside
the	the	the
cabins	cabin	cabin
,	,	,
a	a	a
DFDS	dfds	DFDS
spokesman	spokesman	spokesman
told	told	told
Reuters	reuter	Reuters
on	on	on
Thursday	thursday	Thursday
.	.	.

DFDS	dfds	DFDS
has	has	ha
hired	hire	hired
Turkish	turkish	Turkish
guards	guard	guard
and	and	and
invited	invit	invited
authorities	author	authority
from	from	from
the	the	the
United	unit	United
Nations	nation	Nations
aboard	aboard	aboard
to	to	to
question	question	question
the	the	the
men	men	men
of	of	of
which	which	which
they	they	they
believe	believ	believe
at	at	at
least	least	least
six	six	six
are	are	are
Moroccans	moroccan	Moroccans
and	and	and
four	four	four
Algerian	algerian	Algerian
.	.	.

The	the	The
origin	origin	origin
of	of	of
the	the	the
remaining	remain	remaining
two	two	two
is	is	is
still	still	still
unknown	unknown	unknown
.	.	.

The	the	The
Danish	danish	Danish
Foreign	foreign	Foreign
Ministry	ministri	Ministry
has	has	ha
opened	open	opened
negotiations	negoti	negotiation
with	with	with
Turkey	turkey	Turkey
,	,	,
Ukraine	ukrain	Ukraine
and	and	and
,	,	,
since	sinc	since
the	the	the
ferry	ferri	ferry
is	is	is
sailing	sail	sailing
under	under	under
the	the	the
Lithuanian	lithuanian	Lithuanian
flag	flag	flag
,	,	,
with	with	with
Vilnius	vilnius	Vilnius
.	.	.

The	the	The
problem	problem	problem
can	can	can
be	be	be
solved	solv	solved
.	.	.

All	all	All
it	it	it
takes	take	take
is	is	is
a	a	a
quick	quick	quick
decision	decis	decision
from	from	from
Ankara	ankara	Ankara
or	or	or
Kiev	kiev	Kiev
,	,	,
a	a	a
source	sourc	source
in	in	in
the	the	the
Danish	danish	Danish
Foreign	foreign	Foreign
Ministry	ministri	Ministry
with	with	with
knowledge	knowledg	knowledge
of	of	of
the	the	the
negotiations	negoti	negotiation
told	told	told
Reuters	reuter	Reuters
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
Ukrainian	ukrainian	Ukrainian
border	border	border
service	servic	service
said	said	said
the	the	the
men	men	men
wanted	want	wanted
to	to	to
go	go	go
from	from	from
Turkey	turkey	Turkey
to	to	to
Romania	romania	Romania
but	but	but
got	got	got
on	on	on
the	the	the
wrong	wrong	wrong
ferry	ferri	ferry
and	and	and
ended	end	ended
up	up	up
in	in	in
Ukraine	ukrain	Ukraine
,	,	,
where	where	where
they	they	they
cannot	cannot	cannot
be	be	be
taken	taken	taken
in	in	in
because	becaus	because
they	they	they
do	do	do
not	not	not
have	have	have
documents	document	document
.	.	.

The	the	The
problem	problem	problem
is	is	is
that	that	that
Turkey	turkey	Turkey
doesn	doesn	doesn
t	t	t
want	want	want
to	to	to
take	take	take
them	them	them
,	,	,
but	but	but
Turkey	turkey	Turkey
should	should	should
take	take	take
them	them	them
because	becaus	because
they	they	they
sailed	sail	sailed
from	from	from
Turkey	turkey	Turkey
,	,	,
he	he	he
said	said	said
,	,	,
adding	ad	adding
that	that	that
in	in	in
accordance	accord	accordance
with	with	with
the	the	the
bilateral	bilater	bilateral
agreement	agreement	agreement
,	,	,
the	the	the
country	countri	country
that	that	that
delivered	deliv	delivered
these	these	these
people	peopl	people
should	should	should
take	take	take
them	them	them
back	back	back
.	.	.

That	that	That
s	s	s
why	whi	why
they	they	they
ve	ve	ve
been	been	been
cruising	cruis	cruising
about	about	about
on	on	on
that	that	that
ferry	ferri	ferry
,	,	,
he	he	he
said	said	said
.	.	.

A	a	A
Turkish	turkish	Turkish
foreign	foreign	foreign
ministry	ministri	ministry
official	offici	official
said	said	said
the	the	the
case	case	case
was	was	wa
being	be	being
followed	follow	followed
with	with	with
all	all	all
related	relat	related
institutions	institut	institution
.	.	.

DFDS	dfds	DFDS
suspected	suspect	suspected
that	that	that
the	the	the
young	young	young
men	men	men
,	,	,
in	in	in
spite	spite	spite
of	of	of
various	various	various
security	secur	security
measures	measur	measure
,	,	,
boarded	board	boarded
by	by	by
hiding	hide	hiding
in	in	in
a	a	a
trailer	trailer	trailer
that	that	that
was	was	wa
loaded	load	loaded
onto	onto	onto
the	the	the
ferry	ferri	ferry
.	.	.

According	accord	According
to	to	to
the	the	the
ferry	ferri	ferry
operator	oper	operator
,	,	,
the	the	the
best	best	best
solution	solut	solution
would	would	would
be	be	be
if	if	if
Ukraine	ukrain	Ukraine
or	or	or
Turkey	turkey	Turkey
agreed	agre	agreed
to	to	to
take	take	take
the	the	the
migrants	migrant	migrant
,	,	,
or	or	or
to	to	to
get	get	get
final	final	final
confirmation	confirm	confirmation
as	as	a
to	to	to
where	where	where
the	the	the
men	men	men
are	are	are
from	from	from
,	,	,
so	so	so
they	they	they
can	can	can
be	be	be
sent	sent	sent
back	back	back
to	to	to
these	these	these
countries	countri	country
.	.	.

It	it	It
is	is	is
completely	complet	completely
unsound	unsound	unsound
that	that	that
we	we	we
should	should	should
handle	handl	handle
thi	thi	thi
,	,	,
DFDS	dfds	DFDS
said	said	said
.	.	.

This	this	This
is	is	is
a	a	a
situation	situat	situation
the	the	the
border	border	border
controls	control	control
should	should	should
handle	handl	handle
,	,	,
not	not	not
a	a	a
transportation	transport	transportation
company	compani	company
.	.	.

