TOKYO	tokyo	TOKYO
Reuters	reuter	Reuters
-	-	-
Japanese	japanes	Japanese
Prime	prime	Prime
Minister	minist	Minister
Shinzo	shinzo	Shinzo
Abe	abe	Abe
is	is	is
considering	consid	considering
increasing	increas	increasing
energy	energi	energy
imports	import	import
from	from	from
the	the	the
United	unit	United
States	state	States
,	,	,
two	two	two
sources	sourc	source
familiar	familiar	familiar
with	with	with
the	the	the
plan	plan	plan
told	told	told
Reuters	reuter	Reuters
,	,	,
as	as	a
he	he	he
prepares	prepar	prepares
to	to	to
meet	meet	meet
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
complained	complain	complained
about	about	about
Japan	japan	Japan
s	s	s
trade	trade	trade
surplus	surplus	surplus
.	.	.

Japan	japan	Japan
is	is	is
putting	put	putting
together	togeth	together
a	a	a
package	packag	package
of	of	of
plans	plan	plan
for	for	for
Japanese	japanes	Japanese
companies	compani	company
to	to	to
invest	invest	invest
in	in	in
infrastructure	infrastructur	infrastructure
and	and	and
job	job	job
-creation	-creation	-creation
projects	project	project
in	in	in
the	the	the
United	unit	United
States	state	States
for	for	for
Abe	abe	Abe
to	to	to
take	take	take
to	to	to
the	the	the
Feb	feb	Feb
.	.	.

10	10	10
meeting	meet	meeting
with	with	with
Trump	trump	Trump
in	in	in
Washington	washington	Washington
.	.	.

Another	anoth	Another
idea	idea	idea
is	is	is
to	to	to
offer	offer	offer
to	to	to
increase	increas	increase
liquid	liquid	liquid
natural	natur	natural
gas	gas	gas
LNG	lng	LNG
imports	import	import
from	from	from
the	the	the
United	unit	United
States	state	States
,	,	,
a	a	a
source	sourc	source
in	in	in
the	the	the
ruling	rule	ruling
coalition	coalit	coalition
told	told	told
Reuters	reuter	Reuters
.	.	.

Another	anoth	Another
option	option	option
,	,	,
if	if	if
Abe	abe	Abe
determines	determin	determines
that	that	that
Trump	trump	Trump
is	is	is
most	most	most
concerned	concern	concerned
about	about	about
the	the	the
trade	trade	trade
gap	gap	gap
,	,	,
is	is	is
to	to	to
increase	increas	increase
imports	import	import
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
shale	shale	shale
oil	oil	oil
or	or	or
gas	gas	gas
on	on	on
top	top	top
of	of	of
the	the	the
investment	invest	investment
package	packag	package
,	,	,
according	accord	according
to	to	to
a	a	a
top	top	top
executive	execut	executive
at	at	at
a	a	a
major	major	major
Japanese	japanes	Japanese
corporation	corpor	corporation
who	who	who
is	is	is
close	close	close
to	to	to
Abe	abe	Abe
.	.	.

Japanese	japanes	Japanese
officials	offici	official
have	have	have
been	been	been
scrambling	scrambl	scrambling
to	to	to
respond	respond	respond
to	to	to
Trump	trump	Trump
s	s	s
scattershot	scattershot	scattershot
comments	comment	comment
since	sinc	since
he	he	he
took	took	took
office	offic	office
.	.	.

He	he	He
has	has	ha
threatened	threaten	threatened
to	to	to
impose	impos	impose
a	a	a
tax	tax	tax
on	on	on
car	car	car
imports	import	import
from	from	from
Mexico	mexico	Mexico
,	,	,
criticized	critic	criticized
Japan	japan	Japan
s	s	s
trade	trade	trade
gap	gap	gap
with	with	with
the	the	the
United	unit	United
States	state	States
and	and	and
most	most	most
recently	recent	recently
accused	accus	accused
Japan	japan	Japan
,	,	,
along	along	along
with	with	with
China	china	China
and	and	and
Germany	germani	Germany
,	,	,
of	of	of
devaluing	devalu	devaluing
their	their	their
currencies	currenc	currency
to	to	to
the	the	the
detriment	detriment	detriment
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
companies	compani	company
.	.	.

Abe	abe	Abe
wants	want	want
to	to	to
know	know	know
what	what	what
s	s	s
the	the	the
most	most	most
important	import	important
thing	thing	thing
for	for	for
Trump	trump	Trump
,	,	,
said	said	said
the	the	the
executive	execut	executive
,	,	,
who	who	who
declined	declin	declined
to	to	to
be	be	be
identified	identifi	identified
.	.	.

If	if	If
it	it	it
is	is	is
the	the	the
trade	trade	trade
surplus	surplus	surplus
that	that	that
Trump	trump	Trump
cares	care	care
the	the	the
most	most	most
about	about	about
,	,	,
for	for	for
instance	instanc	instance
,	,	,
then	then	then
we	we	we
could	could	could
come	come	come
up	up	up
with	with	with
a	a	a
few	few	few
possible	possibl	possible
solutions	solut	solution
,	,	,
including	includ	including
importing	import	importing
more	more	more
U	u	U
.	.	.
S	s	S
.	.	.
shale	shale	shale
oil	oil	oil
or	or	or
gas	gas	gas
.	.	.

Abe	abe	Abe
s	s	s
approach	approach	approach
toward	toward	toward
Trump	trump	Trump
would	would	would
be	be	be
not	not	not
accommodating	accommod	accommodating
,	,	,
not	not	not
opposing	oppos	opposing
,	,	,
he	he	he
said	said	said
.	.	.

Utilities	util	Utilities
would	would	would
be	be	be
resistant	resist	resistant
to	to	to
buying	buy	buying
more	more	more
U	u	U
.	.	.
S	s	S
.	.	.
shale	shale	shale
gas	gas	gas
because	becaus	because
they	they	they
have	have	have
already	alreadi	already
committed	commit	committed
to	to	to
buying	buy	buying
large	larg	large
amounts	amount	amount
and	and	and
Japan	japan	Japan
s	s	s
demand	demand	demand
for	for	for
energy	energi	energy
is	is	is
falling	fall	falling
,	,	,
an	an	an
executive	execut	executive
at	at	at
a	a	a
Japanese	japanes	Japanese
gas	gas	gas
importer	import	importer
told	told	told
Reuters	reuter	Reuters
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.

Prices	price	Prices
for	for	for
LNG	lng	LNG
in	in	in
Asia	asia	Asia
LNG	lng	LNG
-AS	-as	-AS
have	have	have
fallen	fallen	fallen
by	by	by
almost	almost	almost
a	a	a
fifth	fifth	fifth
this	this	this
year	year	year
amid	amid	amid
a	a	a
supply	suppli	supply
glut	glut	glut
.	.	.

Japan	japan	Japan
is	is	is
the	the	the
world	world	world
s	s	s
biggest	biggest	biggest
buyer	buyer	buyer
of	of	of
the	the	the
gas	gas	gas
cooled	cool	cooled
to	to	to
liquid	liquid	liquid
form	form	form
for	for	for
transport	transport	transport
on	on	on
ships	ship	ship
and	and	and
takes	take	take
in	in	in
nearly	near	nearly
a	a	a
third	third	third
of	of	of
global	global	global
shipments	shipment	shipment
.	.	.

Once	onc	Once
seen	seen	seen
as	as	a
a	a	a
panacea	panacea	panacea
for	for	for
Japan	japan	Japan
s	s	s
energy	energi	energy
crisis	crisi	crisis
after	after	after
the	the	the
Fukushima	fukushima	Fukushima
nuclear	nuclear	nuclear
disaster	disast	disaster
in	in	in
2011	2011	2011
led	led	led
to	to	to
the	the	the
shutdown	shutdown	shutdown
of	of	of
most	most	most
reactors	reactor	reactor
in	in	in
the	the	the
country	countri	country
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
shale	shale	shale
gas	gas	gas
is	is	is
now	now	now
just	just	just
one	one	one
of	of	of
many	mani	many
options	option	option
for	for	for
Japan	japan	Japan
to	to	to
meet	meet	meet
its	it	it
needs	need	need
.	.	.

Japan	japan	Japan
took	took	took
in	in	in
its	it	it
first	first	first
shipment	shipment	shipment
of	of	of
shale	shale	shale
gas	gas	gas
in	in	in
liquid	liquid	liquid
form	form	form
this	this	this
month	month	month
and	and	and
more	more	more
shipments	shipment	shipment
are	are	are
likely	like	likely
to	to	to
come	come	come
as	as	a
more	more	more
export	export	export
terminals	termin	terminal
start	start	start
shipments	shipment	shipment
this	this	this
year	year	year
and	and	and
next	next	next
.	.	.

The	the	The
Yomiuri	yomiuri	Yomiuri
newspaper	newspap	newspaper
said	said	said
on	on	on
Thursday	thursday	Thursday
Abe	abe	Abe
s	s	s
growth	growth	growth
and	and	and
jobs	job	job
initiative	initi	initiative
would	would	would
include	includ	include
a	a	a
plan	plan	plan
for	for	for
Japan	japan	Japan
and	and	and
the	the	the
United	unit	United
States	state	States
to	to	to
jointly	joint	jointly
develop	develop	develop
a	a	a
450	450	450
billion	billion	billion
infrastructure	infrastructur	infrastructure
market	market	market
,	,	,
into	into	into
which	which	which
the	the	the
Japanese	japanes	Japanese
government	govern	government
and	and	and
companies	compani	company
would	would	would
invest	invest	invest
150	150	150
billion	billion	billion
over	over	over
10	10	10
years	year	year
.	.	.

