SAN	san	SAN
JUAN	juan	JUAN
Reuters	reuter	Reuters
-	-	-
Puerto	puerto	Puerto
Rico	rico	Rico
on	on	on
Friday	friday	Friday
said	said	said
it	it	it
will	will	will
default	default	default
on	on	on
779	779	779
million	million	million
worth	worth	worth
of	of	of
constitutionally	constitut	constitutionally
backed	back	backed
debt	debt	debt
,	,	,
its	it	it
most	most	most
senior	senior	senior
bonds	bond	bond
,	,	,
making	make	making
good	good	good
on	on	on
threats	threat	threat
that	that	that
the	the	the
island	island	island
would	would	would
choose	choos	choose
paying	pay	paying
essential	essenti	essential
services	servic	service
for	for	for
its	it	it
citizens	citizen	citizen
over	over	over
obligations	oblig	obligation
to	to	to
creditors	creditor	creditor
.	.	.

Debt	debt	Debt
payments	payment	payment
totaling	total	totaling
just	just	just
over	over	over
2	2	2
billion	billion	billion
were	were	were
due	due	due
on	on	on
Friday	friday	Friday
.	.	.

Governor	governor	Governor
Alejandro	alejandro	Alejandro
Garcia	garcia	Garcia
Padilla	padilla	Padilla
told	told	told
reporters	report	reporter
on	on	on
Friday	friday	Friday
that	that	that
overall	overal	overall
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
commonwealth	commonwealth	commonwealth
territory	territori	territory
will	will	will
not	not	not
pay	pay	pay
911	911	911
million	million	million
worth	worth	worth
of	of	of
its	it	it
obligations	oblig	obligation
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
territory	territori	territory
s	s	s
finances	financ	finance
will	will	will
soon	soon	soon
come	come	come
under	under	under
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
federal	feder	federal
oversight	oversight	oversight
board	board	board
after	after	after
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
signed	sign	signed
into	into	into
law	law	law
on	on	on
Thursday	thursday	Thursday
a	a	a
bill	bill	bill
giving	give	giving
the	the	the
island	island	island
access	access	access
to	to	to
a	a	a
debt	debt	debt
restructuring	restructur	restructuring
process	process	process
,	,	,
and	and	and
implementing	implement	implementing
a	a	a
halt	halt	halt
on	on	on
litigation	litig	litigation
arising	aris	arising
from	from	from
any	ani	any
defaults	default	default
on	on	on
its	it	it
70	70	70
billion	billion	billion
debt	debt	debt
load	load	load
.	.	.

Today	today	Today
,	,	,
Puerto	puerto	Puerto
Rico	rico	Rico
is	is	is
protected	protect	protected
against	against	against
creditors	creditor	creditor
actions	action	action
,	,	,
Garcia	garcia	Garcia
Padilla	padilla	Padilla
said	said	said
.	.	.

The	the	The
General	general	General
Obligation	oblig	Obligation
GO	go	GO
debt	debt	debt
,	,	,
or	or	or
debt	debt	debt
that	that	that
carries	carri	carry
a	a	a
GO	go	GO
guarantee	guarante	guarantee
,	,	,
is	is	is
a	a	a
category	categori	category
of	of	of
debt	debt	debt
that	that	that
has	has	ha
not	not	not
been	been	been
defaulted	default	defaulted
upon	upon	upon
by	by	by
any	ani	any
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
in	in	in
decades	decad	decade
.	.	.

Puerto	puerto	Puerto
Rico	rico	Rico
is	is	is
not	not	not
covered	cover	covered
by	by	by
Chapter	chapter	Chapter
9	9	9
U	u	U
.	.	.
S	s	S
.	.	.
bankruptcy	bankruptci	bankruptcy
code	code	code
which	which	which
applies	appli	applies
to	to	to
municipalities	municip	municipality
.	.	.

Puerto	puerto	Puerto
Rico	rico	Rico
s	s	s
Government	govern	Government
Development	develop	Development
Bank	bank	Bank
GDB	gdb	GDB
said	said	said
on	on	on
Friday	friday	Friday
the	the	the
island	island	island
would	would	would
have	have	have
just	just	just
95	95	95
million	million	million
in	in	in
cash	cash	cash
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
year	year	year
even	even	even
after	after	after
the	the	the
defaults	default	default
announced	announc	announced
on	on	on
Friday	friday	Friday
.	.	.

Puerto	puerto	Puerto
Rico	rico	Rico
s	s	s
benchmark	benchmark	benchmark
2035	2035	2035
GO	go	GO
bond	bond	bond
rose	rose	rose
0	0	0
.	.	.
25	25	25
points	point	point
in	in	in
price	price	price
to	to	to
trade	trade	trade
at	at	at
67	67	67
.	.	.
50	50	50
points	point	point
,	,	,
pushing	push	pushing
the	the	the
yield	yield	yield
down	down	down
to	to	to
12	12	12
.	.	.
519	519	519
percent	percent	percent
.	.	.

On	on	On
Thursday	thursday	Thursday
Garcia	garcia	Garcia
Padilla	padilla	Padilla
authorized	author	authorized
Puerto	puerto	Puerto
