BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
A	a	A
housing	hous	housing
crisis	crisi	crisis
is	is	is
spreading	spread	spreading
in	in	in
Germany	germani	Germany
,	,	,
the	the	the
Federal	feder	Federal
Homelessness	homeless	Homelessness
Association	associ	Association
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
forecasting	forecast	forecasting
that	that	that
1	1	1
.	.	.
2	2	2
million	million	million
people	peopl	people
could	could	could
be	be	be
living	live	living
in	in	in
shelters	shelter	shelter
by	by	by
2018	2018	2018
.	.	.

The	the	The
report	report	report
came	came	came
amid	amid	amid
heightened	heighten	heightened
concern	concern	concern
about	about	about
Germany	germani	Germany
s	s	s
rising	rise	rising
poverty	poverti	poverty
rate	rate	rate
and	and	and
ability	abil	ability
to	to	to
integrate	integr	integrate
1	1	1
.	.	.
1	1	1
million	million	million
migrants	migrant	migrant
that	that	that
have	have	have
arrived	arriv	arrived
over	over	over
the	the	the
past	past	past
two	two	two
years	year	year
,	,	,
drawn	drawn	drawn
by	by	by
the	the	the
country	countri	country
s	s	s
reputation	reput	reputation
for	for	for
affluence	affluenc	affluence
,	,	,
efficiency	effici	efficiency
and	and	and
stability	stabil	stability
.	.	.

The	the	The
homelessness	homeless	homelessness
association	associ	association
said	said	said
that	that	that
more	more	more
than	than	than
850	850	850
,	,	,
000	000	000
people	peopl	people
lacked	lack	lacked
their	their	their
own	own	own
accommodation	accommod	accommodation
in	in	in
2016	2016	2016
,	,	,
up	up	up
150	150	150
percent	percent	percent
from	from	from
2014	2014	2014
,	,	,
and	and	and
half	half	half
of	of	of
those	those	those
affected	affect	affected
were	were	were
migrants	migrant	migrant
.	.	.

A	a	A
total	total	total
of	of	of
52	52	52
,	,	,
000	000	000
people	peopl	people
were	were	were
living	live	living
on	on	on
the	the	the
streets	street	street
in	in	in
2016	2016	2016
,	,	,
up	up	up
a	a	a
third	third	third
from	from	from
2014	2014	2014
,	,	,
the	the	the
group	group	group
said	said	said
in	in	in
its	it	it
report	report	report
.	.	.

It	it	It
added	ad	added
that	that	that
the	the	the
number	number	number
of	of	of
those	those	those
living	live	living
in	in	in
shelters	shelter	shelter
would	would	would
likely	like	likely
rise	rise	rise
by	by	by
another	anoth	another
40	40	40
percent	percent	percent
by	by	by
2018	2018	2018
,	,	,
driven	driven	driven
higher	higher	higher
by	by	by
rising	rise	rising
rents	rent	rent
,	,	,
decreasing	decreas	decreasing
availability	avail	availability
of	of	of
subsidized	subsid	subsidized
housing	hous	housing
,	,	,
and	and	and
the	the	the
growing	grow	growing
numbers	number	number
of	of	of
refugees	refuge	refugee
granted	grant	granted
asylum	asylum	asylum
status	status	status
and	and	and
therefore	therefor	therefore
entitled	entitl	entitled
to	to	to
housing	hous	housing
.	.	.

The	the	The
homelessness	homeless	homelessness
association	associ	association
said	said	said
immigration	immigr	immigration
was	was	wa
a	a	a
factor	factor	factor
behind	behind	behind
the	the	the
rising	rise	rising
rate	rate	rate
of	of	of
housing	hous	housing
shortage	shortag	shortage
,	,	,
but	but	but
also	also	also
blamed	blame	blamed
what	what	what
it	it	it
called	call	called
failed	fail	failed
housing	hous	housing
policies	polici	policy
.	.	.

The	the	The
main	main	main
cause	caus	cause
of	of	of
housing	hous	housing
shortages	shortag	shortage
and	and	and
homelessness	homeless	homelessness
is	is	is
a	a	a
housing	hous	housing
policy	polici	policy
that	that	that
has	has	ha
failed	fail	failed
in	in	in
Germany	germani	Germany
for	for	for
decades	decad	decade
,	,	,
as	as	a
well	well	well
as	as	a
insufficient	insuffici	insufficient
efforts	effort	effort
to	to	to
fight	fight	fight
poverty	poverti	poverty
,	,	,
Thomas	thoma	Thomas
Specht	specht	Specht
,	,	,
director	director	director
of	of	of
the	the	the
association	associ	association
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

Almost	almost	Almost
20	20	20
percent	percent	percent
of	of	of
Germany	germani	Germany
s	s	s
population	popul	population
,	,	,
or	or	or
16	16	16
million	million	million
people	peopl	people
,	,	,
were	were	were
at	at	at
risk	risk	risk
of	of	of
poverty	poverti	poverty
in	in	in
2016	2016	2016
,	,	,
the	the	the
Federal	feder	Federal
Statistics	statist	Statistics
Office	offic	Office
reported	report	reported
last	last	last
week	week	week
.	.	.

Germany	germani	Germany
s	s	s
Labour	labour	Labour
and	and	and
Social	social	Social
Affairs	affair	Affairs
Ministry	ministri	Ministry
defended	defend	defended
its	it	it
handling	handl	handling
of	of	of
refugee	refuge	refugee
housing	hous	housing
needs	need	need
,	,	,
noting	note	noting
that	that	that
finding	find	finding
individual	individu	individual
housing	hous	housing
around	around	around
the	the	the
country	countri	country
remained	remain	remained
a	a	a
challenge	challeng	challenge
.	.	.

It	it	It
should	should	should
not	not	not
be	be	be
forgotten	forgotten	forgotten
that	that	that
the	the	the
swift	swift	swift
accommodation	accommod	accommodation
of	of	of
hundreds	hundr	hundred
of	of	of
thousands	thousand	thousand
of	of	of
refugees	refuge	refugee
in	in	in
adequate	adequ	adequate
collective	collect	collective
housing	hous	housing
in	in	in
2015	2015	2015
and	and	and
2016	2016	2016
was	was	wa
an	an	an
extraordinary	extraordinari	extraordinary
achievement	achiev	achievement
,	,	,
the	the	the
ministry	ministri	ministry
spokesman	spokesman	spokesman
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

Would	would	Would
-be	-be	-be
partners	partner	partner
in	in	in
a	a	a
new	new	new
German	german	German
government	govern	government
coalition	coalit	coalition
remain	remain	remain
at	at	at
odds	odd	odds
over	over	over
a	a	a
limit	limit	limit
on	on	on
migration	migrat	migration
.	.	.

