FRANKFURT	frankfurt	FRANKFURT
Reuters	reuter	Reuters
-	-	-
Germany	germani	Germany
s	s	s
largest	largest	largest
bank	bank	bank
has	has	ha
asked	ask	asked
for	for	for
more	more	more
time	time	time
to	to	to
respond	respond	respond
to	to	to
a	a	a
request	request	request
from	from	from
Democrats	democrat	Democrats
on	on	on
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
panel	panel	panel
for	for	for
details	detail	detail
about	about	about
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
possible	possibl	possible
ties	tie	tie
to	to	to
Russia	russia	Russia
,	,	,
a	a	a
person	person	person
familiar	familiar	familiar
with	with	with
the	the	the
matter	matter	matter
said	said	said
on	on	on
Monday	monday	Monday
.	.	.

Deutsche	deutsch	Deutsche
Bank	bank	Bank
s	s	s
DBKGn	dbkgn	DBKGn
.	.	.
DE	de	DE
external	extern	external
counsel	counsel	counsel
sent	sent	sent
a	a	a
letter	letter	letter
dated	date	dated
Friday	friday	Friday
June	june	June
2	2	2
to	to	to
the	the	the
Democrats	democrat	Democrats
saying	say	saying
it	it	it
needed	need	needed
additional	addit	additional
time	time	time
,	,	,
the	the	the
source	sourc	source
told	told	told
Reuters	reuter	Reuters
.	.	.

The	the	The
person	person	person
spoke	spoke	spoke
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
and	and	and
declined	declin	declined
to	to	to
specify	specifi	specify
how	how	how
much	much	much
more	more	more
time	time	time
the	the	the
bank	bank	bank
s	s	s
counsel	counsel	counsel
needed	need	needed
.	.	.

Several	sever	Several
Democrats	democrat	Democrats
on	on	on
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
Financial	financi	Financial
Services	servic	Services
Committee	committe	Committee
sent	sent	sent
a	a	a
letter	letter	letter
last	last	last
month	month	month
to	to	to
John	john	John
Cryan	cryan	Cryan
,	,	,
chief	chief	chief
executive	execut	executive
officer	offic	officer
of	of	of
Deutsche	deutsch	Deutsche
Bank	bank	Bank
,	,	,
seeking	seek	seeking
details	detail	detail
that	that	that
might	might	might
show	show	show
if	if	if
Trump	trump	Trump
s	s	s
loans	loan	loan
for	for	for
his	his	his
real	real	real
estate	estat	estate
business	busi	business
were	were	were
backed	back	backed
by	by	by
the	the	the
Russian	russian	Russian
government	govern	government
.	.	.

The	the	The
letter	letter	letter
asked	ask	asked
for	for	for
details	detail	detail
of	of	of
internal	intern	internal
reviews	review	review
of	of	of
Trump	trump	Trump
s	s	s
transactions	transact	transaction
and	and	and
gave	gave	gave
the	the	the
German	german	German
bank	bank	bank
until	until	until
Friday	friday	Friday
to	to	to
respond	respond	respond
.	.	.

Deutsche	deutsch	Deutsche
Bank	bank	Bank
has	has	ha
declined	declin	declined
to	to	to
comment	comment	comment
about	about	about
any	ani	any
business	busi	business
dealings	deal	dealing
with	with	with
Trump	trump	Trump
.	.	.

The	the	The
Republican	republican	Republican
president	presid	president
is	is	is
mired	mire	mired
in	in	in
controversy	controversi	controversy
over	over	over
FBI	fbi	FBI
and	and	and
congressional	congression	congressional
probes	probe	probe
into	into	into
alleged	alleg	alleged
Russian	russian	Russian
meddling	meddl	meddling
in	in	in
the	the	the
2016	2016	2016
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
and	and	and
potential	potenti	potential
collusion	collus	collusion
between	between	between
Moscow	moscow	Moscow
and	and	and
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
.	.	.

Moscow	moscow	Moscow
has	has	ha
denied	deni	denied
the	the	the
allegations	alleg	allegation
,	,	,
and	and	and
Trump	trump	Trump
has	has	ha
denied	deni	denied
any	ani	any
collusion	collus	collusion
.	.	.

Maxine	maxin	Maxine
Waters	water	Waters
,	,	,
Democrat	democrat	Democrat
representative	repres	representative
for	for	for
California	california	California
and	and	and
a	a	a
member	member	member
of	of	of
the	the	the
committee	committe	committee
,	,	,
was	was	wa
one	one	one
of	of	of
the	the	the
original	origin	original
letter	letter	letter
s	s	s
five	five	five
signatories	signatori	signatory
.	.	.

She	she	She
confirmed	confirm	confirmed
through	through	through
a	a	a
staff	staff	staff
member	member	member
on	on	on
Monday	monday	Monday
that	that	that
Deutsche	deutsch	Deutsche
did	did	did
not	not	not
provide	provid	provide
substantive	substant	substantive
responses	respons	response
to	to	to
our	our	our
requests	request	request
.	.	.

Congress	congress	Congress
remains	remain	remains
in	in	in
the	the	the
dark	dark	dark
on	on	on
whether	whether	whether
loans	loan	loan
Deutsche	deutsch	Deutsche
Bank	bank	Bank
made	made	made
to	to	to
President	presid	President
Trump	trump	Trump
were	were	were
guaranteed	guarante	guaranteed
by	by	by
the	the	the
Russian	russian	Russian
government	govern	government
,	,	,
or	or	or
were	were	were
in	in	in
any	ani	any
way	way	way
connected	connect	connected
to	to	to
Russia	russia	Russia
,	,	,
the	the	the
Democrats	democrat	Democrats
wrote	wrote	wrote
in	in	in
their	their	their
request	request	request
to	to	to
Deutsche	deutsch	Deutsche
Bank	bank	Bank
.	.	.

It	it	It
is	is	is
critical	critic	critical
that	that	that
you	you	you
provide	provid	provide
this	this	this
committee	committe	committee
with	with	with
the	the	the
information	inform	information
necessary	necessari	necessary
to	to	to
assess	assess	ass
the	the	the
scope	scope	scope
,	,	,
findings	find	finding
and	and	and
conclusions	conclus	conclusion
of	of	of
your	your	your
internal	intern	internal
reviews	review	review
,	,	,
they	they	they
said	said	said
.	.	.

The	the	The
Democrats	democrat	Democrats
cannot	cannot	cannot
compel	compel	compel
Deutsche	deutsch	Deutsche
Bank	bank	Bank
to	to	to
hand	hand	hand
over	over	over
the	the	the
information	inform	information
.	.	.

The	the	The
House	hous	House
committee	committe	committee
has	has	ha
the	the	the
power	power	power
to	to	to
subpoena	subpoena	subpoena
the	the	the
documents	document	document
,	,	,
but	but	but
Republican	republican	Republican
committee	committe	committee
members	member	member
-	-	-
who	who	who
make	make	make
up	up	up
the	the	the
majority	major	majority
of	of	of
the	the	the
panel	panel	panel
-	-	-
would	would	would
have	have	have
to	to	to
cooperate	cooper	cooperate
.	.	.

No	no	No
Republicans	republican	Republicans
have	have	have
signed	sign	signed
the	the	the
document	document	document
request	request	request
.	.	.

The	the	The
congressional	congression	congressional
inquiry	inquiri	inquiry
is	is	is
also	also	also
seeking	seek	seeking
information	inform	information
about	about	about
a	a	a
Russian	russian	Russian
mirror	mirror	mirror
trading	trade	trading
scheme	scheme	scheme
that	that	that
allowed	allow	allowed
10	10	10
billion	billion	billion
to	to	to
flow	flow	flow
out	out	out
of	of	of
Russia	russia	Russia
.	.	.

In	in	In
January	januari	January
,	,	,
Deutsche	deutsch	Deutsche
Bank	bank	Bank
agreed	agre	agreed
to	to	to
pay	pay	pay
630	630	630
million	million	million
in	in	in
fines	fine	fine
for	for	for
organizing	organ	organizing
the	the	the
scheme	scheme	scheme
that	that	that
could	could	could
have	have	have
been	been	been
used	use	used
to	to	to
launder	launder	launder
money	money	money
out	out	out
of	of	of
Russia	russia	Russia
.	.	.

The	the	The
trades	trade	trade
involved	involv	involved
,	,	,
for	for	for
example	exampl	example
,	,	,
buying	buy	buying
Russian	russian	Russian
stocks	stock	stock
in	in	in
roubles	roubl	rouble
for	for	for
a	a	a
client	client	client
and	and	and
selling	sell	selling
the	the	the
identical	ident	identical
value	valu	value
of	of	of
a	a	a
security	secur	security
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
dollars	dollar	dollar
for	for	for
a	a	a
related	relat	related
customer	custom	customer
.	.	.

