MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
s	s	s
spokesman	spokesman	spokesman
confirmed	confirm	confirmed
on	on	on
Wednesday	wednesday	Wednesday
he	he	he
had	had	had
received	receiv	received
an	an	an
email	email	email
in	in	in
January	januari	January
last	last	last
year	year	year
from	from	from
an	an	an
adviser	advis	adviser
to	to	to
Donald	donald	Donald
Trump	trump	Trump
about	about	about
a	a	a
Moscow	moscow	Moscow
real	real	real
estate	estat	estate
project	project	project
,	,	,
but	but	but
said	said	said
he	he	he
had	had	had
neither	neither	neither
replied	repli	replied
nor	nor	nor
discussed	discuss	discussed
it	it	it
with	with	with
Putin	putin	Putin
.	.	.

The	the	The
Washington	washington	Washington
Post	post	Post
reported	report	reported
this	this	this
week	week	week
that	that	that
Michael	michael	Michael
Cohen	cohen	Cohen
,	,	,
one	one	one
of	of	of
Trump	trump	Trump
s	s	s
closest	closest	closest
business	busi	business
advisers	advis	adviser
,	,	,
had	had	had
emailed	email	emailed
Dmitry	dmitri	Dmitry
Peskov	peskov	Peskov
,	,	,
Putin	putin	Putin
s	s	s
spokesman	spokesman	spokesman
,	,	,
seeking	seek	seeking
his	his	his
help	help	help
in	in	in
advancing	advanc	advancing
a	a	a
stalled	stall	stalled
Trump	trump	Trump
Tower	tower	Tower
development	develop	development
project	project	project
in	in	in
Moscow	moscow	Moscow
.	.	.

Trump	trump	Trump
was	was	wa
running	run	running
to	to	to
become	becom	become
president	presid	president
at	at	at
the	the	the
time	time	time
.	.	.

Peskov	peskov	Peskov
,	,	,
answering	answer	answering
questions	question	question
about	about	about
the	the	the
matter	matter	matter
on	on	on
a	a	a
conference	confer	conference
call	call	call
with	with	with
reporters	report	reporter
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
said	said	said
he	he	he
had	had	had
seen	seen	seen
the	the	the
email	email	email
among	among	among
many	mani	many
others	other	others
he	he	he
said	said	said
he	he	he
received	receiv	received
every	everi	every
day	day	day
,	,	,
but	but	but
had	had	had
not	not	not
responded	respond	responded
to	to	to
it	it	it
because	becaus	because
the	the	the
request	request	request
was	was	wa
not	not	not
the	the	the
kind	kind	kind
of	of	of
thing	thing	thing
he	he	he
dealt	dealt	dealt
with	with	with
in	in	in
his	his	his
job	job	job
as	as	a
Kremlin	kremlin	Kremlin
spokesman	spokesman	spokesman
.	.	.

I	i	I
can	can	can
confirm	confirm	confirm
that	that	that
among	among	among
the	the	the
mass	mass	mass
of	of	of
e	e	e
-mails	-mail	-mails
there	there	there
was	was	wa
an	an	an
e	e	e
-mail	-mail	-mail
from	from	from
Mr	mr	Mr
.	.	.
Michael	michael	Michael
Cohen	cohen	Cohen
.	.	.

This	this	This
really	realli	really
happened	happen	happened
,	,	,
said	said	said
Peskov	peskov	Peskov
.	.	.

He	he	He
said	said	said
Cohen	cohen	Cohen
had	had	had
written	written	written
about	about	about
a	a	a
certain	certain	certain
Russian	russian	Russian
company	compani	company
and	and	and
certain	certain	certain
people	peopl	people
who	who	who
wanted	want	wanted
to	to	to
build	build	build
a	a	a
skyscraper	skyscrap	skyscraper
in	in	in
Moscow	moscow	Moscow
and	and	and
wanted	want	wanted
his	his	his
help	help	help
in	in	in
making	make	making
the	the	the
stalled	stall	stalled
project	project	project
a	a	a
reality	realiti	reality
.	.	.

But	but	But
Peskov	peskov	Peskov
said	said	said
the	the	the
request	request	request
was	was	wa
off	off	off
topic	topic	topic
and	and	and
that	that	that
responding	respond	responding
to	to	to
it	it	it
fell	fell	fell
outside	outsid	outside
his	his	his
job	job	job
description	descript	description
.	.	.

Because	becaus	Because
we	we	we
do	do	do
not	not	not
react	react	react
to	to	to
such	such	such
questions	question	question
about	about	about
business	busi	business
themes	theme	theme
,	,	,
and	and	and
this	this	this
is	is	is
not	not	not
our	our	our
job	job	job
,	,	,
we	we	we
left	left	left
this	this	this
matter	matter	matter
without	without	without
a	a	a
response	respons	response
,	,	,
said	said	said
Peskov	peskov	Peskov
.	.	.

He	he	He
said	said	said
the	the	the
Kremlin	kremlin	Kremlin
had	had	had
not	not	not
received	receiv	received
any	ani	any
other	other	other
similar	similar	similar
requests	request	request
on	on	on
the	the	the
subject	subject	subject
and	and	and
that	that	that
he	he	he
had	had	had
not	not	not
raised	rais	raised
the	the	the
subject	subject	subject
of	of	of
Cohen	cohen	Cohen
s	s	s
original	origin	original
email	email	email
with	with	with
Putin	putin	Putin
.	.	.

We	we	We
cannot	cannot	cannot
discuss	discuss	discus
the	the	the
hundreds	hundr	hundred
and	and	and
thousands	thousand	thousand
of	of	of
various	various	various
requests	request	request
from	from	from
different	differ	different
countries	countri	country
we	we	we
get	get	get
with	with	with
President	presid	President
Putin	putin	Putin
,	,	,
said	said	said
Peskov	peskov	Peskov
.	.	.

