Token	Stem	Lemma
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
issued	issu	issued
a	a	a
scathing	scath	scathing
attack	attack	attack
of	of	of
Donald	donald	Donald
Trump	trump	Trump
on	on	on
Tuesday	tuesday	Tuesday
for	for	for
criticizing	critic	criticizing
a	a	a
Muslim	muslim	Muslim
family	famili	family
whose	whose	whose
U	u	U
S	s	S
Army	armi	Army
captain	captain	captain
son	son	son
was	was	wa
killed	kill	killed
in	in	in
Iraq	iraq	Iraq
and	and	and
he	he	he
challenged	challeng	challenged
Republican	republican	Republican
leaders	leader	leader
to	to	to
withdraw	withdraw	withdraw
support	support	support
for	for	for
their	their	their
unfit	unfit	unfit
nominee	nomine	nominee
Obama	obama	Obama
s	s	s
comments	comment	comment
added	ad	added
to	to	to
a	a	a
growing	grow	growing
number	number	number
of	of	of
statements	statement	statement
from	from	from
Republicans	republican	Republicans
and	and	and
Democrats	democrat	Democrats
lambasting	lambast	lambasting
Trump	trump	Trump
for	for	for
his	his	his
criticism	critic	criticism
of	of	of
Khizr	khizr	Khizr
and	and	and
Ghazala	ghazala	Ghazala
Khan	khan	Khan
who	who	who
appeared	appear	appeared
at	at	at
the	the	the
Democratic	democrat	Democratic
National	nation	National
Convention	convent	Convention
last	last	last
week	week	week
Trump	trump	Trump
questioned	question	questioned
whether	whether	whether
Mrs	mrs	Mrs
Khan	khan	Khan
did	did	did
not	not	not
speak	speak	speak
at	at	at
the	the	the
convention	convent	convention
because	becaus	because
she	she	she
was	was	wa
prevented	prevent	prevented
from	from	from
doing	do	doing
so	so	so
by	by	by
her	her	her
religion	religion	religion
and	and	and
he	he	he
characterized	character	characterized
Mr	mr	Mr
Khan	khan	Khan
s	s	s
criticism	critic	criticism
of	of	of
him	him	him
as	as	a
vicious	vicious	vicious
Families	famili	Families
who	who	who
lose	lose	lose
sons	son	son
or	or	or
daughters	daughter	daughter
who	who	who
serve	serv	serve
in	in	in
the	the	the
U	u	U
S	s	S
military	militari	military
are	are	are
called	call	called
Gold	gold	Gold
Star	star	Star
families	famili	family
The	the	The
notion	notion	notion
that	that	that
he	he	he
would	would	would
attack	attack	attack
a	a	a
Gold	gold	Gold
Star	star	Star
family	famili	family
that	that	that
had	had	had
made	made	made
such	such	such
extraordinary	extraordinari	extraordinary
sacrifices	sacrific	sacrifice
on	on	on
behalf	behalf	behalf
or	or	or
our	our	our
country	countri	country
the	the	the
fact	fact	fact
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
appear	appear	appear
to	to	to
have	have	have
basic	basic	basic
knowledge	knowledg	knowledge
around	around	around
critical	critic	critical
issues	issu	issue
in	in	in
Europe	europ	Europe
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
in	in	in
Asia	asia	Asia
means	mean	mean
that	that	that
he	he	he
s	s	s
woefully	woefulli	woefully
unprepared	unprepar	unprepared
to	to	to
do	do	do
this	this	this
job	job	job
Obama	obama	Obama
said	said	said
of	of	of
Trump	trump	Trump
during	dure	during
a	a	a
White	white	White
House	hous	House
news	news	news
conference	confer	conference
The	the	The
Democratic	democrat	Democratic
president	presid	president
noted	note	noted
that	that	that
