UNITED	unit	UNITED
NATIONS	nation	NATIONS
Reuters	reuter	Reuters
-	-	-
United	unit	United
Nations	nation	Nations
officials	offici	official
have	have	have
found	found	found
that	that	that
missiles	missil	missile
fired	fire	fired
at	at	at
Saudi	saudi	Saudi
Arabia	arabia	Arabia
by	by	by
Yemen	yemen	Yemen
s	s	s
Houthi	houthi	Houthi
rebels	rebel	rebel
appear	appear	appear
to	to	to
have	have	have
a	a	a
common	common	common
origin	origin	origin
,	,	,
but	but	but
they	they	they
are	are	are
still	still	still
investigating	investig	investigating
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
Saudi	saudi	Saudi
claims	claim	claim
that	that	that
Iran	iran	Iran
supplied	suppli	supplied
them	them	them
,	,	,
according	accord	according
to	to	to
a	a	a
confidential	confidenti	confidential
report	report	report
.	.	.
The	the	The
officials	offici	official
traveled	travel	traveled
to	to	to
Saudi	saudi	Saudi
Arabia	arabia	Arabia
to	to	to
examine	examin	examine
the	the	the
debris	debri	debris
of	of	of
missiles	missil	missile
fired	fire	fired
on	on	on
July	juli	July
22	22	22
and	and	and
Nov	nov	Nov
.	.	.
4	4	4
,	,	,
wrote	wrote	wrote
U	u	U
.	.	.
N	n	N
.	.	.
Secretary	secretari	Secretary
-General	-gener	-General
Antonio	antonio	Antonio
Guterres	guterr	Guterres
in	in	in
the	the	the
fourth	fourth	fourth
biannual	biannual	biannual
report	report	report
on	on	on
the	the	the
implementation	implement	implementation
of	of	of
U	u	U
.	.	.
N	n	N
.	.	.
sanctions	sanction	sanction
and	and	and
restrictions	restrict	restriction
on	on	on
Iran	iran	Iran
.	.	.
They	they	They
found	found	found
that	that	that
the	the	the
missiles	missil	missile
had	had	had
similar	similar	similar
structural	structur	structural
and	and	and
manufacturing	manufactur	manufacturing
features	featur	feature
which	which	which
suggest	suggest	suggest
a	a	a
common	common	common
origin	origin	origin
,	,	,
said	said	said
Guterres	guterr	Guterres
in	in	in
the	the	the
Friday	friday	Friday
report	report	report
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
,	,	,
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
on	on	on
Saturday	saturday	Saturday
.	.	.
The	the	The
report	report	report
comes	come	come
amid	amid	amid
calls	call	call
by	by	by
the	the	the
United	unit	United
States	state	States
for	for	for
Iran	iran	Iran
to	to	to
be	be	be
held	held	held
accountable	account	accountable
for	for	for
violating	violat	violating
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
resolutions	resolut	resolution
on	on	on
Yemen	yemen	Yemen
and	and	and
Iran	iran	Iran
by	by	by
supplying	suppli	supplying
weapons	weapon	weapon
to	to	to
the	the	the
Houthis	houthi	Houthis
.	.	.
Saudi	saudi	Saudi
-led	-led	-led
forces	forc	force
,	,	,
which	which	which
back	back	back
the	the	the
Yemeni	yemeni	Yemeni
government	govern	government
,	,	,
have	have	have
fought	fought	fought
the	the	the
Iran	iran	Iran
-allied	-alli	-allied
Houthis	houthi	Houthis
in	in	in
Yemen	yemen	Yemen
s	s	s
more	more	more
than	than	than
two	two	two
-year-long	-year-long	-year-long
civil	civil	civil
war	war	war
.	.	.
Saudi	saudi	Saudi
Arabia	arabia	Arabia
s	s	s
crown	crown	crown
prince	princ	prince
has	has	ha
described	describ	described
Iran	iran	Iran
s	s	s
supply	suppli	supply
of	of	of
rockets	rocket	rocket
to	to	to
the	the	the
Houthis	houthi	Houthis
as	as	a
direct	direct	direct
military	militari	military
aggression	aggress	aggression
that	that	that
could	could	could
be	be	be
an	an	an
act	act	act
of	of	of
war	war	war
.	.	.
Iran	iran	Iran
has	has	ha
denied	deni	denied
supplying	suppli	supplying
the	the	the
Houthis	houthi	Houthis
with	with	with
weapons	weapon	weapon
,	,	,
saying	say	saying
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
Saudi	saudi	Saudi
allegations	alleg	allegation
are	are	are
baseless	baseless	baseless
and	and	and
unfounded	unfound	unfounded
.	.	.
Guterre	guterr	Guterre
s	s	s
report	report	report
said	said	said
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
officials	offici	official
saw	saw	saw
three	three	three
components	compon	component
,	,	,
which	which	which
Saudi	saudi	Saudi
authorities	author	authority
said	said	said
came	came	came
from	from	from
the	the	the
missile	missil	missile
fired	fire	fired
on	on	on
Nov	nov	Nov
.	.	.
4	4	4
.	.	.
The	the	The
components	compon	component
bore	bore	bore
the	the	the
castings	cast	casting
of	of	of
a	a	a
logo	logo	logo
similar	similar	similar
to	to	to
that	that	that
of	of	of
the	the	the
Shahid	shahid	Shahid
Bagheri	bagheri	Bagheri
Industrial	industri	Industrial
Group	group	Group
-	-	-
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
-blacklisted	-blacklist	-blacklisted
company	compani	company
.	.	.
The	the	The
officials	offici	official
are	are	are
still	still	still
analyzing	analyz	analyzing
the	the	the
information	inform	information
collected	collect	collected
and	and	and
will	will	will
report	report	report
back	back	back
to	to	to
the	the	the
Security	secur	Security
Council	council	Council
,	,	,
wrote	wrote	wrote
Guterres	guterr	Guterres
.	.	.
The	the	The
Saudi	saudi	Saudi
-led	-led	-led
coalition	coalit	coalition
used	use	used
the	the	the
Nov	nov	Nov
.	.	.
4	4	4
missile	missil	missile
attack	attack	attack
to	to	to
justify	justifi	justify
a	a	a
blockade	blockad	blockade
of	of	of
Yemen	yemen	Yemen
for	for	for
several	sever	several
weeks	week	week
,	,	,
saying	say	saying
it	it	it
was	was	wa
needed	need	needed
to	to	to
stem	stem	stem
the	the	the
flow	flow	flow
of	of	of
arms	arm	arm
to	to	to
the	the	the
Houthis	houthi	Houthis
from	from	from
Iran	iran	Iran
.	.	.
Although	although	Although
the	the	the
blockade	blockad	blockade
later	later	later
eased	eas	eased
,	,	,
Yemen	yemen	Yemen
s	s	s
situation	situat	situation
has	has	ha
remained	remain	remained
dire	dire	dire
.	.	.
About	about	About
8	8	8
million	million	million
people	peopl	people
are	are	are
on	on	on
the	the	the
brink	brink	brink
of	of	of
famine	famin	famine
,	,	,
with	with	with
outbreaks	outbreak	outbreak
of	of	of
cholera	cholera	cholera
and	and	and
diphtheria	diphtheria	diphtheria
.	.	.
A	a	A
separate	separ	separate
report	report	report
to	to	to
the	the	the
Security	secur	Security
Council	council	Council
last	last	last
month	month	month
by	by	by
a	a	a
panel	panel	panel
of	of	of
independent	independ	independent
experts	expert	expert
monitoring	monitor	monitoring
sanctions	sanction	sanction
imposed	impos	imposed
in	in	in
Yemen	yemen	Yemen
found	found	found
that	that	that
four	four	four
missiles	missil	missile
fired	fire	fired
this	this	this
year	year	year
into	into	into
Saudi	saudi	Saudi
Arabia	arabia	Arabia
appear	appear	appear
to	to	to
have	have	have
been	been	been
designed	design	designed
and	and	and
manufactured	manufactur	manufactured
by	by	by
Iran	iran	Iran
.	.	.
However	howev	However
,	,	,
the	the	the
panel	panel	panel
said	said	said
it	it	it
as	as	a
yet	yet	yet
has	has	ha
no	no	no
evidence	evid	evidence
as	as	a
to	to	to
the	the	the
identity	ident	identity
of	of	of
the	the	the
broker	broker	broker
or	or	or
supplier	supplier	supplier
of	of	of
the	the	the
missiles	missil	missile
,	,	,
which	which	which
were	were	were
likely	like	likely
shipped	ship	shipped
to	to	to
the	the	the
Houthis	houthi	Houthis
in	in	in
violation	violat	violation
of	of	of
a	a	a
targeted	target	targeted
U	u	U
.	.	.
N	n	N
.	.	.
arms	arm	arm
embargo	embargo	embargo
imposed	impos	imposed
on	on	on
Houthi	houthi	Houthi
leaders	leader	leader
in	in	in
April	april	April
2015	2015	2015
.	.	.
Most	most	Most
U	u	U
.	.	.
N	n	N
.	.	.
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
were	were	were
lifted	lift	lifted
in	in	in
January	januari	January
last	last	last
year	year	year
when	when	when
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
nuclear	nuclear	nuclear
watchdog	watchdog	watchdog
confirmed	confirm	confirmed
that	that	that
Tehran	tehran	Tehran
fulfilled	fulfil	fulfilled
commitments	commit	commitment
under	under	under
a	a	a
nuclear	nuclear	nuclear
deal	deal	deal
with	with	with
Britain	britain	Britain
,	,	,
France	franc	France
,	,	,
Germany	germani	Germany
,	,	,
China	china	China
,	,	,
Russia	russia	Russia
and	and	and
the	the	the
United	unit	United
States	state	States
.	.	.
But	but	But
Iran	iran	Iran
is	is	is
still	still	still
subject	subject	subject
to	to	to
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
arms	arm	arm
embargo	embargo	embargo
and	and	and
other	other	other
restrictions	restrict	restriction
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
dealt	dealt	dealt
a	a	a
blow	blow	blow
to	to	to
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
in	in	in
October	octob	October
by	by	by
refusing	refus	refusing
to	to	to
certify	certifi	certify
that	that	that
Tehran	tehran	Tehran
was	was	wa
complying	compli	complying
with	with	with
the	the	the
accord	accord	accord
and	and	and
warning	warn	warning
that	that	that
he	he	he
might	might	might
ultimately	ultim	ultimately
terminate	termin	terminate
it	it	it
.	.	.
International	intern	International
inspectors	inspector	inspector
have	have	have
said	said	said
Iran	iran	Iran
is	is	is
in	in	in
compliance	complianc	compliance
.	.	.
I	i	I
encourage	encourag	encourage
the	the	the
United	unit	United
States	state	States
to	to	to
maintain	maintain	maintain
its	it	it
commitments	commit	commitment
to	to	to
the	the	the
plan	plan	plan
and	and	and
to	to	to
consider	consid	consider
the	the	the
broader	broader	broader
implications	implic	implication
for	for	for
the	the	the
region	region	region
and	and	and
beyond	beyond	beyond
before	befor	before
taking	take	taking
any	ani	any
further	further	further
steps	step	step
,	,	,
Guterres	guterr	Guterres
wrote	wrote	wrote
.	.	.
Similarly	similar	Similarly
,	,	,
I	i	I
encourage	encourag	encourage
the	the	the
Islamic	islam	Islamic
Republic	republ	Republic
of	of	of
Iran	iran	Iran
to	to	to
carefully	care	carefully
consider	consid	consider
the	the	the
concerns	concern	concern
raised	rais	raised
by	by	by
other	other	other
participants	particip	participant
in	in	in
the	the	the
plan	plan	plan
,	,	,
he	he	he
said	said	said
.	.	.
