PARIS	pari	PARIS
Reuters	reuter	Reuters
-	-	-
France	franc	France
,	,	,
the	the	the
European	european	European
Union	union	Union
s	s	s
largest	largest	largest
farm	farm	farm
producer	produc	producer
,	,	,
plans	plan	plan
to	to	to
raise	rais	raise
regulated	regul	regulated
minimum	minimum	minimum
food	food	food
prices	price	price
and	and	and
limit	limit	limit
bargain	bargain	bargain
sales	sale	sale
in	in	in
supermarkets	supermarket	supermarket
in	in	in
a	a	a
bid	bid	bid
to	to	to
increase	increas	increase
farmers	farmer	farmer
income	incom	income
,	,	,
Prime	prime	Prime
Minister	minist	Minister
Edouard	edouard	Edouard
Philippe	philipp	Philippe
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.

The	the	The
move	move	move
is	is	is
part	part	part
of	of	of
a	a	a
wider	wider	wider
field	field	field
-to-fork	-to-fork	-to-fork
review	review	review
that	that	that
closed	close	closed
on	on	on
Thursday	thursday	Thursday
.	.	.

Farmers	farmer	Farmers
,	,	,
an	an	an
important	import	important
constituency	constitu	constituency
in	in	in
French	french	French
politics	polit	politics
,	,	,
have	have	have
long	long	long
complained	complain	complained
of	of	of
being	be	being
hit	hit	hit
by	by	by
a	a	a
price	price	price
war	war	war
between	between	between
retailers	retail	retailer
,	,	,
which	which	which
has	has	ha
benefited	benefit	benefited
consumers	consum	consumer
but	but	but
hurt	hurt	hurt
producers	produc	producer
down	down	down
the	the	the
chain	chain	chain
.	.	.

The	the	The
measures	measur	measure
will	will	will
be	be	be
put	put	put
in	in	in
place	place	place
for	for	for
a	a	a
trial	trial	trial
period	period	period
of	of	of
two	two	two
years	year	year
,	,	,
Philippe	philipp	Philippe
said	said	said
.	.	.

Selling	sell	Selling
at	at	at
a	a	a
loss	loss	loss
is	is	is
forbidden	forbidden	forbidden
in	in	in
France	franc	France
.	.	.

To	to	To
determine	determin	determine
the	the	the
minimum	minimum	minimum
level	level	level
at	at	at
which	which	which
retailers	retail	retailer
are	are	are
allowed	allow	allowed
to	to	to
sell	sell	sell
a	a	a
product	product	product
,	,	,
France	franc	France
has	has	ha
set	set	set
a	a	a
Resale	resal	Resale
Below	below	Below
Cost	cost	Cost
RBC	rbc	RBC
threshold	threshold	threshold
.	.	.

The	the	The
RBC	rbc	RBC
threshold	threshold	threshold
is	is	is
currently	current	currently
defined	defin	defined
by	by	by
the	the	the
product	product	product
s	s	s
basic	basic	basic
purchase	purchas	purchase
price	price	price
,	,	,
minus	minus	minus
discounts	discount	discount
,	,	,
plus	plus	plus
transport	transport	transport
costs	cost	cost
to	to	to
the	the	the
retailer	retail	retailer
s	s	s
warehouse	warehous	warehouse
.	.	.

The	the	The
government	govern	government
will	will	will
propose	propos	propose
to	to	to
raise	rais	raise
the	the	the
RBC	rbc	RBC
threshold	threshold	threshold
by	by	by
10	10	10
percent	percent	percent
,	,	,
Philippe	philipp	Philippe
said	said	said
at	at	at
the	the	the
close	close	close
of	of	of
the	the	the
food	food	food
review	review	review
.	.	.

The	the	The
aim	aim	aim
is	is	is
to	to	to
rebalance	rebal	rebalance
trade	trade	trade
relations	relat	relation
for	for	for
the	the	the
benefit	benefit	benefit
of	of	of
farmers	farmer	farmer
income	incom	income
,	,	,
he	he	he
said	said	said
when	when	when
describing	describ	describing
the	the	the
proposal	propos	proposal
.	.	.

The	the	The
rise	rise	rise
would	would	would
include	includ	include
some	some	some
of	of	of
the	the	the
additional	addit	additional
costs	cost	cost
already	alreadi	already
supported	support	supported
by	by	by
retailers	retail	retailer
,	,	,
such	such	such
as	as	a
the	the	the
cost	cost	cost
of	of	of
logistics	logist	logistics
and	and	and
staff	staff	staff
needed	need	needed
to	to	to
bring	bring	bring
products	product	product
from	from	from
warehouses	warehous	warehouse
to	to	to
the	the	the
shelves	shelv	shelf
,	,	,
food	food	food
industry	industri	industry
group	group	group
Ania	ania	Ania
said	said	said
.	.	.

This	this	This
will	will	will
increase	increas	increase
the	the	the
end	end	end
-price	-price	-price
of	of	of
all	all	all
products	product	product
sold	sold	sold
between	between	between
the	the	the
current	current	current
RBC	rbc	RBC
threshold	threshold	threshold
and	and	and
the	the	the
new	new	new
one	one	one
-	-	-
but	but	but
not	not	not
necessarily	necessarili	necessarily
more	more	more
expensive	expens	expensive
ones	one	one
.	.	.

The	the	The
government	govern	government
will	will	will
propose	propos	propose
limiting	limit	limiting
discounts	discount	discount
on	on	on
food	food	food
products	product	product
to	to	to
34	34	34
percent	percent	percent
of	of	of
a	a	a
product	product	product
s	s	s
price	price	price
and	and	and
to	to	to
25	25	25
percent	percent	percent
of	of	of
available	avail	available
volumes	volum	volume
,	,	,
Agriculture	agricultur	Agriculture
Minister	minist	Minister
Stephane	stephan	Stephane
Travert	travert	Travert
said	said	said
.	.	.

This	this	This
means	mean	mean
that	that	that
retailers	retail	retailer
will	will	will
be	be	be
able	abl	able
to	to	to
do	do	do
promotion	promot	promotion
offers	offer	offer
such	such	such
as	as	a
three	three	three
products	product	product
for	for	for
the	the	the
price	price	price
of	of	of
two	two	two
but	but	but
only	onli	only
for	for	for
a	a	a
fourth	fourth	fourth
of	of	of
their	their	their
supplies	suppli	supply
for	for	for
that	that	that
product	product	product
.	.	.

The	the	The
war	war	war
in	in	in
prices	price	price
had	had	had
led	led	led
to	to	to
rebates	rebat	rebate
of	of	of
up	up	up
to	to	to
70	70	70
percent	percent	percent
,	,	,
which	which	which
are	are	are
most	most	most
often	often	often
supported	support	supported
by	by	by
food	food	food
producers	produc	producer
.	.	.

The	the	The
aim	aim	aim
of	of	of
the	the	the
measure	measur	measure
is	is	is
to	to	to
avoid	avoid	avoid
consumers	consum	consumer
losing	lose	losing
the	the	the
sense	sens	sense
of	of	of
prices	price	price
.	.	.

It	it	It
would	would	would
now	now	now
be	be	be
promotions	promot	promotion
,	,	,
not	not	not
sell	sell	sell
-offs	-off	-offs
,	,	,
Christiane	christian	Christiane
Lambert	lambert	Lambert
,	,	,
head	head	head
of	of	of
France	franc	France
s	s	s
largest	largest	largest
farm	farm	farm
union	union	union
FNSEA	fnsea	FNSEA
,	,	,
said	said	said
.	.	.

Analysts	analyst	Analysts
say	say	say
the	the	the
measures	measur	measure
would	would	would
reduce	reduc	reduce
aggressive	aggress	aggressive
price	price	price
competition	competit	competition
among	among	among
French	french	French
retailers	retail	retailer
and	and	and
accelerate	acceler	accelerate
food	food	food
inflation	inflat	inflation
,	,	,
potentially	potenti	potentially
benefiting	benefit	benefiting
retailers	retail	retailer
profit	profit	profit
margins	margin	margin
in	in	in
the	the	the
short	short	short
-term	-term	-term
.	.	.

This	this	This
should	should	should
calm	calm	calm
down	down	down
the	the	the
price	price	price
game	game	game
a	a	a
bit	bit	bit
but	but	but
the	the	the
most	most	most
aggressive	aggress	aggressive
players	player	player
on	on	on
prices	price	price
may	may	may
be	be	be
tempted	tempt	tempted
to	to	to
parry	parri	parry
an	an	an
attack	attack	attack
,	,	,
Raymond	raymond	Raymond
James	jame	James
analyst	analyst	analyst
Cedric	cedric	Cedric
Lecasble	lecasbl	Lecasble
said	said	said
.	.	.

A	a	A
softer	softer	softer
competitive	competit	competitive
climate	climat	climate
could	could	could
come	come	come
as	as	a
a	a	a
relief	relief	relief
for	for	for
retailers	retail	retailer
like	like	like
Carrefour	carrefour	Carrefour
CARR	carr	CARR
.	.	.
PA	pa	PA
and	and	and
Auchan	auchan	Auchan
AUCH	auch	AUCH
.	.	.
UL	ul	UL
,	,	,
whose	whose	whose
profitability	profit	profitability
is	is	is
under	under	under
pressure	pressur	pressure
and	and	and
whose	whose	whose
hypermarkets	hypermarket	hypermarket
sales	sale	sale
suffer	suffer	suffer
from	from	from
aggressive	aggress	aggressive
price	price	price
discounting	discount	discounting
from	from	from
the	the	the
market	market	market
s	s	s
dominant	domin	dominant
player	player	player
,	,	,
Leclerc	leclerc	Leclerc
,	,	,
Barclays	barclay	Barclays
analyst	analyst	analyst
Nicolas	nicola	Nicolas
Champ	champ	Champ
said	said	said
.	.	.

Leclerc	leclerc	Leclerc
is	is	is
now	now	now
the	the	the
leading	lead	leading
retailer	retail	retailer
in	in	in
France	franc	France
with	with	with
a	a	a
national	nation	national
market	market	market
share	share	share
of	of	of
21	21	21
percent	percent	percent
against	against	against
20	20	20
.	.	.
5	5	5
percent	percent	percent
for	for	for
Carrefour	carrefour	Carrefour
,	,	,
the	the	the
latest	latest	latest
Kantar	kantar	Kantar
data	data	data
show	show	show
.	.	.

Accelerated	acceler	Accelerated
food	food	food
inflation	inflat	inflation
could	could	could
also	also	also
lead	lead	lead
some	some	some
consumers	consum	consumer
to	to	to
trade	trade	trade
down	down	down
,	,	,
which	which	which
could	could	could
benefit	benefit	benefit
hard	hard	hard
discounters	discount	discounter
like	like	like
Lidl	lidl	Lidl
.	.	.

The	the	The
limitation	limit	limitation
of	of	of
promotions	promot	promotion
could	could	could
also	also	also
benefit	benefit	benefit
discounters	discount	discounter
who	who	who
have	have	have
mostly	most	mostly
Every	everi	Every
Day	day	Day
Low	low	Low
prices	price	price
strategies	strategi	strategy
and	and	and
reduce	reduc	reduce
the	the	the
attractiveness	attract	attractiveness
of	of	of
the	the	the
hypermarket	hypermarket	hypermarket
stores	store	store
,	,	,
which	which	which
are	are	are
more	more	more
focused	focus	focused
on	on	on
promotions	promot	promotion
.	.	.

The	the	The
government	govern	government
s	s	s
aim	aim	aim
is	is	is
to	to	to
present	present	present
draft	draft	draft
legislation	legisl	legislation
to	to	to
Parliament	parliament	Parliament
early	earli	early
next	next	next
year	year	year
,	,	,
Philippe	philipp	Philippe
said	said	said
.	.	.

Analysts	analyst	Analysts
say	say	say
the	the	the
measures	measur	measure
are	are	are
unlikely	unlik	unlikely
to	to	to
have	have	have
an	an	an
impact	impact	impact
on	on	on
the	the	the
food	food	food
chain	chain	chain
before	befor	before
the	the	the
second	second	second
half	half	half
of	of	of
2018	2018	2018
.	.	.

Ania	ania	Ania
had	had	had
estimated	estim	estimated
that	that	that
a	a	a
rise	rise	rise
of	of	of
15	15	15
percent	percent	percent
in	in	in
the	the	the
RBC	rbc	RBC
threshold	threshold	threshold
would	would	would
cost	cost	cost
consumers	consum	consumer
an	an	an
average	averag	average
of	of	of
30	30	30
cents	cent	cent
0	0	0
.	.	.
36	36	36
per	per	per
person	person	person
and	and	and
per	per	per
week	week	week
.	.	.

Prices	price	Prices
of	of	of
products	product	product
currently	current	currently
sold	sold	sold
lower	lower	lower
than	than	than
the	the	the
new	new	new
RBC	rbc	RBC
floor	floor	floor
level	level	level
-	-	-
mostly	most	mostly
products	product	product
used	use	used
to	to	to
attract	attract	attract
consumers	consum	consumer
such	such	such
as	as	a
Ferrero	ferrero	Ferrero
s	s	s
Nutella	nutella	Nutella
or	or	or
Coca	coca	Coca
Cola	cola	Cola
KO	ko	KO
.	.	.
N	n	N
soft	soft	soft
drinks	drink	drink
-	-	-
would	would	would
rise	rise	rise
mechanically	mechan	mechanically
.	.	.

The	the	The
government	govern	government
hopes	hope	hope
that	that	that
the	the	the
measures	measur	measure
will	will	will
prompt	prompt	prompt
retailers	retail	retailer
to	to	to
loosen	loosen	loosen
pressure	pressur	pressure
on	on	on
suppliers	supplier	supplier
and	and	and
food	food	food
makers	maker	maker
who	who	who
would	would	would
then	then	then
pass	pass	pas
at	at	at
least	least	least
part	part	part
of	of	of
the	the	the
rise	rise	rise
onto	onto	onto
farmers	farmer	farmer
.	.	.

But	but	But
some	some	some
are	are	are
doubtful	doubt	doubtful
that	that	that
this	this	this
will	will	will
happen	happen	happen
.	.	.

We	we	We
will	will	will
increase	increas	increase
some	some	some
products	product	product
prices	price	price
by	by	by
10	10	10
percent	percent	percent
,	,	,
promising	promis	promising
that	that	that
miraculously	miracul	miraculously
this	this	this
money	money	money
,	,	,
taken	taken	taken
from	from	from
consumers	consum	consumer
,	,	,
will	will	will
go	go	go
down	down	down
to	to	to
the	the	the
agri	agri	agri
-food	-food	-food
industry	industri	industry
and	and	and
that	that	that
industry	industri	industry
will	will	will
give	give	give
this	this	this
money	money	money
back	back	back
to	to	to
farmers	farmer	farmer
.	.	.

By	by	By
what	what	what
miracle	miracl	miracle
,	,	,
we	we	we
do	do	do
not	not	not
know	know	know
,	,	,
there	there	there
are	are	are
no	no	no
tools	tool	tool
,	,	,
Olivier	olivi	Olivier
Andrault	andrault	Andrault
from	from	from
consumer	consum	consumer
rights	right	right
group	group	group
UFC	ufc	UFC
-Que	-que	-Que
choisir	choisir	choisir
told	told	told
Europe	europ	Europe
1	1	1
radio	radio	radio
.	.	.

The	the	The
government	govern	government
will	will	will
also	also	also
reinforce	reinforc	reinforce
the	the	the
so	so	so
-called	-call	-called
renegotiation	renegoti	renegotiation
clause	claus	clause
that	that	that
allows	allow	allows
parties	parti	party
to	to	to
ask	ask	ask
that	that	that
contracts	contract	contract
-	-	-
concluded	conclud	concluded
on	on	on
an	an	an
annual	annual	annual
basis	basi	basis
in	in	in
France	franc	France
-	-	-
be	be	be
reviewed	review	reviewed
if	if	if
there	there	there
is	is	is
a	a	a
large	larg	large
swing	swing	swing
in	in	in
production	product	production
prices	price	price
.	.	.

To	to	To
ensure	ensur	ensure
that	that	that
farmers	farmer	farmer
are	are	are
not	not	not
paid	paid	paid
below	below	below
their	their	their
costs	cost	cost
,	,	,
France	franc	France
also	also	also
plans	plan	plan
to	to	to
reverse	revers	reverse
the	the	the
process	process	process
of	of	of
determining	determin	determining
prices	price	price
by	by	by
taking	take	taking
farmers	farmer	farmer
production	product	production
costs	cost	cost
as	as	a
the	the	the
starting	start	starting
point	point	point
.	.	.

1	1	1
0	0	0
.	.	.
8432	8432	8432
euros	euro	euro

