CRAIOVA	craiova	CRAIOVA
,	,	,
Romania	romania	Romania
Reuters	reuter	Reuters
-	-	-
NATO	nato	NATO
ally	alli	ally
Turkey	turkey	Turkey
is	is	is
not	not	not
seeking	seek	seeking
to	to	to
antagonize	antagon	antagonize
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
alliance	allianc	alliance
by	by	by
purchasing	purchas	purchasing
Russian	russian	Russian
S	s	S
-400	-400	-400
surface	surfac	surface
-to-air	-to-air	-to-air
missiles	missil	missile
and	and	and
is	is	is
in	in	in
talks	talk	talk
with	with	with
France	franc	France
and	and	and
Italy	itali	Italy
to	to	to
buy	buy	buy
similar	similar	similar
weapons	weapon	weapon
,	,	,
NATO	nato	NATO
Secretary	secretari	Secretary
-General	-gener	-General
Jens	jen	Jens
Stoltenberg	stoltenberg	Stoltenberg
said	said	said
.	.	.
Ankara	ankara	Ankara
s	s	s
decision	decis	decision
to	to	to
buy	buy	buy
the	the	the
Russian	russian	Russian
system	system	system
has	has	ha
been	been	been
seen	seen	seen
in	in	in
some	some	some
Western	western	Western
capitals	capit	capital
as	as	a
a	a	a
snub	snub	snub
to	to	to
the	the	the
alliance	allianc	alliance
,	,	,
given	given	given
tensions	tension	tension
with	with	with
Moscow	moscow	Moscow
over	over	over
Ukraine	ukrain	Ukraine
and	and	and
Syria	syria	Syria
,	,	,
while	while	while
the	the	the
deal	deal	deal
raised	rais	raised
concern	concern	concern
because	becaus	because
the	the	the
weapons	weapon	weapon
cannot	cannot	cannot
be	be	be
integrated	integr	integrated
into	into	into
NATO	nato	NATO
defense	defens	defense
.	.	.
But	but	But
Stoltenberg	stoltenberg	Stoltenberg
said	said	said
it	it	it
was	was	wa
a	a	a
sovereign	sovereign	sovereign
decision	decis	decision
and	and	and
that	that	that
he	he	he
had	had	had
talked	talk	talked
it	it	it
through	through	through
with	with	with
Turkish	turkish	Turkish
President	presid	President
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
.	.	.
There	there	There
hasn	hasn	hasn
t	t	t
been	been	been
any	ani	any
request	request	request
from	from	from
Turkey	turkey	Turkey
to	to	to
integrate	integr	integrate
the	the	the
S	s	S
-400	-400	-400
into	into	into
NATO	nato	NATO
air	air	air
defense	defens	defense
system	system	system
,	,	,
Stoltenberg	stoltenberg	Stoltenberg
told	told	told
Reuters	reuter	Reuters
in	in	in
an	an	an
interview	interview	interview
on	on	on
a	a	a
Belgian	belgian	Belgian
military	militari	military
plane	plane	plane
returning	return	returning
from	from	from
Romania	romania	Romania
late	late	late
on	on	on
Monday	monday	Monday
.	.	.
I	i	I
spoke	spoke	spoke
with	with	with
President	presid	President
Erdogan	erdogan	Erdogan
when	when	when
I	i	I
met	met	met
him	him	him
in	in	in
September	septemb	September
.	.	.
I	i	I
said	said	said
that	that	that
the	the	the
kind	kind	kind
of	of	of
capabilities	capabl	capability
different	differ	different
nations	nation	nation
want	want	want
to	to	to
acquire	acquir	acquire
is	is	is
a	a	a
national	nation	national
decision	decis	decision
,	,	,
he	he	he
said	said	said
of	of	of
the	the	the
S	s	S
-400	-400	-400
system	system	system
that	that	that
Turkey	turkey	Turkey
has	has	ha
made	made	made
an	an	an
advance	advanc	advance
payment	payment	payment
for	for	for
and	and	and
hopes	hope	hope
to	to	to
see	see	see
delivered	deliv	delivered
in	in	in
2019	2019	2019
.	.	.
Stoltenberg	stoltenberg	Stoltenberg
stressed	stress	stressed
that	that	that
top	top	top
Turkish	turkish	Turkish
officials	offici	official
,	,	,
as	as	a
well	well	well
as	as	a
Erdogan	erdogan	Erdogan
,	,	,
had	had	had
told	told	told
him	him	him
Ankara	ankara	Ankara
remained	remain	remained
a	a	a
strong	strong	strong
NATO	nato	NATO
ally	alli	ally
.	.	.
That	that	That
was	was	wa
despite	despit	despite
the	the	the
S	s	S
-400	-400	-400
issue	issu	issue
and	and	and
a	a	a
dispute	disput	dispute
with	with	with
Germany	germani	Germany
over	over	over
Erdogan	erdogan	Erdogan
s	s	s
arrest	arrest	arrest
of	of	of
German	german	German
nationals	nation	national
as	as	a
part	part	part
of	of	of
a	a	a
mass	mass	mass
purge	purg	purge
following	follow	following
last	last	last
July	juli	July
s	s	s
failed	fail	failed
coup	coup	coup
bid	bid	bid
.	.	.
Stoltenberg	stoltenberg	Stoltenberg
said	said	said
Ankara	ankara	Ankara
was	was	wa
ready	readi	ready
to	to	to
brief	brief	brief
its	it	it
allies	alli	ally
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
29	29	29
-member	-member	-member
bloc	bloc	bloc
on	on	on
the	the	the
reasons	reason	reason
behind	behind	behind
its	it	it
decision	decis	decision
to	to	to
buy	buy	buy
the	the	the
S	s	S
-400	-400	-400
system	system	system
.	.	.
Erdogan	erdogan	Erdogan
has	has	ha
blamed	blame	blamed
NATO	nato	NATO
countries	countri	country
for	for	for
failing	fail	failing
to	to	to
propose	propos	propose
a	a	a
viable	viabl	viable
alternative	altern	alternative
to	to	to
the	the	the
long	long	long
-range	-rang	-range
Russian	russian	Russian
missiles	missil	missile
,	,	,
but	but	but
Stoltenberg	stoltenberg	Stoltenberg
said	said	said
Erdogan	erdogan	Erdogan
was	was	wa
now	now	now
talking	talk	talking
to	to	to
Paris	pari	Paris
and	and	and
Rome	rome	Rome
for	for	for
similar	similar	similar
systems	system	system
,	,	,
a	a	a
move	move	move
the	the	the
alliance	allianc	alliance
chief	chief	chief
welcomed	welcom	welcomed
.	.	.
He	he	He
told	told	told
me	me	me
that	that	that
Turkey	turkey	Turkey
is	is	is
in	in	in
dialogue	dialogu	dialogue
with	with	with
France	franc	France
and	and	and
Italy	itali	Italy
on	on	on
possible	possibl	possible
delivery	deliveri	delivery
of	of	of
air	air	air
defense	defens	defense
systems	system	system
from	from	from
them	them	them
.	.	.
.	.	.
.	.	.
on	on	on
top	top	top
of	of	of
the	the	the
S	s	S
-400	-400	-400
,	,	,
Stoltenberg	stoltenberg	Stoltenberg
said	said	said
.	.	.
Stoltenberg	stoltenberg	Stoltenberg
did	did	did
not	not	not
give	give	give
more	more	more
details	detail	detail
but	but	but
said	said	said
Turkey	turkey	Turkey
was	was	wa
familiar	familiar	familiar
with	with	with
the	the	the
so	so	so
-called	-call	-called
SAMP	samp	SAMP
-T	-t	-T
missiles	missil	missile
developed	develop	developed
because	becaus	because
Italy	itali	Italy
had	had	had
stationed	station	stationed
them	them	them
in	in	in
Turkey	turkey	Turkey
as	as	a
part	part	part
of	of	of
NATO	nato	NATO
efforts	effort	effort
to	to	to
help	help	help
protect	protect	protect
Ankara	ankara	Ankara
from	from	from
rocket	rocket	rocket
attacks	attack	attack
.	.	.
Such	such	Such
weapons	weapon	weapon
are	are	are
designed	design	designed
to	to	to
protect	protect	protect
battlefields	battlefield	battlefield
and	and	and
strategic	strateg	strategic
sites	site	site
such	such	such
as	as	a
airports	airport	airport
and	and	and
sea	sea	sea
ports	port	port
against	against	against
airborne	airborn	airborne
threats	threat	threat
,	,	,
including	includ	including
cruise	cruis	cruise
missiles	missil	missile
and	and	and
aircraft	aircraft	aircraft
.	.	.
The	the	The
SAMP	samp	SAMP
-T	-t	-T
system	system	system
is	is	is
produced	produc	produced
by	by	by
Italian	italian	Italian
-French	-french	-French
consortium	consortium	consortium
Eurosam	eurosam	Eurosam
,	,	,
a	a	a
joint	joint	joint
venture	ventur	venture
between	between	between
European	european	European
missile	missil	missile
maker	maker	maker
MBDA	mbda	MBDA
and	and	and
Thales	thale	Thales
.	.	.
Russia	russia	Russia
uses	use	us
different	differ	different
technology	technolog	technology
,	,	,
as	as	a
well	well	well
as	as	a
know	know	know
-how	-how	-how
that	that	that
Moscow	moscow	Moscow
is	is	is
unlikely	unlik	unlikely
to	to	to
be	be	be
willing	will	willing
to	to	to
share	share	share
,	,	,
experts	expert	expert
say	say	say
.	.	.
For	for	For
NATO	nato	NATO
,	,	,
the	the	the
important	import	important
thing	thing	thing
is	is	is
interoperability	interoper	interoperability
,	,	,
Stoltenberg	stoltenberg	Stoltenberg
said	said	said
,	,	,
speaking	speak	speaking
on	on	on
his	his	his
return	return	return
from	from	from
the	the	the
launch	launch	launch
of	of	of
a	a	a
NATO	nato	NATO
force	forc	force
aimed	aim	aimed
at	at	at
deterring	deter	deterring
Russia	russia	Russia
in	in	in
the	the	the
Black	black	Black
Sea	sea	Sea
region	region	region
.	.	.
We	we	We
encourage	encourag	encourage
,	,	,
facilitate	facilit	facilitate
allies	alli	ally
to	to	to
develop	develop	develop
systems	system	system
,	,	,
acquire	acquir	acquire
and	and	and
operate	oper	operate
systems	system	system
together	togeth	together
that	that	that
will	will	will
reduce	reduc	reduce
costs	cost	cost
and	and	and
strengthen	strengthen	strengthen
the	the	the
defense	defens	defense
industries	industri	industry
within	within	within
the	the	the
alliance	allianc	alliance
,	,	,
he	he	he
said	said	said
.	.	.
As	as	As
part	part	part
of	of	of
NATO	nato	NATO
s	s	s
collective	collect	collective
defense	defens	defense
pledge	pledg	pledge
,	,	,
the	the	the
allies	alli	ally
integrate	integr	integrate
their	their	their
ships	ship	ship
,	,	,
planes	plane	plane
and	and	and
weapons	weapon	weapon
systems	system	system
to	to	to
make	make	make
them	them	them
work	work	work
together	togeth	together
,	,	,
as	as	a
well	well	well
as	as	a
sharing	share	sharing
command	command	command
across	across	across
the	the	the
alliance	allianc	alliance
.	.	.
Some	some	Some
eastern	eastern	eastern
European	european	European
allies	alli	ally
that	that	that
were	were	were
once	onc	once
under	under	under
Soviet	soviet	Soviet
rule	rule	rule
still	still	still
rely	reli	rely
on	on	on
Russian	russian	Russian
-made	-made	-made
planes	plane	plane
,	,	,
but	but	but
integrating	integr	integrating
Russia	russia	Russia
s	s	s
most	most	most
advanced	advanc	advanced
ground	ground	ground
-based	-base	-based
missile	missil	missile
