BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
German	german	German
parties	parti	party
exploring	explor	exploring
a	a	a
coalition	coalit	coalition
government	govern	government
have	have	have
underscored	underscor	underscored
their	their	their
commitment	commit	commitment
to	to	to
the	the	the
NATO	nato	NATO
alliance	allianc	alliance
and	and	and
transatlantic	transatlant	transatlantic
ties	tie	tie
,	,	,
but	but	but
also	also	also
said	said	said
they	they	they
wanted	want	wanted
good	good	good
relations	relat	relation
with	with	with
Russia	russia	Russia
,	,	,
according	accord	according
to	to	to
a	a	a
draft	draft	draft
document	document	document
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
.	.	.

The	the	The
three	three	three
-page	-page	-page
paper	paper	paper
,	,	,
to	to	to
be	be	be
considered	consid	considered
by	by	by
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
s	s	s
conservatives	conserv	conservative
,	,	,
the	the	the
pro	pro	pro
-business	-busi	-business
Free	free	Free
Democrats	democrat	Democrats
and	and	and
the	the	the
Greens	green	Greens
later	later	later
on	on	on
Friday	friday	Friday
,	,	,
mapped	map	mapped
out	out	out
broad	broad	broad
agreement	agreement	agreement
on	on	on
a	a	a
pragmatic	pragmat	pragmatic
approach	approach	approach
to	to	to
foreign	foreign	foreign
policy	polici	policy
,	,	,
multilateralism	multilater	multilateralism
and	and	and
a	a	a
strong	strong	strong
commitment	commit	commitment
to	to	to
global	global	global
trade	trade	trade
.	.	.

We	we	We
want	want	want
to	to	to
strengthen	strengthen	strengthen
the	the	the
diplomatic	diplomat	diplomatic
resources	resourc	resource
of	of	of
Germany	germani	Germany
,	,	,
putting	put	putting
a	a	a
priority	prioriti	priority
on	on	on
civilian	civilian	civilian
crisis	crisi	crisis
prevention	prevent	prevention
,	,	,
active	activ	active
crisis	crisi	crisis
management	manag	management
and	and	and
long	long	long
-term	-term	-term
stabilization	stabil	stabilization
,	,	,
the	the	the
paper	paper	paper
said	said	said
.	.	.

It	it	It
said	said	said
the	the	the
parties	parti	party
were	were	were
committed	commit	committed
to	to	to
ridding	rid	ridding
the	the	the
world	world	world
of	of	of
nuclear	nuclear	nuclear
weapons	weapon	weapon
and	and	and
would	would	would
launch	launch	launch
a	a	a
new	new	new
diplomatic	diplomat	diplomatic
drive	drive	drive
for	for	for
nuclear	nuclear	nuclear
disarmament	disarma	disarmament
,	,	,
pushing	push	pushing
for	for	for
a	a	a
more	more	more
European	european	European
approach	approach	approach
on	on	on
many	mani	many
issues	issu	issue
.	.	.

It	it	It
gave	gave	gave
a	a	a
nod	nod	nod
to	to	to
the	the	the
Greens	green	Greens
by	by	by
saying	say	saying
the	the	the
parties	parti	party
agreed	agre	agreed
to	to	to
take	take	take
a	a	a
restrictive	restrict	restrictive
approach	approach	approach
to	to	to
weapons	weapon	weapon
exports	export	export
,	,	,
and	and	and
would	would	would
push	push	push
for	for	for
a	a	a
joint	joint	joint
European	european	European
arms	arm	arm
export	export	export
policy	polici	policy
.	.	.

The	the	The
paper	paper	paper
also	also	also
underscored	underscor	underscored
the	the	the
importance	import	importance
of	of	of
global	global	global
trade	trade	trade
and	and	and
called	call	called
for	for	for
efforts	effort	effort
to	to	to
strengthen	strengthen	strengthen
the	the	the
central	central	central
role	role	role
of	of	of
the	the	the
World	world	World
Trade	trade	Trade
Organization	organ	Organization
WTO	wto	WTO
.	.	.

It	it	It
said	said	said
the	the	the
prospective	prospect	prospective
coalition	coalit	coalition
government	govern	government
would	would	would
maintain	maintain	maintain
close	close	close
ties	tie	tie
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
administration	administr	administration
,	,	,
but	but	but
would	would	would
also	also	also
seek	seek	seek
to	to	to
expand	expand	expand
ties	tie	tie
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
governments	govern	government
and	and	and
cities	citi	city
.	.	.

Many	mani	Many
of	of	of
those	those	those
entities	entiti	entity
have	have	have
said	said	said
they	they	they
will	will	will
defy	defi	defy
a	a	a
decision	decis	decision
by	by	by
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
to	to	to
withdraw	withdraw	withdraw
from	from	from
the	the	the
Paris	pari	Paris
climate	climat	climate
agreement	agreement	agreement
.	.	.

The	the	The
paper	paper	paper
also	also	also
contained	contain	contained
several	sever	several
bracketed	bracket	bracketed
sentences	sentenc	sentence
that	that	that
had	had	had
not	not	not
yet	yet	yet
been	been	been
agreed	agre	agreed
,	,	,
including	includ	including
a	a	a
proposal	propos	proposal
by	by	by
the	the	the
Greens	green	Greens
to	to	to
withdraw	withdraw	withdraw
the	the	the
NATO	nato	NATO
nuclear	nuclear	nuclear
weapons	weapon	weapon
that	that	that
remain	remain	remain
on	on	on
German	german	German
soil	soil	soil
,	,	,
and	and	and
to	to	to
ban	ban	ban
all	all	all
weapons	weapon	weapon
sales	sale	sale
to	to	to
countries	countri	country
involved	involv	involved
in	in	in
the	the	the
war	war	war
in	in	in
Yemen	yemen	Yemen
.	.	.

The	the	The
parties	parti	party
also	also	also
remain	remain	remain
at	at	at
odds	odd	odds
over	over	over
the	the	the
use	use	use
of	of	of
armed	arm	armed
drones	drone	drone
and	and	and
over	over	over
foreign	foreign	foreign
military	militari	military
missions	mission	mission
,	,	,
the	the	the
draft	draft	draft
document	document	document
showed	show	showed
.	.	.

Also	also	Also
missing	miss	missing
from	from	from
the	the	the
draft	draft	draft
is	is	is
any	ani	any
mention	mention	mention
of	of	of
the	the	the
NATO	nato	NATO
target	target	target
of	of	of
moving	move	moving
toward	toward	toward
spending	spend	spending
2	2	2
percent	percent	percent
of	of	of
gross	gross	gross
domestic	domest	domestic
product	product	product
GDP	gdp	GDP
on	on	on
defense	defens	defense
by	by	by
2024	2024	2024
.	.	.

Officials	offici	Officials
close	close	close
to	to	to
the	the	the
talks	talk	talk
say	say	say
the	the	the
target	target	target
should	should	should
not	not	not
be	be	be
included	includ	included
in	in	in
the	the	the
coalition	coalit	coalition
agreement	agreement	agreement
since	sinc	since
the	the	the
target	target	target
date	date	date
is	is	is
well	well	well
beyond	beyond	beyond
the	the	the
four	four	four
-year	-year	-year
scope	scope	scope
of	of	of
the	the	the
deal	deal	deal
.	.	.

