BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
China	china	China
s	s	s
largely	larg	largely
rubber	rubber	rubber
-stamp	-stamp	-stamp
parliament	parliament	parliament
is	is	is
considering	consid	considering
jail	jail	jail
terms	term	term
of	of	of
up	up	up
to	to	to
three	three	three
years	year	year
for	for	for
people	peopl	people
who	who	who
disrespect	disrespect	disrespect
the	the	the
national	nation	national
anthem	anthem	anthem
or	or	or
flag	flag	flag
in	in	in
public	public	public
,	,	,
while	while	while
an	an	an
existing	exist	existing
anthem	anthem	anthem
law	law	law
will	will	will
be	be	be
applied	appli	applied
in	in	in
Hong	hong	Hong
Kong	kong	Kong
,	,	,
state	state	state
media	media	medium
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

Xi	xi	Xi
Jinping	jinp	Jinping
has	has	ha
ushered	usher	ushered
in	in	in
new	new	new
legislation	legisl	legislation
aimed	aim	aimed
at	at	at
securing	secur	securing
China	china	China
from	from	from
threats	threat	threat
both	both	both
within	within	within
and	and	and
outside	outsid	outside
its	it	it
borders	border	border
since	sinc	since
taking	take	taking
over	over	over
as	as	a
president	presid	president
in	in	in
2013	2013	2013
,	,	,
as	as	a
well	well	well
as	as	a
presiding	presid	presiding
over	over	over
a	a	a
sweeping	sweep	sweeping
crackdown	crackdown	crackdown
on	on	on
dissent	dissent	dissent
and	and	and
free	free	free
speech	speech	speech
.	.	.

China	china	China
passed	pass	passed
a	a	a
new	new	new
law	law	law
in	in	in
September	septemb	September
mandating	mandat	mandating
up	up	up
to	to	to
15	15	15
days	day	day
in	in	in
police	polic	police
detention	detent	detention
for	for	for
those	those	those
who	who	who
mock	mock	mock
the	the	the
March	march	March
of	of	of
the	the	the
Volunteers	volunt	Volunteers
national	nation	national
anthem	anthem	anthem
,	,	,
a	a	a
law	law	law
that	that	that
also	also	also
covers	cover	cover
the	the	the
Chinese	chines	Chinese
territories	territori	territory
of	of	of
Hong	hong	Hong
Kong	kong	Kong
and	and	and
Macau	macau	Macau
.	.	.

Parliament	parliament	Parliament
is	is	is
now	now	now
looking	look	looking
at	at	at
whether	whether	whether
to	to	to
amend	amend	amend
China	china	China
s	s	s
Criminal	crimin	Criminal
Law	law	Law
to	to	to
include	includ	include
criminal	crimin	criminal
penalties	penalti	penalty
for	for	for
disrespect	disrespect	disrespect
of	of	of
the	the	the
national	nation	national
anthem	anthem	anthem
,	,	,
including	includ	including
intentionally	intent	intentionally
distorting	distort	distorting
the	the	the
lyrics	lyric	lyric
or	or	or
tune	tune	tune
,	,	,
Xinhua	xinhua	Xinhua
said	said	said
.	.	.

The	the	The
tougher	tougher	tougher
penalties	penalti	penalty
also	also	also
apply	appli	apply
to	to	to
desecration	desecr	desecration
of	of	of
the	the	the
national	nation	national
flag	flag	flag
,	,	,
or	or	or
emblem	emblem	emblem
,	,	,
including	includ	including
burning	burn	burning
,	,	,
defacing	defac	defacing
or	or	or
trampling	trampl	trampling
on	on	on
it	it	it
in	in	in
public	public	public
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.

That	that	That
,	,	,
too	too	too
,	,	,
had	had	had
previously	previous	previously
been	been	been
punishable	punish	punishable
by	by	by
up	up	up
to	to	to
15	15	15
days	day	day
detention	detent	detention
.	.	.

A	a	A
draft	draft	draft
amendment	amend	amendment
has	has	ha
been	been	been
submitted	submit	submitted
for	for	for
deliberation	deliber	deliberation
at	at	at
a	a	a
bi	bi	bi
-monthly	-month	-monthly
session	session	session
of	of	of
parliament	parliament	parliament
s	s	s
standing	stand	standing
committee	committe	committee
,	,	,
which	which	which
started	start	started
on	on	on
Monday	monday	Monday
.	.	.

Violators	violat	Violators
in	in	in
this	this	this
regard	regard	regard
may	may	may
face	face	face
punishments	punish	punishment
of	of	of
up	up	up
to	to	to
three	three	three
years	year	year
of	of	of
imprisonment	imprison	imprisonment
,	,	,
according	accord	according
to	to	to
the	the	the
draft	draft	draft
,	,	,
it	it	it
said	said	said
.	.	.

It	it	It
was	was	wa
not	not	not
clear	clear	clear
when	when	when
the	the	the
amendment	amend	amendment
might	might	might
be	be	be
passed	pass	passed
but	but	but
it	it	it
could	could	could
be	be	be
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
week	week	week
,	,	,
when	when	when
parliament	parliament	parliament
s	s	s
standing	stand	standing
committee	committe	committee
closes	close	close
its	it	it
current	current	current
session	session	session
.	.	.

The	the	The
National	nation	National
Anthem	anthem	Anthem
Law	law	Law
,	,	,
which	which	which
went	went	went
into	into	into
effect	effect	effect
on	on	on
Oct	oct	Oct
.	.	.

1	1	1
,	,	,
will	will	will
also	also	also
be	be	be
included	includ	included
in	in	in
an	an	an
annex	annex	annex
of	of	of
Hong	hong	Hong
Kong	kong	Kong
s	s	s
Basic	basic	Basic
Law	law	Law
,	,	,
or	or	or
mini	mini	mini
constitution	constitut	constitution
,	,	,
Xinhua	xinhua	Xinhua
added	ad	added
,	,	,
though	though	though
it	it	it
s	s	s
not	not	not
clear	clear	clear
if	if	if
that	that	that
will	will	will
include	includ	include
three	three	three
-year	-year	-year
jail	jail	jail
terms	term	term
.	.	.

The	the	The
national	nation	national
anthem	anthem	anthem
law	law	law
has	has	ha
fueled	fuel	fueled
concern	concern	concern
in	in	in
Hong	hong	Hong
Kong	kong	Kong
,	,	,
whose	whose	whose
residents	resid	resident
have	have	have
grown	grown	grown
nervous	nervous	nervous
over	over	over
China	china	China
s	s	s
perceived	perceiv	perceived
encroachment	encroach	encroachment
of	of	of
the	the	the
city	citi	city
s	s	s
autonomy	autonomi	autonomy
following	follow	following
such	such	such
events	event	event
as	as	a
the	the	the
disappearance	disappear	disappearance
of	of	of
booksellers	booksel	bookseller
who	who	who
later	later	later
emerged	emerg	emerged
in	in	in
mainland	mainland	mainland
Chinese	chines	Chinese
custody	custodi	custody
.	.	.

In	in	In
2015	2015	2015
,	,	,
Hong	hong	Hong
Kong	kong	Kong
football	footbal	football
fans	fan	fan
booed	boo	booed
the	the	the
Chinese	chines	Chinese
anthem	anthem	anthem
during	dure	during
a	a	a
World	world	World
Cup	cup	Cup
qualifier	qualifi	qualifier
,	,	,
prompting	prompt	prompting
a	a	a
fine	fine	fine
for	for	for
the	the	the
territory	territori	territory
s	s	s
football	footbal	football
association	associ	association
from	from	from
world	world	world
body	bodi	body
FIFA	fifa	FIFA
.	.	.

In	in	In
recent	recent	recent
years	year	year
,	,	,
incidents	incid	incident
of	of	of
disrespecting	disrespect	disrespecting
the	the	the
national	nation	national
anthem	anthem	anthem
had	had	had
occurred	occur	occurred
in	in	in
Hong	hong	Hong
Kong	kong	Kong
,	,	,
challenging	challeng	challenging
the	the	the
bottom	bottom	bottom
line	line	line
of	of	of
the	the	the
principle	principl	principle
of	of	of
one	one	one
country	countri	country
,	,	,
two	two	two
systems	system	system
and	and	and
social	social	social
morality	moral	morality
and	and	and
triggering	trigger	triggering
rage	rage	rage
among	among	among
Chinese	chines	Chinese
including	includ	including
most	most	most
Hong	hong	Hong
Kong	kong	Kong
residents	resid	resident
,	,	,
said	said	said
Zhang	zhang	Zhang
Rongshun	rongshun	Rongshun
,	,	,
deputy	deputi	deputy
head	head	head
of	of	of
parliament	parliament	parliament
s	s	s
Legislative	legisl	Legislative
Affairs	affair	Affairs
Commission	commiss	Commission
,	,	,
according	accord	according
to	to	to
Xinhua	xinhua	Xinhua
.	.	.

It	it	It
is	is	is
urgent	urgent	urgent
and	and	and
important	import	important
to	to	to
apply	appli	apply
the	the	the
national	nation	national
anthem	anthem	anthem
law	law	law
in	in	in
Hong	hong	Hong
Kong	kong	Kong
,	,	,
in	in	in
a	a	a
bid	bid	bid
to	to	to
prevent	prevent	prevent
and	and	and
handle	handl	handle
such	such	such
offences	offenc	offence
.	.	.

The	the	The
Asian	asian	Asian
Football	footbal	Football
Confederation	confeder	Confederation
on	on	on
Tuesday	tuesday	Tuesday
warned	warn	warned
the	the	the
Hong	hong	Hong
Kong	kong	Kong
Football	footbal	Football
Association	associ	Association
about	about	about
their	their	their
fans	fan	fan
behavior	behavior	behavior
at	at	at
a	a	a
match	match	match
against	against	against
Malaysia	malaysia	Malaysia
on	on	on
Oct	oct	Oct
10	10	10
.	.	.

in	in	in
Hong	hong	Hong
Kong	kong	Kong
,	,	,
where	where	where
some	some	some
booed	boo	booed
the	the	the
national	nation	national
anthem	anthem	anthem
.	.	.

