NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
environmental	environment	environmental
group	group	group
the	the	the
Sierra	sierra	Sierra
Club	club	Club
has	has	ha
asked	ask	asked
the	the	the
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
s	s	s
inspector	inspector	inspector
general	general	general
to	to	to
investigate	investig	investigate
whether	whether	whether
the	the	the
agency	agenc	agency
s	s	s
head	head	head
,	,	,
Scott	scott	Scott
Pruitt	pruitt	Pruitt
,	,	,
violated	violat	violated
internal	intern	internal
policies	polici	policy
when	when	when
he	he	he
said	said	said
he	he	he
did	did	did
not	not	not
believe	believ	believe
carbon	carbon	carbon
dioxide	dioxid	dioxide
was	was	wa
a	a	a
major	major	major
contributor	contributor	contributor
to	to	to
climate	climat	climate
change	chang	change
,	,	,
according	accord	according
to	to	to
a	a	a
letter	letter	letter
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Lawyers	lawyer	Lawyers
for	for	for
the	the	the
Sierra	sierra	Sierra
Club	club	Club
wrote	wrote	wrote
to	to	to
the	the	the
EPA	epa	EPA
s	s	s
Office	offic	Office
of	of	of
Inspector	inspector	Inspector
General	general	General
on	on	on
Tuesday	tuesday	Tuesday
asking	ask	asking
the	the	the
independent	independ	independent
watchdog	watchdog	watchdog
to	to	to
check	check	check
whether	whether	whether
Pruitt	pruitt	Pruitt
violated	violat	violated
the	the	the
EPA	epa	EPA
s	s	s
2012	2012	2012
Scientific	scientif	Scientific
Integrity	integr	Integrity
Policy	polici	Policy
when	when	when
he	he	he
told	told	told
a	a	a
CNBC	cnbc	CNBC
interviewer	interview	interviewer
on	on	on
March	march	March
9	9	9
,	,	,
I	i	I
would	would	would
not	not	not
agree	agre	agree
that	that	that
it	it	it
s	s	s
a	a	a
primary	primari	primary
contributor	contributor	contributor
to	to	to
the	the	the
global	global	global
warming	warm	warming
that	that	that
we	we	we
see	see	see
.	.	.
The	the	The
request	request	request
ramps	ramp	ramp
up	up	up
tension	tension	tension
between	between	between
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
environmental	environment	environmental
movement	movement	movement
and	and	and
the	the	the
administration	administr	administration
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
called	call	called
global	global	global
warming	warm	warming
a	a	a
hoax	hoax	hoax
meant	meant	meant
to	to	to
weaken	weaken	weaken
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
economy	economi	economy
and	and	and
has	has	ha
packed	pack	packed
his	his	his
Cabinet	cabinet	Cabinet
with	with	with
people	peopl	people
who	who	who
question	question	question
the	the	the
science	scienc	science
of	of	of
climate	climat	climate
change	chang	change
.	.	.
An	an	An
overwhelming	overwhelm	overwhelming
majority	major	majority
of	of	of
scientists	scientist	scientist
think	think	think
that	that	that
carbon	carbon	carbon
dioxide	dioxid	dioxide
emissions	emiss	emission
from	from	from
burning	burn	burning
fossil	fossil	fossil
fuels	fuel	fuel
is	is	is
a	a	a
major	major	major
contributor	contributor	contributor
to	to	to
global	global	global
climate	climat	climate
change	chang	change
,	,	,
triggering	trigger	triggering
sea	sea	sea
level	level	level
rise	rise	rise
,	,	,
droughts	drought	drought
and	and	and
more	more	more
frequent	frequent	frequent
violent	violent	violent
storms	storm	storm
.	.	.
It	it	It
s	s	s
pretty	pretti	pretty
unprecedented	unpreced	unprecedented
to	to	to
have	have	have
the	the	the
head	head	head
of	of	of
the	the	the
EPA	epa	EPA
contradicting	contradict	contradicting
basic	basic	basic
scientific	scientif	scientific
facts	fact	fact
,	,	,
Sierra	sierra	Sierra
Club	club	Club
Senior	senior	Senior
Attorney	attorney	Attorney
Elena	elena	Elena
Saxonhouse	saxonhous	Saxonhouse
told	told	told
Reuters	reuter	Reuters
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
In	in	In
the	the	the
letter	letter	letter
,	,	,
the	the	the
Sierra	sierra	Sierra
Club	club	Club
s	s	s
lawyers	lawyer	lawyer
said	said	said
Pruitt	pruitt	Pruitt
s	s	s
comments	comment	comment
contradicted	contradict	contradicted
a	a	a
comprehensive	comprehens	comprehensive
review	review	review
of	of	of
scientific	scientif	scientific
research	research	research
on	on	on
climate	climat	climate
change	chang	change
and	and	and
appeared	appear	appeared
to	to	to
be	be	be
politically	polit	politically
motivated	motiv	motivated
.	.	.
The	the	The
EPA	epa	EPA
website	websit	website
says	say	say
its	it	it
policy	polici	policy
is	is	is
meant	meant	meant
to	to	to
maintain	maintain	maintain
a	a	a
culture	cultur	culture
of	of	of
scientific	scientif	scientific
integrity	integr	integrity
for	for	for
all	all	all
its	it	it
employees	employe	employee
,	,	,
and	and	and
requires	requir	requires
EPA	epa	EPA
officials	offici	official
and	and	and
staff	staff	staff
to	to	to
ensure	ensur	ensure
the	the	the
agency	agenc	agency
s	s	s
work	work	work
respects	respect	respect
the	the	the
findings	find	finding
of	of	of
the	the	the
broader	broader	broader
scientific	scientif	scientific
community	communiti	community
.	.	.
Administrator	administr	Administrator
Pruitt	pruitt	Pruitt
s	s	s
comments	comment	comment
are	are	are
perfectly	perfect	perfectly
in	in	in
keeping	keep	keeping
with	with	with
the	the	the
scientific	scientif	scientific
integrity	integr	integrity
policy	polici	policy
,	,	,
EPA	epa	EPA
spokesman	spokesman	spokesman
John	john	John
Konkus	konkus	Konkus
said	said	said
in	in	in
an	an	an
email	email	email
.	.	.
There	there	There
is	is	is
an	an	an
ongoing	ongo	ongoing
scientific	scientif	scientific
debate	debat	debate
on	on	on
climate	climat	climate
change	chang	change
,	,	,
its	it	it
causes	caus	cause
and	and	and
its	it	it
effect	effect	effect
.	.	.
That	that	That
debate	debat	debate
should	should	should
be	be	be
encouraged	encourag	encouraged
as	as	a
the	the	the
Administrator	administr	Administrator
has	has	ha
done	done	done
,	,	,
not	not	not
discouraged	discourag	discouraged
as	as	a
Sierra	sierra	Sierra
Club	club	Club
is	is	is
attempting	attempt	attempting
to	to	to
do	do	do
.	.	.
A	a	A
spokeswoman	spokeswoman	spokeswoman
for	for	for
the	the	the
EPA	epa	EPA
s	s	s
inspector	inspector	inspector
general	general	general
said	said	said
in	in	in
an	an	an
email	email	email
the	the	the
IG	ig	IG
s	s	s
office	offic	office
could	could	could
neither	neither	neither
confirm	confirm	confirm
nor	nor	nor
deny	deni	deny
investigation	investig	investigation
requests	request	request
.	.	.
As	as	As
Oklahoma	oklahoma	Oklahoma
s	s	s
attorney	attorney	attorney
general	general	general
,	,	,
Pruitt	pruitt	Pruitt
sued	su	sued
the	the	the
EPA	epa	EPA
more	more	more
than	than	than
a	a	a
dozen	dozen	dozen
times	time	time
while	while	while
accepting	accept	accepting
campaign	campaign	campaign
donations	donat	donation
from	from	from
the	the	the
energy	energi	energy
industry	industri	industry
.	.	.
Emails	email	Emails
released	releas	released
on	on	on
Feb	feb	Feb
.	.	.
22	22	22
by	by	by
an	an	an
Oklahoma	oklahoma	Oklahoma
Court	court	Court
showed	show	showed
Pruitt	pruitt	Pruitt
also	also	also
used	use	used
language	languag	language
provided	provid	provided
by	by	by
an	an	an
energy	energi	energy
company	compani	company
in	in	in
one	one	one
of	of	of
his	his	his
challenges	challeng	challenge
of	of	of
the	the	the
EPA	epa	EPA
over	over	over
methane	methan	methane
emissions	emiss	emission
regulations	regul	regulation
.	.	.
Sierra	sierra	Sierra
Club	club	Club
s	s	s
Saxonhouse	saxonhous	Saxonhouse
said	said	said
the	the	the
group	group	group
believed	believ	believed
that	that	that
the	the	the
EPA	epa	EPA
s	s	s
scientific	scientif	scientific
integrity	integr	integrity
policy	polici	policy
applied	appli	applied
to	to	to
political	polit	political
appointees	appointe	appointee
as	as	a
well	well	well
as	as	a
career	career	career
EPA	epa	EPA
staff	staff	staff
,	,	,
but	but	but
said	said	said
it	it	it
was	was	wa
unclear	unclear	unclear
how	how	how
the	the	the
agency	agenc	agency
could	could	could
enforce	enforc	enforce
it	it	it
.	.	.
It	it	It
shouldn	shouldn	shouldn
t	t	t
just	just	just
be	be	be
a	a	a
piece	piec	piece
of	of	of
paper	paper	paper
or	or	or
some	some	some
words	word	word
on	on	on
a	a	a
website	websit	website
.	.	.
It	it	It
s	s	s
intended	intend	intended
to	to	to
protect	protect	protect
the	the	the
public	public	public
from	from	from
bad	bad	bad
decision	decis	decision
-making	-make	-making
that	that	that
s	s	s
not	not	not
based	base	based
on	on	on
real	real	real
facts	fact	fact
,	,	,
she	she	she
said	said	said
.	.	.
