SEATTLE	seattl	SEATTLE
Reuters	reuter	Reuters
-	-	-
An	an	An
Alaska	alaska	Alaska
law	law	law
requiring	requir	requiring
doctors	doctor	doctor
to	to	to
notify	notifi	notify
the	the	the
parents	parent	parent
of	of	of
girls	girl	girl
under	under	under
the	the	the
age	age	age
of	of	of
18	18	18
seeking	seek	seeking
an	an	an
abortion	abort	abortion
violates	violat	violates
the	the	the
state	state	state
s	s	s
constitution	constitut	constitution
and	and	and
cannot	cannot	cannot
be	be	be
enforced	enforc	enforced
,	,	,
the	the	the
state	state	state
s	s	s
top	top	top
court	court	court
ruled	rule	ruled
on	on	on
Friday	friday	Friday
.	.	.

The	the	The
4	4	4
-1	-1	-1
decision	decis	decision
marks	mark	mark
a	a	a
long	long	long
-awaited	-await	-awaited
victory	victori	victory
for	for	for
Planned	plan	Planned
Parenthood	parenthood	Parenthood
and	and	and
other	other	other
abortion	abort	abortion
-rights	-right	-rights
advocates	advoc	advocate
in	in	in
Alaska	alaska	Alaska
who	who	who
argued	argu	argued
the	the	the
2010	2010	2010
law	law	law
violates	violat	violates
the	the	the
privacy	privaci	privacy
of	of	of
pregnant	pregnant	pregnant
teens	teen	teen
.	.	.

It	it	It
also	also	also
comes	come	come
on	on	on
the	the	the
heels	heel	heel
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
decision	decis	decision
to	to	to
strike	strike	strike
down	down	down
a	a	a
Texas	texa	Texas
abortion	abort	abortion
law	law	law
imposing	impos	imposing
strict	strict	strict
regulations	regul	regulation
on	on	on
doctors	doctor	doctor
and	and	and
facilities	facil	facility
in	in	in
the	the	the
strongest	strongest	strongest
endorsement	endors	endorsement
of	of	of
abortion	abort	abortion
rights	right	right
in	in	in
America	america	America
in	in	in
more	more	more
than	than	than
two	two	two
decades	decad	decade
.	.	.

A	a	A
woman	woman	woman
s	s	s
right	right	right
to	to	to
abortion	abort	abortion
was	was	wa
established	establish	established
in	in	in
the	the	the
court	court	court
s	s	s
landmark	landmark	landmark
1973	1973	1973
Roe	roe	Roe
v	v	v
.	.	.

Wade	wade	Wade
decision	decis	decision
,	,	,
but	but	but
several	sever	several
states	state	state
have	have	have
tried	tri	tried
to	to	to
restrict	restrict	restrict
access	access	access
to	to	to
abortion	abort	abortion
through	through	through
their	their	their
own	own	own
laws	law	law
.	.	.

In	in	In
Alaska	alaska	Alaska
,	,	,
Planned	plan	Planned
Parenthood	parenthood	Parenthood
and	and	and
doctors	doctor	doctor
argued	argu	argued
that	that	that
the	the	the
notification	notif	notification
law	law	law
was	was	wa
particularly	particular	particularly
threatening	threaten	threatening
to	to	to
vulnerable	vulner	vulnerable
teens	teen	teen
who	who	who
live	live	live
in	in	in
abusive	abus	abusive
homes	home	home
.	.	.

Justice	justic	Justice
Daniel	daniel	Daniel
Winfree	winfre	Winfree
,	,	,
writing	write	writing
for	for	for
the	the	the
majority	major	majority
,	,	,
said	said	said
that	that	that
the	the	the
notification	notif	notification
law	law	law
s	s	s
discriminatory	discriminatori	discriminatory
barrier	barrier	barrier
to	to	to
those	those	those
minors	minor	minor
seeking	seek	seeking
to	to	to
exercise	exercis	exercise
their	their	their
fundamental	fundament	fundamental
privacy	privaci	privacy
right	right	right
to	to	to
terminate	termin	terminate
a	a	a
pregnancy	pregnanc	pregnancy
violates	violat	violates
Alaska	alaska	Alaska
s	s	s
equal	equal	equal
protection	protect	protection
guarantee	guarante	guarantee
.	.	.
Another	anoth	Another
justice	justic	justice
,	,	,
Dana	dana	Dana
Fabe	fabe	Fabe
,	,	,
in	in	in
a	a	a
concurring	concur	concurring
opinion	opinion	opinion
,	,	,
wrote	wrote	wrote
that	that	that
the	the	the
Alaska	alaska	Alaska
Constitution	constitut	Constitution
permits	permit	permit
a	a	a
parental	parent	parental
notification	notif	notification
law	law	law
,	,	,
but	but	but
not	not	not
one	one	one
that	that	that
contains	contain	contains
provisions	provis	provision
that	that	that
are	are	are
among	among	among
the	the	the
most	most	most
restrictive	restrict	restrictive
of	of	of
any	ani	any
state	state	state
s	s	s
notification	notif	notification
laws	law	law
.	.	.
The	the	The
office	offic	office
of	of	of
Alaska	alaska	Alaska
s	s	s
Attorney	attorney	Attorney
General	general	General
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
.	.	.

Alaska	alaska	Alaska
s	s	s
law	law	law
required	requir	required
48	48	48
-hour	-hour	-hour
advance	advanc	advance
notice	notic	notice
to	to	to
parents	parent	parent
before	befor	before
a	a	a
physician	physician	physician
may	may	may
terminate	termin	terminate
a	a	a
minor	minor	minor
s	s	s
pregnancy	pregnanc	pregnancy
,	,	,
though	though	though
it	it	it
allowed	allow	allowed
a	a	a
minor	minor	minor
to	to	to
seek	seek	seek
a	a	a
judge	judg	judge
s	s	s
permission	permiss	permission
to	to	to
bypass	bypass	bypass
the	the	the
notice	notic	notice
process	process	process
and	and	and
granted	grant	granted
an	an	an
exception	except	exception
for	for	for
medical	medic	medical
emergencies	emerg	emergency
.	.	.

The	the	The
law	law	law
took	took	took
effect	effect	effect
in	in	in
2010	2010	2010
after	after	after
a	a	a
Superior	superior	Superior
Court	court	Court
ruled	rule	ruled
that	that	that
the	the	the
state	state	state
had	had	had
an	an	an
interest	interest	interest
in	in	in
promoting	promot	promoting
communication	communic	communication
between	between	between
a	a	a
pregnant	pregnant	pregnant
girl	girl	girl
and	and	and
her	her	her
family	famili	family
.	.	.

Christine	christin	Christine
Charbonneau	charbonneau	Charbonneau
,	,	,
president	presid	president
and	and	and
CEO	ceo	CEO
of	of	of
Planned	plan	Planned
Parenthood	parenthood	Parenthood
of	of	of
the	the	the
Great	great	Great
Northwest	northwest	Northwest
and	and	and
the	the	the
Hawaiian	hawaiian	Hawaiian
Islands	island	Islands
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
We	we	We
all	all	all
want	want	want
teens	teen	teen
to	to	to
be	be	be
safe	safe	safe
-	-	-
and	and	and
the	the	the
sad	sad	sad
truth	truth	truth
is	is	is
that	that	that
some	some	some
teens	teen	teen
live	live	live
in	in	in
dangerous	danger	dangerous
homes	home	home
and	and	and
can	can	can
t	t	t
go	go	go
to	to	to
their	their	their
parents	parent	parent
.	.	.

