DETROIT	detroit	DETROIT
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
on	on	on
Tuesday	tuesday	Tuesday
threatened	threaten	threatened
to	to	to
impose	impos	impose
a	a	a
big	big	big
border	border	border
tax	tax	tax
on	on	on
General	general	General
Motors	motor	Motors
Co	co	Co
GM	gm	GM
.	.	.
N	n	N
for	for	for
making	make	making
some	some	some
of	of	of
its	it	it
Chevrolet	chevrolet	Chevrolet
Cruze	cruze	Cruze
compact	compact	compact
cars	car	car
in	in	in
Mexico	mexico	Mexico
,	,	,
an	an	an
arrangement	arrang	arrangement
the	the	the
largest	largest	largest
U	u	U
.	.	.
S	s	S
.	.	.
automaker	automak	automaker
defended	defend	defended
as	as	a
part	part	part
of	of	of
its	it	it
strategy	strategi	strategy
to	to	to
serve	serv	serve
global	global	global
customers	custom	customer
,	,	,
not	not	not
sell	sell	sell
them	them	them
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
Trump	trump	Trump
s	s	s
comments	comment	comment
marked	mark	marked
his	his	his
latest	latest	latest
broadside	broadsid	broadside
aimed	aim	aimed
at	at	at
an	an	an
American	american	American
company	compani	company
over	over	over
jobs	job	job
,	,	,
imports	import	import
and	and	and
costs	cost	cost
before	befor	before
he	he	he
takes	take	take
office	offic	office
on	on	on
Jan	jan	Jan
.	.	.
20	20	20
,	,	,
signaling	signal	signaling
an	an	an
uncommon	uncommon	uncommon
degree	degre	degree
of	of	of
intervention	intervent	intervention
for	for	for
an	an	an
incoming	incom	incoming
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
into	into	into
corporate	corpor	corporate
affairs	affair	affair
.	.	.
General	general	General
Motors	motor	Motors
is	is	is
sending	send	sending
Mexican	mexican	Mexican
made	made	made
model	model	model
of	of	of
Chevy	chevi	Chevy
Cruze	cruze	Cruze
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
car	car	car
dealers	dealer	dealer
-tax	-tax	-tax
free	free	free
across	across	across
border	border	border
.	.	.
Make	make	Make
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
A	a	A
.	.	.
or	or	or
pay	pay	pay
big	big	big
border	border	border
tax	tax	tax
!	!	!
Trump	trump	Trump
said	said	said
in	in	in
a	a	a
post	post	post
on	on	on
Twitter	twitter	Twitter
.	.	.
Trump	trump	Trump
did	did	did
not	not	not
provide	provid	provide
further	further	further
details	detail	detail
but	but	but
previously	previous	previously
vowed	vow	vowed
to	to	to
hit	hit	hit
companies	compani	company
that	that	that
shift	shift	shift
production	product	production
from	from	from
America	america	America
to	to	to
other	other	other
countries	countri	country
with	with	with
a	a	a
35	35	35
percent	percent	percent
tax	tax	tax
on	on	on
their	their	their
exports	export	export
into	into	into
the	the	the
United	unit	United
States	state	States
.	.	.
He	he	He
also	also	also
has	has	ha
denounced	denounc	denounced
the	the	the
North	north	North
American	american	American
Free	free	Free
Trade	trade	Trade
Agreement	agreement	Agreement
between	between	between
the	the	the
United	unit	United
States	state	States
,	,	,
Mexico	mexico	Mexico
and	and	and
Canada	canada	Canada
.	.	.
Trump	trump	Trump
s	s	s
