BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
The	the	The
official	offici	official
newspaper	newspap	newspaper
of	of	of
China	china	China
s	s	s
ruling	rule	ruling
Communist	communist	Communist
Party	parti	Party
has	has	ha
lavished	lavish	lavished
unusually	unusu	unusually
high	high	high
levels	level	level
of	of	of
praise	prais	praise
on	on	on
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
s	s	s
signature	signatur	signature
leadership	leadership	leadership
,	,	,
as	as	a
China	china	China
s	s	s
strongest	strongest	strongest
leader	leader	leader
in	in	in
decades	decad	decade
consolidates	consolid	consolidates
his	his	his
personal	person	personal
power	power	power
.	.	.

Xi	xi	Xi
s	s	s
leadership	leadership	leadership
was	was	wa
cast	cast	cast
as	as	a
having	have	having
forged	forg	forged
a	a	a
new	new	new
way	way	way
of	of	of
governance	govern	governance
for	for	for
China	china	China
that	that	that
the	the	the
paper	paper	paper
said	said	said
had	had	had
been	been	been
applauded	applaud	applauded
worldwide	worldwid	worldwide
and	and	and
had	had	had
brought	brought	brought
China	china	China
to	to	to
new	new	new
heights	height	height
of	of	of
economic	econom	economic
,	,	,
political	polit	political
and	and	and
diplomatic	diplomat	diplomatic
success	success	success
.	.	.

The	the	The
paean	paean	paean
,	,	,
even	even	even
more	more	more
effusive	effus	effusive
than	than	than
usual	usual	usual
for	for	for
the	the	the
state	state	state
mouthpiece	mouthpiec	mouthpiece
,	,	,
came	came	came
in	in	in
two	two	two
parts	part	part
written	written	written
under	under	under
the	the	the
official	offici	official
nom	nom	nom
de	de	de
plume	plume	plume
of	of	of
the	the	the
People	peopl	People
s	s	s
Daily	daili	Daily
for	for	for
important	import	important
commentaries	commentari	commentary
and	and	and
was	was	wa
carried	carri	carried
on	on	on
its	it	it
front	front	front
page	page	page
on	on	on
Tuesday	tuesday	Tuesday
and	and	and
Wednesday	wednesday	Wednesday
.	.	.

Billed	bill	Billed
as	as	a
an	an	an
exposition	exposit	exposition
on	on	on
the	the	the
changes	chang	change
in	in	in
leadership	leadership	leadership
,	,	,
thought	thought	thought
,	,	,
mission	mission	mission
and	and	and
rejuvenation	rejuven	rejuvenation
for	for	for
China	china	China
revealed	reveal	revealed
during	dure	during
a	a	a
course	cours	course
-setting	-set	-setting
meeting	meet	meeting
of	of	of
the	the	the
top	top	top
party	parti	party
leadership	leadership	leadership
in	in	in
October	octob	October
,	,	,
it	it	it
marked	mark	marked
the	the	the
latest	latest	latest
assault	assault	assault
in	in	in
a	a	a
propaganda	propaganda	propaganda
onslaught	onslaught	onslaught
vaunting	vaunt	vaunting
Xi	xi	Xi
s	s	s
contributions	contribut	contribution
to	to	to
China	china	China
and	and	and
the	the	the
world	world	world
.	.	.

Xi	xi	Xi
has	has	ha
amassed	amass	amassed
positions	posit	position
and	and	and
accolades	accolad	accolade
at	at	at
a	a	a
level	level	level
much	much	much
higher	higher	higher
than	than	than
his	his	his
immediate	immedi	immediate
predecessors	predecessor	predecessor
,	,	,
being	be	being
named	name	named
the	the	the
core	core	core
of	of	of
the	the	the
party	parti	party
leadership	leadership	leadership
last	last	last
year	year	year
and	and	and
having	have	having
his	his	his
named	name	named
theory	theori	theory
written	written	written
into	into	into
the	the	the
party	parti	party
charter	charter	charter
in	in	in
October	octob	October
.	.	.

Such	such	Such
an	an	an
honor	honor	honor
has	has	ha
not	not	not
been	been	been
given	given	given
to	to	to
a	a	a
sitting	sit	sitting
leader	leader	leader
since	sinc	since
Mao	mao	Mao
Zedong	zedong	Zedong
,	,	,
communist	communist	communist
China	china	China
s	s	s
founding	found	founding
leader	leader	leader
.	.	.

Chinese	chines	Chinese
state	state	state
media	media	medium
has	has	ha
taken	taken	taken
praise	prais	praise
for	for	for
Xi	xi	Xi
to	to	to
new	new	new
levels	level	level
since	sinc	since
the	the	the
twice	twice	twice
-a-decade	-a-decad	-a-decade
conclave	conclav	conclave
.	.	.

Xi	xi	Xi
was	was	wa
given	given	given
Mao	mao	Mao
-like	-like	-like
prominence	promin	prominence
with	with	with
his	his	his
portrait	portrait	portrait
taking	take	taking
up	up	up
nearly	near	nearly
the	the	the
entire	entir	entire
front	front	front
page	page	page
of	of	of
the	the	the
People	peopl	People
s	s	s
Daily	daili	Daily
.	.	.

A	a	A
unique	uniqu	unique
path	path	path
,	,	,
a	a	a
unique	uniqu	unique
theory	theori	theory
,	,	,
a	a	a
unique	uniqu	unique
system	system	system
,	,	,
a	a	a
unique	uniqu	unique
culture	cultur	culture
;	;	;
Xi	xi	Xi
Jinping	jinp	Jinping
s	s	s
thought	thought	thought
on	on	on
socialism	social	socialism
with	with	with
Chinese	chines	Chinese
characteristics	characterist	characteristic
for	for	for
a	a	a
new	new	new
era	era	era
has	has	ha
developed	develop	developed
a	a	a
rich	rich	rich
path	path	path
for	for	for
China	china	China
that	that	that
has	has	ha
transcended	transcend	transcended
Western	western	Western
-centric	-centric	-centric
theory	theori	theory
,	,	,
and	and	and
hugely	huge	hugely
excited	excit	excited
many	mani	many
developing	develop	developing
countries	countri	country
to	to	to
confidently	confid	confidently
choose	choos	choose
their	their	their
own	own	own
path	path	path
,	,	,
the	the	the
paper	paper	paper
said	said	said
.	.	.

Without	without	Without
Xi	xi	Xi
Jinping	jinp	Jinping
thought	thought	thought
on	on	on
socialism	social	socialism
with	with	with
Chinese	chines	Chinese
characteristics	characterist	characteristic
for	for	for
a	a	a
new	new	new
era	era	era
,	,	,
we	we	we
would	would	would
not	not	not
have	have	have
a	a	a
party	parti	party
center	center	center
that	that	that
is	is	is
moving	move	moving
closer	closer	closer
daily	daili	daily
to	to	to
the	the	the
center	center	center
of	of	of
the	the	the
world	world	world
stage	stage	stage
,	,	,
the	the	the
People	peopl	People
s	s	s
Daily	daili	Daily
said	said	said
.	.	.

China	china	China
has	has	ha
expanded	expand	expanded
the	the	the
reach	reach	reach
of	of	of
its	it	it
foreign	foreign	foreign
policy	polici	policy
and	and	and
military	militari	military
under	under	under
Xi	xi	Xi
,	,	,
who	who	who
has	has	ha
talked	talk	talked
about	about	about
the	the	the
need	need	need
for	for	for
China	china	China
to	to	to
be	be	be
confident	confid	confident
in	in	in
its	it	it
own	own	own
political	polit	political
system	system	system
and	and	and
to	to	to
provide	provid	provide
Chinese	chines	Chinese
solutions	solut	solution
and	and	and
wisdom	wisdom	wisdom
for	for	for
global	global	global
issues	issu	issue
.	.	.

However	howev	However
,	,	,
concerns	concern	concern
abroad	abroad	abroad
about	about	about
China	china	China
using	use	using
its	it	it
influence	influenc	influence
to	to	to
sway	sway	sway
foreign	foreign	foreign
business	busi	business
,	,	,
academic	academ	academic
,	,	,
and	and	and
political	polit	political
institutions	institut	institution
have	have	have
also	also	also
grown	grown	grown
.	.	.

Xi	xi	Xi
told	told	told
foreign	foreign	foreign
political	polit	political
groups	group	group
in	in	in
Beijing	beij	Beijing
on	on	on
Friday	friday	Friday
that	that	that
China	china	China
would	would	would
not	not	not
export	export	export
its	it	it
political	polit	political
system	system	system
and	and	and
would	would	would
provide	provid	provide
more	more	more
opportunities	opportun	opportunity
for	for	for
the	the	the
world	world	world
through	through	through
its	it	it
development	develop	development
.	.	.

He	he	He
was	was	wa
speaking	speak	speaking
as	as	a
he	he	he
opened	open	opened
China	china	China
s	s	s
first	first	first
ever	ever	ever
high	high	high
-level	-level	-level
inter	inter	inter
-party	-parti	-party
dialogue	dialogu	dialogue
.	.	.

