SAN	san	SAN
FRANCISCO	francisco	FRANCISCO
Reuters	reuter	Reuters
-	-	-
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Homeland	homeland	Homeland
Security	secur	Security
Department	depart	Department
s	s	s
inspector	inspector	inspector
general	general	general
said	said	said
on	on	on
Friday	friday	Friday
he	he	he
was	was	wa
investigating	investig	investigating
possible	possibl	possible
abuse	abus	abuse
of	of	of
authority	author	authority
in	in	in
a	a	a
case	case	case
that	that	that
triggered	trigger	triggered
a	a	a
lawsuit	lawsuit	lawsuit
against	against	against
the	the	the
department	depart	department
by	by	by
Twitter	twitter	Twitter
Inc	inc	Inc
TWTR	twtr	TWTR
.	.	.
N	n	N
.	.	.
Inspector	inspector	Inspector
General	general	General
John	john	John
Roth	roth	Roth
described	describ	described
the	the	the
probe	probe	probe
in	in	in
a	a	a
letter	letter	letter
to	to	to
Senator	senat	Senator
Ron	ron	Ron
Wyden	wyden	Wyden
,	,	,
an	an	an
Oregon	oregon	Oregon
Democrat	democrat	Democrat
who	who	who
had	had	had
asked	ask	asked
for	for	for
an	an	an
investigation	investig	investigation
due	due	due
to	to	to
concerns	concern	concern
about	about	about
free	free	free
speech	speech	speech
protections	protect	protection
.	.	.
In	in	In
a	a	a
lawsuit	lawsuit	lawsuit
on	on	on
April	april	April
6	6	6
,	,	,
Twitter	twitter	Twitter
disclosed	disclos	disclosed
that	that	that
it	it	it
received	receiv	received
a	a	a
summons	summon	summons
in	in	in
March	march	March
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Bureau	bureau	Bureau
of	of	of
Customs	custom	Customs
and	and	and
Border	border	Border
Protection	protect	Protection
,	,	,
an	an	an
agency	agenc	agency
within	within	within
Homeland	homeland	Homeland
Security	secur	Security
,	,	,
demanding	demand	demanding
records	record	record
about	about	about
an	an	an
account	account	account
on	on	on
the	the	the
social	social	social
media	media	medium
platform	platform	platform
identified	identifi	identified
by	by	by
the	the	the
handle	handl	handle
@ALT_uscis	@alt_usci	@ALT_uscis
.	.	.
The	the	The
account	account	account
has	has	ha
featured	featur	featured
posts	post	post
critical	critic	critical
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
immigration	immigr	immigration
policies	polici	policy
,	,	,
leading	lead	leading
Twitter	twitter	Twitter
to	to	to
complain	complain	complain
in	in	in
its	it	it
lawsuit	lawsuit	lawsuit
that	that	that
the	the	the
summons	summon	summons
was	was	wa
an	an	an
unlawful	unlaw	unlawful
attempt	attempt	attempt
to	to	to
suppress	suppress	suppress
dissent	dissent	dissent
.	.	.
The	the	The
agency	agenc	agency
dropped	drop	dropped
its	it	it
demand	demand	demand
of	of	of
Twitter	twitter	Twitter
the	the	the
day	day	day
after	after	after
the	the	the
suit	suit	suit
was	was	wa
filed	file	filed
.	.	.
Customs	custom	Customs
bureau	bureau	bureau
spokesman	spokesman	spokesman
Mike	mike	Mike
Friel	friel	Friel
said	said	said
on	on	on
Friday	friday	Friday
that	that	that
the	the	the
bureau	bureau	bureau
requested	request	requested
the	the	the
inspector	inspector	inspector
general	general	general
s	s	s
review	review	review
and	and	and
will	will	will
fully	fulli	fully
support	support	support
it	it	it
.	.	.
The	the	The
people	peopl	people
behind	behind	behind
the	the	the
Twitter	twitter	Twitter
account	account	account
have	have	have
not	not	not
disclosed	disclos	disclosed
their	their	their
identities	ident	identity
,	,	,
but	but	but
the	the	the
use	use	use
of	of	of
ALT	alt	ALT
with	with	with
a	a	a
