CLEVELAND	cleveland	CLEVELAND
Reuters	reuter	Reuters
-	-	-
Ohio	ohio	Ohio
state	state	state
legislators	legisl	legislator
on	on	on
Wednesday	wednesday	Wednesday
passed	pass	passed
a	a	a
bill	bill	bill
blocking	block	blocking
state	state	state
and	and	and
federal	feder	federal
funds	fund	fund
for	for	for
groups	group	group
that	that	that
perform	perform	perform
or	or	or
promote	promot	promote
abortions	abort	abortion
,	,	,
effectively	effect	effectively
cutting	cut	cutting
1	1	1
.	.	.
3	3	3
million	million	million
annually	annual	annually
used	use	used
by	by	by
Planned	plan	Planned
Parenthood	parenthood	Parenthood
clinics	clinic	clinic
for	for	for
HIV	hiv	HIV
testing	test	testing
,	,	,
pre	pre	pre
-natal	-natal	-natal
care	care	care
and	and	and
other	other	other
programs	program	program
.	.	.
Governor	governor	Governor
John	john	John
Kasich	kasich	Kasich
,	,	,
a	a	a
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
,	,	,
is	is	is
expected	expect	expected
to	to	to
sign	sign	sign
the	the	the
bill	bill	bill
,	,	,
which	which	which
the	the	the
state	state	state
Senate	senat	Senate
had	had	had
already	alreadi	already
passed	pass	passed
.	.	.
House	hous	House
Bill	bill	Bill
294	294	294
,	,	,
which	which	which
passed	pass	passed
59	59	59
to	to	to
32	32	32
,	,	,
blocks	block	block
women	women	woman
s	s	s
health	health	health
providers	provid	provider
that	that	that
also	also	also
provide	provid	provide
abortions	abort	abortion
,	,	,
or	or	or
groups	group	group
that	that	that
refer	refer	refer
patients	patient	patient
to	to	to
those	those	those
providers	provid	provider
,	,	,
from	from	from
receiving	receiv	receiving
funds	fund	fund
from	from	from
a	a	a
variety	varieti	variety
of	of	of
state	state	state
and	and	and
federal	feder	federal
grants	grant	grant
.	.	.
Planned	plan	Planned
Parenthood	parenthood	Parenthood
said	said	said
the	the	the
bill	bill	bill
would	would	would
hinder	hinder	hinder
lower	lower	lower
-income	-incom	-income
women	women	woman
s	s	s
access	access	access
to	to	to
testing	test	testing
for	for	for
sexually	sexual	sexually
transmitted	transmit	transmitted
diseases	diseas	disease
,	,	,
HIV	hiv	HIV
tests	test	test
and	and	and
well	well	well
-baby	-babi	-baby
programs	program	program
.	.	.
According	accord	According
to	to	to
its	it	it
website	websit	website
,	,	,
Planned	plan	Planned
Parenthood	parenthood	Parenthood
has	has	ha
20	20	20
clinics	clinic	clinic
in	in	in
Ohio	ohio	Ohio
.	.	.
Two	two	Two
provide	provid	provide
abortions	abort	abortion
and	and	and
all	all	all
provide	provid	provide
abortion	abort	abortion
referral	referr	referral
.	.	.
With	with	With
most	most	most
Republicans	republican	Republicans
keen	keen	keen
to	to	to
deny	deni	deny
funds	fund	fund
to	to	to
Planned	plan	Planned
Parenthood	parenthood	Parenthood
,	,	,
Kasich	kasich	Kasich
will	will	will
have	have	have
the	the	the
opportunity	opportun	opportunity
to	to	to
sign	sign	sign
the	the	the
bill	bill	bill
ahead	ahead	ahead
of	of	of
the	the	the
party	parti	party
s	s	s
presidential	presidenti	presidential
primary	primari	primary
on	on	on
Feb	feb	Feb
.	.	.
20	20	20
in	in	in
South	south	South
Carolina	carolina	Carolina
.	.	.
Joe	joe	Joe
Andrews	andrew	Andrews
,	,	,
spokesman	spokesman	spokesman
for	for	for
Kasich	kasich	Kasich
,	,	,
said	said	said
the	the	the
bill	bill	bill
furthers	further	furthers
Ohio	ohio	Ohio
s	s	s
policies	polici	policy
.	.	.
The	the	The
Ohio	ohio	Ohio
Department	depart	Department
of	of	of
Health	health	Health
had	had	had
already	alreadi	already
stopped	stop	stopped
awarding	award	awarding
state	state	state
dollars	dollar	dollar
to	to	to
Planned	plan	Planned
Parenthood	parenthood	Parenthood
and	and	and
they	they	they
were	were	were
kicked	kick	kicked
to	to	to
the	the	the
back	back	back
of	of	of
the	the	the
line	line	line
for	for	for
the	the	the
federal	feder	federal
government	govern	government
s	s	s
family	famili	family
planning	plan	planning
grants	grant	grant
that	that	that
the	the	the
department	depart	department
administers	administ	administers
.	.	.
This	this	This
bill	bill	bill
further	further	further
reinforces	reinforc	reinforces
Ohio	ohio	Ohio
s	s	s
policies	polici	policy
,	,	,
Andrews	andrew	Andrews
said	said	said
Wednesday	wednesday	Wednesday
.	.	.
Opponents	oppon	Opponents
of	of	of
the	the	the
bill	bill	bill
accused	accus	accused
state	state	state
Republicans	republican	Republicans
of	of	of
grandstanding	grandstand	grandstanding
,	,	,
noting	note	noting
that	that	that
the	the	the
timing	time	timing
of	of	of
its	it	it
passage	passag	passage
was	was	wa
convenient	conveni	convenient
for	for	for
Kasich	kasich	Kasich
as	as	a
he	he	he
campaigns	campaign	campaign
in	in	in
a	a	a
crowded	crowd	crowded
field	field	field
for	for	for
nomination	nomin	nomination
to	to	to
represent	repres	represent
his	his	his
party	parti	party
in	in	in
the	the	the
November	novemb	November
election	elect	election
.	.	.
There	there	There
s	s	s
no	no	no
legitimate	legitim	legitimate
justification	justif	justification
for	for	for
defunding	defund	defunding
Planned	plan	Planned
Parenthood	parenthood	Parenthood
.	.	.
Every	everi	Every
excuse	excus	excuse
by	by	by
legislators	legisl	legislator
has	has	ha
been	been	been
debunked	debunk	debunked
,	,	,
Kellie	kelli	Kellie
Copeland	copeland	Copeland
executive	execut	executive
director	director	director
of	of	of
NARAL	naral	NARAL
Pro	pro	Pro
-Choice	-choic	-Choice
Ohio	ohio	Ohio
,	,	,
an	an	an
abortion	abort	abortion
rights	right	right
advocacy	advocaci	advocacy
group	group	group
,	,	,
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Clearly	clear	Clearly
the	the	the
motivation	motiv	motivation
behind	behind	behind
the	the	the
content	content	content
and	and	and
timing	time	timing
of	of	of
this	this	this
legislation	legisl	legislation
is	is	is
to	to	to
bolster	bolster	bolster
John	john	John
Kasich	kasich	Kasich
s	s	s
campaign	campaign	campaign
to	to	to
anti	anti	anti
-choice	-choic	-choice
voters	voter	voter
in	in	in
South	south	South
Carolina	carolina	Carolina
,	,	,
Copeland	copeland	Copeland
added	ad	added
.	.	.
Proponents	propon	Proponents
of	of	of
the	the	the
bill	bill	bill
said	said	said
the	the	the
funding	fund	funding
transfer	transfer	transfer
will	will	will
help	help	help
combat	combat	combat
infant	infant	infant
mortality	mortal	mortality
because	becaus	because
it	it	it
re	re	re
-directs	-direct	-directs
250	250	250
,	,	,
000	000	000
for	for	for
new	new	new
parent	parent	parent
education	educ	education
.	.	.
Under	under	Under
Ohio	ohio	Ohio
law	law	law
no	no	no
state	state	state
funds	fund	fund
are	are	are
used	use	used
to	to	to
provide	provid	provide
abortions	abort	abortion
but	but	but
state	state	state
funds	fund	fund
are	are	are
used	use	used
by	by	by
Planned	plan	Planned
Parenthood	parenthood	Parenthood
to	to	to
provide	provid	provide
other	other	other
healthcare	healthcar	healthcare
.	.	.
Rep	rep	Rep
.	.	.
Kathleen	kathleen	Kathleen
Clyde	clyde	Clyde
,	,	,
a	a	a
Democrat	democrat	Democrat
,	,	,
said	said	said
the	the	the
bill	bill	bill
would	would	would
be	be	be
counterproductive	counterproduct	counterproductive
.	.	.
It	it	It
will	will	will
likely	like	likely
increase	increas	increase
the	the	the
number	number	number
of	of	of
abortions	abort	abortion
in	in	in
Ohio	ohio	Ohio
by	by	by
cutting	cut	cutting
access	access	access
to	to	to
birth	birth	birth
control	control	control
and	and	and
access	access	access
to	to	to
sex	sex	sex
education	educ	education
in	in	in
Ohio	ohio	Ohio
,	,	,
she	she	she
said	said	said
.	.	.
