JAKARTA	jakarta	JAKARTA
Reuters	reuter	Reuters
-	-	-
The	the	The
Indonesian	indonesian	Indonesian
unit	unit	unit
of	of	of
Freeport	freeport	Freeport
-McMoRan	-mcmoran	-McMoRan
Inc	inc	Inc
has	has	ha
reopened	reopen	reopened
the	the	the
main	main	main
supply	suppli	supply
route	rout	route
to	to	to
its	it	it
huge	huge	huge
copper	copper	copper
mine	mine	mine
in	in	in
Papua	papua	Papua
,	,	,
the	the	the
company	compani	company
said	said	said
on	on	on
Monday	monday	Monday
,	,	,
after	after	after
the	the	the
road	road	road
was	was	wa
closed	close	closed
on	on	on
Sunday	sunday	Sunday
following	follow	following
a	a	a
shooting	shoot	shooting
incident	incid	incident
in	in	in
the	the	the
area	area	area
.	.	.

No	no	No
one	one	one
was	was	wa
reported	report	reported
injured	injur	injured
when	when	when
shots	shot	shot
were	were	were
fired	fire	fired
at	at	at
an	an	an
escort	escort	escort
vehicle	vehicl	vehicle
traveling	travel	traveling
from	from	from
the	the	the
lowlands	lowland	lowland
,	,	,
but	but	but
Freeport	freeport	Freeport
canceled	cancel	canceled
all	all	all
convoys	convoy	convoy
along	along	along
the	the	the
road	road	road
on	on	on
Sunday	sunday	Sunday
afternoon	afternoon	afternoon
while	while	while
the	the	the
security	secur	security
situation	situat	situation
was	was	wa
assessed	assess	assessed
.	.	.

Freeport	freeport	Freeport
Indonesia	indonesia	Indonesia
spokesman	spokesman	spokesman
Riza	riza	Riza
Pratama	pratama	Pratama
said	said	said
the	the	the
temporary	temporari	temporary
closure	closur	closure
has	has	ha
had	had	had
no	no	no
impact	impact	impact
on	on	on
production	product	production
at	at	at
the	the	the
world	world	world
s	s	s
second	second	second
-biggest	-biggest	-biggest
copper	copper	copper
mine	mine	mine
.	.	.

The	the	The
incident	incid	incident
was	was	wa
the	the	the
latest	latest	latest
in	in	in
a	a	a
string	string	string
of	of	of
shootings	shoot	shooting
near	near	near
the	the	the
mine	mine	mine
since	sinc	since
mid	mid	mid
-August	-august	-August
that	that	that
have	have	have
killed	kill	killed
one	one	one
police	polic	police
officer	offic	officer
and	and	and
wounded	wound	wounded
at	at	at
least	least	least
six	six	six
others	other	others
.	.	.

Authorities	author	Authorities
have	have	have
declared	declar	declared
a	a	a
state	state	state
of	of	of
emergency	emerg	emergency
and	and	and
stepped	step	stepped
up	up	up
security	secur	security
in	in	in
the	the	the
area	area	area
around	around	around
Tembagapura	tembagapura	Tembagapura
village	villag	village
,	,	,
about	about	about
10	10	10
km	km	km
from	from	from
the	the	the
mine	mine	mine
.	.	.

The	the	The
separatist	separatist	separatist
West	west	West
Papua	papua	Papua
National	nation	National
Liberation	liber	Liberation
Army	armi	Army
TPN	tpn	TPN
-OPM	-opm	-OPM
,	,	,
a	a	a
group	group	group
linked	link	linked
to	to	to
the	the	the
Free	free	Free
Papua	papua	Papua
Movement	movement	Movement
,	,	,
has	has	ha
said	said	said
it	it	it
is	is	is
at	at	at
war	war	war
with	with	with
police	polic	police
,	,	,
military	militari	military
and	and	and
Freeport	freeport	Freeport
.	.	.

It	it	It
was	was	wa
not	not	not
immediately	immedi	immediately
clear	clear	clear
if	if	if
TPN	tpn	TPN
-OPM	-opm	-OPM
was	was	wa
behind	behind	behind
Sunday	sunday	Sunday
s	s	s
shooting	shoot	shooting
.	.	.

Police	polic	Police
in	in	in
Indonesia	indonesia	Indonesia
s	s	s
eastern	eastern	eastern
-most	-most	-most
province	provinc	province
on	on	on
Sunday	sunday	Sunday
said	said	said
they	they	they
would	would	would
issue	issu	issue
a	a	a
notice	notic	notice
to	to	to
an	an	an
armed	arm	armed
criminal	crimin	criminal
group	group	group
that	that	that
authorities	author	authority
say	say	say
are	are	are
occupying	occupi	occupying
villages	villag	village
in	in	in
Mimika	mimika	Mimika
regency	regenc	regency
,	,	,
where	where	where
Freeport	freeport	Freeport
s	s	s
Grasberg	grasberg	Grasberg
mine	mine	mine
is	is	is
located	locat	located
,	,	,
and	and	and
demand	demand	demand
that	that	that
rebels	rebel	rebel
surrender	surrend	surrender
their	their	their
weapons	weapon	weapon
and	and	and
turn	turn	turn
themselves	themselv	themselves
in	in	in
.	.	.

Timika	timika	Timika
Police	polic	Police
chief	chief	chief
Victor	victor	Victor
Mackbon	mackbon	Mackbon
said	said	said
they	they	they
were	were	were
investigating	investig	investigating
reports	report	report
that	that	that
an	an	an
employee	employe	employee
of	of	of
PT	pt	PT
Freeport	freeport	Freeport
had	had	had
been	been	been
kidnapped	kidnap	kidnapped
by	by	by
an	an	an
armed	arm	armed
criminal	crimin	criminal
group	group	group
.	.	.

Freeport	freeport	Freeport
spokesman	spokesman	spokesman
Pratama	pratama	Pratama
said	said	said
he	he	he
could	could	could
not	not	not
confirm	confirm	confirm
the	the	the
reports	report	report
of	of	of
a	a	a
kidnapping	kidnap	kidnapping
.	.	.

He	he	He
also	also	also
said	said	said
he	he	he
could	could	could
not	not	not
confirm	confirm	confirm
police	polic	police
reports	report	report
that	that	that
a	a	a
Freeport	freeport	Freeport
excavator	excav	excavator
had	had	had
been	been	been
used	use	used
by	by	by
the	the	the
group	group	group
to	to	to
dig	dig	dig
up	up	up
a	a	a
road	road	road
to	to	to
Banti	banti	Banti
,	,	,
one	one	one
of	of	of
the	the	the
villages	villag	village
authorities	author	authority
said	said	said
was	was	wa
occupied	occupi	occupied
by	by	by
the	the	the
rebel	rebel	rebel
group	group	group
.	.	.

Freeport	freeport	Freeport
is	is	is
deeply	deepli	deeply
concerned	concern	concerned
about	about	about
the	the	the
escalation	escal	escalation
of	of	of
violence	violenc	violence
,	,	,
Pratama	pratama	Pratama
said	said	said
,	,	,
adding	ad	adding
that	that	that
the	the	the
company	compani	company
was	was	wa
working	work	working
with	with	with
authorities	author	authority
to	to	to
ensure	ensur	ensure
the	the	the
safety	safeti	safety
of	of	of
its	it	it
workers	worker	worker
and	and	and
the	the	the
local	local	local
community	communiti	community
.	.	.

Grasberg	grasberg	Grasberg
workers	worker	worker
have	have	have
become	becom	become
uneasy	uneasi	uneasy
amid	amid	amid
the	the	the
security	secur	security
concerns	concern	concern
,	,	,
union	union	union
representative	repres	representative
Tri	tri	Tri
Puspital	puspit	Puspital
told	told	told
Reuters	reuter	Reuters
,	,	,
urging	urg	urging
police	polic	police
to	to	to
handle	handl	handle
the	the	the
matter	matter	matter
more	more	more
carefully	care	carefully
.	.	.

Despite	despit	Despite
a	a	a
long	long	long
history	histori	history
of	of	of
shooting	shoot	shooting
incidents	incid	incident
in	in	in
the	the	the
region	region	region
,	,	,
efforts	effort	effort
to	to	to
end	end	end
the	the	the
violence	violenc	violence
had	had	had
been	been	been
sporadic	sporad	sporadic
,	,	,
and	and	and
not	not	not
effective	effect	effective
,	,	,
Puspital	puspit	Puspital
said	said	said
,	,	,
but	but	but
warned	warn	warned
that	that	that
a	a	a
hard	hard	hard
approach	approach	approach
could	could	could
further	further	further
escalation	escal	escalation
.	.	.

Part	part	Part
of	of	of
the	the	the
problem	problem	problem
is	is	is
a	a	a
perception	percept	perception
locally	local	locally
that	that	that
most	most	most
of	of	of
the	the	the
benefits	benefit	benefit
from	from	from
Grasberg	grasberg	Grasberg
go	go	go
to	to	to
the	the	the
political	polit	political
elite	elit	elite
,	,	,
he	he	he
said	said	said
.	.	.

About	about	About
200	200	200
officers	offic	officer
were	were	were
standing	stand	standing
by	by	by
to	to	to
secure	secur	secure
the	the	the
area	area	area
by	by	by
force	forc	force
if	if	if
necessary	necessari	necessary
,	,	,
police	polic	police
officials	offici	official
said	said	said
.	.	.

Papua	papua	Papua
has	has	ha
had	had	had
a	a	a
long	long	long
-running	-run	-running
,	,	,
and	and	and
sometimes	sometim	sometimes
violent	violent	violent
,	,	,
separatist	separatist	separatist
movement	movement	movement
since	sinc	since
the	the	the
province	provinc	province
was	was	wa
incorporated	incorpor	incorporated
into	into	into
Indonesia	indonesia	Indonesia
after	after	after
a	a	a
widely	wide	widely
criticized	critic	criticized
1969	1969	1969
U	u	U
.	.	.
N	n	N
.	.	.
-backed	-back	-backed
referendum	referendum	referendum
.	.	.

Foreign	foreign	Foreign
journalists	journalist	journalist
have	have	have
in	in	in
the	the	the
past	past	past
required	requir	required
special	special	special
permission	permiss	permission
to	to	to
report	report	report
in	in	in
Papua	papua	Papua
,	,	,
and	and	and
once	onc	once
there	there	there
,	,	,
have	have	have
had	had	had
security	secur	security
forces	forc	force
restrict	restrict	restrict
their	their	their
movement	movement	movement
and	and	and
work	work	work
.	.	.

President	presid	President
Joko	joko	Joko
Widodo	widodo	Widodo
has	has	ha
pledged	pledg	pledged
to	to	to
make	make	make
the	the	the
region	region	region
more	more	more
accessible	access	accessible
to	to	to
foreign	foreign	foreign
media	media	medium
by	by	by
inviting	invit	inviting
reporters	report	reporter
on	on	on
government	govern	government
-sponsored	-sponsor	-sponsored
trips	trip	trip
,	,	,
although	although	although
coverage	coverag	coverage
remains	remain	remains
difficult	difficult	difficult
.	.	.

