OSLO	oslo	OSLO
Reuters	reuter	Reuters
-	-	-
The	the	The
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
winner	winner	winner
s	s	s
campaign	campaign	campaign
to	to	to
ban	ban	ban
nuclear	nuclear	nuclear
weapons	weapon	weapon
will	will	will
not	not	not
make	make	make
the	the	the
world	world	world
more	more	more
peaceful	peac	peaceful
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Embassy	embassi	Embassy
in	in	in
Norway	norway	Norway
said	said	said
,	,	,
confirming	confirm	confirming
its	it	it
top	top	top
diplomat	diplomat	diplomat
will	will	will
not	not	not
attend	attend	attend
next	next	next
month	month	month
s	s	s
award	award	award
ceremony	ceremoni	ceremony
.	.	.

On	on	On
Wednesday	wednesday	Wednesday
,	,	,
the	the	the
International	intern	International
Campaign	campaign	Campaign
to	to	to
Abolish	abolish	Abolish
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
ICAN	ican	ICAN
accused	accus	accused
the	the	the
United	unit	United
States	state	States
,	,	,
Britain	britain	Britain
and	and	and
France	franc	France
of	of	of
snubbing	snub	snubbing
its	it	it
disarmament	disarma	disarmament
work	work	work
by	by	by
planning	plan	planning
to	to	to
send	send	send
only	onli	only
second	second	second
-rank	-rank	-rank
diplomats	diplomat	diplomat
in	in	in
a	a	a
coordinated	coordin	coordinated
move	move	move
.	.	.

ICAN	ican	ICAN
,	,	,
a	a	a
little	littl	little
-known	-known	-known
organization	organ	organization
that	that	that
was	was	wa
a	a	a
surprise	surpris	surprise
choice	choic	choice
for	for	for
the	the	the
prize	prize	prize
,	,	,
has	has	ha
been	been	been
campaigning	campaign	campaigning
for	for	for
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Treaty	treati	Treaty
on	on	on
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
,	,	,
which	which	which
was	was	wa
adopted	adopt	adopted
by	by	by
122	122	122
nations	nation	nation
in	in	in
July	juli	July
this	this	this
year	year	year
.	.	.

But	but	But
the	the	the
treaty	treati	treaty
is	is	is
not	not	not
signed	sign	signed
by	by	by
-	-	-
and	and	and
would	would	would
not	not	not
apply	appli	apply
to	to	to
-	-	-
any	ani	any
of	of	of
the	the	the
states	state	state
that	that	that
already	alreadi	already
have	have	have
nuclear	nuclear	nuclear
arms	arm	arm
the	the	the
United	unit	United
States	state	States
,	,	,
Russia	russia	Russia
,	,	,
China	china	China
,	,	,
Britain	britain	Britain
and	and	and
France	franc	France
,	,	,
as	as	a
well	well	well
as	as	a
India	india	India
,	,	,
Pakistan	pakistan	Pakistan
and	and	and
North	north	North
Korea	korea	Korea
.	.	.

North	north	North
Korea	korea	Korea
said	said	said
it	it	it
had	had	had
successfully	success	successfully
tested	test	tested
a	a	a
new	new	new
intercontinental	intercontinent	intercontinental
ballistic	ballist	ballistic
missile	missil	missile
on	on	on
Wednesday	wednesday	Wednesday
in	in	in
a	a	a
breakthrough	breakthrough	breakthrough
that	that	that
puts	put	put
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
mainland	mainland	mainland
within	within	within
range	rang	range
of	of	of
its	it	it
nuclear	nuclear	nuclear
weapons	weapon	weapon
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Embassy	embassi	Embassy
in	in	in
Oslo	oslo	Oslo
said	said	said
it	it	it
planned	plan	planned
to	to	to
send	send	send
its	it	it
acting	act	acting
deputy	deputi	deputy
chief	chief	chief
of	of	of
mission	mission	mission
instead	instead	instead
of	of	of
its	it	it
acting	act	acting
ambassador	ambassador	ambassador
to	to	to
the	the	the
Dec	dec	Dec
.	.	.

10	10	10
ceremony	ceremoni	ceremony
,	,	,
attended	attend	attended
by	by	by
King	king	King
Harald	harald	Harald
and	and	and
Queen	queen	Queen
Sonja	sonja	Sonja
and	and	and
the	the	the
highlight	highlight	highlight
of	of	of
the	the	the
diplomatic	diplomat	diplomatic
calendar	calendar	calendar
in	in	in
Norway	norway	Norway
.	.	.

This	this	This
year	year	year
s	s	s
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
to	to	to
ICAN	ican	ICAN
for	for	for
its	it	it
efforts	effort	effort
in	in	in
support	support	support
of	of	of
the	the	the
Treaty	treati	Treaty
on	on	on
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
,	,	,
comes	come	come
at	at	at
a	a	a
time	time	time
of	of	of
increased	increas	increased
danger	danger	danger
of	of	of
nuclear	nuclear	nuclear
proliferation	prolifer	proliferation
,	,	,
the	the	the
embassy	embassi	embassy
said	said	said
in	in	in
the	the	the
statement	statement	statement
to	to	to
Reuters	reuter	Reuters
on	on	on
Thursday	thursday	Thursday
.	.	.

This	this	This
treaty	treati	treaty
will	will	will
not	not	not
make	make	make
the	the	the
world	world	world
more	more	more
peaceful	peac	peaceful
,	,	,
will	will	will
not	not	not
result	result	result
in	in	in
the	the	the
elimination	elimin	elimination
of	of	of
a	a	a
single	singl	single
nuclear	nuclear	nuclear
weapon	weapon	weapon
,	,	,
and	and	and
will	will	will
not	not	not
enhance	enhanc	enhance
any	ani	any
state	state	state
s	s	s
security	secur	security
,	,	,
it	it	it
said	said	said
.	.	.

This	this	This
treaty	treati	treaty
ignores	ignor	ignores
the	the	the
current	current	current
security	secur	security
challenges	challeng	challenge
that	that	that
make	make	make
nuclear	nuclear	nuclear
deterrence	deterr	deterrence
necessary	necessari	necessary
,	,	,
and	and	and
risks	risk	risk
undermining	undermin	undermining
existing	exist	existing
efforts	effort	effort
to	to	to
address	address	address
global	global	global
proliferation	prolifer	proliferation
.	.	.

Last	last	Last
month	month	month
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
nominated	nomin	nominated
Kenneth	kenneth	Kenneth
Braithwaite	braithwait	Braithwaite
to	to	to
the	the	the
post	post	post
of	of	of
ambassador	ambassador	ambassador
in	in	in
Oslo	oslo	Oslo
,	,	,
currently	current	currently
held	held	held
by	by	by
an	an	an
acting	act	acting
ambassador	ambassador	ambassador
.	.	.

While	while	While
Britain	britain	Britain
and	and	and
France	franc	France
will	will	will
do	do	do
the	the	the
same	same	same
as	as	a
the	the	the
United	unit	United
States	state	States
in	in	in
sending	send	sending
lower	lower	lower
-ranking	-rank	-ranking
diplomats	diplomat	diplomat
to	to	to
the	the	the
ceremony	ceremoni	ceremony
,	,	,
the	the	the
other	other	other
two	two	two
permanent	perman	permanent
members	member	member
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
are	are	are
taking	take	taking
different	differ	different
approaches	approach	approach
.	.	.

The	the	The
Russian	russian	Russian
embassy	embassi	embassy
said	said	said
it	it	it
would	would	would
send	send	send
its	it	it
ambassador	ambassador	ambassador
to	to	to
the	the	the
ceremony	ceremoni	ceremony
.	.	.

The	the	The
ambassador	ambassador	ambassador
is	is	is
planning	plan	planning
to	to	to
attend	attend	attend
,	,	,
said	said	said
Russian	russian	Russian
embassy	embassi	embassy
spokeswoman	spokeswoman	spokeswoman
Olga	olga	Olga
Kiriak	kiriak	Kiriak
.	.	.

The	the	The
Chinese	chines	Chinese
embassy	embassi	embassy
said	said	said
the	the	the
ambassador	ambassador	ambassador
was	was	wa
unavailable	unavail	unavailable
and	and	and
that	that	that
it	it	it
had	had	had
no	no	no
plans	plan	plan
to	to	to
send	send	send
someone	someon	someone
else	els	else
instead	instead	instead
of	of	of
him	him	him
.	.	.

We	we	We
cannot	cannot	cannot
be	be	be
sure	sure	sure
about	about	about
the	the	the
ambassador	ambassador	ambassador
s	s	s
schedule	schedul	schedule
at	at	at
this	this	this
time	time	time
.	.	.

He	he	He
is	is	is
on	on	on
holiday	holiday	holiday
,	,	,
said	said	said
a	a	a
press	press	press
officer	offic	officer
at	at	at
the	the	the
Chinese	chines	Chinese
embassy	embassi	embassy
,	,	,
who	who	who
did	did	did
not	not	not
give	give	give
her	her	her
name	name	name
.	.	.

