BAGHDAD	baghdad	BAGHDAD
Reuters	reuter	Reuters
-	-	-
Iraqi	iraqi	Iraqi
forces	forc	force
launched	launch	launched
an	an	an
operation	oper	operation
on	on	on
Thursday	thursday	Thursday
to	to	to
clear	clear	clear
the	the	the
desert	desert	desert
bordering	border	bordering
Syria	syria	Syria
of	of	of
Islamic	islam	Islamic
State	state	State
in	in	in
a	a	a
final	final	final
push	push	push
to	to	to
rid	rid	rid
Iraq	iraq	Iraq
of	of	of
the	the	the
militant	milit	militant
group	group	group
,	,	,
the	the	the
military	militari	military
said	said	said
.	.	.
Troops	troop	Troops
from	from	from
the	the	the
Iraqi	iraqi	Iraqi
army	armi	army
and	and	and
mainly	main	mainly
Shi	shi	Shi
ite	ite	ite
paramilitaries	paramilitari	paramilitary
known	known	known
as	as	a
Popular	popular	Popular
Mobilisation	mobilis	Mobilisation
Forces	forc	Forces
PMF	pmf	PMF
were	were	were
taking	take	taking
part	part	part
in	in	in
the	the	the
campaign	campaign	campaign
against	against	against
militants	milit	militant
hiding	hide	hiding
in	in	in
a	a	a
large	larg	large
strip	strip	strip
of	of	of
border	border	border
land	land	land
,	,	,
Iraqi	iraqi	Iraqi
military	militari	military
officials	offici	official
said	said	said
.	.	.
The	the	The
objective	object	objective
behind	behind	behind
the	the	the
operation	oper	operation
is	is	is
to	to	to
prevent	prevent	prevent
remaining	remain	remaining
Daesh	daesh	Daesh
groups	group	group
from	from	from
melting	melt	melting
into	into	into
the	the	the
desert	desert	desert
region	region	region
and	and	and
using	use	using
it	it	it
as	as	a
a	a	a
base	base	base
for	for	for
future	futur	future
attacks	attack	attack
,	,	,
said	said	said
army	armi	army
colonel	colonel	colonel
Salah	salah	Salah
Kareem	kareem	Kareem
,	,	,
referring	refer	referring
to	to	to
Islamic	islam	Islamic
State	state	State
by	by	by
an	an	an
Arabic	arab	Arabic
acronym	acronym	acronym
.	.	.
Islamic	islam	Islamic
State	state	State
fighters	fighter	fighter
who	who	who
ruled	rule	ruled
over	over	over
millions	million	million
of	of	of
people	peopl	people
in	in	in
both	both	both
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
since	sinc	since
proclaiming	proclaim	proclaiming
their	their	their
caliphate	caliph	caliphate
in	in	in
2014	2014	2014
,	,	,
have	have	have
been	been	been
largely	larg	largely
defeated	defeat	defeated
in	in	in
both	both	both
countries	countri	country
this	this	this
year	year	year
,	,	,
pushed	push	pushed
out	out	out
of	of	of
all	all	all
population	popul	population
centers	center	center
to	to	to
empty	empti	empty
desert	desert	desert
near	near	near
the	the	the
border	border	border
.	.	.
Iraqi	iraqi	Iraqi
Prime	prime	Prime
Minister	minist	Minister
Haider	haider	Haider
al	al	al
-Abadi	-abadi	-Abadi
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
Islamic	islam	Islamic
State	state	State
had	had	had
been	been	been
defeated	defeat	defeated
from	from	from
a	a	a
military	militari	military
perspective	perspect	perspective
,	,	,
but	but	but
he	he	he
would	would	would
declare	declar	declare
final	final	final
victory	victori	victory
only	onli	only
after	after	after
the	the	the
militants	milit	militant
were	were	were
routed	rout	routed
in	in	in
the	the	the
desert	desert	desert
.	.	.
nL8N1NR57C	nl8n1nr57c	nL8N1NR57C
In	in	In
the	the	the
latest	latest	latest
operation	oper	operation
,	,	,
Iraqi	iraqi	Iraqi
forces	forc	force
had	had	had
purified	purifi	purified
77	77	77
villages	villag	village
and	and	and
exerted	exert	exerted
control	control	control
over	over	over
a	a	a
bridge	bridg	bridge
and	and	and
an	an	an
airport	airport	airport
,	,	,
operations	oper	operation
commander	command	commander
Lieutenant	lieuten	Lieutenant
General	general	General
Abdul	abdul	Abdul
Ameer	ameer	Ameer
Rasheed	rashe	Rasheed
Yarallah	yarallah	Yarallah
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Over	over	Over
5	5	5
,	,	,
800	800	800
squared	squar	squared
kilometers	kilomet	kilometer
had	had	had
been	been	been
purified	purifi	purified
,	,	,
he	he	he
added	ad	added
.	.	.
On	on	On
Friday	friday	Friday
Iraqi	iraqi	Iraqi
forces	forc	force
captured	captur	captured
the	the	the
border	border	border
town	town	town
of	of	of
Rawa	rawa	Rawa
,	,	,
the	the	the
last	last	last
remaining	remain	remaining
town	town	town
under	under	under
Islamic	islam	Islamic
State	state	State
control	control	control
.	.	.
Iraqi	iraqi	Iraqi
army	armi	army
commanders	command	commander
say	say	say
the	the	the
military	militari	military
campaign	campaign	campaign
will	will	will
continue	continu	continue
until	until	until
all	all	all
the	the	the
frontier	frontier	frontier
with	with	with
Syria	syria	Syria
is	is	is
secured	secur	secured
to	to	to
prevent	prevent	prevent
Islamic	islam	Islamic
State	state	State
from	from	from
launching	launch	launching
cross	cross	cross
border	border	border
attacks	attack	attack
.	.	.
We	we	We
will	will	will
completely	complet	completely
secure	secur	secure
the	the	the
desert	desert	desert
from	from	from
all	all	all
terrorist	terrorist	terrorist
groups	group	group
of	of	of
Daesh	daesh	Daesh
and	and	and
declare	declar	declare
Iraq	iraq	Iraq
clean	clean	clean
of	of	of
those	those	those
germs	germ	germ
,	,	,
said	said	said
army	armi	army
Brigadier	brigadi	Brigadier
General	general	General
Shakir	shakir	Shakir
Kadhim	kadhim	Kadhim
.	.	.
Army	armi	Army
officials	offici	official
said	said	said
troops	troop	troop
advancing	advanc	advancing
through	through	through
sprawling	sprawl	sprawling
desert	desert	desert
towards	toward	towards
the	the	the
Syria	syria	Syria
border	border	border
are	are	are
facing	face	facing
landmines	landmin	landmines
and	and	and
roadside	roadsid	roadside
bombs	bomb	bomb
placed	place	placed
by	by	by
retreating	retreat	retreating
militants	milit	militant
.	.	.
We	we	We
need	need	need
to	to	to
clean	clean	clean
scattered	scatter	scattered
villages	villag	village
from	from	from
terrorists	terrorist	terrorist
to	to	to
make	make	make
sure	sure	sure
they	they	they
no	no	no
longer	longer	longer
operate	oper	operate
in	in	in
the	the	the
desert	desert	desert
area	area	area
with	with	with
Syria	syria	Syria
,	,	,
said	said	said
army	armi	army
Lieutenant	lieuten	Lieutenant
-Colonel	-colonel	-Colonel
Ahmed	ahm	Ahmed
Fairs	fair	Fairs
.	.	.
Iraqi	iraqi	Iraqi
military	militari	military
helicopters	helicopt	helicopter
provided	provid	provided
cover	cover	cover
for	for	for
the	the	the
advancing	advanc	advancing
troops	troop	troop
and	and	and
destroyed	destroy	destroyed
at	at	at
least	least	least
three	three	three
vehicles	vehicl	vehicle
used	use	used
by	by	by
militants	milit	militant
as	as	a
they	they	they
were	were	were
trying	tri	trying
to	to	to
flee	flee	flee
a	a	a
village	villag	village
in	in	in
the	the	the
western	western	western
desert	desert	desert
,	,	,
said	said	said
the	the	the
army	armi	army
officer	offic	officer
.	.	.
Islamic	islam	Islamic
State	state	State
s	s	s
self	self	self
-declared	-declar	-declared
caliphate	caliph	caliphate
has	has	ha
swiftly	swift	swiftly
collapsed	collaps	collapsed
since	sinc	since
July	juli	July
,	,	,
when	when	when
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
Iraqi	iraqi	Iraqi
forces	forc	force
captured	captur	captured
Mosul	mosul	Mosul
,	,	,
the	the	the
group	group	group
s	s	s
de	de	de
facto	facto	facto
capital	capit	capital
in	in	in
Iraq	iraq	Iraq
,	,	,
after	after	after
a	a	a
grueling	gruel	grueling
battle	battl	battle
that	that	that
had	had	had
lasted	last	lasted
nine	nine	nine
months	month	month
.	.	.
Driven	driven	Driven
also	also	also
from	from	from
its	it	it
other	other	other
main	main	main
bastion	bastion	bastion
in	in	in
Syria	syria	Syria
s	s	s
Raqqa	raqqa	Raqqa
,	,	,
Islamic	islam	Islamic
State	state	State
has	has	ha
since	sinc	since
been	been	been
gradually	gradual	gradually
squeezed	squeez	squeezed
into	into	into
an	an	an
ever	ever	ever
-shrinking	-shrink	-shrinking
pocket	pocket	pocket
of	of	of
desert	desert	desert
straddling	straddl	straddling
the	the	the
Syria	syria	Syria
-Iraq	-iraq	-Iraq
frontier	frontier	frontier
,	,	,
pursued	pursu	pursued
by	by	by
a	a	a
range	rang	range
of	of	of
enemies	enemi	enemy
that	that	that
include	includ	include
most	most	most
regional	region	regional
states	state	state
and	and	and
global	global	global
powers	power	power
.	.	.
The	the	The
group	group	group
s	s	s
leader	leader	leader
,	,	,
Abu	abu	Abu
Bakr	bakr	Bakr
al	al	al
-Baghdadi	-baghdadi	-Baghdadi
,	,	,
is	is	is
believed	believ	believed
to	to	to
be	be	be
hiding	hide	hiding
in	in	in
the	the	the
stretch	stretch	stretch
of	of	of
desert	desert	desert
which	which	which
runs	run	run
along	along	along
the	the	the
border	border	border
of	of	of
both	both	both
countries	countri	country
.	.	.
