AUSTIN	austin	AUSTIN
,	,	,
Texas	texa	Texas
Reuters	reuter	Reuters
-	-	-
North	north	North
Carolina	carolina	Carolina
s	s	s
replacement	replac	replacement
on	on	on
Thursday	thursday	Thursday
of	of	of
a	a	a
law	law	law
prohibiting	prohibit	prohibiting
transgender	transgend	transgender
people	peopl	people
from	from	from
using	use	using
restrooms	restroom	restroom
in	in	in
accordance	accord	accordance
with	with	with
their	their	their
gender	gender	gender
identity	ident	identity
could	could	could
be	be	be
the	the	the
death	death	death
knell	knell	knell
for	for	for
similar	similar	similar
restrictions	restrict	restriction
still	still	still
being	be	being
considered	consid	considered
in	in	in
about	about	about
a	a	a
dozen	dozen	dozen
other	other	other
states	state	state
.	.	.
Measures	measur	Measures
similar	similar	similar
to	to	to
North	north	North
Carolina	carolina	Carolina
s	s	s
House	hous	House
Bill	bill	Bill
2	2	2
,	,	,
the	the	the
so	so	so
-called	-call	-called
bathroom	bathroom	bathroom
bill	bill	bill
,	,	,
were	were	were
filed	file	filed
in	in	in
16	16	16
states	state	state
this	this	this
legislative	legisl	legislative
session	session	session
.	.	.
Momentum	momentum	Momentum
had	had	had
already	alreadi	already
slowed	slow	slowed
for	for	for
most	most	most
of	of	of
the	the	the
bills	bill	bill
and	and	and
some	some	some
of	of	of
them	them	them
had	had	had
failed	fail	failed
.	.	.
Republicans	republican	Republicans
in	in	in
the	the	the
state	state	state
that	that	that
was	was	wa
in	in	in
vanguard	vanguard	vanguard
,	,	,
North	north	North
Carolina	carolina	Carolina
,	,	,
are	are	are
now	now	now
signaling	signal	signaling
that	that	that
this	this	this
legislation	legisl	legislation
was	was	wa
not	not	not
,	,	,
in	in	in
the	the	the
end	end	end
,	,	,
in	in	in
the	the	the
best	best	best
interest	interest	interest
for	for	for
their	their	their
state	state	state
,	,	,
either	either	either
for	for	for
its	it	it
economy	economi	economy
or	or	or
its	it	it
reputation	reput	reputation
,	,	,
said	said	said
Mark	mark	Mark
Jones	jone	Jones
,	,	,
a	a	a
professor	professor	professor
of	of	of
political	polit	political
science	scienc	science
at	at	at
Rice	rice	Rice
University	univers	University
in	in	in
Houston	houston	Houston
.	.	.
North	north	North
Carolina	carolina	Carolina
lawmakers	lawmak	lawmaker
said	said	said
they	they	they
acted	act	acted
to	to	to
replace	replac	replace
the	the	the
law	law	law
in	in	in
hopes	hope	hope
of	of	of
ending	end	ending
boycotts	boycott	boycott
by	by	by
businesses	busi	business
and	and	and
sports	sport	sport
leagues	leagu	league
that	that	that
considered	consid	considered
the	the	the
year	year	year
-old	-old	-old
measure	measur	measure
discriminatory	discriminatori	discriminatory
.	.	.
The	the	The
boycotts	boycott	boycott
cost	cost	cost
the	the	the
Southern	southern	Southern
state	state	state
s	s	s
economy	economi	economy
hundreds	hundr	hundred
of	of	of
millions	million	million
of	of	of
dollars	dollar	dollar
.	.	.
Supporters	support	Supporters
of	of	of
the	the	the
restrictions	restrict	restriction
have	have	have
said	said	said
the	the	the
measures	measur	measure
offer	offer	offer
common	common	common
-sense	-sens	-sense
solutions	solut	solution
that	that	that
will	will	will
help	help	help
keep	keep	keep
sexual	sexual	sexual
predators	predat	predator
out	out	out
of	of	of
bathrooms	bathroom	bathroom
and	and	and
changing	chang	changing
facilities	facil	facility
.	.	.
Opponents	oppon	Opponents
say	say	say
the	the	the
measures	measur	measure
are	are	are
unenforceable	unenforc	unenforceable
and	and	and
promote	promot	promote
discrimination	discrimin	discrimination
against	against	against
an	an	an
already	alreadi	already
marginalized	margin	marginalized
group	group	group
of	of	of
people	peopl	people
.	.	.
None	none	None
of	of	of
the	the	the
states	state	state
that	that	that
proposed	propos	proposed
similar	similar	similar
legislation	legisl	legislation
this	this	this
session	session	session
has	has	ha
enacted	enact	enacted
a	a	a
version	version	version
into	into	into
law	law	law
,	,	,
according	accord	according
to	to	to
the	the	the
National	nation	National
Conference	confer	Conference
of	of	of
State	state	State
Legislatures	legislatur	Legislatures
,	,	,
which	which	which
tracks	track	track
statehouses	statehous	statehouse
.	.	.
Proposals	propos	Proposals
introduced	introduc	introduced
in	in	in
South	south	South
Dakota	dakota	Dakota
,	,	,
Virginia	virginia	Virginia
,	,	,
Montana	montana	Montana
and	and	and
Wyoming	wyom	Wyoming
failed	fail	failed
to	to	to
pass	pass	pas
,	,	,
according	accord	according
to	to	to
the	the	the
organization	organ	organization
and	and	and
news	news	news
reports	report	report
.	.	.
In	in	In
Tennessee	tennesse	Tennessee
,	,	,
a	a	a
bathroom	bathroom	bathroom
bill	bill	bill
died	die	died
in	in	in
a	a	a
Senate	senat	Senate
committee	committe	committee
without	without	without
a	a	a
debate	debat	debate
.	.	.
The	the	The
state	state	state
s	s	s
Republican	republican	Republican
lieutenant	lieuten	lieutenant
governor	governor	governor
questioned	question	questioned
the	the	the
need	need	need
after	after	after
Republican	republican	Republican
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
administration	administr	administration
in	in	in
February	februari	February
revoked	revok	revoked
the	the	the
former	former	former
Obama	obama	Obama
administration	administr	administration
s	s	s
landmark	landmark	landmark
guidance	guidanc	guidance
to	to	to
public	public	public
schools	school	school
letting	let	letting
transgender	transgend	transgender
students	student	student
use	use	use
the	the	the
bathrooms	bathroom	bathroom
of	of	of
their	their	their
choice	choic	choice
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
Arkansas	arkansa	Arkansas
state	state	state
Senator	senat	Senator
Linda	linda	Linda
Collins	collin	Collins
-Smith	-smith	-Smith
,	,	,
a	a	a
Republican	republican	Republican
,	,	,
withdrew	withdrew	withdrew
the	the	the
bathroom	bathroom	bathroom
bill	bill	bill
she	she	she
had	had	had
proposed	propos	proposed
in	in	in
that	that	that
state	state	state
.	.	.
She	she	She
instead	instead	instead
recommended	recommend	recommended
the	the	the
issue	issu	issue
for	for	for
study	studi	study
in	in	in
committee	committe	committee
after	after	after
facing	face	facing
pressure	pressur	pressure
from	from	from
the	the	the
state	state	state
s	s	s
pro	pro	pro
-business	-busi	-business
governor	governor	governor
and	and	and
business	busi	business
groups	group	group
to	to	to
drop	drop	drop
it	it	it
.	.	.
After	after	After
North	north	North
Carolina	carolina	Carolina
,	,	,
a	a	a
similar	similar	similar
measure	measur	measure
proposed	propos	proposed
in	in	in
Texas	texa	Texas
,	,	,
the	the	the
most	most	most
populous	popul	populous
Republican	republican	Republican
-controlled	-control	-controlled
state	state	state
,	,	,
has	has	ha
drawn	drawn	drawn
the	the	the
closest	closest	closest
attention	attent	attention
.	.	.
It	it	It
has	has	ha
already	alreadi	already
cleared	clear	cleared
the	the	the
Texas	texa	Texas
Senate	senat	Senate
and	and	and
moved	move	moved
further	further	further
than	than	than
the	the	the
similar	similar	similar
legislation	legisl	legislation
proposed	propos	proposed
this	this	this
session	session	session
in	in	in
the	the	the
other	other	other
states	state	state
,	,	,
the	the	the
National	nation	National
Conference	confer	Conference
of	of	of
State	state	State
Legislatures	legislatur	Legislatures
said	said	said
.	.	.
A	a	A
key	key	key
backer	backer	backer
of	of	of
Texas	texa	Texas
bathroom	bathroom	bathroom
measure	measur	measure
that	that	that
restricts	restrict	restricts
bathroom	bathroom	bathroom
access	access	access
for	for	for
